,A_name,A_code,B_name,B_code,t,p,crit_value_1,crit_value_5,crit_value_10,flag
0,红塔证券,601236.SH,中信证券,600030.SH,-3.8450620414313965,0.0024784968885303497,-3.4569962781990573,-2.8732659015936024,-2.573018897632674,True
1,红塔证券,601236.SH,财通证券,601108.SH,-3.784854526187852,0.003066130210573542,-3.457105309726321,-2.873313676101283,-2.5730443824681606,True
2,红塔证券,601236.SH,光大证券,601788.SH,-1.9999277474004455,0.28660478031415776,-3.4575505077947746,-2.8735087323013526,-2.573148434859185,False
3,红塔证券,601236.SH,长江证券,000783.SZ,-3.6035629883152533,0.005693275268106915,-3.456780859712,-2.8731715065600003,-2.572968544,True
4,红塔证券,601236.SH,华林证券,002945.SZ,-3.398746329283101,0.011001683470433296,-3.4569962781990573,-2.8732659015936024,-2.573018897632674,True
5,红塔证券,601236.SH,海通证券,600837.SH,-3.1088261487119873,0.025906871679735446,-3.456780859712,-2.8731715065600003,-2.572968544,True
6,红塔证券,601236.SH,东北证券,000686.SZ,-3.4178819140254966,0.010364175017561724,-3.457215237265747,-2.873361841566324,-2.5730700760129555,True
7,红塔证券,601236.SH,中原证券,601375.SH,-3.5395721079105527,0.007027092897595153,-3.456780859712,-2.8731715065600003,-2.572968544,True
8,红塔证券,601236.SH,东兴证券,601198.SH,-3.9182919760670476,0.0019042772276833889,-3.456780859712,-2.8731715065600003,-2.572968544,True
9,红塔证券,601236.SH,南京证券,601990.SH,-4.926029981615072,3.102611262257595e-05,-3.4569962781990573,-2.8732659015936024,-2.573018897632674,True
10,红塔证券,601236.SH,西南证券,600369.SH,-3.422897016714721,0.010202643120646936,-3.456780859712,-2.8731715065600003,-2.572968544,True
11,红塔证券,601236.SH,东方证券,600958.SH,-3.6003687278528886,0.005753982377640225,-3.456780859712,-2.8731715065600003,-2.572968544,True
12,红塔证券,601236.SH,国信证券,002736.SZ,-3.473288171181185,0.008700203435016431,-3.456780859712,-2.8731715065600003,-2.572968544,True
13,红塔证券,601236.SH,哈投股份,600864.SH,-3.564537821568832,0.0064763221739282464,-3.456780859712,-2.8731715065600003,-2.572968544,True
14,红塔证券,601236.SH,华创阳安,600155.SH,-3.270748321355626,0.016237744262067567,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
15,红塔证券,601236.SH,兴业证券,601377.SH,-3.5766170047181043,0.006224121093262108,-3.456780859712,-2.8731715065600003,-2.572968544,True
16,红塔证券,601236.SH,方正证券,601901.SH,-3.2972756535333207,0.015000692923303487,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
17,红塔证券,601236.SH,中银证券,601696.SH,-2.240941387212454,0.1917229304844394,-3.502704609582561,-2.8931578098779522,-2.583636712914788,False
18,红塔证券,601236.SH,国金证券,600109.SH,-4.07559504335955,0.0010625030411867825,-3.457105309726321,-2.873313676101283,-2.5730443824681606,True
19,红塔证券,601236.SH,国海证券,000750.SZ,-3.244810647141453,0.017533035309689807,-3.457437824930831,-2.873459364726563,-2.573122099570008,True
20,红塔证券,601236.SH,长城证券,002939.SZ,-3.910964112612499,0.0019556227109365117,-3.456780859712,-2.8731715065600003,-2.572968544,True
21,红塔证券,601236.SH,中泰证券,600918.SH,-1.9741468889668194,0.29802254441553566,-3.6790595944893187,-2.9678817237279103,-2.6231583472057074,False
22,红塔证券,601236.SH,华西证券,002926.SZ,-3.8379146824572343,0.002542367903469593,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
23,红塔证券,601236.SH,广发证券,000776.SZ,-3.369844151241642,0.012030857796755397,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
24,红塔证券,601236.SH,哈高科,600095.SH,-3.8708717513034157,0.0022599857409321264,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
25,红塔证券,601236.SH,华鑫股份,600621.SH,-3.95922878204971,0.0016397106627140986,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
26,红塔证券,601236.SH,国泰君安,601211.SH,-3.228560395274581,0.01838988026327944,-3.4568881317725864,-2.8732185133016057,-2.5729936189738876,True
