,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601198.SH,20200716,14.26,14.65,13.46,13.7,14.25,-0.55,-3.8596,634651.58,898545.249
1,601198.SH,20200715,14.8,14.93,14.25,14.25,14.55,-0.3,-2.0619,597804.93,872824.543
2,601198.SH,20200714,14.59,14.88,14.26,14.55,14.73,-0.18,-1.222,541602.08,787815.973
3,601198.SH,20200713,14.8,15.2,14.29,14.73,14.7,0.03,0.2041,747505.2,1102053.349
4,601198.SH,20200710,14.43,15.55,14.35,14.7,14.78,-0.08,-0.5413,795739.25,1193143.566
5,601198.SH,20200709,14.39,15.3,13.85,14.78,14.4,0.38,2.6389,1052109.59,1539259.537
6,601198.SH,20200708,13.3,14.77,13.3,14.4,13.43,0.97,7.2226,1118986.77,1584127.854
7,601198.SH,20200707,14.18,14.18,13.23,13.43,13.95,-0.52,-3.7276,843030.3,1151294.602
8,601198.SH,20200706,13.08,13.95,12.99,13.95,12.68,1.27,10.0158,1084151.45,1474567.245
9,601198.SH,20200703,12.04,12.83,11.86,12.68,11.89,0.79,6.6442,817461.41,1002173.623
10,601198.SH,20200702,11.14,11.99,11.08,11.89,11.15,0.74,6.6368,611497.61,709245.126
11,601198.SH,20200701,10.9,11.18,10.83,11.15,10.9,0.25,2.2936,302329.44,333138.057
12,601198.SH,20200630,10.67,10.99,10.63,10.9,10.66,0.24,2.2514,210860.72,227761.365
13,601198.SH,20200629,10.91,10.92,10.5,10.66,11.04,-0.38,-3.442,254650.57,271935.045
14,601198.SH,20200624,11.11,11.28,10.99,11.04,11.08,-0.04,-0.361,182821.06,203033.812
15,601198.SH,20200623,10.99,11.09,10.91,11.08,10.97,0.11,1.0027,227092.18,250124.171
16,601198.SH,20200622,10.8,11.35,10.77,10.97,10.82,0.15,1.3863,419334.05,465117.199
17,601198.SH,20200619,10.56,10.95,10.54,10.82,10.53,0.29,2.754,413161.57,443622.727
18,601198.SH,20200618,10.46,10.61,10.4,10.53,10.46,0.07,0.6692,161715.75,170119.214
19,601198.SH,20200617,10.5,10.51,10.4,10.46,10.49,-0.03,-0.286,98801.87,103222.305
20,601198.SH,20200616,10.46,10.49,10.41,10.49,10.38,0.11,1.0597,106274.43,111070.709
21,601198.SH,20200615,10.51,10.62,10.38,10.38,10.48,-0.1,-0.9542,134570.13,141568.02
22,601198.SH,20200612,10.36,10.49,10.33,10.48,10.49,-0.01,-0.0953,106173.07,110705.847
23,601198.SH,20200611,10.53,10.67,10.47,10.49,10.52,-0.03,-0.2852,110319.37,116392.651
24,601198.SH,20200610,10.62,10.64,10.52,10.52,10.66,-0.14,-1.3133,80339.38,84850.434
25,601198.SH,20200609,10.61,10.75,10.59,10.66,10.6,0.06,0.566,96587.89,103096.563
26,601198.SH,20200608,10.73,10.74,10.57,10.6,10.66,-0.06,-0.5629,84797.25,90262.578
27,601198.SH,20200605,10.64,10.69,10.53,10.66,10.64,0.02,0.188,100906.95,107157.072
28,601198.SH,20200604,10.68,10.74,10.58,10.64,10.64,0.0,0.0,74797.33,79732.349
29,601198.SH,20200603,10.81,10.89,10.64,10.64,10.81,-0.17,-1.5726,113115.54,121683.303
30,601198.SH,20200602,10.79,10.92,10.77,10.81,10.85,-0.04,-0.3687,112394.5,121737.657
31,601198.SH,20200601,10.69,10.92,10.66,10.85,10.48,0.37,3.5305,209019.95,225576.115
32,601198.SH,20200529,10.4,10.48,10.37,10.48,10.45,0.03,0.2871,65726.54,68508.113
33,601198.SH,20200528,10.34,10.57,10.3,10.45,10.28,0.17,1.6537,122038.39,127407.524
34,601198.SH,20200527,10.39,10.39,10.26,10.28,10.38,-0.1,-0.9634,58680.8,60515.37
35,601198.SH,20200526,10.28,10.38,10.27,10.38,10.25,0.13,1.2683,70963.82,73368.412
36,601198.SH,20200525,10.28,10.35,10.22,10.25,10.28,-0.03,-0.2918,60756.56,62374.271
37,601198.SH,20200522,10.46,10.53,10.27,10.28,10.47,-0.19,-1.8147,95294.09,98788.668
38,601198.SH,20200521,10.64,10.67,10.45,10.47,10.61,-0.14,-1.3195,93909.0,99160.445
39,601198.SH,20200520,10.73,10.79,10.59,10.61,10.78,-0.17,-1.577,100697.39,107514.921
40,601198.SH,20200519,10.86,10.87,10.73,10.78,10.75,0.03,0.2791,70678.81,76269.28
41,601198.SH,20200518,10.7,10.9,10.7,10.75,10.73,0.02,0.1864,76152.08,82202.266
42,601198.SH,20200515,10.8,10.85,10.69,10.73,10.75,-0.02,-0.186,70425.07,75819.095
43,601198.SH,20200514,10.83,10.89,10.74,10.75,10.9,-0.15,-1.3761,68422.62,73934.602
44,601198.SH,20200513,10.8,10.92,10.74,10.9,10.82,0.08,0.7394,88286.58,95867.262
45,601198.SH,20200512,10.86,10.89,10.7,10.82,10.83,-0.01,-0.0923,93242.95,100662.967
46,601198.SH,20200511,10.99,11.0,10.74,10.83,10.95,-0.12,-1.0959,122813.96,133644.598
47,601198.SH,20200508,10.88,11.1,10.8,10.95,10.75,0.2,1.8605,180743.91,197936.923
48,601198.SH,20200507,10.79,10.94,10.72,10.75,10.83,-0.08,-0.7387,106714.14,115432.117
49,601198.SH,20200506,10.51,10.87,10.5,10.83,10.72,0.11,1.0261,129319.86,138296.044
50,601198.SH,20200430,10.49,10.76,10.49,10.72,10.49,0.23,2.1926,132805.77,141702.035
51,601198.SH,20200429,10.36,10.56,10.33,10.49,10.43,0.06,0.5753,71252.14,74645.778
52,601198.SH,20200428,10.49,10.59,10.2,10.43,10.38,0.05,0.4817,122500.71,127896.812
53,601198.SH,20200427,10.45,10.54,10.38,10.38,10.45,-0.07,-0.6699,72435.93,75671.903
54,601198.SH,20200424,10.68,10.7,10.39,10.45,10.67,-0.22,-2.0619,122400.01,128903.678
55,601198.SH,20200423,10.77,10.78,10.65,10.67,10.76,-0.09,-0.8364,75640.51,80989.389
56,601198.SH,20200422,10.68,10.77,10.63,10.76,10.74,0.02,0.1862,89027.6,95329.693
57,601198.SH,20200421,10.93,10.97,10.7,10.74,10.97,-0.23,-2.0966,139719.01,150717.3
58,601198.SH,20200420,10.97,11.02,10.91,10.97,10.95,0.02,0.1826,85862.27,94049.978
59,601198.SH,20200417,11.05,11.09,10.93,10.95,10.98,-0.03,-0.2732,121166.06,133547.383
60,601198.SH,20200416,10.9,11.1,10.88,10.98,10.96,0.02,0.1825,122822.03,134973.946
61,601198.SH,20200415,11.13,11.16,10.95,10.96,11.16,-0.2,-1.7921,125599.76,138968.27
62,601198.SH,20200414,11.04,11.25,10.96,11.16,11.0,0.16,1.4545,157544.41,174830.595
63,601198.SH,20200413,10.86,11.06,10.86,11.0,10.93,0.07,0.6404,99349.35,108642.996
64,601198.SH,20200410,11.1,11.18,10.91,10.93,11.15,-0.22,-1.9731,117361.4,129408.269
65,601198.SH,20200409,11.17,11.3,11.12,11.15,11.07,0.08,0.7227,147564.55,165298.819
66,601198.SH,20200408,11.05,11.12,11.01,11.07,11.12,-0.05,-0.4496,97663.81,108038.19
67,601198.SH,20200407,11.15,11.18,11.02,11.12,10.9,0.22,2.0183,155403.92,172376.561
68,601198.SH,20200403,11.0,11.03,10.86,10.9,11.04,-0.14,-1.2681,72454.03,79194.244
69,601198.SH,20200402,10.82,11.04,10.8,11.04,10.85,0.19,1.7512,88760.61,96980.7
70,601198.SH,20200401,10.89,11.06,10.84,10.85,10.91,-0.06,-0.55,90724.62,99317.239
71,601198.SH,20200331,11.09,11.1,10.91,10.91,10.97,-0.06,-0.5469,78232.91,86096.893
72,601198.SH,20200330,11.02,11.07,10.85,10.97,11.16,-0.19,-1.7025,109927.71,120382.952
73,601198.SH,20200327,11.27,11.38,11.13,11.16,11.14,0.02,0.1795,128127.99,143977.671
74,601198.SH,20200326,11.22,11.26,11.12,11.14,11.31,-0.17,-1.5031,94343.05,105526.337
75,601198.SH,20200325,11.3,11.37,11.2,11.31,11.11,0.2,1.8002,160106.96,180902.971
76,601198.SH,20200324,11.09,11.16,10.87,11.11,10.88,0.23,2.114,157630.13,174109.914
77,601198.SH,20200323,10.97,11.08,10.83,10.88,11.26,-0.38,-3.3748,155785.75,170748.522
78,601198.SH,20200320,11.16,11.27,11.01,11.26,11.13,0.13,1.168,174613.0,194984.074
79,601198.SH,20200319,10.9,11.26,10.75,11.13,10.86,0.27,2.4862,264414.76,290500.661
80,601198.SH,20200318,11.28,11.36,10.83,10.86,11.2,-0.34,-3.0357,210652.95,235095.306
81,601198.SH,20200317,11.3,11.42,10.89,11.2,11.11,0.09,0.8101,224927.54,251468.113
82,601198.SH,20200316,11.89,11.94,11.11,11.11,11.87,-0.76,-6.4027,306637.95,354138.622
83,601198.SH,20200313,11.42,12.05,11.32,11.87,12.0,-0.13,-1.0833,302715.15,352886.677
84,601198.SH,20200312,12.1,12.25,11.86,12.0,12.22,-0.22,-1.8003,254968.46,306810.847
85,601198.SH,20200311,12.48,12.6,12.2,12.22,12.53,-0.31,-2.4741,235724.75,292598.98
86,601198.SH,20200310,12.19,12.61,12.02,12.53,12.19,0.34,2.7892,332046.98,410641.553
87,601198.SH,20200309,12.38,12.62,12.08,12.19,12.6,-0.41,-3.254,351854.74,434552.84
88,601198.SH,20200306,12.91,12.98,12.57,12.6,13.16,-0.56,-4.2553,434717.63,553646.458
89,601198.SH,20200305,13.2,13.44,12.81,13.16,12.95,0.21,1.6216,621772.48,817594.461
90,601198.SH,20200304,12.57,12.96,12.54,12.95,12.67,0.28,2.2099,370638.31,474175.942
91,601198.SH,20200303,12.85,12.98,12.53,12.67,12.64,0.03,0.2373,362700.03,463640.725
92,601198.SH,20200302,12.16,12.77,12.08,12.64,12.09,0.55,4.5492,367029.89,456622.39
93,601198.SH,20200228,12.28,12.53,11.86,12.09,12.73,-0.64,-5.0275,376601.32,459174.253
94,601198.SH,20200227,12.88,13.07,12.65,12.73,12.79,-0.06,-0.4691,314235.55,404031.379
95,601198.SH,20200226,12.68,13.1,12.61,12.79,12.91,-0.12,-0.9295,439885.67,567781.173
96,601198.SH,20200225,12.58,12.98,12.37,12.91,12.81,0.1,0.7806,430626.47,548274.676
97,601198.SH,20200224,12.64,12.99,12.61,12.81,12.81,0.0,0.0,349638.91,447532.504
98,601198.SH,20200221,12.85,13.27,12.7,12.81,12.91,-0.1,-0.7746,496762.45,642525.318
99,601198.SH,20200220,12.38,13.06,12.2,12.91,12.26,0.65,5.3018,500509.33,633402.34
100,601198.SH,20200219,12.2,12.62,12.18,12.26,12.26,0.0,0.0,262473.56,325429.007
101,601198.SH,20200218,12.3,12.43,12.15,12.26,12.31,-0.05,-0.4062,234261.44,287344.903
102,601198.SH,20200217,11.98,12.42,11.89,12.31,11.73,0.58,4.9446,344233.88,417802.804
103,601198.SH,20200214,11.59,11.94,11.55,11.73,11.64,0.09,0.7732,225973.3,265702.87
104,601198.SH,20200213,11.82,11.98,11.58,11.64,11.82,-0.18,-1.5228,201324.85,236109.274
105,601198.SH,20200212,11.52,11.9,11.5,11.82,11.57,0.25,2.1608,212890.35,249866.873
106,601198.SH,20200211,11.7,11.94,11.5,11.57,11.69,-0.12,-1.0265,215142.87,252229.47
107,601198.SH,20200210,11.35,11.73,11.34,11.69,11.46,0.23,2.007,223308.27,258644.177
108,601198.SH,20200207,11.46,11.54,11.28,11.46,11.37,0.09,0.7916,233316.69,266048.027
109,601198.SH,20200206,11.19,11.51,11.1,11.37,11.16,0.21,1.8817,271086.36,305994.743
110,601198.SH,20200205,11.01,11.47,10.94,11.16,10.95,0.21,1.9178,252551.68,282846.327
111,601198.SH,20200204,10.5,11.04,10.5,10.95,11.04,-0.09,-0.8152,373656.22,405928.641
112,601198.SH,20200203,11.04,11.04,11.04,11.04,12.27,-1.23,-10.0244,62952.0,69499.008
113,601198.SH,20200123,12.69,12.85,12.02,12.27,12.82,-0.55,-4.2902,246492.65,306955.847
114,601198.SH,20200122,12.6,12.93,12.43,12.82,12.7,0.12,0.9449,202224.05,256888.715
115,601198.SH,20200121,12.9,13.0,12.68,12.7,12.91,-0.21,-1.6266,186884.96,239695.122
116,601198.SH,20200120,12.76,12.93,12.7,12.91,12.75,0.16,1.2549,163545.91,210308.538
117,601198.SH,20200117,12.7,12.94,12.7,12.75,12.68,0.07,0.5521,164587.91,210885.237
118,601198.SH,20200116,12.75,12.85,12.61,12.68,12.78,-0.1,-0.7825,147594.14,188060.385
119,601198.SH,20200115,12.7,12.85,12.67,12.78,12.73,0.05,0.3928,160633.12,205084.299
120,601198.SH,20200114,12.96,13.05,12.72,12.73,12.96,-0.23,-1.7747,207590.85,267044.91
121,601198.SH,20200113,12.53,12.98,12.36,12.96,12.56,0.4,3.1847,312530.66,396877.521
122,601198.SH,20200110,12.66,12.77,12.48,12.56,12.66,-0.1,-0.7899,245135.34,309337.628
123,601198.SH,20200109,12.76,12.88,12.57,12.66,12.52,0.14,1.1182,228987.86,291299.473
124,601198.SH,20200108,12.86,12.9,12.51,12.52,13.04,-0.52,-3.9877,337366.61,428524.967
125,601198.SH,20200107,12.88,13.11,12.83,13.04,12.85,0.19,1.4786,305070.5,395585.226
126,601198.SH,20200106,12.75,13.14,12.69,12.85,12.94,-0.09,-0.6955,331301.28,427511.63
127,601198.SH,20200103,13.06,13.18,12.89,12.94,13.08,-0.14,-1.0703,321981.83,419480.233
128,601198.SH,20200102,13.35,13.49,13.05,13.08,13.14,-0.06,-0.4566,492013.18,652567.644
129,601198.SH,20191231,13.15,13.33,12.93,13.14,13.2,-0.06,-0.4545,482399.45,633949.404
130,601198.SH,20191230,12.23,13.54,12.22,13.2,12.33,0.87,7.056,758878.16,988645.073
131,601198.SH,20191227,12.8,12.96,12.28,12.33,12.92,-0.59,-4.5666,652732.99,827486.789
132,601198.SH,20191226,12.2,13.0,12.15,12.92,12.15,0.77,6.3374,705121.38,895426.9
133,601198.SH,20191225,11.99,12.38,11.86,12.15,12.1,0.05,0.4132,358323.34,433302.46
134,601198.SH,20191224,12.0,12.14,11.72,12.1,12.0,0.1,0.8333,344267.02,410902.671
135,601198.SH,20191223,12.6,12.73,12.0,12.0,12.82,-0.82,-6.3963,677862.78,839702.981
136,601198.SH,20191220,11.98,13.16,11.98,12.82,11.96,0.86,7.1906,1084846.44,1396430.087
137,601198.SH,20191219,11.93,12.05,11.83,11.96,11.94,0.02,0.1675,234061.02,279057.413
138,601198.SH,20191218,11.79,12.1,11.72,11.94,11.8,0.14,1.1864,393061.39,468645.698
139,601198.SH,20191217,11.45,12.22,11.43,11.8,11.48,0.32,2.7875,490633.47,581808.723
140,601198.SH,20191216,11.3,11.53,11.2,11.48,11.28,0.2,1.773,267002.26,303474.696
141,601198.SH,20191213,10.98,11.4,10.93,11.28,10.84,0.44,4.059,311846.01,348143.665
142,601198.SH,20191212,10.92,10.93,10.82,10.84,10.92,-0.08,-0.7326,58828.17,63913.258
143,601198.SH,20191211,10.91,11.04,10.84,10.92,10.91,0.01,0.0917,91228.89,99800.14
144,601198.SH,20191210,10.95,10.95,10.79,10.91,10.96,-0.05,-0.4562,77522.72,84284.133
145,601198.SH,20191209,11.05,11.08,10.93,10.96,11.01,-0.05,-0.4541,70481.37,77355.314
146,601198.SH,20191206,11.0,11.05,10.9,11.01,11.02,-0.01,-0.0907,76078.13,83408.151
147,601198.SH,20191205,10.95,11.07,10.93,11.02,10.91,0.11,1.0082,105434.08,115917.033
