,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000686.SZ,20200716,11.16,11.65,10.7,10.78,11.17,-0.39,-3.4915,1103407.76,1235179.084
1,000686.SZ,20200715,11.74,11.8,11.05,11.17,11.61,-0.44,-3.7898,923271.13,1048806.595
2,000686.SZ,20200714,11.53,11.78,11.36,11.61,11.6,0.01,0.0862,958374.5,1106816.695
3,000686.SZ,20200713,11.31,11.88,11.26,11.6,11.44,0.16,1.3986,1123661.05,1302958.57
4,000686.SZ,20200710,11.51,11.85,11.38,11.44,11.74,-0.3,-2.5554,1246565.88,1441773.991
5,000686.SZ,20200709,11.53,12.28,11.22,11.74,11.44,0.3,2.6224,2113115.08,2494839.31
6,000686.SZ,20200708,10.35,11.44,10.34,11.44,10.4,1.04,10.0,1834995.34,2051654.877
7,000686.SZ,20200707,10.88,10.94,10.28,10.4,10.86,-0.46,-4.2357,1336703.26,1413924.944
8,000686.SZ,20200706,10.22,10.86,10.04,10.86,9.88,0.98,9.919,1545044.84,1623651.394
9,000686.SZ,20200703,9.3,9.98,9.25,9.88,9.24,0.64,6.9264,1384318.65,1322697.377
10,000686.SZ,20200702,8.61,9.35,8.59,9.24,8.61,0.63,7.3171,970704.34,870483.17
11,000686.SZ,20200701,8.42,8.62,8.38,8.61,8.45,0.16,1.8935,377812.61,322110.18
12,000686.SZ,20200630,8.28,8.53,8.25,8.45,8.24,0.21,2.5485,345738.94,289864.731
13,000686.SZ,20200629,8.49,8.49,8.17,8.24,8.56,-0.32,-3.7383,377946.31,312892.554
14,000686.SZ,20200624,8.74,8.84,8.63,8.66,8.74,-0.08,-0.9153,310275.34,270088.787
15,000686.SZ,20200623,8.58,8.76,8.49,8.74,8.62,0.12,1.3921,471974.06,407842.296
16,000686.SZ,20200622,8.4,8.94,8.39,8.62,8.45,0.17,2.0118,694440.21,603211.74
17,000686.SZ,20200619,8.2,8.53,8.18,8.45,8.22,0.23,2.7981,541741.55,453057.307
18,000686.SZ,20200618,8.09,8.29,8.07,8.22,8.1,0.12,1.4815,273113.71,223658.309
19,000686.SZ,20200617,8.12,8.14,8.05,8.1,8.13,-0.03,-0.369,139809.43,113113.503
20,000686.SZ,20200616,8.05,8.13,8.05,8.13,8.01,0.12,1.4981,167971.21,135886.686
21,000686.SZ,20200615,8.08,8.19,8.0,8.01,8.03,-0.02,-0.2491,217599.39,176062.935
22,000686.SZ,20200612,7.96,8.1,7.94,8.03,8.09,-0.06,-0.7417,182999.99,146665.371
23,000686.SZ,20200611,8.16,8.26,8.05,8.09,8.16,-0.07,-0.8578,212119.68,172907.017
24,000686.SZ,20200610,8.24,8.24,8.12,8.16,8.26,-0.1,-1.2107,148591.79,121248.291
25,000686.SZ,20200609,8.21,8.31,8.2,8.26,8.19,0.07,0.8547,166431.23,137423.648
26,000686.SZ,20200608,8.36,8.36,8.18,8.19,8.28,-0.09,-1.087,159107.77,131344.127
27,000686.SZ,20200605,8.26,8.32,8.16,8.28,8.27,0.01,0.1209,218632.33,180051.084
28,000686.SZ,20200604,8.34,8.38,8.24,8.27,8.27,0.0,0.0,184100.63,152722.017
29,000686.SZ,20200603,8.45,8.5,8.25,8.27,8.42,-0.15,-1.7815,243791.54,204379.068
30,000686.SZ,20200602,8.38,8.5,8.38,8.42,8.39,0.03,0.3576,283660.48,239206.697
31,000686.SZ,20200601,8.2,8.44,8.16,8.39,8.0,0.39,4.875,417862.26,347653.551
32,000686.SZ,20200529,7.95,8.01,7.93,8.0,8.01,-0.01,-0.1248,95839.22,76428.88
33,000686.SZ,20200528,7.9,8.12,7.89,8.01,7.88,0.13,1.6497,183024.84,146656.468
34,000686.SZ,20200527,7.99,7.99,7.86,7.88,7.99,-0.11,-1.3767,98305.88,77769.808
35,000686.SZ,20200526,7.92,8.0,7.92,7.99,7.9,0.09,1.1392,108497.93,86383.467
36,000686.SZ,20200525,7.91,7.95,7.84,7.9,7.89,0.01,0.1267,93586.2,73804.598
37,000686.SZ,20200522,8.11,8.14,7.77,7.89,8.1,-0.21,-2.5926,184942.64,148111.226
38,000686.SZ,20200521,8.16,8.19,8.1,8.1,8.14,-0.04,-0.4914,111245.5,90634.473
39,000686.SZ,20200520,8.15,8.2,8.11,8.14,8.15,-0.01,-0.1227,117546.23,95896.1
40,000686.SZ,20200519,8.2,8.23,8.12,8.15,8.1,0.05,0.6173,111894.92,91342.932
41,000686.SZ,20200518,8.2,8.21,8.1,8.1,8.17,-0.07,-0.8568,142758.94,116406.804
42,000686.SZ,20200515,8.21,8.26,8.17,8.17,8.17,0.0,0.0,118811.43,97528.514
43,000686.SZ,20200514,8.25,8.26,8.16,8.17,8.31,-0.14,-1.6847,158315.78,129944.446
44,000686.SZ,20200513,8.3,8.35,8.24,8.31,8.32,-0.01,-0.1202,119259.51,98872.978
45,000686.SZ,20200512,8.35,8.38,8.23,8.32,8.29,0.03,0.3619,157165.14,130734.47
46,000686.SZ,20200511,8.35,8.39,8.22,8.29,8.33,-0.04,-0.4802,185607.57,154069.558
47,000686.SZ,20200508,8.21,8.43,8.16,8.33,8.13,0.2,2.46,310163.81,257433.429
48,000686.SZ,20200507,8.17,8.25,8.13,8.13,8.19,-0.06,-0.7326,179736.08,147051.146
49,000686.SZ,20200506,8.03,8.2,7.99,8.19,8.15,0.04,0.4908,190304.85,154096.443
50,000686.SZ,20200430,7.98,8.16,7.95,8.15,7.91,0.24,3.0341,211844.49,171388.094
51,000686.SZ,20200429,7.81,8.02,7.77,7.91,7.82,0.09,1.1509,161054.85,127557.322
52,000686.SZ,20200428,7.87,7.95,7.68,7.82,7.78,0.04,0.5141,217627.48,170555.315
53,000686.SZ,20200427,7.93,7.99,7.76,7.78,7.94,-0.16,-2.0151,203597.61,160566.338
54,000686.SZ,20200424,8.12,8.16,7.9,7.94,8.13,-0.19,-2.337,198721.56,159194.515
55,000686.SZ,20200423,8.21,8.23,8.12,8.13,8.21,-0.08,-0.9744,125178.13,102134.306
56,000686.SZ,20200422,8.14,8.22,8.12,8.21,8.2,0.01,0.122,140314.71,114620.391
57,000686.SZ,20200421,8.33,8.34,8.15,8.2,8.36,-0.16,-1.9139,194502.24,159802.514
58,000686.SZ,20200420,8.37,8.39,8.33,8.36,8.35,0.01,0.1198,136416.45,113937.109
59,000686.SZ,20200417,8.4,8.43,8.33,8.35,8.33,0.02,0.2401,240988.57,202095.588
60,000686.SZ,20200416,8.27,8.42,8.26,8.33,8.3,0.03,0.3614,218926.34,182514.711
61,000686.SZ,20200415,8.38,8.44,8.29,8.3,8.43,-0.13,-1.5421,212368.6,177668.139
62,000686.SZ,20200414,8.31,8.48,8.26,8.43,8.26,0.17,2.0581,248822.08,208318.484
63,000686.SZ,20200413,8.34,8.35,8.22,8.26,8.37,-0.11,-1.3142,156182.68,129375.86
64,000686.SZ,20200410,8.51,8.53,8.34,8.37,8.48,-0.11,-1.2972,228761.84,192726.332
65,000686.SZ,20200409,8.45,8.63,8.43,8.48,8.36,0.12,1.4354,325274.53,277541.45
66,000686.SZ,20200408,8.36,8.44,8.32,8.36,8.43,-0.07,-0.8304,209898.9,175531.63
67,000686.SZ,20200407,8.33,8.46,8.28,8.43,8.19,0.24,2.9304,308608.45,258136.267
68,000686.SZ,20200403,8.33,8.35,8.16,8.19,8.38,-0.19,-2.2673,206407.16,170216.377
