,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601555.SH,20200716,10.42,10.69,9.9,9.95,10.4,-0.45,-4.3269,1133648.37,1173646.296
1,601555.SH,20200715,10.96,11.0,10.32,10.4,10.79,-0.39,-3.6145,1041777.22,1107942.501
2,601555.SH,20200714,10.95,11.05,10.55,10.79,11.01,-0.22,-1.9982,1105179.08,1196346.587
3,601555.SH,20200713,10.73,11.27,10.69,11.01,10.92,0.09,0.8242,1414240.64,1553250.141
4,601555.SH,20200710,10.98,11.31,10.85,10.92,11.31,-0.39,-3.4483,1439463.59,1588767.421
5,601555.SH,20200709,10.69,11.76,10.41,11.31,10.69,0.62,5.7998,2381191.74,2670859.193
6,601555.SH,20200708,10.13,10.95,10.13,10.69,10.17,0.52,5.1131,1748219.95,1846386.544
7,601555.SH,20200707,10.67,10.77,10.09,10.17,10.67,-0.5,-4.686,2031568.16,2114115.42
8,601555.SH,20200706,10.03,10.67,9.9,10.67,9.7,0.97,10.0,2218647.9,2303808.805
9,601555.SH,20200703,9.13,9.78,9.09,9.7,9.03,0.67,7.4197,2067335.23,1944671.007
10,601555.SH,20200702,8.48,9.14,8.43,9.03,8.4,0.63,7.5,1482683.81,1303000.994
11,601555.SH,20200701,8.15,8.4,8.11,8.4,8.16,0.24,2.9412,723854.71,598487.69
12,601555.SH,20200630,8.03,8.26,7.97,8.16,7.99,0.17,2.1277,552205.26,447389.183
13,601555.SH,20200629,8.14,8.15,7.92,7.99,8.29,-0.3,-3.6188,638533.11,511730.843
14,601555.SH,20200624,8.38,8.49,8.26,8.29,8.39,-0.1,-1.1919,474281.22,395519.477
15,601555.SH,20200623,8.24,8.44,8.16,8.39,8.26,0.13,1.5738,724410.6,600339.642
16,601555.SH,20200622,8.14,8.63,8.12,8.26,8.17,0.09,1.1016,1186917.97,993724.03
17,601555.SH,20200619,7.94,8.26,7.9,8.17,8.01,0.16,1.9975,1101029.54,888037.769
18,601555.SH,20200618,7.59,8.34,7.56,8.01,7.58,0.43,5.6728,1220946.61,985875.167
19,601555.SH,20200617,7.6,7.64,7.53,7.58,7.6,-0.02,-0.2632,174243.88,132020.552
20,601555.SH,20200616,7.56,7.62,7.54,7.6,7.51,0.09,1.1984,188737.83,143103.041
21,601555.SH,20200615,7.6,7.72,7.51,7.51,7.56,-0.05,-0.6614,261959.39,199450.153
22,601555.SH,20200612,7.44,7.61,7.41,7.56,7.57,-0.01,-0.1321,215389.72,162013.226
23,601555.SH,20200611,7.61,7.73,7.56,7.57,7.61,-0.04,-0.5256,233875.57,178161.825
24,601555.SH,20200610,7.66,7.68,7.58,7.61,7.69,-0.08,-1.0403,148851.22,113497.81
25,601555.SH,20200609,7.77,7.9,7.73,7.82,7.77,0.05,0.6435,251325.14,196608.764
26,601555.SH,20200608,7.82,7.85,7.76,7.77,7.79,-0.02,-0.2567,162760.2,126861.729
27,601555.SH,20200605,7.76,7.82,7.67,7.79,7.76,0.03,0.3866,218728.68,169565.265
28,601555.SH,20200604,7.82,7.85,7.75,7.76,7.77,-0.01,-0.1287,191972.92,149462.477
29,601555.SH,20200603,7.9,7.93,7.77,7.77,7.85,-0.08,-1.0191,244921.83,192149.357
30,601555.SH,20200602,7.86,7.95,7.81,7.85,7.88,-0.03,-0.3807,283862.74,223319.219
31,601555.SH,20200601,7.79,7.95,7.73,7.88,7.53,0.35,4.6481,518213.03,406642.212
32,601555.SH,20200529,7.51,7.57,7.49,7.53,7.55,-0.02,-0.2649,130428.48,98390.989
33,601555.SH,20200528,7.47,7.7,7.46,7.55,7.46,0.09,1.2064,233045.7,176539.471
34,601555.SH,20200527,7.54,7.55,7.44,7.46,7.55,-0.09,-1.1921,110146.61,82495.139
35,601555.SH,20200526,7.47,7.56,7.46,7.55,7.43,0.12,1.6151,122574.01,92143.357
36,601555.SH,20200525,7.46,7.52,7.39,7.43,7.46,-0.03,-0.4021,129270.95,96244.086
37,601555.SH,20200522,7.62,7.66,7.46,7.46,7.63,-0.17,-2.228,189122.54,142843.508
38,601555.SH,20200521,7.7,7.73,7.61,7.63,7.67,-0.04,-0.5215,156367.02,120021.926
39,601555.SH,20200520,7.72,7.76,7.65,7.67,7.73,-0.06,-0.7762,155137.77,119452.283
40,601555.SH,20200519,7.78,7.79,7.69,7.73,7.69,0.04,0.5202,169067.09,130795.119
41,601555.SH,20200518,7.7,7.77,7.67,7.69,7.72,-0.03,-0.3886,135783.47,104844.153
42,601555.SH,20200515,7.78,7.81,7.71,7.72,7.73,-0.01,-0.1294,137121.99,106293.138
43,601555.SH,20200514,7.78,7.81,7.71,7.73,7.83,-0.1,-1.2771,172198.09,133718.444
44,601555.SH,20200513,7.79,7.88,7.77,7.83,7.85,-0.02,-0.2548,146974.52,115042.597
45,601555.SH,20200512,7.94,7.96,7.74,7.85,7.88,-0.03,-0.3807,236107.92,185076.64
46,601555.SH,20200511,7.93,8.0,7.82,7.88,7.93,-0.05,-0.6305,247266.31,195593.791
47,601555.SH,20200508,7.83,8.02,7.79,7.93,7.76,0.17,2.1907,444871.4,352660.159
48,601555.SH,20200507,7.79,7.86,7.76,7.76,7.8,-0.04,-0.5128,195431.98,152428.496
49,601555.SH,20200506,7.61,7.8,7.58,7.8,7.73,0.07,0.9056,238525.29,183705.54
50,601555.SH,20200430,7.56,7.76,7.56,7.73,7.52,0.21,2.7926,291176.5,223866.774
51,601555.SH,20200429,7.41,7.59,7.4,7.52,7.46,0.06,0.8043,189038.9,142131.273
52,601555.SH,20200428,7.51,7.6,7.31,7.46,7.45,0.01,0.1342,277419.56,207745.446
53,601555.SH,20200427,7.55,7.63,7.45,7.45,7.56,-0.11,-1.455,208792.42,157576.388
54,601555.SH,20200424,7.74,7.76,7.53,7.56,7.76,-0.2,-2.5773,245258.05,187283.735
55,601555.SH,20200423,7.83,7.83,7.74,7.76,7.82,-0.06,-0.7673,185885.69,144602.966
56,601555.SH,20200422,7.71,7.82,7.71,7.82,7.77,0.05,0.6435,197795.22,153689.138
57,601555.SH,20200421,7.88,7.9,7.73,7.77,7.92,-0.15,-1.8939,273077.84,212855.715
58,601555.SH,20200420,7.94,7.95,7.89,7.92,7.92,0.0,0.0,176300.57,139537.387
59,601555.SH,20200417,7.99,8.0,7.9,7.92,7.92,0.0,0.0,280553.02,223057.508
60,601555.SH,20200416,7.85,8.01,7.81,7.92,7.89,0.03,0.3802,311076.78,246368.424
61,601555.SH,20200415,7.97,8.05,7.89,7.89,8.01,-0.12,-1.4981,304355.35,242125.919
62,601555.SH,20200414,7.89,8.05,7.81,8.01,7.82,0.19,2.4297,350151.14,277756.426
63,601555.SH,20200413,7.89,7.92,7.79,7.82,7.93,-0.11,-1.3871,243076.06,190663.893
64,601555.SH,20200410,8.07,8.12,7.9,7.93,8.12,-0.19,-2.3399,356293.67,285061.732
65,601555.SH,20200409,8.13,8.29,8.11,8.12,8.06,0.06,0.7444,432755.23,354527.319
