,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600958.SH,20200716,12.46,13.13,11.98,12.04,12.67,-0.63,-4.9724,1456554.75,1843888.274
1,600958.SH,20200715,12.8,13.45,12.64,12.67,12.62,0.05,0.3962,1555420.91,2031077.042
2,600958.SH,20200714,12.72,12.95,12.43,12.62,12.79,-0.17,-1.3292,773489.48,981273.265
3,600958.SH,20200713,12.65,13.13,12.47,12.79,12.67,0.12,0.9471,1032794.99,1321584.447
4,600958.SH,20200710,12.82,13.11,12.64,12.67,13.15,-0.48,-3.6502,1031863.57,1326179.24
5,600958.SH,20200709,12.95,13.8,12.6,13.15,13.07,0.08,0.6121,1725198.12,2269473.775
6,600958.SH,20200708,11.98,13.2,11.88,13.07,12.0,1.07,8.9167,1629681.69,2064264.981
7,600958.SH,20200707,12.53,12.6,11.72,12.0,12.28,-0.28,-2.2801,1671371.46,2035140.128
8,600958.SH,20200706,11.67,12.28,11.55,12.28,11.16,1.12,10.0358,1721944.92,2075724.217
9,600958.SH,20200703,10.59,11.17,10.47,11.16,10.4,0.76,7.3077,1452888.63,1567066.892
10,600958.SH,20200702,9.76,10.44,9.7,10.4,9.68,0.72,7.438,1060980.42,1075853.178
11,600958.SH,20200701,9.45,9.75,9.43,9.68,9.49,0.19,2.0021,478467.58,461431.639
12,600958.SH,20200630,9.33,9.67,9.22,9.49,9.22,0.27,2.9284,361961.01,340995.151
13,600958.SH,20200629,9.41,9.42,9.2,9.22,9.48,-0.26,-2.7426,254966.86,236280.313
14,600958.SH,20200624,9.73,9.84,9.61,9.63,9.74,-0.11,-1.1294,276046.65,267421.399
15,600958.SH,20200623,9.57,9.74,9.51,9.74,9.57,0.17,1.7764,429932.53,413930.844
16,600958.SH,20200622,9.39,9.85,9.36,9.57,9.38,0.19,2.0256,640164.75,617837.115
17,600958.SH,20200619,9.19,9.45,9.16,9.38,9.19,0.19,2.0675,451811.26,421222.08
