,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601881.SH,20200716,14.31,14.81,13.59,13.6,14.31,-0.71,-4.9616,957511.48,1365939.207
1,601881.SH,20200715,15.15,15.25,14.2,14.31,15.03,-0.72,-4.7904,1001526.21,1463696.839
2,601881.SH,20200714,15.0,15.31,14.83,15.19,15.19,0.0,0.0,1007323.87,1518915.686
3,601881.SH,20200713,15.03,15.53,14.6,15.19,15.03,0.16,1.0645,1499619.89,2267273.05
4,601881.SH,20200710,15.68,15.7,15.0,15.03,16.1,-1.07,-6.646,1758967.29,2695697.357
5,601881.SH,20200709,16.2,16.67,15.67,16.1,16.7,-0.6,-3.5928,1918384.73,3092857.438
6,601881.SH,20200708,15.35,17.1,15.3,16.7,15.55,1.15,7.3955,1779015.32,2855761.585
7,601881.SH,20200707,15.7,16.64,14.77,15.55,15.13,0.42,2.7759,2524100.81,3937837.535
8,601881.SH,20200706,14.76,15.13,14.16,15.13,13.75,1.38,10.0364,1493322.57,2233502.427
9,601881.SH,20200703,12.71,13.75,12.7,13.75,12.5,1.25,10.0,2019635.16,2682573.457
10,601881.SH,20200702,11.77,12.74,11.71,12.5,11.95,0.55,4.6025,1906613.42,2334513.896
11,601881.SH,20200701,11.35,12.16,11.35,11.95,11.47,0.48,4.1848,1126892.78,1340097.897
12,601881.SH,20200630,11.2,11.89,11.1,11.47,11.28,0.19,1.6844,773412.41,883641.475
13,601881.SH,20200629,11.68,12.0,10.89,11.28,11.54,-0.26,-2.253,1052788.98,1179904.832
14,601881.SH,20200624,11.42,11.65,11.21,11.54,11.44,0.1,0.8741,713911.47,814205.55
15,601881.SH,20200623,11.08,11.53,10.98,11.44,11.11,0.33,2.9703,974807.17,1097182.692
16,601881.SH,20200622,10.58,11.55,10.48,11.11,10.5,0.61,5.8095,1586471.87,1776757.938
17,601881.SH,20200619,9.77,10.55,9.75,10.5,9.78,0.72,7.362,1025557.14,1045381.557
18,601881.SH,20200618,9.7,9.87,9.67,9.78,9.71,0.07,0.7209,229145.7,223960.372
19,601881.SH,20200617,9.74,9.76,9.67,9.71,9.75,-0.04,-0.4103,146646.5,142312.731
20,601881.SH,20200616,9.72,9.78,9.64,9.75,9.63,0.12,1.2461,222246.22,215760.753
21,601881.SH,20200615,9.68,9.86,9.62,9.63,9.68,-0.05,-0.5165,255297.36,248658.797
