,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601696.SH,20200716,36.29,37.5,33.01,33.47,35.85,-2.38,-6.6388,672670.32,2395375.643
1,601696.SH,20200715,38.11,39.19,35.8,35.85,38.7,-2.85,-7.3643,803001.76,2986529.073
2,601696.SH,20200714,36.98,40.81,36.5,38.7,37.1,1.6,4.3127,912308.29,3563628.658
3,601696.SH,20200713,36.5,39.0,34.56,37.1,37.92,-0.82,-2.1624,1088040.84,3981033.714
4,601696.SH,20200710,35.38,37.92,34.25,37.92,34.47,3.45,10.0087,1073890.1,3916502.245
5,601696.SH,20200709,32.66,35.91,31.5,34.47,32.65,1.82,5.5743,1200111.17,4083292.346
6,601696.SH,20200708,31.0,32.65,31.0,32.65,29.68,2.97,10.0067,556602.15,1787002.129
7,601696.SH,20200707,30.49,30.84,28.04,29.68,28.04,1.64,5.8488,1424435.97,4258939.794
8,601696.SH,20200706,28.04,28.04,27.2,28.04,25.49,2.55,10.0039,352889.94,988406.11
9,601696.SH,20200703,23.56,25.49,23.56,25.49,23.17,2.32,10.0129,1247942.74,3113838.793
10,601696.SH,20200702,21.4,23.55,21.36,23.17,21.47,1.7,7.918,752299.21,1692593.269
11,601696.SH,20200701,21.33,21.63,21.16,21.47,21.43,0.04,0.1867,287057.91,614291.696
12,601696.SH,20200630,21.15,21.96,20.88,21.43,21.0,0.43,2.0476,360081.4,768183.273
13,601696.SH,20200629,21.8,22.09,20.66,21.0,22.35,-1.35,-6.0403,446218.89,947554.1
14,601696.SH,20200624,23.2,23.5,22.21,22.35,23.05,-0.7,-3.0369,423789.73,964999.236
15,601696.SH,20200623,23.1,23.28,22.73,23.05,23.22,-0.17,-0.7321,394195.42,907214.476
16,601696.SH,20200622,23.1,24.72,22.88,23.22,23.4,-0.18,-0.7692,778817.14,1844987.188
17,601696.SH,20200619,22.42,23.96,22.18,23.4,22.39,1.01,4.5109,699396.94,1607531.324
18,601696.SH,20200618,22.12,22.82,22.05,22.39,22.2,0.19,0.8559,375697.98,843530.122
19,601696.SH,20200617,22.55,22.57,21.87,22.2,22.57,-0.37,-1.6393,336819.01,745907.836
20,601696.SH,20200616,22.2,22.66,21.96,22.57,21.91,0.66,3.0123,417843.93,933082.588
21,601696.SH,20200615,22.51,22.98,21.9,21.91,22.4,-0.49,-2.1875,482469.07,1086256.142
22,601696.SH,20200612,21.73,22.57,21.72,22.4,22.3,0.1,0.4484,418260.32,927777.748
23,601696.SH,20200611,22.79,23.36,22.3,22.3,22.9,-0.6,-2.6201,557816.93,1268777.341
24,601696.SH,20200610,22.58,23.08,22.39,22.9,22.9,0.0,0.0,377431.44,857850.17
25,601696.SH,20200609,22.81,23.32,22.62,22.9,22.86,0.04,0.175,566264.53,1302471.334
26,601696.SH,20200608,24.0,24.3,22.74,22.86,24.32,-1.46,-6.0033,754608.21,1757441.827
27,601696.SH,20200605,24.14,24.78,23.6,24.32,24.3,0.02,0.0823,807403.24,1952111.152
28,601696.SH,20200604,24.39,24.67,23.58,24.3,24.06,0.24,0.9975,806214.39,1943624.879
29,601696.SH,20200603,24.19,25.44,23.81,24.06,23.65,0.41,1.7336,1255076.91,3076060.257
30,601696.SH,20200602,24.0,24.87,23.42,23.65,22.61,1.04,4.5997,1369467.44,3318485.493
31,601696.SH,20200601,21.89,22.61,21.55,22.61,20.55,2.06,10.0243,478102.26,1062042.222
32,601696.SH,20200529,20.77,21.36,20.55,20.55,21.4,-0.85,-3.972,420808.44,879032.698
33,601696.SH,20200528,21.18,22.36,20.97,21.4,20.9,0.5,2.3923,622170.79,1343486.645
34,601696.SH,20200527,20.75,21.17,20.49,20.9,20.83,0.07,0.3361,348596.83,726253.578
35,601696.SH,20200526,20.23,20.88,20.12,20.83,20.07,0.76,3.7867,398823.19,818061.905
36,601696.SH,20200525,20.4,20.5,19.8,20.07,20.7,-0.63,-3.0435,386602.67,777531.939
37,601696.SH,20200522,21.3,21.96,20.7,20.7,21.67,-0.97,-4.4762,494495.1,1056155.519
38,601696.SH,20200521,22.47,22.59,21.41,21.67,22.55,-0.88,-3.9024,625164.91,1370108.12
39,601696.SH,20200520,22.58,23.66,22.32,22.55,22.54,0.01,0.0444,859575.79,1966458.078
40,601696.SH,20200519,22.4,22.72,22.07,22.54,21.68,0.86,3.9668,642579.96,1440884.731
41,601696.SH,20200518,22.39,22.77,21.58,21.68,22.76,-1.08,-4.7452,714239.54,1582791.182
42,601696.SH,20200515,22.5,23.38,22.23,22.76,22.22,0.54,2.4302,800639.5,1820051.535
43,601696.SH,20200514,21.96,22.92,21.78,22.22,22.24,-0.02,-0.0899,785842.44,1758797.512
44,601696.SH,20200513,21.26,22.89,21.04,22.24,21.46,0.78,3.6347,805129.75,1766330.64
45,601696.SH,20200512,21.34,21.52,20.59,21.46,21.49,-0.03,-0.1396,548704.11,1157127.695
46,601696.SH,20200511,21.06,21.59,20.81,21.49,20.99,0.5,2.3821,666865.87,1412493.767
47,601696.SH,20200508,20.16,21.88,19.61,20.99,19.89,1.1,5.5304,821727.34,1710625.249
48,601696.SH,20200507,19.53,20.3,19.45,19.89,19.53,0.36,1.8433,501165.49,997375.022
49,601696.SH,20200506,18.8,19.54,18.65,19.53,19.25,0.28,1.4545,448707.11,855243.121
50,601696.SH,20200430,18.5,19.6,18.5,19.25,18.46,0.79,4.2795,500542.01,955599.456
