,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601377.SH,20200716,8.86,9.17,8.31,8.47,8.89,-0.42,-4.7244,2890176.26,2543098.627
1,601377.SH,20200715,9.22,9.42,8.83,8.89,9.24,-0.35,-3.7879,3131441.2,2877257.404
2,601377.SH,20200714,9.47,9.63,8.95,9.24,9.8,-0.56,-5.7143,4419088.82,4119650.802
3,601377.SH,20200713,10.8,10.8,9.35,9.8,9.93,-0.13,-1.3092,6942766.14,6962817.885
4,601377.SH,20200710,9.93,9.93,9.93,9.93,9.03,0.9,9.9668,984600.37,977708.167
5,601377.SH,20200709,8.28,9.03,8.19,9.03,8.21,0.82,9.9878,2604393.97,2300484.557
6,601377.SH,20200708,7.89,8.48,7.88,8.21,7.91,0.3,3.7927,3806503.79,3104434.417
7,601377.SH,20200707,8.32,8.32,7.86,7.91,8.38,-0.47,-5.6086,3628548.54,2920573.166
8,601377.SH,20200706,8.0,8.45,7.87,8.38,7.69,0.69,8.9727,4335155.26,3551709.907
9,601377.SH,20200703,7.26,7.8,7.16,7.69,7.23,0.46,6.3624,3805999.78,2839354.04
10,601377.SH,20200702,6.75,7.36,6.71,7.23,6.84,0.39,5.7018,2735705.29,1935654.005
11,601377.SH,20200701,6.75,6.87,6.57,6.84,6.85,-0.01,-0.146,2101910.01,1416098.039
12,601377.SH,20200630,6.3,6.91,6.18,6.85,6.28,0.57,9.0764,2925207.16,1951535.737
13,601377.SH,20200629,6.14,6.54,5.97,6.28,6.15,0.13,2.1138,1581976.79,995544.302
14,601377.SH,20200624,6.21,6.3,6.13,6.15,6.19,-0.04,-0.6462,528031.17,327289.292
15,601377.SH,20200623,6.11,6.2,6.04,6.19,6.14,0.05,0.8143,693714.12,425111.507
16,601377.SH,20200622,5.94,6.35,5.9,6.14,5.9,0.24,4.0678,1339283.22,826578.913
17,601377.SH,20200619,5.79,5.96,5.77,5.9,5.78,0.12,2.0761,703018.58,412844.525
