,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000728.SZ,20200716,10.75,11.08,10.33,10.39,10.81,-0.42,-3.8853,837829.11,898536.174
1,000728.SZ,20200715,11.32,11.38,10.7,10.81,11.21,-0.4,-3.5682,781468.37,857174.299
2,000728.SZ,20200714,11.24,11.36,10.91,11.21,11.37,-0.16,-1.4072,907481.03,1012219.454
3,000728.SZ,20200713,11.5,11.71,10.98,11.37,11.35,0.02,0.1762,1317264.76,1495180.845
4,000728.SZ,20200710,11.02,12.1,10.91,11.35,11.19,0.16,1.4298,1440917.16,1672677.945
5,000728.SZ,20200709,11.04,11.66,10.68,11.19,10.88,0.31,2.8493,1458281.65,1645498.851
6,000728.SZ,20200708,10.2,11.17,10.18,10.88,10.28,0.6,5.8366,1341943.66,1435580.464
7,000728.SZ,20200707,10.91,10.91,10.21,10.28,10.71,-0.43,-4.0149,1140080.17,1193470.693
8,000728.SZ,20200706,10.0,10.72,9.9,10.71,9.75,0.96,9.8462,1479976.05,1536347.696
9,000728.SZ,20200703,9.23,9.83,9.12,9.75,9.17,0.58,6.325,1270397.06,1200665.078
10,000728.SZ,20200702,8.51,9.24,8.5,9.17,8.57,0.6,7.0012,875392.49,783071.333
11,000728.SZ,20200701,8.4,8.58,8.32,8.57,8.4,0.17,2.0238,399475.09,337550.883
12,000728.SZ,20200630,8.28,8.49,8.2,8.4,8.23,0.17,2.0656,391909.41,326511.718
13,000728.SZ,20200629,8.41,8.49,8.17,8.23,8.65,-0.42,-4.8555,443908.27,368029.691
14,000728.SZ,20200624,8.56,8.96,8.51,8.65,8.55,0.1,1.1696,579648.92,507001.218
15,000728.SZ,20200623,8.3,8.55,8.18,8.55,8.32,0.23,2.7644,492454.66,413721.67
16,000728.SZ,20200622,8.13,8.59,8.1,8.32,8.14,0.18,2.2113,568086.16,476525.869
17,000728.SZ,20200619,7.96,8.23,7.96,8.14,7.96,0.18,2.2613,384739.17,311885.482
18,000728.SZ,20200618,7.87,8.04,7.85,7.96,7.89,0.07,0.8872,187639.43,149373.122
19,000728.SZ,20200617,7.88,7.93,7.83,7.89,7.9,-0.01,-0.1266,116638.13,91870.564
20,000728.SZ,20200616,7.89,7.93,7.85,7.9,7.81,0.09,1.1524,135497.89,106839.329
21,000728.SZ,20200615,7.85,7.97,7.81,7.81,7.83,-0.02,-0.2554,192774.53,152180.113
22,000728.SZ,20200612,7.8,7.89,7.77,7.83,7.9,-0.07,-0.8861,179102.46,140217.355
23,000728.SZ,20200611,8.0,8.11,7.88,7.9,8.0,-0.1,-1.25,190127.61,151724.059
