,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600061.SH,20200716,16.1,16.53,15.01,15.05,16.01,-0.96,-5.9963,721536.17,1144657.723
1,600061.SH,20200715,16.6,16.94,15.95,16.01,16.37,-0.36,-2.1991,881966.48,1456024.173
2,600061.SH,20200714,16.35,16.59,15.91,16.37,16.74,-0.37,-2.2103,871037.77,1421613.936
3,600061.SH,20200713,17.0,17.28,16.2,16.74,17.34,-0.6,-3.4602,1622329.56,2709961.983
4,600061.SH,20200710,15.58,17.34,15.45,17.34,15.76,1.58,10.0254,1675720.35,2886114.658
5,600061.SH,20200709,15.5,16.38,15.27,15.76,15.29,0.47,3.0739,1149964.03,1826952.226
6,600061.SH,20200708,14.58,15.56,14.54,15.29,14.64,0.65,4.4399,1014860.88,1535267.832
7,600061.SH,20200707,15.35,15.35,14.6,14.64,15.37,-0.73,-4.7495,906114.71,1348684.028
8,600061.SH,20200706,14.68,15.64,14.41,15.37,14.31,1.06,7.4074,1370852.97,2060927.578
9,600061.SH,20200703,13.61,14.61,13.29,14.31,13.57,0.74,5.4532,1088675.38,1514349.108
10,600061.SH,20200702,12.8,13.87,12.74,13.57,12.85,0.72,5.6031,532572.0,706653.151
11,600061.SH,20200701,12.61,12.9,12.58,12.85,12.73,0.12,0.9427,241288.57,307396.345
12,600061.SH,20200630,12.33,12.81,12.26,12.73,12.2,0.53,4.3443,239727.5,300938.667
13,600061.SH,20200629,12.63,12.63,12.15,12.2,12.77,-0.57,-4.4636,309325.04,381608.2
14,600061.SH,20200624,12.88,13.01,12.76,12.77,13.14,-0.37,-2.8158,330656.04,424552.398
15,600061.SH,20200623,12.47,13.28,12.4,13.14,12.39,0.75,6.0533,537160.81,692282.706
16,600061.SH,20200622,12.09,12.85,12.06,12.39,12.12,0.27,2.2277,377921.07,473068.63
17,600061.SH,20200619,11.89,12.25,11.86,12.12,11.89,0.23,1.9344,243647.66,293914.031
18,600061.SH,20200618,11.95,12.15,11.9,12.03,12.06,-0.03,-0.2488,146365.24,175934.603
19,600061.SH,20200617,11.89,12.09,11.86,12.06,11.82,0.24,2.0305,157994.56,189417.911
20,600061.SH,20200616,11.78,11.83,11.72,11.82,11.69,0.13,1.1121,81361.63,95813.056
21,600061.SH,20200615,11.74,11.89,11.68,11.69,11.72,-0.03,-0.256,122563.24,144438.18
22,600061.SH,20200612,11.66,11.76,11.6,11.72,11.81,-0.09,-0.7621,132878.47,155235.818
