,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601211.SH,20200716,20.29,20.57,19.3,19.35,20.22,-0.87,-4.3027,861869.02,1724231.332
1,601211.SH,20200715,21.06,21.19,20.18,20.22,20.81,-0.59,-2.8352,778202.34,1602886.045
2,601211.SH,20200714,20.79,21.05,20.46,20.81,20.86,-0.05,-0.2397,788825.41,1641731.981
3,601211.SH,20200713,20.55,21.32,20.53,20.86,20.62,0.24,1.1639,1021259.23,2136599.814
4,601211.SH,20200710,20.93,21.39,20.51,20.62,21.19,-0.57,-2.6899,978366.75,2044410.513
5,601211.SH,20200709,21.54,21.8,20.93,21.19,21.53,-0.34,-1.5792,1264504.28,2703321.6
6,601211.SH,20200708,20.8,22.2,20.78,21.53,20.82,0.71,3.4102,1685180.85,3599332.092
7,601211.SH,20200707,21.58,21.7,20.51,20.82,21.51,-0.69,-3.2078,1444195.16,3035167.522
8,601211.SH,20200706,20.1,21.54,20.0,21.51,19.58,1.93,9.857,1949474.81,4094553.377
9,601211.SH,20200703,18.69,19.78,18.54,19.58,18.46,1.12,6.0672,1429923.55,2733258.421
10,601211.SH,20200702,17.5,18.68,17.45,18.46,17.52,0.94,5.3653,1030328.22,1873283.574
11,601211.SH,20200701,17.22,17.57,17.18,17.52,17.26,0.26,1.5064,381596.02,664787.638
12,601211.SH,20200630,17.04,17.44,16.95,17.26,16.94,0.32,1.889,316022.89,543318.027
13,601211.SH,20200629,17.1,17.19,16.9,16.94,17.36,-0.42,-2.4194,365652.84,622597.956
14,601211.SH,20200624,17.16,17.5,17.15,17.36,17.12,0.24,1.4019,349590.27,606109.281
15,601211.SH,20200623,16.94,17.23,16.91,17.12,17.11,0.01,0.0584,345213.88,590139.359
16,601211.SH,20200622,16.75,17.66,16.68,17.11,16.8,0.31,1.8452,694619.99,1198742.722
17,601211.SH,20200619,16.42,16.9,16.37,16.8,16.41,0.39,2.3766,569270.33,948002.641
18,601211.SH,20200618,16.31,16.47,16.25,16.41,16.3,0.11,0.6748,282593.01,462460.344
19,601211.SH,20200617,16.3,16.32,16.21,16.3,16.28,0.02,0.1229,247634.09,402935.508
20,601211.SH,20200616,16.28,16.36,16.24,16.28,16.17,0.11,0.6803,246676.71,401819.415
21,601211.SH,20200615,16.26,16.42,16.16,16.17,16.25,-0.08,-0.4923,336537.57,548619.277
22,601211.SH,20200612,16.05,16.33,16.03,16.25,16.26,-0.01,-0.0615,280100.17,454142.857
23,601211.SH,20200611,16.27,16.47,16.22,16.26,16.25,0.01,0.0615,315909.38,515710.945
24,601211.SH,20200610,16.31,16.34,16.2,16.25,16.35,-0.1,-0.6116,220238.88,358256.687
25,601211.SH,20200609,16.19,16.42,16.12,16.35,16.15,0.2,1.2384,396608.04,646914.161
26,601211.SH,20200608,16.27,16.35,16.09,16.15,15.96,0.19,1.1905,404072.09,655590.645
27,601211.SH,20200605,15.92,15.99,15.83,15.96,15.86,0.1,0.6305,186811.69,297206.007
28,601211.SH,20200604,16.01,16.01,15.84,15.86,15.95,-0.09,-0.5643,159428.0,253425.102
29,601211.SH,20200603,16.12,16.14,15.95,15.95,16.06,-0.11,-0.6849,248140.12,397807.866
30,601211.SH,20200602,16.06,16.14,16.01,16.06,16.11,-0.05,-0.3104,216118.02,347121.311
31,601211.SH,20200601,15.95,16.17,15.88,16.11,15.67,0.44,2.8079,455527.0,730805.394
32,601211.SH,20200529,15.71,15.77,15.66,15.67,15.78,-0.11,-0.6971,158447.45,248724.19
33,601211.SH,20200528,15.77,15.99,15.71,15.78,15.72,0.06,0.3817,197726.24,312991.337
34,601211.SH,20200527,15.81,15.86,15.7,15.72,15.81,-0.09,-0.5693,104449.48,164651.322
35,601211.SH,20200526,15.78,15.84,15.72,15.81,15.7,0.11,0.7006,124998.98,197293.775
36,601211.SH,20200525,15.74,15.81,15.65,15.7,15.71,-0.01,-0.0637,129657.75,203772.205
37,601211.SH,20200522,15.92,15.98,15.71,15.71,15.97,-0.26,-1.6281,258055.93,408370.536
38,601211.SH,20200521,16.15,16.2,15.96,15.97,16.1,-0.13,-0.8075,158719.48,254990.339
39,601211.SH,20200520,16.12,16.2,16.08,16.1,16.15,-0.05,-0.3096,131856.26,212716.736
40,601211.SH,20200519,16.2,16.24,16.1,16.15,16.09,0.06,0.3729,153727.67,248341.42
41,601211.SH,20200518,16.1,16.2,16.05,16.09,16.1,-0.01,-0.0621,174191.96,280643.503
42,601211.SH,20200515,16.2,16.24,16.09,16.1,16.11,-0.01,-0.0621,121846.85,196827.198
43,601211.SH,20200514,16.24,16.3,16.05,16.11,16.28,-0.17,-1.0442,181004.09,292789.914
44,601211.SH,20200513,16.21,16.35,16.18,16.28,16.28,0.0,0.0,163566.16,265928.282
45,601211.SH,20200512,16.54,16.55,16.21,16.28,16.51,-0.23,-1.3931,291223.04,475858.513
46,601211.SH,20200511,16.69,16.76,16.48,16.51,16.68,-0.17,-1.0192,247078.36,410081.086
47,601211.SH,20200508,16.53,16.83,16.46,16.68,16.47,0.21,1.275,307775.17,512198.288
48,601211.SH,20200507,16.6,16.64,16.42,16.47,16.7,-0.23,-1.3772,249831.69,412357.785
49,601211.SH,20200506,16.5,16.7,16.4,16.7,16.92,-0.22,-1.3002,409075.93,675442.34
50,601211.SH,20200430,16.74,17.01,16.7,16.92,16.74,0.18,1.0753,294423.62,497280.068
51,601211.SH,20200429,16.56,16.75,16.56,16.74,16.62,0.12,0.722,120793.54,201485.899
52,601211.SH,20200428,16.63,16.79,16.4,16.62,16.53,0.09,0.5445,204665.63,340387.69
53,601211.SH,20200427,16.54,16.75,16.51,16.53,16.52,0.01,0.0605,138501.43,230228.248
54,601211.SH,20200424,16.72,16.74,16.41,16.52,16.7,-0.18,-1.0778,156947.53,260021.15
55,601211.SH,20200423,16.82,16.84,16.66,16.7,16.78,-0.08,-0.4768,132756.34,222428.075
56,601211.SH,20200422,16.63,16.79,16.59,16.78,16.69,0.09,0.5392,148499.88,248136.985
57,601211.SH,20200421,16.77,16.83,16.59,16.69,16.88,-0.19,-1.1256,194405.12,324674.058
58,601211.SH,20200420,16.79,16.91,16.68,16.88,16.75,0.13,0.7761,172797.45,290217.07
59,601211.SH,20200417,16.98,17.03,16.7,16.75,16.89,-0.14,-0.8289,251234.33,423899.275
60,601211.SH,20200416,16.46,17.01,16.46,16.89,16.6,0.29,1.747,400897.43,675371.222
61,601211.SH,20200415,16.57,16.79,16.53,16.6,16.62,-0.02,-0.1203,231172.03,384970.867
62,601211.SH,20200414,16.34,16.76,16.3,16.62,16.29,0.33,2.0258,264407.11,436600.537
63,601211.SH,20200413,16.43,16.44,16.25,16.29,16.48,-0.19,-1.1529,145240.81,237224.792
64,601211.SH,20200410,16.65,16.7,16.45,16.48,16.65,-0.17,-1.021,168926.13,279720.814
65,601211.SH,20200409,16.75,16.86,16.63,16.65,16.64,0.01,0.0601,201853.23,338039.478
66,601211.SH,20200408,16.62,16.69,16.55,16.64,16.69,-0.05,-0.2996,134480.25,223431.257
67,601211.SH,20200407,16.65,16.77,16.55,16.69,16.35,0.34,2.0795,276285.14,459999.724
68,601211.SH,20200403,16.45,16.5,16.31,16.35,16.55,-0.2,-1.2085,149299.22,244959.899
69,601211.SH,20200402,16.24,16.55,16.21,16.55,16.33,0.22,1.3472,176164.15,289207.266
70,601211.SH,20200401,16.27,16.55,16.22,16.33,16.28,0.05,0.3071,199943.29,327776.376
71,601211.SH,20200331,16.45,16.48,16.27,16.28,16.28,0.0,0.0,162221.01,265805.275
72,601211.SH,20200330,16.2,16.36,16.02,16.28,16.37,-0.09,-0.5498,194329.66,314883.335
73,601211.SH,20200327,16.51,16.66,16.29,16.37,16.3,0.07,0.4294,275587.46,453506.679
74,601211.SH,20200326,16.55,16.58,16.27,16.3,16.6,-0.3,-1.8072,239764.17,393732.198
75,601211.SH,20200325,16.64,16.76,16.46,16.6,16.32,0.28,1.7157,331837.6,551403.003
76,601211.SH,20200324,16.15,16.38,15.96,16.32,15.85,0.47,2.9653,351125.64,567736.551
77,601211.SH,20200323,15.83,16.14,15.75,15.85,16.29,-0.44,-2.701,321385.16,511453.461
78,601211.SH,20200320,16.25,16.39,16.04,16.29,16.17,0.12,0.7421,316241.2,512974.806
79,601211.SH,20200319,16.11,16.33,15.78,16.17,16.1,0.07,0.4348,510085.35,818836.838
80,601211.SH,20200318,16.53,16.65,16.02,16.1,16.46,-0.36,-2.1871,445885.6,730050.398
81,601211.SH,20200317,16.8,16.99,15.99,16.46,16.57,-0.11,-0.6639,582963.22,956465.131
82,601211.SH,20200316,17.41,17.41,16.47,16.57,17.34,-0.77,-4.4406,515441.73,871656.712
83,601211.SH,20200313,16.78,17.56,16.66,17.34,17.55,-0.21,-1.1966,561886.53,957084.345
84,601211.SH,20200312,17.61,17.71,17.34,17.55,17.8,-0.25,-1.4045,380338.22,666064.352
85,601211.SH,20200311,18.34,18.37,17.8,17.8,18.34,-0.54,-2.9444,394911.52,713803.529
86,601211.SH,20200310,17.8,18.46,17.7,18.34,17.89,0.45,2.5154,516970.43,937013.722
87,601211.SH,20200309,18.15,18.16,17.7,17.89,18.47,-0.58,-3.1402,636304.17,1142379.993
