,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000750.SZ,20200716,5.65,6.24,5.62,5.75,5.69,0.06,1.0545,6230639.86,3723586.561
1,000750.SZ,20200715,6.1,6.19,5.67,5.69,5.89,-0.2,-3.3956,3041287.51,1794533.515
2,000750.SZ,20200714,5.87,5.95,5.69,5.89,5.89,0.0,0.0,2587879.68,1511616.316
3,000750.SZ,20200713,5.75,6.02,5.72,5.89,5.83,0.06,1.0292,3320303.07,1953980.888
4,000750.SZ,20200710,5.76,6.07,5.72,5.83,5.85,-0.02,-0.3419,3535847.28,2082038.091
5,000750.SZ,20200709,5.82,6.06,5.71,5.85,5.96,-0.11,-1.8456,3890405.26,2281212.882
6,000750.SZ,20200708,5.54,6.13,5.54,5.96,5.61,0.35,6.2389,4807911.47,2804127.916
7,000750.SZ,20200707,5.68,6.06,5.33,5.61,5.65,-0.04,-0.708,4839834.4,2705749.793
8,000750.SZ,20200706,5.31,5.65,5.16,5.65,5.14,0.51,9.9222,4842640.6,2645972.678
9,000750.SZ,20200703,4.83,5.2,4.77,5.14,4.78,0.36,7.5314,3972142.28,1966758.81
10,000750.SZ,20200702,4.4,4.81,4.39,4.78,4.42,0.36,8.1448,2866185.4,1326093.194
11,000750.SZ,20200701,4.34,4.42,4.3,4.42,4.34,0.08,1.8433,964510.81,422149.105
12,000750.SZ,20200630,4.26,4.38,4.24,4.34,4.24,0.1,2.3585,812786.48,349629.394
13,000750.SZ,20200629,4.33,4.36,4.22,4.24,4.41,-0.17,-3.8549,786629.35,335953.762
14,000750.SZ,20200624,4.44,4.5,4.39,4.41,4.45,-0.04,-0.8989,636975.09,282063.025
15,000750.SZ,20200623,4.37,4.45,4.34,4.45,4.39,0.06,1.3667,1008605.29,443882.333
16,000750.SZ,20200622,4.31,4.56,4.3,4.39,4.33,0.06,1.3857,1558819.37,692215.358
17,000750.SZ,20200619,4.23,4.37,4.22,4.33,4.24,0.09,2.1226,1076597.22,462514.899
18,000750.SZ,20200618,4.2,4.27,4.17,4.24,4.2,0.04,0.9524,544471.26,230423.75
19,000750.SZ,20200617,4.22,4.22,4.16,4.2,4.23,-0.03,-0.7092,359680.34,150680.387
