,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002670.SZ,20200716,10.99,11.35,10.46,10.47,10.9,-0.43,-3.945,385339.39,424720.072
1,002670.SZ,20200715,11.6,11.7,10.86,10.9,11.63,-0.73,-6.2769,435340.75,488427.84
2,002670.SZ,20200714,11.74,11.89,11.28,11.63,11.85,-0.22,-1.8565,352784.86,410940.746
3,002670.SZ,20200713,11.51,12.1,11.38,11.85,11.73,0.12,1.023,524582.22,617411.366
4,002670.SZ,20200710,11.51,12.32,11.41,11.73,11.84,-0.11,-0.9291,707588.44,849225.071
5,002670.SZ,20200709,11.28,12.26,11.0,11.84,11.35,0.49,4.3172,610887.55,698053.807
6,002670.SZ,20200708,10.86,11.6,10.85,11.35,10.87,0.48,4.4158,570278.42,644036.48
7,002670.SZ,20200707,11.24,11.28,10.73,10.87,11.39,-0.52,-4.5654,541176.27,596873.237
8,002670.SZ,20200706,10.72,11.5,10.64,11.39,10.54,0.85,8.0645,689946.31,765529.092
9,002670.SZ,20200703,9.98,10.7,9.85,10.54,9.85,0.69,7.0051,604180.6,616980.506
10,002670.SZ,20200702,9.21,10.05,9.17,9.85,9.23,0.62,6.7172,407722.28,392109.752
11,002670.SZ,20200701,9.14,9.24,9.08,9.23,9.15,0.08,0.8743,133097.22,122062.695
12,002670.SZ,20200630,9.06,9.3,9.03,9.15,9.01,0.14,1.5538,122746.64,112383.983
13,002670.SZ,20200629,9.3,9.3,8.95,9.01,9.33,-0.32,-3.4298,145900.08,132362.214
14,002670.SZ,20200624,9.51,9.6,9.31,9.33,9.5,-0.17,-1.7895,132387.64,124608.964
15,002670.SZ,20200623,9.48,9.52,9.31,9.5,9.54,-0.04,-0.4193,178615.52,168482.8
16,002670.SZ,20200622,9.4,9.88,9.34,9.54,9.49,0.05,0.5269,357249.02,345044.38
17,002670.SZ,20200619,9.31,9.58,9.18,9.49,9.33,0.16,1.7149,347403.88,326034.22
18,002670.SZ,20200618,9.0,9.58,9.0,9.33,9.04,0.29,3.208,339907.55,318711.046
19,002670.SZ,20200617,9.09,9.1,8.94,9.04,9.11,-0.07,-0.7684,104346.25,94002.245
20,002670.SZ,20200616,9.16,9.18,9.02,9.11,9.01,0.1,1.1099,114540.99,104005.902
21,002670.SZ,20200615,9.3,9.38,9.01,9.01,9.2,-0.19,-2.0652,254197.95,233932.631
22,002670.SZ,20200612,9.03,9.38,9.02,9.2,9.26,-0.06,-0.6479,379451.21,349584.04
23,002670.SZ,20200611,8.8,9.59,8.73,9.26,8.72,0.54,6.1927,532625.73,495041.597
24,002670.SZ,20200610,8.76,8.77,8.67,8.72,8.78,-0.06,-0.6834,51101.24,44515.75
25,002670.SZ,20200609,8.76,8.87,8.74,8.78,8.73,0.05,0.5727,77701.77,68332.076
26,002670.SZ,20200608,8.88,8.89,8.71,8.73,8.87,-0.14,-1.5784,82092.62,71976.199
27,002670.SZ,20200605,8.69,8.92,8.66,8.87,8.68,0.19,2.1889,110197.72,96824.589
28,002670.SZ,20200604,8.81,8.84,8.66,8.68,8.76,-0.08,-0.9132,73835.75,64448.04
29,002670.SZ,20200603,8.94,8.97,8.75,8.76,8.89,-0.13,-1.4623,91316.04,80820.815
30,002670.SZ,20200602,8.9,9.04,8.87,8.89,8.97,-0.08,-0.8919,112567.41,100611.667
31,002670.SZ,20200601,8.81,9.04,8.74,8.97,8.61,0.36,4.1812,212928.08,189307.316
32,002670.SZ,20200529,8.54,8.65,8.49,8.61,8.5,0.11,1.2941,83527.29,71685.424
33,002670.SZ,20200528,8.49,8.66,8.42,8.5,8.4,0.1,1.1905,88198.89,75234.395
34,002670.SZ,20200527,8.57,8.57,8.37,8.4,8.57,-0.17,-1.9837,55498.02,46875.171
35,002670.SZ,20200526,8.42,8.57,8.42,8.57,8.48,0.09,1.0613,61553.35,52494.936
36,002670.SZ,20200525,8.38,8.48,8.35,8.48,8.38,0.1,1.1933,59715.78,50332.949
37,002670.SZ,20200522,8.56,8.62,8.35,8.38,8.53,-0.15,-1.7585,79489.97,67364.989
38,002670.SZ,20200521,8.68,8.74,8.51,8.53,8.67,-0.14,-1.6148,52117.53,44812.604
39,002670.SZ,20200520,8.77,8.78,8.64,8.67,8.74,-0.07,-0.8009,55728.65,48450.799
40,002670.SZ,20200519,8.75,8.82,8.72,8.74,8.7,0.04,0.4598,56578.36,49541.404
41,002670.SZ,20200518,8.75,8.82,8.66,8.7,8.87,-0.17,-1.9166,93676.56,81847.915
42,002670.SZ,20200515,9.0,9.1,8.85,8.87,8.8,0.07,0.7955,115318.4,103547.638
43,002670.SZ,20200514,8.89,8.92,8.79,8.8,8.95,-0.15,-1.676,60953.65,53923.791
44,002670.SZ,20200513,8.83,9.0,8.79,8.95,8.87,0.08,0.9019,74670.32,66479.914
45,002670.SZ,20200512,8.93,9.0,8.77,8.87,8.94,-0.07,-0.783,68133.67,60438.509
46,002670.SZ,20200511,9.09,9.09,8.88,8.94,9.0,-0.06,-0.6667,92142.0,82673.078
47,002670.SZ,20200508,8.89,9.16,8.84,9.0,8.81,0.19,2.1566,170506.4,153506.336
48,002670.SZ,20200507,8.79,9.01,8.75,8.81,8.8,0.01,0.1136,121804.33,108213.142
49,002670.SZ,20200506,8.52,8.82,8.52,8.8,8.75,0.05,0.5714,117545.07,102053.542
50,002670.SZ,20200430,8.52,8.79,8.51,8.75,8.48,0.27,3.184,137100.83,118966.903
51,002670.SZ,20200429,8.52,8.62,8.41,8.48,8.52,-0.04,-0.4695,92243.4,78414.809
52,002670.SZ,20200428,8.69,8.75,8.31,8.52,8.52,0.0,0.0,159182.18,135996.052
53,002670.SZ,20200427,8.78,8.81,8.49,8.52,8.73,-0.21,-2.4055,134992.85,116707.485
54,002670.SZ,20200424,9.11,9.14,8.66,8.73,9.11,-0.38,-4.1712,174274.25,154438.184
55,002670.SZ,20200423,9.29,9.3,9.08,9.11,9.25,-0.14,-1.5135,123842.35,113264.451
56,002670.SZ,20200422,9.34,9.39,9.12,9.25,9.46,-0.21,-2.2199,194582.71,179607.569
57,002670.SZ,20200421,9.51,9.63,9.43,9.46,9.52,-0.06,-0.6303,124299.92,118424.044
58,002670.SZ,20200420,9.61,9.61,9.46,9.52,9.61,-0.09,-0.9365,109195.03,104029.58
59,002670.SZ,20200417,9.74,9.78,9.56,9.61,9.72,-0.11,-1.1317,161849.19,156400.329
60,002670.SZ,20200416,9.71,9.89,9.7,9.72,10.05,-0.33,-3.2836,213907.57,208958.405
61,002670.SZ,20200415,10.17,10.24,10.03,10.05,10.29,-0.24,-2.3324,159150.73,161012.769
62,002670.SZ,20200414,10.26,10.43,10.05,10.29,10.27,0.02,0.1947,245793.03,250636.592
63,002670.SZ,20200413,9.95,10.33,9.94,10.27,9.94,0.33,3.3199,252591.72,257782.668
64,002670.SZ,20200410,10.13,10.2,9.91,9.94,10.1,-0.16,-1.5842,104743.97,105088.785
65,002670.SZ,20200409,10.16,10.25,10.09,10.1,10.07,0.03,0.2979,125425.15,127519.045
66,002670.SZ,20200408,10.07,10.12,10.02,10.07,10.14,-0.07,-0.6903,99254.7,99920.1
67,002670.SZ,20200407,10.12,10.2,10.0,10.14,9.94,0.2,2.0121,172730.85,174505.758
68,002670.SZ,20200403,10.11,10.14,9.82,9.94,10.13,-0.19,-1.8756,125286.15,124805.414
69,002670.SZ,20200402,9.81,10.13,9.75,10.13,10.0,0.13,1.3,156317.64,155638.695
70,002670.SZ,20200401,9.77,10.28,9.76,10.0,9.73,0.27,2.7749,212043.59,213617.42
71,002670.SZ,20200331,9.95,9.99,9.71,9.73,9.85,-0.12,-1.2183,73581.03,72442.286
72,002670.SZ,20200330,9.9,9.97,9.68,9.85,10.01,-0.16,-1.5984,89794.12,88260.228
73,002670.SZ,20200327,10.11,10.26,9.97,10.01,10.01,0.0,0.0,115914.12,117050.24
74,002670.SZ,20200326,9.91,10.24,9.9,10.01,10.0,0.01,0.1,145648.84,146825.483
75,002670.SZ,20200325,10.01,10.06,9.91,10.0,9.78,0.22,2.2495,127928.11,127823.334
76,002670.SZ,20200324,9.8,9.85,9.54,9.78,9.56,0.22,2.3013,110314.15,107212.218
77,002670.SZ,20200323,9.76,9.88,9.5,9.56,10.03,-0.47,-4.6859,114585.2,111234.096
78,002670.SZ,20200320,10.06,10.08,9.82,10.03,9.96,0.07,0.7028,113106.94,112587.327
79,002670.SZ,20200319,9.81,10.08,9.62,9.96,9.81,0.15,1.5291,179318.52,176847.056
80,002670.SZ,20200318,10.11,10.24,9.77,9.81,10.1,-0.29,-2.8713,162512.41,163244.201
81,002670.SZ,20200317,10.15,10.35,9.88,10.1,10.03,0.07,0.6979,169968.32,171828.489
82,002670.SZ,20200316,10.83,10.83,10.0,10.03,10.82,-0.79,-7.3013,231524.5,241688.099
83,002670.SZ,20200313,10.4,11.03,10.23,10.82,11.03,-0.21,-1.9039,277037.22,293590.339
84,002670.SZ,20200312,11.06,11.26,10.89,11.03,11.22,-0.19,-1.6934,181995.22,201234.146
85,002670.SZ,20200311,11.49,11.54,11.16,11.22,11.49,-0.27,-2.3499,191758.4,218201.457
86,002670.SZ,20200310,11.16,11.5,10.96,11.49,11.1,0.39,3.5135,277086.3,312697.469
87,002670.SZ,20200309,11.27,11.57,10.95,11.1,11.58,-0.48,-4.1451,284761.98,319970.622
88,002670.SZ,20200306,11.8,11.93,11.56,11.58,12.02,-0.44,-3.6606,273566.58,320110.244
89,002670.SZ,20200305,11.9,12.26,11.59,12.02,11.77,0.25,2.124,526296.53,627349.679
90,002670.SZ,20200304,11.41,11.79,11.3,11.77,11.35,0.42,3.7004,345618.16,400415.982
91,002670.SZ,20200303,11.6,11.71,11.27,11.35,11.23,0.12,1.0686,263802.4,303018.82
92,002670.SZ,20200302,10.85,11.36,10.85,11.23,10.69,0.54,5.0514,283441.66,314871.507
93,002670.SZ,20200228,11.22,11.47,10.58,10.69,11.72,-1.03,-8.7884,356115.32,393197.257
94,002670.SZ,20200227,11.98,12.15,11.66,11.72,11.89,-0.17,-1.4298,297381.73,352797.557
95,002670.SZ,20200226,11.68,12.35,11.61,11.89,11.9,-0.01,-0.084,451992.32,544121.09
96,002670.SZ,20200225,11.39,11.97,11.27,11.9,11.72,0.18,1.5358,431752.91,503679.136
97,002670.SZ,20200224,11.6,11.9,11.53,11.72,11.71,0.01,0.0854,360392.41,421156.641
98,002670.SZ,20200221,11.66,12.28,11.52,11.71,11.86,-0.15,-1.2648,543553.71,640813.611
99,002670.SZ,20200220,10.95,11.98,10.88,11.86,10.89,0.97,8.9073,631763.53,723158.508
100,002670.SZ,20200219,10.87,11.17,10.83,10.89,10.92,-0.03,-0.2747,248434.47,273643.68
