,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601099.SH,20200716,4.28,4.72,4.28,4.6,4.29,0.31,7.2261,16478945.9,7694097.889
1,601099.SH,20200715,4.58,4.62,4.28,4.29,4.55,-0.26,-5.7143,5295746.81,2350457.086
2,601099.SH,20200714,4.53,4.58,4.34,4.55,4.57,-0.02,-0.4376,5038633.59,2265075.163
3,601099.SH,20200713,4.5,4.69,4.4,4.57,4.51,0.06,1.3304,6455442.16,2928907.467
4,601099.SH,20200710,4.65,4.78,4.5,4.51,4.81,-0.3,-6.237,7779411.83,3606190.429
5,601099.SH,20200709,4.7,5.07,4.63,4.81,4.92,-0.11,-2.2358,12081101.67,5829338.918
6,601099.SH,20200708,4.45,4.92,4.45,4.92,4.47,0.45,10.0671,13137795.42,6210937.11
7,601099.SH,20200707,4.44,4.69,4.08,4.47,4.26,0.21,4.9296,12425466.51,5444514.426
8,601099.SH,20200706,4.09,4.26,3.91,4.26,3.87,0.39,10.0775,9022585.02,3775826.409
9,601099.SH,20200703,3.66,3.87,3.52,3.87,3.52,0.35,9.9432,8498063.86,3146653.755
10,601099.SH,20200702,3.19,3.52,3.18,3.52,3.2,0.32,10.0,5041190.38,1712438.836
11,601099.SH,20200701,3.16,3.2,3.13,3.2,3.17,0.03,0.9464,1224639.7,388496.462
12,601099.SH,20200630,3.13,3.22,3.12,3.17,3.12,0.05,1.6026,1158984.55,366430.467
13,601099.SH,20200629,3.19,3.2,3.1,3.12,3.23,-0.11,-3.4056,1208779.9,378981.349
14,601099.SH,20200624,3.27,3.33,3.22,3.23,3.29,-0.06,-1.8237,1205818.92,392998.284
15,601099.SH,20200623,3.22,3.29,3.18,3.29,3.24,0.05,1.5432,1513645.55,488863.012
16,601099.SH,20200622,3.18,3.38,3.17,3.24,3.2,0.04,1.25,2429260.79,796219.803
17,601099.SH,20200619,3.14,3.22,3.13,3.2,3.14,0.06,1.9108,1618843.28,513623.957
18,601099.SH,20200618,3.11,3.17,3.09,3.14,3.11,0.03,0.9646,826011.77,259101.568
19,601099.SH,20200617,3.14,3.14,3.1,3.11,3.13,-0.02,-0.639,420013.25,130611.937
20,601099.SH,20200616,3.12,3.13,3.1,3.13,3.1,0.03,0.9677,446813.57,139321.832
21,601099.SH,20200615,3.13,3.16,3.1,3.1,3.12,-0.02,-0.641,552273.72,172794.329
22,601099.SH,20200612,3.1,3.14,3.08,3.12,3.14,-0.02,-0.6369,550187.07,171279.471
23,601099.SH,20200611,3.14,3.18,3.13,3.14,3.14,0.0,0.0,580199.88,182713.047
24,601099.SH,20200610,3.17,3.17,3.13,3.14,3.17,-0.03,-0.9464,482911.52,151821.935
25,601099.SH,20200609,3.17,3.2,3.16,3.17,3.16,0.01,0.3165,503234.66,160220.112
26,601099.SH,20200608,3.19,3.2,3.16,3.16,3.21,-0.05,-1.5576,594686.43,188815.97
27,601099.SH,20200605,3.18,3.22,3.16,3.21,3.18,0.03,0.9434,551299.92,175697.618
28,601099.SH,20200604,3.21,3.22,3.18,3.18,3.21,-0.03,-0.9346,464017.16,148265.07
29,601099.SH,20200603,3.25,3.27,3.2,3.21,3.24,-0.03,-0.9259,612653.59,198100.426
30,601099.SH,20200602,3.24,3.28,3.23,3.24,3.26,-0.02,-0.6135,709185.85,230533.464
31,601099.SH,20200601,3.19,3.28,3.18,3.26,3.13,0.13,4.1534,1257741.37,406507.058
32,601099.SH,20200529,3.15,3.16,3.12,3.13,3.16,-0.03,-0.9494,345388.36,108509.836
33,601099.SH,20200528,3.13,3.22,3.13,3.16,3.13,0.03,0.9585,575708.61,182655.766
34,601099.SH,20200527,3.17,3.17,3.13,3.13,3.16,-0.03,-0.9494,315104.74,99017.503
35,601099.SH,20200526,3.16,3.17,3.15,3.16,3.15,0.01,0.3175,313854.52,99268.181
36,601099.SH,20200525,3.15,3.18,3.14,3.15,3.14,0.01,0.3185,267000.84,84198.29
37,601099.SH,20200522,3.18,3.2,3.14,3.14,3.18,-0.04,-1.2579,457835.84,144930.805
38,601099.SH,20200521,3.22,3.23,3.17,3.18,3.22,-0.04,-1.2422,384052.51,122824.787
39,601099.SH,20200520,3.2,3.24,3.19,3.22,3.21,0.01,0.3115,419133.46,134716.921
40,601099.SH,20200519,3.24,3.24,3.2,3.21,3.21,0.0,0.0,312674.9,100623.388
41,601099.SH,20200518,3.2,3.24,3.19,3.21,3.21,0.0,0.0,407535.39,130996.424
42,601099.SH,20200515,3.23,3.25,3.2,3.21,3.22,-0.01,-0.3106,395548.84,127559.423
43,601099.SH,20200514,3.29,3.29,3.22,3.22,3.31,-0.09,-2.719,682602.85,221999.378
44,601099.SH,20200513,3.27,3.33,3.26,3.31,3.29,0.02,0.6079,516652.13,170083.179
45,601099.SH,20200512,3.32,3.35,3.27,3.29,3.33,-0.04,-1.2012,479705.74,158516.802
46,601099.SH,20200511,3.32,3.38,3.3,3.33,3.32,0.01,0.3012,849880.29,282866.567
47,601099.SH,20200508,3.27,3.37,3.26,3.32,3.25,0.07,2.1538,1049977.87,347656.317
48,601099.SH,20200507,3.26,3.29,3.24,3.25,3.27,-0.02,-0.6116,530426.54,173052.493
49,601099.SH,20200506,3.2,3.27,3.19,3.27,3.25,0.02,0.6154,606174.57,195867.393
50,601099.SH,20200430,3.19,3.26,3.19,3.25,3.18,0.07,2.2013,658326.24,212943.879
51,601099.SH,20200429,3.18,3.21,3.17,3.18,3.19,-0.01,-0.3135,411656.98,131372.869
52,601099.SH,20200428,3.2,3.23,3.13,3.19,3.18,0.01,0.3145,659300.48,210616.028
53,601099.SH,20200427,3.18,3.21,3.17,3.18,3.19,-0.01,-0.3135,427415.49,136390.079
54,601099.SH,20200424,3.24,3.26,3.17,3.19,3.24,-0.05,-1.5432,637728.39,204427.399
55,601099.SH,20200423,3.28,3.28,3.24,3.24,3.28,-0.04,-1.2195,442001.93,143912.73
56,601099.SH,20200422,3.24,3.28,3.22,3.28,3.26,0.02,0.6135,501620.14,163413.764
57,601099.SH,20200421,3.3,3.31,3.24,3.26,3.31,-0.05,-1.5106,686151.27,223853.567
58,601099.SH,20200420,3.32,3.33,3.3,3.31,3.32,-0.01,-0.3012,562611.75,186530.933
59,601099.SH,20200417,3.33,3.36,3.31,3.32,3.31,0.01,0.3021,841462.43,280695.092
60,601099.SH,20200416,3.29,3.36,3.29,3.31,3.31,0.0,0.0,865338.23,287197.374
61,601099.SH,20200415,3.35,3.38,3.31,3.31,3.36,-0.05,-1.4881,788429.56,263503.135
62,601099.SH,20200414,3.3,3.42,3.29,3.36,3.3,0.06,1.8182,1164261.44,389507.633
63,601099.SH,20200413,3.26,3.31,3.26,3.3,3.29,0.01,0.304,458640.4,150670.989
64,601099.SH,20200410,3.38,3.38,3.27,3.29,3.36,-0.07,-2.0833,908704.86,301183.011
65,601099.SH,20200409,3.36,3.43,3.34,3.36,3.32,0.04,1.2048,1195472.48,405169.915
66,601099.SH,20200408,3.31,3.35,3.29,3.32,3.33,-0.01,-0.3003,730417.31,242334.995
67,601099.SH,20200407,3.3,3.36,3.25,3.33,3.24,0.09,2.7778,1268202.12,419740.843
68,601099.SH,20200403,3.33,3.33,3.22,3.24,3.35,-0.11,-3.2836,996260.77,325600.89
