,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002500.SZ,20200716,8.9,9.15,8.35,8.37,8.87,-0.5,-5.637,1349225.16,1188715.853
1,002500.SZ,20200715,9.46,9.53,8.85,8.87,9.34,-0.47,-5.0321,1389722.65,1263060.949
2,002500.SZ,20200714,9.33,9.52,9.06,9.34,9.46,-0.12,-1.2685,1658548.98,1543271.872
3,002500.SZ,20200713,9.3,9.97,9.3,9.46,9.19,0.27,2.938,2261779.82,2170190.342
4,002500.SZ,20200710,8.95,9.5,8.84,9.19,9.27,-0.08,-0.863,2245683.55,2059160.251
5,002500.SZ,20200709,9.2,9.53,9.04,9.27,9.53,-0.26,-2.7282,2085522.39,1925710.679
6,002500.SZ,20200708,8.85,9.87,8.82,9.53,9.08,0.45,4.9559,2551542.73,2380503.984
7,002500.SZ,20200707,9.5,9.64,8.79,9.08,8.79,0.29,3.2992,2832941.82,2643261.362
8,002500.SZ,20200706,8.44,8.79,8.31,8.79,7.99,0.8,10.0125,1126150.06,971492.05
9,002500.SZ,20200703,7.57,7.99,7.53,7.99,7.26,0.73,10.0551,2134259.96,1656820.345
10,002500.SZ,20200702,6.56,7.26,6.54,7.26,6.6,0.66,10.0,1195147.64,836017.547
11,002500.SZ,20200701,6.48,6.6,6.43,6.6,6.54,0.06,0.9174,505725.96,330030.614
12,002500.SZ,20200630,6.31,6.66,6.28,6.54,6.39,0.15,2.3474,657607.83,424147.722
13,002500.SZ,20200629,6.71,6.71,6.37,6.39,6.1,0.29,4.7541,874022.34,571542.403
14,002500.SZ,20200616,6.41,6.45,6.36,6.39,6.39,0.0,0.0,389453.09,249122.222
15,002500.SZ,20200615,6.54,6.6,6.38,6.39,6.56,-0.17,-2.5915,446757.41,289839.589
16,002500.SZ,20200612,6.65,6.65,6.5,6.56,6.78,-0.22,-3.2448,430018.84,282676.761
17,002500.SZ,20200611,6.88,6.95,6.78,6.78,6.88,-0.1,-1.4535,232540.3,159419.342
18,002500.SZ,20200610,6.98,6.98,6.87,6.88,6.97,-0.09,-1.2912,149625.01,103288.653
19,002500.SZ,20200609,6.97,7.03,6.93,6.97,6.96,0.01,0.1437,151729.18,106001.228
20,002500.SZ,20200608,7.03,7.05,6.94,6.96,7.01,-0.05,-0.7133,134009.41,93633.18
21,002500.SZ,20200605,7.01,7.04,6.95,7.01,6.99,0.02,0.2861,141086.42,98757.633
22,002500.SZ,20200604,7.08,7.08,6.99,6.99,7.03,-0.04,-0.569,117265.64,82393.602
23,002500.SZ,20200603,7.14,7.16,7.03,7.03,7.1,-0.07,-0.9859,141725.45,100503.324
