,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600999.SH,20200709,28.55,29.4,28.0,28.59,29.85,-1.26,-4.2211,1613942.1,4627564.955
1,600999.SH,20200708,27.51,30.98,27.51,29.85,28.43,1.42,4.9947,1762312.8,5083906.432
2,600999.SH,20200707,30.0,31.39,26.88,28.43,29.23,-0.8,-2.7369,1893578.84,5590735.636
3,600999.SH,20200706,28.3,29.23,27.98,29.23,26.57,2.66,10.0113,576245.78,1671548.11
4,600999.SH,20200703,24.2,26.57,24.0,26.57,24.15,2.42,10.0207,1170037.18,2981565.292
5,600999.SH,20200702,21.55,24.15,21.46,24.15,21.95,2.2,10.0228,1164194.8,2690538.758
6,600999.SH,20200701,21.42,22.41,20.89,21.95,21.95,0.0,0.0,819654.37,1773683.716
7,600999.SH,20200630,20.5,22.22,20.21,21.95,20.52,1.43,6.9688,916021.51,1945118.548
8,600999.SH,20200629,20.72,22.0,20.1,20.52,20.17,0.35,1.7353,903144.74,1874380.949
9,600999.SH,20200624,19.14,20.72,19.0,20.17,19.09,1.08,5.6574,646854.17,1301137.935
10,600999.SH,20200623,18.97,19.36,18.79,19.09,19.16,-0.07,-0.3653,497337.39,947101.921
11,600999.SH,20200622,18.2,19.5,18.02,19.16,17.73,1.43,8.0654,944205.94,1806004.732
12,600999.SH,20200619,16.99,17.78,16.92,17.73,16.97,0.76,4.4785,447709.63,780313.368
13,600999.SH,20200618,16.85,17.03,16.77,16.97,16.84,0.13,0.772,130713.49,220910.344
14,600999.SH,20200617,16.9,16.93,16.74,16.84,16.93,-0.09,-0.5316,98600.18,165881.137
15,600999.SH,20200616,17.0,17.03,16.87,16.93,16.9,0.03,0.1775,125902.94,213308.841
16,600999.SH,20200615,16.96,17.08,16.85,16.9,16.91,-0.01,-0.0591,192902.0,327259.446
17,600999.SH,20200612,16.64,17.07,16.6,16.91,16.91,0.0,0.0,209854.72,353802.834
18,600999.SH,20200611,17.11,17.12,16.87,16.91,17.07,-0.16,-0.9373,136990.99,232492.564
19,600999.SH,20200610,17.18,17.19,16.91,17.07,17.16,-0.09,-0.5245,108838.52,185403.045
20,600999.SH,20200609,17.22,17.33,17.08,17.16,17.2,-0.04,-0.2326,132154.35,227414.707
21,600999.SH,20200608,17.21,17.25,17.06,17.2,17.15,0.05,0.2915,86307.69,148135.837
22,600999.SH,20200605,17.06,17.18,16.89,17.15,17.0,0.15,0.8824,109204.11,186046.428
23,600999.SH,20200604,17.12,17.17,16.95,17.0,17.08,-0.08,-0.4684,68974.31,117544.425
24,600999.SH,20200603,17.34,17.34,17.07,17.08,17.2,-0.12,-0.6977,94467.96,162320.931
25,600999.SH,20200602,17.1,17.29,17.1,17.2,17.21,-0.01,-0.0581,104558.64,179700.255
26,600999.SH,20200601,16.99,17.25,16.98,17.21,16.6,0.61,3.6747,181023.19,310496.101
27,600999.SH,20200529,16.9,16.99,16.6,16.6,17.0,-0.4,-2.3529,90952.35,153060.386
28,600999.SH,20200528,16.88,17.17,16.88,17.0,16.87,0.13,0.7706,95240.35,161942.672
29,600999.SH,20200527,16.84,16.93,16.76,16.87,16.9,-0.03,-0.1775,54973.5,92490.717
30,600999.SH,20200526,16.88,17.14,16.84,16.9,16.86,0.04,0.2372,77810.99,131696.186
31,600999.SH,20200525,16.7,17.04,16.63,16.86,16.6,0.26,1.5663,88626.89,149360.122
32,600999.SH,20200522,17.16,17.16,16.6,16.6,17.13,-0.53,-3.094,148889.85,251167.376
33,600999.SH,20200521,17.37,17.41,17.05,17.13,17.32,-0.19,-1.097,87465.98,150430.971
34,600999.SH,20200520,17.45,17.51,17.23,17.32,17.45,-0.13,-0.745,89322.68,154642.754
35,600999.SH,20200519,17.63,17.67,17.41,17.45,17.47,-0.02,-0.1145,81543.07,142627.503
36,600999.SH,20200518,17.5,17.6,17.4,17.47,17.51,-0.04,-0.2284,79640.04,139423.017
37,600999.SH,20200515,17.58,17.69,17.48,17.51,17.49,0.02,0.1144,72992.83,128303.405
38,600999.SH,20200514,17.65,17.81,17.44,17.49,17.74,-0.25,-1.4092,108704.05,191073.604
39,600999.SH,20200513,17.73,17.84,17.63,17.74,17.85,-0.11,-0.6162,99679.09,176668.026
40,600999.SH,20200512,18.15,18.21,17.8,17.85,18.15,-0.3,-1.6529,116067.16,208023.428
41,600999.SH,20200511,18.4,18.49,18.05,18.15,18.37,-0.22,-1.1976,129199.89,235145.452
42,600999.SH,20200508,18.15,18.49,18.08,18.37,18.04,0.33,1.8293,146767.63,268934.421
43,600999.SH,20200507,18.24,18.38,18.03,18.04,18.31,-0.27,-1.4746,133682.27,242686.102
44,600999.SH,20200506,18.15,18.35,18.0,18.31,18.48,-0.17,-0.9199,164916.22,299838.462
45,600999.SH,20200430,18.3,18.68,18.27,18.48,18.24,0.24,1.3158,150815.3,279463.847
46,600999.SH,20200429,18.09,18.36,18.0,18.24,18.2,0.04,0.2198,119078.94,216526.434
47,600999.SH,20200428,18.12,18.37,17.88,18.2,17.89,0.31,1.7328,161102.36,293233.418
48,600999.SH,20200427,17.75,17.99,17.72,17.89,17.75,0.14,0.7887,63928.95,114481.605
49,600999.SH,20200424,17.95,18.04,17.64,17.75,17.98,-0.23,-1.2792,83831.48,149329.153
50,600999.SH,20200423,18.26,18.26,17.93,17.98,18.29,-0.31,-1.6949,94842.64,171211.057
51,600999.SH,20200422,17.96,18.32,17.88,18.29,18.11,0.18,0.9939,129505.87,235776.991
52,600999.SH,20200421,17.92,18.13,17.77,18.11,18.08,0.03,0.1659,121195.4,218059.545
53,600999.SH,20200420,17.86,18.15,17.79,18.08,17.89,0.19,1.062,118022.74,212177.708
54,600999.SH,20200417,18.0,18.13,17.85,17.89,17.86,0.03,0.168,107424.23,193147.735
55,600999.SH,20200416,17.75,18.09,17.7,17.86,17.8,0.06,0.3371,136414.24,244432.594
56,600999.SH,20200415,17.95,18.14,17.76,17.8,17.98,-0.18,-1.0011,104474.19,186932.894
57,600999.SH,20200414,17.5,18.15,17.4,17.98,17.36,0.62,3.5714,164843.73,294201.195
58,600999.SH,20200413,17.6,17.7,17.35,17.36,17.6,-0.24,-1.3636,58177.65,101810.04
59,600999.SH,20200410,17.86,17.91,17.59,17.6,17.87,-0.27,-1.5109,82999.01,147073.044
60,600999.SH,20200409,17.94,18.15,17.84,17.87,17.85,0.02,0.112,117959.06,212162.08
61,600999.SH,20200408,17.77,17.88,17.68,17.85,17.99,-0.14,-0.7782,98320.89,174755.997
62,600999.SH,20200407,18.01,18.12,17.66,17.99,17.81,0.18,1.0107,238983.64,427898.837
63,600999.SH,20200403,17.79,17.97,17.68,17.81,17.86,-0.05,-0.28,140041.21,249806.968
64,600999.SH,20200402,17.35,17.86,17.25,17.86,17.37,0.49,2.821,215527.64,381917.394
65,600999.SH,20200401,17.08,17.73,17.01,17.37,17.12,0.25,1.4603,205267.8,358545.735
66,600999.SH,20200331,17.0,17.29,16.93,17.12,16.83,0.29,1.7231,162161.03,278052.466
67,600999.SH,20200330,16.68,16.89,16.61,16.83,16.86,-0.03,-0.1779,153505.3,257274.134
68,600999.SH,20200327,16.81,17.04,16.66,16.86,16.64,0.22,1.3221,140941.81,237106.718
69,600999.SH,20200326,16.69,16.79,16.6,16.64,16.8,-0.16,-0.9524,86938.36,144981.234
70,600999.SH,20200325,16.85,16.89,16.67,16.8,16.53,0.27,1.6334,163683.64,274795.753
71,600999.SH,20200324,16.56,16.7,16.25,16.53,16.3,0.23,1.411,137857.3,227430.109
