,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600837.SH,20200716,15.67,15.9,14.54,14.6,15.63,-1.03,-6.5899,2235478.76,3405294.059
1,600837.SH,20200715,16.11,16.24,15.41,15.63,15.9,-0.27,-1.6981,1592073.47,2523204.294
2,600837.SH,20200714,15.86,16.06,15.6,15.9,15.95,-0.05,-0.3135,1513639.74,2398352.386
3,600837.SH,20200713,15.43,16.25,15.41,15.95,15.6,0.35,2.2436,2045587.85,3242434.363
4,600837.SH,20200710,16.02,16.15,15.59,15.6,16.3,-0.7,-4.2945,2119183.47,3359998.574
5,600837.SH,20200709,16.25,16.66,16.06,16.3,16.73,-0.43,-2.5702,2732586.65,4456092.4
6,600837.SH,20200708,15.78,17.25,15.78,16.73,15.78,0.95,6.0203,3129997.63,5141016.188
7,600837.SH,20200707,16.55,16.59,15.5,15.78,16.29,-0.51,-3.1308,3100902.47,4983373.431
8,600837.SH,20200706,15.3,16.29,15.1,16.29,14.81,1.48,9.9932,4349383.52,6908712.404
9,600837.SH,20200703,14.12,14.91,13.91,14.81,13.82,0.99,7.1635,3527378.12,5095064.399
10,600837.SH,20200702,12.89,13.99,12.82,13.82,12.9,0.92,7.1318,2492547.81,3356740.005
11,600837.SH,20200701,12.58,12.9,12.48,12.9,12.58,0.32,2.5437,1085079.81,1376632.466
12,600837.SH,20200630,12.33,12.69,12.23,12.58,12.25,0.33,2.6939,987384.94,1229612.38
13,600837.SH,20200629,12.63,12.7,12.2,12.25,12.87,-0.62,-4.8174,1187197.52,1467741.584
14,600837.SH,20200624,12.78,13.04,12.72,12.87,12.74,0.13,1.0204,1095071.18,1412430.254
15,600837.SH,20200623,12.57,12.87,12.51,12.74,12.62,0.12,0.9509,1014320.83,1287225.879
16,600837.SH,20200622,12.25,13.05,12.2,12.62,12.26,0.36,2.9364,1847054.75,2353004.041
17,600837.SH,20200619,11.93,12.4,11.87,12.26,11.91,0.35,2.9387,1289699.32,1568219.085
18,600837.SH,20200618,11.73,11.98,11.71,11.91,11.75,0.16,1.3617,511048.96,606159.817
19,600837.SH,20200617,11.82,11.82,11.7,11.75,11.83,-0.08,-0.6762,356180.18,418406.781
20,600837.SH,20200616,11.81,11.91,11.76,11.83,11.73,0.1,0.8525,335338.05,395998.686
21,600837.SH,20200615,11.73,11.95,11.73,11.73,11.73,0.0,0.0,454836.08,538336.492
22,600837.SH,20200612,11.65,11.78,11.62,11.73,11.82,-0.09,-0.7614,445380.93,521422.848
23,600837.SH,20200611,11.9,12.01,11.81,11.82,11.89,-0.07,-0.5887,447937.81,532073.425
24,600837.SH,20200610,12.08,12.08,11.85,11.89,12.08,-0.19,-1.5728,472469.15,563446.745
25,600837.SH,20200609,12.0,12.17,11.95,12.08,11.99,0.09,0.7506,455015.03,549705.342
26,600837.SH,20200608,12.08,12.14,11.96,11.99,12.05,-0.06,-0.4979,384360.05,463401.4
27,600837.SH,20200605,11.92,12.06,11.86,12.05,11.86,0.19,1.602,416343.29,498018.607
