,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600369.SH,20200716,5.72,6.1,5.63,5.68,5.72,-0.04,-0.6993,2092478.02,1238206.304
1,600369.SH,20200715,6.07,6.08,5.69,5.72,6.0,-0.28,-4.6667,1152333.4,674456.825
2,600369.SH,20200714,6.03,6.1,5.84,6.0,6.06,-0.06,-0.9901,1213101.99,725857.433
3,600369.SH,20200713,5.93,6.2,5.88,6.06,6.0,0.06,1.0,1466528.53,887599.161
4,600369.SH,20200710,5.91,6.16,5.86,6.0,6.01,-0.01,-0.1664,1514199.88,911010.56
5,600369.SH,20200709,6.07,6.16,5.9,6.01,6.13,-0.12,-1.9576,1643057.05,991006.288
6,600369.SH,20200708,5.71,6.3,5.67,6.13,5.81,0.32,5.5077,2136409.73,1282814.372
7,600369.SH,20200707,5.93,6.18,5.56,5.81,5.86,-0.05,-0.8532,2340740.36,1357072.07
8,600369.SH,20200706,5.5,5.86,5.41,5.86,5.33,0.53,9.9437,2270401.02,1290520.955
9,600369.SH,20200703,5.04,5.4,5.0,5.33,4.99,0.34,6.8136,1760464.36,909443.777
10,600369.SH,20200702,4.64,5.03,4.63,4.99,4.66,0.33,7.0815,1068136.8,518395.358
11,600369.SH,20200701,4.59,4.66,4.58,4.66,4.59,0.07,1.5251,337613.68,156204.29
12,600369.SH,20200630,4.51,4.64,4.5,4.59,4.5,0.09,2.0,337504.34,154117.233
13,600369.SH,20200629,4.59,4.59,4.47,4.5,4.62,-0.12,-2.5974,283761.2,128039.189
14,600369.SH,20200624,4.68,4.74,4.61,4.62,4.67,-0.05,-1.0707,248896.66,116086.267
15,600369.SH,20200623,4.65,4.69,4.59,4.67,4.65,0.02,0.4301,359269.53,166788.481
16,600369.SH,20200622,4.55,4.83,4.55,4.65,4.58,0.07,1.5284,680278.63,319467.523
17,600369.SH,20200619,4.46,4.61,4.46,4.58,4.47,0.11,2.4609,473143.4,214701.431
18,600369.SH,20200618,4.43,4.52,4.41,4.47,4.43,0.04,0.9029,228113.28,101905.444
19,600369.SH,20200617,4.44,4.45,4.4,4.43,4.45,-0.02,-0.4494,133720.17,59116.271
20,600369.SH,20200616,4.43,4.45,4.42,4.45,4.41,0.04,0.907,139269.04,61778.451
21,600369.SH,20200615,4.41,4.47,4.38,4.41,4.41,0.0,0.0,205279.43,90915.503
22,600369.SH,20200612,4.39,4.41,4.35,4.41,4.42,-0.01,-0.2262,185811.78,81427.313
23,600369.SH,20200611,4.5,4.56,4.48,4.5,4.51,-0.01,-0.2217,169685.88,76574.484
24,600369.SH,20200610,4.55,4.56,4.5,4.51,4.56,-0.05,-1.0965,127629.44,57638.234
25,600369.SH,20200609,4.53,4.59,4.51,4.56,4.53,0.03,0.6623,172601.67,78596.285
26,600369.SH,20200608,4.59,4.6,4.52,4.53,4.58,-0.05,-1.0917,150632.0,68582.81
27,600369.SH,20200605,4.53,4.58,4.5,4.58,4.5,0.08,1.7778,228555.12,103851.849
28,600369.SH,20200604,4.52,4.54,4.49,4.5,4.51,-0.01,-0.2217,104290.97,47065.655
