,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002673.SZ,20200716,10.51,10.88,10.0,10.08,10.48,-0.4,-3.8168,1271763.85,1341262.349
1,002673.SZ,20200715,10.82,10.88,10.43,10.48,10.69,-0.21,-1.9645,950004.74,1012555.552
2,002673.SZ,20200714,10.78,10.93,10.35,10.69,10.8,-0.11,-1.0185,995199.38,1065374.328
3,002673.SZ,20200713,10.59,11.05,10.48,10.8,10.69,0.11,1.029,1194655.29,1287888.4
4,002673.SZ,20200710,10.64,11.08,10.57,10.69,10.94,-0.25,-2.2852,1282109.6,1388375.847
5,002673.SZ,20200709,10.89,11.2,10.5,10.94,10.92,0.02,0.1832,1832428.17,1998940.556
6,002673.SZ,20200708,10.04,11.02,10.04,10.92,10.02,0.9,8.982,1919763.43,2043119.125
7,002673.SZ,20200707,10.6,10.68,9.81,10.02,10.35,-0.33,-3.1884,1676757.52,1705595.166
8,002673.SZ,20200706,9.7,10.35,9.65,10.35,9.41,0.94,9.9894,1856561.84,1878584.95
9,002673.SZ,20200703,8.89,9.58,8.81,9.41,8.81,0.6,6.8104,1364765.47,1244679.255
10,002673.SZ,20200702,8.25,8.88,8.22,8.81,8.26,0.55,6.6586,991851.2,852825.936
11,002673.SZ,20200701,8.14,8.26,8.1,8.26,8.16,0.1,1.2255,355636.85,291483.449
12,002673.SZ,20200630,8.03,8.28,8.0,8.16,8.0,0.16,2.0,277764.06,225329.775
13,002673.SZ,20200629,8.13,8.16,7.97,8.0,8.25,-0.25,-3.0303,278304.69,223729.421
14,002673.SZ,20200624,8.32,8.41,8.21,8.25,8.32,-0.07,-0.8413,258889.5,214747.035
15,002673.SZ,20200623,8.27,8.34,8.17,8.32,8.27,0.05,0.6046,310925.29,257093.123
16,002673.SZ,20200622,8.18,8.54,8.12,8.27,8.15,0.12,1.4724,618311.42,516911.992
17,002673.SZ,20200619,7.98,8.2,7.97,8.15,7.98,0.17,2.1303,424449.82,344262.936
18,002673.SZ,20200618,7.91,8.08,7.9,7.98,7.93,0.05,0.6305,183239.27,146447.14
19,002673.SZ,20200617,7.93,7.96,7.9,7.93,7.94,-0.01,-0.1259,107205.15,84967.218
20,002673.SZ,20200616,7.93,7.95,7.88,7.94,7.87,0.07,0.8895,124604.06,98613.186
