,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000712.SZ,20200716,15.79,16.44,15.18,15.25,15.79,-0.54,-3.4199,379889.75,607572.662
1,000712.SZ,20200715,16.7,16.84,15.77,15.79,16.56,-0.77,-4.6498,351641.91,567897.214
2,000712.SZ,20200714,16.59,16.99,16.12,16.56,16.52,0.04,0.2421,372191.46,618802.079
3,000712.SZ,20200713,16.8,16.86,15.83,16.52,16.5,0.02,0.1212,434104.05,710516.18
4,000712.SZ,20200710,15.52,17.38,15.52,16.5,15.8,0.7,4.4304,462143.79,771301.317
5,000712.SZ,20200709,15.55,16.3,15.4,15.8,15.82,-0.02,-0.1264,460253.4,731992.083
6,000712.SZ,20200708,14.65,16.09,14.65,15.82,14.76,1.06,7.1816,521567.67,809734.096
7,000712.SZ,20200707,15.3,15.31,14.65,14.76,15.46,-0.7,-4.5278,446969.36,669079.115
8,000712.SZ,20200706,14.72,15.65,14.44,15.46,14.3,1.16,8.1119,522275.07,788987.157
9,000712.SZ,20200703,13.5,14.5,13.38,14.3,13.33,0.97,7.2768,433388.85,598511.114
10,000712.SZ,20200702,12.54,13.49,12.5,13.33,12.6,0.73,5.7937,300120.58,391043.429
11,000712.SZ,20200701,12.49,12.6,12.33,12.6,12.5,0.1,0.8,128891.97,160934.082
12,000712.SZ,20200630,12.26,12.54,12.18,12.5,12.24,0.26,2.1242,112980.45,139912.116
13,000712.SZ,20200629,12.5,12.62,12.16,12.24,12.59,-0.35,-2.78,99099.24,121851.511
14,000712.SZ,20200624,12.66,12.85,12.55,12.59,12.65,-0.06,-0.4743,88673.96,112199.876
15,000712.SZ,20200623,12.5,12.73,12.39,12.65,12.54,0.11,0.8772,124987.33,157149.609
16,000712.SZ,20200622,12.26,12.84,12.2,12.54,12.31,0.23,1.8684,187243.47,235769.402
17,000712.SZ,20200619,12.03,12.42,12.01,12.31,12.03,0.28,2.3275,116264.05,142032.948
18,000712.SZ,20200618,12.01,12.15,11.92,12.03,12.02,0.01,0.0832,61567.98,74153.042
19,000712.SZ,20200617,12.02,12.09,11.92,12.02,11.99,0.03,0.2502,49175.92,59027.043
20,000712.SZ,20200616,11.95,12.01,11.85,11.99,11.83,0.16,1.3525,60341.81,72023.287
21,000712.SZ,20200615,11.99,12.13,11.81,11.83,11.99,-0.16,-1.3344,80143.05,96000.805
22,000712.SZ,20200612,11.72,12.09,11.72,11.99,12.37,-0.38,-3.0719,117126.85,139947.436
23,000712.SZ,20200611,12.45,12.61,12.34,12.37,12.43,-0.06,-0.4827,60628.4,75574.408
24,000712.SZ,20200610,12.52,12.52,12.38,12.43,12.53,-0.1,-0.7981,41759.98,51929.678
25,000712.SZ,20200609,12.41,12.68,12.39,12.53,12.41,0.12,0.967,75025.5,94200.221
26,000712.SZ,20200608,12.54,12.59,12.36,12.41,12.56,-0.15,-1.1943,57674.34,71908.316
27,000712.SZ,20200605,12.5,12.62,12.36,12.56,12.56,0.0,0.0,69177.52,86406.949
28,000712.SZ,20200604,12.53,12.57,12.37,12.56,12.42,0.14,1.1272,60497.5,75379.724
29,000712.SZ,20200603,12.7,12.78,12.41,12.42,12.65,-0.23,-1.8182,87032.45,109378.69
30,000712.SZ,20200602,12.74,12.86,12.61,12.65,12.73,-0.08,-0.6284,85004.17,108063.632
31,000712.SZ,20200601,12.65,12.84,12.52,12.73,12.29,0.44,3.5801,162274.06,205959.733
32,000712.SZ,20200529,12.21,12.38,12.16,12.29,12.33,-0.04,-0.3244,63006.9,77363.64
33,000712.SZ,20200528,12.13,12.53,12.09,12.33,12.09,0.24,1.9851,95292.37,117577.325
34,000712.SZ,20200527,12.22,12.26,12.05,12.09,12.22,-0.13,-1.0638,48581.06,58894.088
35,000712.SZ,20200526,11.94,12.25,11.93,12.22,11.93,0.29,2.4308,62238.52,75095.787
36,000712.SZ,20200525,12.01,12.09,11.84,11.93,12.1,-0.17,-1.405,53388.2,63701.087
37,000712.SZ,20200522,11.97,12.55,11.95,12.1,11.96,0.14,1.1706,128716.45,157725.92
38,000712.SZ,20200521,12.1,12.14,11.94,11.96,12.08,-0.12,-0.9934,42097.95,50664.39
39,000712.SZ,20200520,12.16,12.24,12.05,12.08,12.16,-0.08,-0.6579,54605.91,66100.174
40,000712.SZ,20200519,12.24,12.28,12.11,12.16,12.12,0.04,0.33,48026.52,58474.607
41,000712.SZ,20200518,12.12,12.31,12.06,12.12,12.31,-0.19,-1.5435,86399.59,105125.793
42,000712.SZ,20200515,12.58,12.74,12.3,12.31,12.1,0.21,1.7355,135196.77,169357.096
43,000712.SZ,20200514,12.28,12.33,12.08,12.1,12.35,-0.25,-2.0243,61751.2,75106.506
44,000712.SZ,20200513,12.32,12.4,12.25,12.35,12.35,0.0,0.0,38561.15,47533.408
45,000712.SZ,20200512,12.46,12.57,12.28,12.35,12.45,-0.1,-0.8032,50440.27,62535.052
46,000712.SZ,20200511,12.54,12.63,12.36,12.45,12.54,-0.09,-0.7177,58217.57,72691.436
47,000712.SZ,20200508,12.49,12.75,12.37,12.54,12.36,0.18,1.4563,101253.25,127086.982
48,000712.SZ,20200507,12.33,12.48,12.33,12.36,12.33,0.03,0.2433,67074.64,83061.638
49,000712.SZ,20200506,12.1,12.34,12.03,12.33,12.28,0.05,0.4072,82374.25,100351.63
50,000712.SZ,20200430,12.06,12.3,11.99,12.28,11.91,0.37,3.1066,78395.22,95616.705
51,000712.SZ,20200429,11.9,12.07,11.85,11.91,11.99,-0.08,-0.6672,50279.82,60081.68
52,000712.SZ,20200428,12.21,12.27,11.75,11.99,12.07,-0.08,-0.6628,81765.94,98475.441
53,000712.SZ,20200427,11.98,12.23,11.97,12.07,11.97,0.1,0.8354,58190.79,70336.412
54,000712.SZ,20200424,12.33,12.39,11.91,11.97,12.32,-0.35,-2.8409,69443.29,84079.327
55,000712.SZ,20200423,12.43,12.48,12.3,12.32,12.47,-0.15,-1.2029,47299.11,58480.205
56,000712.SZ,20200422,12.28,12.57,12.28,12.47,12.26,0.21,1.7129,72806.37,90691.862
57,000712.SZ,20200421,12.55,12.59,12.2,12.26,12.61,-0.35,-2.7756,74221.17,91686.871
58,000712.SZ,20200420,12.67,12.71,12.54,12.61,12.59,0.02,0.1589,49469.75,62330.303
59,000712.SZ,20200417,12.78,12.8,12.58,12.59,12.65,-0.06,-0.4743,78279.34,99406.624
60,000712.SZ,20200416,12.6,12.83,12.55,12.65,12.59,0.06,0.4766,79845.49,101422.797
61,000712.SZ,20200415,12.8,12.85,12.58,12.59,12.87,-0.28,-2.1756,84230.31,106982.709
62,000712.SZ,20200414,12.67,12.91,12.62,12.87,12.61,0.26,2.0619,92947.27,118810.959
63,000712.SZ,20200413,12.8,12.83,12.57,12.61,12.86,-0.25,-1.944,65170.34,82605.447
64,000712.SZ,20200410,13.28,13.28,12.85,12.86,13.2,-0.34,-2.5758,111170.34,144302.669
65,000712.SZ,20200409,13.25,13.45,13.18,13.2,13.23,-0.03,-0.2268,137535.2,182771.458
66,000712.SZ,20200408,13.1,13.49,13.03,13.23,13.11,0.12,0.9153,156412.96,207949.845
67,000712.SZ,20200407,13.06,13.25,12.91,13.11,12.92,0.19,1.4706,157816.13,206492.221
68,000712.SZ,20200403,12.7,13.15,12.64,12.92,12.71,0.21,1.6522,135671.93,175894.881
69,000712.SZ,20200402,12.41,12.71,12.36,12.71,12.48,0.23,1.8429,74212.69,93072.026
70,000712.SZ,20200401,12.64,12.82,12.35,12.48,12.7,-0.22,-1.7323,84058.74,106152.609
71,000712.SZ,20200331,13.01,13.05,12.66,12.7,12.91,-0.21,-1.6266,85431.42,109695.067
72,000712.SZ,20200330,12.66,13.02,12.6,12.91,12.83,0.08,0.6235,108732.96,139522.392
73,000712.SZ,20200327,12.89,13.08,12.76,12.83,12.73,0.1,0.7855,97182.56,125386.952
74,000712.SZ,20200326,12.84,12.94,12.68,12.73,12.96,-0.23,-1.7747,77133.49,98765.261
75,000712.SZ,20200325,13.12,13.23,12.84,12.96,12.8,0.16,1.25,113837.42,147934.896
76,000712.SZ,20200324,12.83,12.92,12.54,12.8,12.54,0.26,2.0734,113118.45,144232.306
77,000712.SZ,20200323,12.65,12.92,12.47,12.54,13.14,-0.6,-4.5662,127010.41,160909.445
78,000712.SZ,20200320,12.98,13.19,12.85,13.14,12.88,0.26,2.0186,118514.25,154690.691
79,000712.SZ,20200319,12.73,13.11,12.6,12.88,12.75,0.13,1.0196,160962.38,206722.967
80,000712.SZ,20200318,13.4,13.5,12.75,12.75,13.28,-0.53,-3.991,162683.27,214566.96
81,000712.SZ,20200317,13.48,13.59,13.0,13.28,13.19,0.09,0.6823,158875.73,211619.042
82,000712.SZ,20200316,14.15,14.27,13.04,13.19,14.11,-0.92,-6.5202,207906.5,285436.505
83,000712.SZ,20200313,13.34,14.32,13.34,14.11,14.37,-0.26,-1.8093,231600.98,320146.593
84,000712.SZ,20200312,14.31,14.76,14.24,14.37,14.51,-0.14,-0.9649,179790.38,260078.085
85,000712.SZ,20200311,14.82,15.09,14.46,14.51,14.86,-0.35,-2.3553,216552.36,320836.415
86,000712.SZ,20200310,14.4,14.95,14.14,14.86,14.39,0.47,3.2662,255814.08,373864.458
87,000712.SZ,20200309,14.5,15.14,14.32,14.39,14.78,-0.39,-2.6387,252719.19,371325.135
88,000712.SZ,20200306,15.05,15.29,14.77,14.78,15.26,-0.48,-3.1455,210562.5,314864.381
89,000712.SZ,20200305,15.4,15.65,14.85,15.26,15.06,0.2,1.328,333601.15,509153.15
90,000712.SZ,20200304,14.56,15.07,14.56,15.06,14.74,0.32,2.171,222883.84,332450.299
91,000712.SZ,20200303,14.7,15.11,14.46,14.74,14.33,0.41,2.8611,264249.68,390356.363
92,000712.SZ,20200302,13.76,14.51,13.65,14.33,13.47,0.86,6.3846,225681.0,318265.69
93,000712.SZ,20200228,13.93,14.33,13.35,13.47,14.61,-1.14,-7.8029,279692.0,387363.951
94,000712.SZ,20200227,15.01,15.31,14.55,14.61,14.92,-0.31,-2.0777,285122.05,423846.004
95,000712.SZ,20200226,14.5,15.9,14.42,14.92,14.61,0.31,2.1218,465593.05,714031.79
96,000712.SZ,20200225,14.3,14.8,13.91,14.61,14.57,0.04,0.2745,288492.63,415070.166
97,000712.SZ,20200224,14.46,14.78,14.33,14.57,14.46,0.11,0.7607,244657.28,356132.523
