date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,13.65,13.68,13.6,13.6,9117.31,-0.05,-0.37,13.668,13.794,13.9825,19325.3,18918.9,15178.6,0.03
2020-07-16 14:55:00,13.76,13.76,13.65,13.6,17951.0,-0.11,-0.8,13.668,13.842,14.015,24261.3,18728.5,15045.2,0.07
2020-07-16 14:50:00,13.68,13.88,13.76,13.68,13688.3,0.08,0.58,13.728,13.902,14.0485,23241.5,17446.4,14369.0,0.05
2020-07-16 14:45:00,13.67,13.88,13.67,13.67,19728.7,0.0,0.0,13.778,13.946,14.0745,24098.2,16594.7,14149.3,0.07
2020-07-16 14:40:00,13.6,13.66,13.66,13.5,36141.2,0.06,0.44,13.826,13.997,14.105,23788.9,15230.3,13462.0,0.13
2020-07-16 14:35:00,13.95,13.95,13.6,13.48,33797.5,-0.35,-2.51,13.92,14.055,14.1425,18512.6,12359.8,11855.2,0.12
2020-07-16 14:30:00,14.01,14.02,13.95,13.91,12852.0,-0.06,-0.43,14.016,14.114,14.1815,13195.7,10527.9,10889.6,0.05
2020-07-16 14:25:00,13.92,14.05,14.01,13.91,17971.8,0.09,0.65,14.076,14.136,14.1995,11651.3,10641.1,10728.3,0.07
2020-07-16 14:20:00,14.13,14.13,13.91,13.91,18182.2,-0.22,-1.56,14.114,14.142,14.22,9091.12,11570.6,10377.0,0.07
2020-07-16 14:15:00,14.07,14.17,14.13,14.04,9759.39,0.06,0.43,14.168,14.168,14.247,6671.68,10987.9,9638.9,0.04
2020-07-16 14:10:00,14.25,14.26,14.08,14.06,7213.0,-0.17,-1.19,14.19,14.171,14.264,6207.0,11438.3,9447.04,0.03
2020-07-16 14:05:00,14.2,14.27,14.25,14.17,5130.0,0.05,0.35,14.212,14.188,14.2845,7860.02,11362.0,9681.79,0.02
2020-07-16 14:00:00,14.17,14.22,14.2,14.16,5171.0,0.03,0.21,14.196,14.195,14.298,9630.82,11291.7,9703.04,0.02
2020-07-16 13:55:00,14.25,14.29,14.18,14.18,6085.0,-0.07,-0.49,14.17,14.203,14.3155,14050.0,11704.0,9883.74,0.02
2020-07-16 13:50:00,14.18,14.27,14.24,14.17,7436.02,0.06,0.42,14.168,14.213,14.3305,15304.2,11693.7,9802.86,0.03
2020-07-16 13:45:00,14.18,14.29,14.19,14.17,15478.1,0.01,0.07,14.152,14.23,14.3405,16669.6,11350.7,9651.26,0.06
2020-07-16 13:40:00,14.09,14.23,14.17,14.07,13984.0,0.08,0.57,14.164,14.249,14.3565,14863.9,11251.3,9604.47,0.05
2020-07-16 13:35:00,14.11,14.16,14.07,13.93,27266.9,-0.04,-0.28,14.194,14.263,14.3685,12952.5,10815.5,9426.62,0.1
2020-07-16 13:30:00,14.15,14.29,14.17,14.14,12355.8,0.02,0.14,14.236,14.298,14.389,9357.96,9183.5,8608.42,0.04
2020-07-16 13:25:00,14.25,14.3,14.16,14.16,14263.0,-0.09,-0.63,14.258,14.326,14.3975,8083.2,8289.87,8552.58,0.05
2020-07-16 13:20:00,14.31,14.37,14.25,14.25,6450.0,-0.06,-0.42,14.308,14.357,14.4125,6031.8,7455.8,8216.28,0.02
2020-07-16 13:15:00,14.31,14.34,14.32,14.26,4427.0,0.01,0.07,14.334,14.381,14.4225,7638.64,8001.6,8412.46,0.02
2020-07-16 13:10:00,14.28,14.3,14.28,14.24,9294.0,0.0,0.0,14.332,14.401,14.429,8678.44,8114.4,8807.61,0.03
2020-07-16 13:05:00,14.41,14.41,14.28,14.28,5982.0,-0.13,-0.9,14.36,14.428,14.435,9009.04,8063.5,8935.26,0.02
2020-07-16 11:30:00,14.37,14.41,14.41,14.32,4006.0,0.04,0.28,14.394,14.448,14.444,8496.54,7912.05,9796.01,0.01
