date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,10.79,10.8,10.78,10.77,13060.2,-0.01,-0.09,10.778,10.884,11.0125,29411.0,30652.2,24184.6,0.06
2020-07-16 14:55:00,10.8,10.85,10.79,10.78,37462.0,-0.01,-0.09,10.776,10.914,11.0335,37958.9,31029.8,23998.6,0.16
2020-07-16 14:50:00,10.78,10.81,10.8,10.77,24820.4,0.02,0.19,10.818,10.954,11.058,34305.8,28028.6,22446.1,0.11
2020-07-16 14:45:00,10.77,10.91,10.77,10.77,26150.0,0.0,0.0,10.866,10.993,11.0815,37834.7,26387.1,21538.9,0.11
2020-07-16 14:40:00,10.77,10.79,10.75,10.71,45562.5,-0.02,-0.19,10.916,11.032,11.1045,37642.5,24414.9,20691.1,0.19
2020-07-16 14:35:00,10.96,10.97,10.77,10.75,55799.6,-0.19,-1.73,10.99,11.073,11.132,31893.3,21192.3,18682.0,0.24
2020-07-16 14:30:00,11.04,11.04,11.0,10.99,19196.6,-0.04,-0.36,11.052,11.111,11.158,24100.7,17136.8,16730.6,0.08
2020-07-16 14:25:00,11.02,11.04,11.04,10.96,42465.0,0.02,0.18,11.09,11.127,11.1685,21751.4,16718.4,16894.3,0.18
2020-07-16 14:20:00,11.12,11.12,11.02,11.01,25188.8,-0.1,-0.9,11.12,11.125,11.182,14939.5,18298.6,15568.3,0.11
2020-07-16 14:15:00,11.08,11.16,11.12,11.06,16816.4,0.04,0.36,11.148,11.136,11.199,11187.4,18233.2,14573.8,0.07
2020-07-16 14:10:00,11.18,11.19,11.08,11.03,16836.7,-0.1,-0.89,11.156,11.141,11.212,10491.3,17717.1,14097.9,0.07
2020-07-16 14:05:00,11.19,11.2,11.19,11.17,7450.08,0.0,0.0,11.17,11.153,11.23,10172.9,16967.4,13882.7,0.03
2020-07-16 14:00:00,11.16,11.19,11.19,11.11,8405.36,0.03,0.27,11.164,11.162,11.2395,11685.4,16863.7,13832.1,0.04
2020-07-16 13:55:00,11.19,11.2,11.16,11.15,6428.24,-0.03,-0.27,11.13,11.17,11.249,21657.6,16690.7,13750.9,0.03
2020-07-16 13:50:00,11.14,11.22,11.16,11.14,13336.0,0.02,0.18,11.124,11.177,11.2595,25279.0,16967.3,14283.8,0.06
2020-07-16 13:45:00,11.16,11.26,11.15,11.15,15245.0,-0.01,-0.09,11.126,11.191,11.269,24943.0,16171.8,14115.7,0.07
2020-07-16 13:40:00,11.02,11.17,11.16,11.01,15012.2,0.14,1.27,11.136,11.205,11.2805,23761.8,16324.4,14266.0,0.06
2020-07-16 13:35:00,11.13,11.13,11.02,11.0,58266.8,-0.11,-0.99,11.16,11.21,11.2895,22042.0,17070.2,14192.3,0.25
2020-07-16 13:30:00,11.17,11.18,11.13,11.13,24535.2,-0.04,-0.36,11.21,11.239,11.3085,11723.7,12838.0,11937.4,0.1
2020-07-16 13:25:00,11.21,11.22,11.17,11.17,11655.8,-0.04,-0.36,11.23,11.262,11.3175,8655.47,10914.5,11869.1,0.05
2020-07-16 13:20:00,11.28,11.29,11.2,11.2,9338.96,-0.08,-0.71,11.256,11.283,11.33,7400.63,10478.6,11948.9,0.04
2020-07-16 13:15:00,11.27,11.3,11.28,11.21,6413.04,0.01,0.09,11.274,11.307,11.342,8886.92,10797.9,12468.0,0.03
2020-07-16 13:10:00,11.25,11.27,11.27,11.21,6675.56,0.02,0.18,11.26,11.317,11.35,12098.5,10800.6,12838.6,0.03
2020-07-16 13:05:00,11.3,11.3,11.23,11.22,9194.0,-0.07,-0.62,11.268,11.328,11.3585,13952.3,10811.1,13554.7,0.04
2020-07-16 11:30:00,11.28,11.33,11.3,11.28,5381.6,0.02,0.18,11.294,11.342,11.372,13173.5,11600.4,16297.0,0.02
2020-07-16 11:25:00,11.21,11.36,11.29,11.18,16770.4,0.08,0.71,11.31,11.347,11.3815,13556.6,12059.6,17926.3,0.07
2020-07-16 11:20:00,11.32,11.32,11.21,11.2,22471.0,-0.11,-0.97,11.34,11.356,11.39,12709.0,12207.6,20705.4,0.1
2020-07-16 11:15:00,11.33,11.35,11.31,11.27,15944.6,-0.02,-0.18,11.374,11.369,11.395,9502.6,11314.3,22906.6,0.07
2020-07-16 11:10:00,11.38,11.39,11.36,11.36,5300.0,-0.02,-0.18,11.388,11.378,11.3945,7669.87,11036.8,25977.4,0.02
2020-07-16 11:05:00,11.43,11.43,11.38,11.38,7297.0,-0.05,-0.44,11.39,11.373,11.3855,10027.4,12823.8,26135.5,0.03
2020-07-16 11:00:00,11.41,11.5,11.44,11.4,12532.2,0.03,0.26,11.384,11.377,11.3755,10562.7,13419.2,27560.5,0.05
2020-07-16 10:55:00,11.39,11.43,11.38,11.37,6439.2,-0.01,-0.09,11.372,11.377,11.364,11706.2,14138.0,28330.5,0.03
2020-07-16 10:50:00,11.36,11.41,11.38,11.36,6780.96,0.02,0.18,11.364,11.383,11.355,13125.9,14876.6,29035.6,0.03
2020-07-16 10:45:00,11.39,11.39,11.37,11.27,17087.4,-0.02,-0.18,11.368,11.389,11.3475,14403.6,16298.2,29614.0,0.07
2020-07-16 10:40:00,11.37,11.41,11.35,11.33,9973.6,-0.02,-0.18,11.356,11.402,11.3465,15620.2,20993.6,29413.2,0.04
2020-07-16 10:35:00,11.34,11.45,11.38,11.34,18249.7,0.04,0.35,11.37,11.416,11.344,16275.7,23793.0,29523.3,0.08
