date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,9.98,9.98,9.94,9.91,15919.5,-0.04,-0.4,9.99,10.085,10.2095,32789.0,33724.9,26955.6,0.05
2020-07-16 14:55:00,9.98,10.0,9.98,9.95,31181.0,0.0,0.0,10.006,10.12,10.231,44347.8,33436.1,26793.2,0.1
2020-07-16 14:50:00,10.02,10.1,10.0,9.99,25576.9,-0.02,-0.2,10.044,10.16,10.2535,42868.1,31521.2,25655.1,0.09
2020-07-16 14:45:00,10.01,10.1,10.01,9.99,30931.8,0.0,0.0,10.092,10.195,10.2755,43518.7,30314.7,25061.0,0.1
2020-07-16 14:40:00,9.99,10.03,10.02,9.9,60335.7,0.03,0.3,10.128,10.223,10.2955,43769.7,28570.5,24176.8,0.2
2020-07-16 14:35:00,10.12,10.12,10.02,9.95,73713.7,-0.1,-0.99,10.18,10.261,10.3195,34660.7,23886.1,21506.7,0.25
2020-07-16 14:30:00,10.21,10.22,10.17,10.15,23782.6,-0.04,-0.39,10.234,10.298,10.3425,22524.5,18677.3,18839.3,0.08
2020-07-16 14:25:00,10.16,10.28,10.24,10.16,28829.9,0.08,0.79,10.276,10.316,10.356,20174.3,19162.0,18737.8,0.1
2020-07-16 14:20:00,10.28,10.28,10.19,10.18,32186.7,-0.09,-0.88,10.298,10.317,10.369,17110.7,21336.1,18544.1,0.11
2020-07-16 14:15:00,10.29,10.31,10.28,10.25,14790.8,-0.01,-0.1,10.318,10.328,10.388,13371.2,19938.5,17294.5,0.05
2020-07-16 14:10:00,10.37,10.38,10.29,10.25,13032.3,-0.08,-0.77,10.342,10.334,10.404,13111.5,20186.4,17028.9,0.04
2020-07-16 14:05:00,10.34,10.39,10.38,10.31,12031.6,0.04,0.39,10.362,10.342,10.4205,14830.1,20150.2,17826.8,0.04
2020-07-16 14:00:00,10.29,10.35,10.35,10.27,13512.0,0.06,0.58,10.356,10.347,10.432,18149.6,19789.1,17702.5,0.05
