date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,12.1,12.14,12.08,12.08,14439.1,-0.02,-0.17,12.126,12.309,12.508,41988.9,37109.6,29209.4,0.03
2020-07-16 14:55:00,12.07,12.15,12.1,12.04,54786.4,0.03,0.25,12.146,12.371,12.539,54966.1,36672.8,29042.8,0.1
2020-07-16 14:50:00,12.19,12.22,12.06,12.03,42616.5,-0.13,-1.07,12.222,12.441,12.575,49227.8,32343.7,26605.6,0.08
2020-07-16 14:45:00,12.19,12.32,12.19,12.15,36119.3,0.0,0.0,12.332,12.512,12.614,44624.9,29202.9,24828.6,0.06
2020-07-16 14:40:00,12.18,12.23,12.2,12.08,61983.2,0.02,0.16,12.4,12.562,12.6465,41696.6,26718.4,23828.1,0.11
2020-07-16 14:35:00,12.48,12.48,12.18,12.01,79325.0,-0.3,-2.4,12.492,12.626,12.6775,32230.4,22472.2,21036.4,0.14
2020-07-16 14:30:00,12.6,12.62,12.48,12.48,26095.2,-0.12,-0.95,12.596,12.686,12.7115,18379.6,16685.2,18122.0,0.05
2020-07-16 14:25:00,12.53,12.65,12.61,12.53,19601.8,0.08,0.64,12.66,12.705,12.7235,15459.6,16368.7,17757.0,0.03
2020-07-16 14:20:00,12.65,12.66,12.53,12.52,21478.0,-0.12,-0.95,12.692,12.701,12.7345,13780.8,19908.4,18168.3,0.04
2020-07-16 14:15:00,12.7,12.73,12.66,12.6,14652.0,-0.04,-0.31,12.724,12.706,12.75,11740.2,20984.5,17748.0,0.03
2020-07-16 14:10:00,12.8,12.81,12.7,12.68,10071.0,-0.1,-0.78,12.76,12.707,12.762,12714.1,21309.2,17502.4,0.02
2020-07-16 14:05:00,12.78,12.85,12.8,12.76,11495.1,0.02,0.16,12.776,12.707,12.776,14990.9,21412.8,18359.1,0.02
2020-07-16 14:00:00,12.69,12.78,12.77,12.66,11208.1,0.08,0.63,12.75,12.709,12.786,17277.9,20867.5,18331.2,0.02
2020-07-16 13:55:00,12.83,12.84,12.69,12.69,11275.0,-0.14,-1.09,12.71,12.716,12.7975,26036.0,20454.4,18444.2,0.02
2020-07-16 13:50:00,12.79,12.9,12.84,12.74,19521.2,0.05,0.39,12.688,12.731,12.813,30228.7,20937.7,19170.0,0.03
2020-07-16 13:45:00,12.68,12.88,12.78,12.68,21455.1,0.1,0.79,12.654,12.729,12.819,29904.3,19600.5,18661.7,0.04
2020-07-16 13:40:00,12.57,12.74,12.67,12.57,22930.0,0.1,0.8,12.638,12.737,12.83,27834.6,19558.7,19399.7,0.04
2020-07-16 13:35:00,12.6,12.64,12.57,12.5,54998.5,-0.03,-0.24,12.668,12.742,12.844,24457.1,19145.3,19332.4,0.1
2020-07-16 13:30:00,12.67,12.7,12.58,12.58,32238.7,-0.09,-0.71,12.722,12.768,12.8655,14872.8,16428.1,17873.9,0.06
2020-07-16 13:25:00,12.68,12.78,12.67,12.66,17899.0,-0.01,-0.08,12.774,12.794,12.8825,11646.7,14511.6,18635.4,0.03
2020-07-16 13:20:00,12.83,12.85,12.7,12.68,11107.0,-0.13,-1.01,12.804,12.817,12.905,9296.68,13695.6,20161.9,0.02
2020-07-16 13:15:00,12.84,12.86,12.82,12.79,6042.11,-0.02,-0.16,12.836,12.845,12.9225,11282.7,15305.4,21960.8,0.01
2020-07-16 13:10:00,12.83,12.85,12.84,12.79,7077.0,0.01,0.08,12.816,12.863,12.929,13833.6,15795.0,24111.7,0.01
