date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,25.26,25.33,25.28,25.26,58743.7,0.02,0.08,25.396,25.763,26.1625,208917.0,167011.0,131973.0,0.11
2020-07-16 14:55:00,25.32,25.32,25.26,25.22,335868.0,-0.06,-0.24,25.478,25.868,26.213,225300.0,167705.0,133412.0,0.62
2020-07-16 14:50:00,25.38,25.58,25.3,25.3,175166.0,-0.08,-0.32,25.656,26.022,26.277,177462.0,138072.0,121381.0,0.32
2020-07-16 14:45:00,25.81,25.84,25.4,25.4,123660.0,-0.41,-1.59,25.844,26.172,26.341,179866.0,124983.0,117788.0,0.23
2020-07-16 14:40:00,25.69,25.8,25.74,25.22,351145.0,0.05,0.19,25.984,26.302,26.3995,181743.0,118023.0,116247.0,0.65
2020-07-16 14:35:00,26.15,26.15,25.69,25.69,140661.0,-0.46,-1.76,26.13,26.408,26.4545,125105.0,90653.8,105133.0,0.26
2020-07-16 14:30:00,26.34,26.36,26.15,26.15,96675.8,-0.19,-0.72,26.258,26.507,26.5035,110109.0,89023.3,111496.0,0.18
2020-07-16 14:25:00,26.1,26.24,26.24,25.96,187188.0,0.14,0.54,26.388,26.567,26.513,98683.4,94053.7,124687.0,0.34
2020-07-16 14:20:00,26.47,26.49,26.1,26.1,133045.0,-0.37,-1.4,26.5,26.571,26.5465,70100.9,94384.1,130396.0,0.24
2020-07-16 14:15:00,26.34,26.47,26.47,26.3,67955.8,0.13,0.49,26.62,26.582,26.611,54303.2,89748.8,132085.0,0.13
2020-07-16 14:10:00,26.8,26.8,26.33,26.28,65682.2,-0.47,-1.75,26.686,26.562,26.6655,56202.5,96935.7,134264.0,0.12
2020-07-16 14:05:00,26.83,26.84,26.8,26.68,39545.9,-0.03,-0.11,26.756,26.558,26.7365,67937.2,99118.4,135131.0,0.07
2020-07-16 14:00:00,26.69,26.82,26.8,26.5,44275.8,0.11,0.41,26.746,26.532,26.794,89424.1,104689.0,135670.0,0.08
2020-07-16 13:55:00,26.9,26.98,26.7,26.7,54056.3,-0.2,-0.74,26.642,26.51,26.8575,118667.0,110593.0,136194.0,0.1
2020-07-16 13:50:00,26.68,27.0,26.8,26.68,77452.2,0.12,0.45,26.544,26.497,26.9235,125194.0,114472.0,136368.0,0.14
