date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,29.3,29.32,29.3,29.26,84486.0,0.0,0.0,29.422,29.729,30.0685,135842.0,117481.0,110509.0,0.09
2020-07-16 14:55:00,29.41,29.48,29.3,29.28,173213.0,-0.11,-0.37,29.482,29.817,30.1295,156041.0,115348.0,108382.0,0.18
2020-07-16 14:50:00,29.56,29.64,29.41,29.41,113289.0,-0.15,-0.51,29.642,29.955,30.206,134617.0,101674.0,101906.0,0.12
2020-07-16 14:45:00,29.55,29.8,29.56,29.52,108070.0,0.01,0.03,29.81,30.073,30.2725,127257.0,95008.6,98654.5,0.11
2020-07-16 14:40:00,29.6,29.6,29.54,29.28,200153.0,-0.06,-0.2,29.884,30.156,30.3275,121809.0,88696.5,96299.1,0.2
2020-07-16 14:35:00,29.95,29.95,29.6,29.5,185480.0,-0.35,-1.17,30.036,30.265,30.391,99119.7,74405.6,89023.8,0.19
2020-07-16 14:30:00,30.09,30.29,30.1,30.07,66090.8,0.01,0.03,30.152,30.362,30.4475,74655.8,66550.2,86100.2,0.07
2020-07-16 14:25:00,29.94,30.3,30.25,29.94,76490.7,0.31,1.04,30.268,30.401,30.471,68731.1,72558.5,92313.7,0.08
2020-07-16 14:20:00,30.3,30.3,29.93,29.93,80831.0,-0.37,-1.22,30.336,30.376,30.4985,62760.3,97400.2,99546.5,0.08
2020-07-16 14:15:00,30.19,30.39,30.3,30.02,86706.2,0.11,0.36,30.428,30.408,30.557,55584.0,100422.0,100028.0,0.09
2020-07-16 14:10:00,30.69,30.69,30.18,30.12,63160.2,-0.51,-1.66,30.494,30.408,30.599,49691.4,103537.0,99513.4,0.06
2020-07-16 14:05:00,30.6,30.7,30.68,30.48,36467.5,0.08,0.26,30.572,30.442,30.6585,58444.6,101416.0,99008.8,0.04
2020-07-16 14:00:00,30.39,30.6,30.59,30.29,46636.4,0.2,0.66,30.534,30.457,30.6935,76385.9,102138.0,98880.1,0.05
2020-07-16 13:55:00,30.63,30.67,30.39,30.39,44949.5,-0.24,-0.78,30.416,30.472,30.7405,132040.0,102300.0,99075.4,0.05
2020-07-16 13:50:00,30.56,30.74,30.63,30.45,57243.5,0.07,0.23,30.388,30.499,30.792,145261.0,103902.0,99594.2,0.06
2020-07-16 13:45:00,30.47,30.74,30.57,30.47,106926.0,0.1,0.33,30.322,30.517,30.826,157383.0,103642.0,99314.5,0.11
2020-07-16 13:40:00,30.05,30.5,30.49,30.02,126174.0,0.44,1.46,30.312,30.533,30.8685,144388.0,105650.0,99154.5,0.13
2020-07-16 13:35:00,30.06,30.18,30.0,29.95,324908.0,-0.06,-0.2,30.38,30.541,30.9015,127891.0,112069.0,100053.0,0.33
2020-07-16 13:30:00,30.29,30.47,30.25,30.25,111052.0,-0.04,-0.13,30.528,30.621,30.97,72560.8,101693.0,87938.6,0.11
2020-07-16 13:25:00,30.53,30.63,30.3,30.3,117853.0,-0.23,-0.75,30.61,30.706,31.019,62542.5,99634.2,92780.9,0.12
2020-07-16 13:20:00,30.85,30.91,30.52,30.52,41954.6,-0.33,-1.07,30.712,30.79,31.088,49901.5,95489.8,90117.2,0.04
2020-07-16 13:15:00,30.8,30.9,30.83,30.7,43687.0,0.03,0.1,30.754,30.875,31.142,66912.0,96601.1,94472.2,0.04
2020-07-16 13:10:00,30.67,30.82,30.74,30.66,48257.4,0.07,0.23,30.702,30.93,31.185,96246.8,95621.8,96236.5,0.05
2020-07-16 13:05:00,30.82,30.9,30.66,30.62,60960.6,-0.16,-0.52,30.714,31.009,31.2285,130825.0,95850.3,100581.0,0.06
2020-07-16 11:30:00,30.79,30.88,30.81,30.74,54648.0,0.02,0.06,30.802,31.085,31.288,136726.0,95286.8,105464.0,0.06
2020-07-16 11:25:00,30.56,30.83,30.73,30.42,127007.0,0.17,0.56,30.868,31.135,31.349,141078.0,94986.9,108651.0,0.13
2020-07-16 11:20:00,30.78,30.78,30.57,30.4,190361.0,-0.21,-0.68,30.996,31.204,31.418,126290.0,92658.9,110140.0,0.19
2020-07-16 11:15:00,31.1,31.1,30.8,30.66,221148.0,-0.3,-0.96,31.158,31.262,31.4745,94996.8,88037.0,107167.0,0.23
