date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,5.91,5.91,5.9,5.88,17113.3,-0.01,-0.17,5.93,5.98,6.0495,27185.1,26187.6,21458.9,0.09
2020-07-16 14:55:00,5.9,5.94,5.91,5.9,30691.0,0.01,0.17,5.934,5.995,6.061,32524.4,26776.6,21036.3,0.17
2020-07-16 14:50:00,5.96,5.99,5.91,5.9,27989.0,-0.05,-0.84,5.962,6.018,6.0755,30236.8,25041.8,19907.3,0.16
2020-07-16 14:45:00,5.97,6.0,5.96,5.94,19467.2,-0.01,-0.17,5.994,6.04,6.09,29427.2,22851.1,18934.2,0.11
2020-07-16 14:40:00,5.92,5.98,5.97,5.87,40664.8,0.05,0.84,6.008,6.055,6.1035,30103.0,22209.4,18881.3,0.23
2020-07-16 14:35:00,6.05,6.05,5.92,5.9,43810.2,-0.13,-2.15,6.03,6.074,6.116,25190.2,19806.9,17228.0,0.24
2020-07-16 14:30:00,6.07,6.09,6.05,6.05,19253.0,-0.02,-0.33,6.056,6.098,6.131,21028.8,17021.0,15961.4,0.11
2020-07-16 14:25:00,6.04,6.07,6.07,6.0,23941.0,0.03,0.5,6.074,6.108,6.137,19846.8,17784.6,15827.3,0.13
2020-07-16 14:20:00,6.08,6.08,6.03,6.02,22845.8,-0.05,-0.82,6.086,6.106,6.1445,16275.0,18071.3,15755.1,0.13
2020-07-16 14:15:00,6.04,6.1,6.08,6.03,16101.0,0.04,0.66,6.102,6.114,6.155,14315.8,17287.9,15014.4,0.09
2020-07-16 14:10:00,6.14,6.15,6.05,6.04,23003.0,-0.09,-1.47,6.118,6.119,6.163,14423.6,16730.2,14802.9,0.13
2020-07-16 14:05:00,6.13,6.15,6.14,6.11,13343.0,0.01,0.16,6.14,6.127,6.1735,13013.2,15296.1,15302.7,0.07
2020-07-16 14:00:00,6.12,6.14,6.13,6.11,6082.0,0.01,0.16,6.142,6.133,6.182,15722.4,14772.8,16921.3,0.03
2020-07-16 13:55:00,6.16,6.19,6.11,6.11,13049.9,-0.05,-0.81,6.126,6.14,6.188,19867.6,15017.3,17250.9,0.07
2020-07-16 13:50:00,6.16,6.21,6.16,6.15,16640.0,0.0,0.0,6.126,6.152,6.193,20260.0,15553.3,17551.3,0.09
2020-07-16 13:45:00,6.15,6.21,6.16,6.14,15951.0,0.01,0.16,6.12,6.158,6.1955,19036.8,14649.1,17473.4,0.09
2020-07-16 13:40:00,6.05,6.2,6.15,6.05,26889.0,0.1,1.65,6.114,6.164,6.1985,17579.0,14901.8,21698.5,0.15
2020-07-16 13:35:00,6.07,6.11,6.05,6.05,26808.0,-0.02,-0.33,6.124,6.166,6.199,13823.2,13870.1,21192.6,0.15
2020-07-16 13:30:00,6.13,6.14,6.11,6.1,15012.1,-0.02,-0.33,6.154,6.183,6.204,10167.0,13438.8,21143.4,0.08
2020-07-16 13:25:00,6.13,6.16,6.13,6.12,10524.0,0.0,0.0,6.178,6.196,6.2045,10846.6,12740.8,21295.8,0.06
2020-07-16 13:20:00,6.19,6.21,6.13,6.13,8661.75,-0.06,-0.97,6.196,6.207,6.2055,10261.4,12875.6,21250.8,0.05
2020-07-16 13:15:00,6.2,6.21,6.2,6.17,8110.0,0.0,0.0,6.214,6.22,6.2065,12224.6,15309.4,21652.8,0.04
2020-07-16 13:10:00,6.23,6.23,6.2,6.18,8527.13,-0.03,-0.48,6.208,6.231,6.2045,13917.0,19069.9,22005.9,0.05
2020-07-16 13:05:00,6.23,6.26,6.23,6.21,18410.0,0.0,0.0,6.212,6.236,6.2025,16710.7,19484.5,22362.9,0.1
2020-07-16 11:30:00,6.21,6.23,6.22,6.2,7598.0,0.01,0.16,6.214,6.234,6.2,14635.1,19549.4,24953.5,0.04
2020-07-16 11:25:00,6.16,6.23,6.22,6.13,18478.0,0.06,0.97,6.218,6.233,6.198,15489.9,20297.7,27401.5,0.1
2020-07-16 11:20:00,6.22,6.22,6.17,6.15,16572.0,-0.05,-0.8,6.226,6.233,6.1935,18394.1,28495.2,28540.0,0.09
2020-07-16 11:15:00,6.19,6.22,6.22,6.17,22495.4,0.03,0.48,6.254,6.232,6.189,24222.7,28515.2,29244.6,0.12
2020-07-16 11:10:00,6.24,6.24,6.24,6.21,8032.0,0.0,0.0,6.26,6.225,6.183,22258.4,28847.9,30859.6,0.04
2020-07-16 11:05:00,6.26,6.27,6.24,6.24,11872.0,-0.02,-0.32,6.254,6.213,6.173,24463.7,29850.8,31417.0,0.07
2020-07-16 11:00:00,6.27,6.31,6.26,6.25,32999.0,-0.01,-0.16,6.248,6.204,6.16,25105.5,29626.0,33218.1,0.18
2020-07-16 10:55:00,6.24,6.31,6.31,6.23,45715.0,0.07,1.12,6.24,6.193,6.149,38596.3,27996.3,34111.4,0.25
2020-07-16 10:50:00,6.22,6.25,6.25,6.21,12674.0,0.03,0.48,6.21,6.178,6.139,32807.7,24941.8,32641.0,0.07
2020-07-16 10:45:00,6.21,6.23,6.21,6.16,19058.6,0.0,0.0,6.19,6.169,6.1335,35437.3,25241.4,32699.3,0.11
2020-07-16 10:40:00,6.22,6.23,6.21,6.19,15081.0,-0.01,-0.16,6.172,6.166,6.1325,35237.8,30357.5,32122.6,0.08
2020-07-16 10:35:00,6.16,6.27,6.22,6.16,100453.0,0.06,0.97,6.16,6.163,6.131,34146.4,34505.2,31916.5,0.56
2020-07-16 10:30:00,6.16,6.16,6.16,6.13,16772.0,0.0,0.0,6.146,6.154,6.129,17396.2,28584.8,27260.0,0.09
