date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,13.65,13.67,13.62,13.6,21662.2,-0.03,-0.22,13.712,13.887,14.0885,33868.9,28360.2,22058.6,0.18
2020-07-16 14:55:00,13.73,13.74,13.65,13.65,33754.6,-0.08,-0.58,13.758,13.947,14.126,36850.7,27868.8,21319.9,0.27
2020-07-16 14:50:00,13.75,13.83,13.72,13.7,31364.5,-0.03,-0.22,13.844,14.022,14.1655,32612.9,26101.4,20038.5,0.26
2020-07-16 14:45:00,13.85,13.91,13.75,13.75,22835.0,-0.1,-0.72,13.926,14.085,14.2,31601.0,23814.8,18922.8,0.19
2020-07-16 14:40:00,13.85,13.86,13.82,13.65,59728.2,-0.03,-0.22,13.988,14.138,14.234,31086.2,22661.2,18142.4,0.49
2020-07-16 14:35:00,14.08,14.08,13.85,13.8,36571.0,-0.23,-1.63,14.062,14.189,14.263,22851.4,18122.0,15535.7,0.3
2020-07-16 14:30:00,14.12,14.15,14.08,14.08,12566.0,-0.04,-0.28,14.136,14.234,14.2925,18887.0,15816.1,14931.3,0.1
2020-07-16 14:25:00,14.04,14.14,14.13,14.02,26305.0,0.09,0.64,14.2,14.258,14.305,19589.8,16476.7,15350.9,0.21
2020-07-16 14:20:00,14.18,14.19,14.06,14.06,20261.0,-0.12,-0.85,14.244,14.259,14.319,16028.6,16933.6,14967.3,0.16
2020-07-16 14:15:00,14.24,14.25,14.19,14.08,18554.0,-0.05,-0.35,14.288,14.28,14.3415,14236.2,16098.6,14221.3,0.15
2020-07-16 14:10:00,14.41,14.42,14.22,14.17,16749.2,-0.19,-1.32,14.316,14.29,14.3595,13392.7,15757.0,13775.8,0.14
2020-07-16 14:05:00,14.35,14.42,14.4,14.3,16079.8,0.05,0.35,14.332,14.305,14.378,12745.2,14771.0,13764.8,0.13
2020-07-16 14:00:00,14.28,14.35,14.35,14.24,8499.0,0.07,0.49,14.316,14.309,14.3875,13363.7,13975.7,13311.2,0.07
2020-07-16 13:55:00,14.33,14.39,14.28,14.28,11299.0,-0.05,-0.35,14.274,14.315,14.401,17838.7,14030.7,13395.2,0.09
2020-07-16 13:50:00,14.3,14.36,14.33,14.29,14336.3,0.03,0.21,14.272,14.33,14.4165,17961.1,13623.5,13218.4,0.12
2020-07-16 13:45:00,14.32,14.41,14.3,14.3,13512.0,-0.02,-0.14,14.264,14.337,14.4275,18121.4,12949.3,12784.6,0.11
2020-07-16 13:40:00,14.15,14.36,14.32,14.1,19172.0,0.17,1.2,14.278,14.351,14.442,16796.7,14046.5,13026.7,0.16
2020-07-16 13:35:00,14.27,14.27,14.14,14.08,30874.2,-0.13,-0.91,14.302,14.352,14.449,14587.7,14225.1,13238.8,0.25
2020-07-16 13:30:00,14.29,14.35,14.27,14.27,11911.0,-0.02,-0.14,14.356,14.379,14.473,10222.7,13000.9,12449.0,0.1
2020-07-16 13:25:00,14.36,14.38,14.29,14.27,15138.0,-0.07,-0.49,14.388,14.403,14.488,9285.87,12343.9,12607.8,0.12
2020-07-16 13:20:00,14.43,14.45,14.37,14.35,6888.25,-0.06,-0.42,14.41,14.429,14.501,7777.23,11794.5,12506.9,0.06
2020-07-16 13:15:00,14.41,14.45,14.44,14.38,8127.11,0.03,0.21,14.424,14.451,14.5105,11296.4,12758.7,12867.2,0.07
2020-07-16 13:10:00,14.41,14.43,14.41,14.37,9049.13,0.0,0.0,14.402,14.466,14.518,13862.6,12646.8,13297.1,0.07
2020-07-16 13:05:00,14.4,14.44,14.43,14.38,7226.87,0.03,0.21,14.402,14.487,14.525,15779.1,12759.8,13568.9,0.06
2020-07-16 11:30:00,14.44,14.47,14.4,14.38,7594.78,-0.04,-0.28,14.418,14.503,14.534,15402.0,12813.3,15785.7,0.06
2020-07-16 11:25:00,14.33,14.45,14.44,14.3,24484.0,0.11,0.77,14.448,14.518,14.5475,15811.8,12619.9,16877.4,0.2
2020-07-16 11:20:00,14.43,14.43,14.33,14.33,20958.0,-0.1,-0.69,14.478,14.533,14.5565,14221.0,12006.8,17627.5,0.17
2020-07-16 11:15:00,14.49,14.49,14.41,14.4,18632.0,-0.08,-0.55,14.53,14.546,14.5645,11431.0,12252.5,18243.5,0.15
2020-07-16 11:10:00,14.53,14.54,14.51,14.51,5341.0,-0.02,-0.14,14.572,14.567,14.5645,9740.4,11897.0,19469.9,0.04
2020-07-16 11:05:00,14.58,14.62,14.55,14.53,9644.0,-0.03,-0.21,14.588,14.573,14.5505,10224.6,12871.7,19807.9,0.08
2020-07-16 11:00:00,14.58,14.68,14.59,14.58,16530.0,0.01,0.07,14.588,14.573,14.537,9428.0,13219.2,20983.9,0.13
2020-07-16 10:55:00,14.64,14.66,14.59,14.58,7008.0,-0.05,-0.34,14.588,14.57,14.523,9792.6,12975.7,21572.7,0.06
2020-07-16 10:50:00,14.6,14.63,14.62,14.58,10179.0,0.02,0.14,14.562,14.57,14.513,13074.0,13947.4,22109.2,0.08
2020-07-16 10:45:00,14.54,14.59,14.59,14.5,7762.0,0.05,0.34,14.562,14.563,14.5045,14053.6,14378.0,22633.2,0.06
2020-07-16 10:40:00,14.59,14.6,14.55,14.53,5661.0,-0.04,-0.27,14.558,14.565,14.503,15518.8,18758.1,23045.7,0.05
2020-07-16 10:35:00,14.54,14.62,14.59,14.54,18353.0,0.05,0.34,14.558,14.577,14.503,17010.4,21135.0,23420.8,0.15
2020-07-16 10:30:00,14.58,14.58,14.46,14.4,23415.0,-0.12,-0.82,14.552,14.58,14.5035,16158.8,23248.1,23211.2,0.19
2020-07-16 10:25:00,14.57,14.62,14.62,14.54,15077.0,0.05,0.34,14.578,14.583,14.513,14820.7,24234.6,22345.7,0.12
2020-07-16 10:20:00,14.55,14.58,14.57,14.52,15088.0,0.02,0.14,14.564,14.562,14.515,14702.4,27042.9,21971.8,0.12
2020-07-16 10:15:00,14.56,14.61,14.55,14.53,13119.0,-0.01,-0.07,14.572,14.528,14.515,21997.5,26744.2,21765.7,0.11
2020-07-16 10:10:00,14.59,14.6,14.56,14.52,14095.0,-0.03,-0.21,14.596,14.501,14.522,25259.6,28748.6,21847.0,0.11
2020-07-16 10:05:00,14.55,14.64,14.59,14.55,16724.5,0.04,0.27,14.608,14.476,14.529,30337.5,30169.7,21997.6,0.14
2020-07-16 10:00:00,14.61,14.68,14.55,14.55,14485.5,-0.06,-0.41,14.588,14.456,14.5365,33648.5,30271.1,21808.7,0.12
2020-07-16 09:55:00,14.67,14.81,14.61,14.6,51563.4,-0.06,-0.41,14.56,14.446,14.5435,39383.4,30888.4,21572.1,0.42
2020-07-16 09:50:00,14.65,14.68,14.67,14.61,29429.5,0.02,0.14,14.484,14.441,14.547,31490.9,27333.2,19587.7,0.24
2020-07-16 09:45:00,14.49,14.66,14.62,14.49,39484.5,0.13,0.9,14.406,14.429,14.5495,32237.7,25706.6,18589.2,0.32
2020-07-16 09:40:00,14.41,14.53,14.49,14.33,33279.5,0.08,0.56,14.344,14.427,14.55,30002.0,23174.2,17050.7,0.27
2020-07-16 09:35:00,14.31,14.5,14.41,14.31,43160.0,0.1,0.7,14.324,14.443,14.5555,26893.7,20456.9,16244.1,0.35
2020-07-15 15:00:00,14.27,14.3,14.23,14.23,12101.0,-0.04,-0.28,14.332,14.468,14.567,22393.4,16900.6,15197.5,0.1
2020-07-15 14:55:00,14.32,14.33,14.28,14.23,33163.6,-0.04,-0.28,14.398,14.502,14.5895,23175.5,16787.2,15635.8,0.27
2020-07-15 14:50:00,14.38,14.39,14.31,14.3,28305.7,-0.07,-0.49,14.452,14.543,14.6035,19175.5,14945.4,14352.0,0.23
2020-07-15 14:45:00,14.45,14.45,14.39,14.36,17738.0,-0.06,-0.42,14.51,14.582,14.612,16346.5,13825.4,13394.1,0.14
2020-07-15 14:40:00,14.56,14.56,14.45,14.39,20658.7,-0.11,-0.76,14.562,14.617,14.6125,14020.0,13346.3,13328.7,0.17
2020-07-15 14:35:00,14.56,14.59,14.56,14.51,16011.7,0.0,0.0,14.604,14.641,14.608,11407.9,12255.9,13039.7,0.13
2020-07-15 14:30:00,14.6,14.6,14.55,14.54,13163.6,-0.05,-0.34,14.606,14.653,14.594,10398.9,11842.2,13778.5,0.11
2020-07-15 14:25:00,14.67,14.67,14.6,14.59,14160.5,-0.07,-0.48,14.634,14.67,14.577,10715.3,11471.7,15846.2,0.12
2020-07-15 14:20:00,14.69,14.69,14.65,14.63,6105.73,-0.04,-0.27,14.654,14.673,14.5665,11304.4,10927.1,15796.0,0.05
2020-07-15 14:15:00,14.57,14.68,14.66,14.57,7597.76,0.09,0.62,14.672,14.668,14.5605,12672.7,12031.4,16273.8,0.06
