date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,27.51,27.54,27.54,27.32,54559.1,0.03,0.11,27.638,27.914,28.395,73887.3,80482.2,67264.4,0.14
2020-07-16 14:55:00,27.49,27.8,27.51,27.25,80559.9,0.02,0.07,27.55,28.025,28.4525,101378.0,79161.4,65541.5,0.21
2020-07-16 14:50:00,28.08,28.1,27.51,27.51,43790.4,-0.57,-2.03,27.596,28.18,28.533,104301.0,73908.4,62899.9,0.11
2020-07-16 14:45:00,27.56,28.36,28.08,27.56,58056.1,0.52,1.89,27.832,28.333,28.591,108614.0,71939.8,61633.7,0.15
2020-07-16 14:40:00,27.1,27.55,27.55,27.0,132471.0,0.45,1.66,27.928,28.412,28.6235,105409.0,69009.9,59960.0,0.34
2020-07-16 14:35:00,27.74,27.95,27.1,26.9,192015.0,-0.64,-2.31,28.19,28.587,28.6865,87077.0,60164.9,54293.7,0.49
2020-07-16 14:30:00,28.49,28.57,27.74,27.74,95174.6,-0.75,-2.63,28.5,28.797,28.774,56944.2,51304.2,46194.0,0.24
2020-07-16 14:25:00,28.56,28.69,28.69,28.29,65353.6,0.13,0.46,28.764,28.919,28.816,43515.3,49997.0,44142.3,0.17
2020-07-16 14:20:00,28.85,28.85,28.56,28.5,42033.2,-0.29,-1.01,28.834,28.897,28.82,35265.6,54527.5,44076.2,0.11
2020-07-16 14:15:00,28.6,28.86,28.86,28.5,40808.6,0.26,0.91,28.896,28.898,28.832,32610.3,54513.7,43503.3,0.1
2020-07-16 14:10:00,29.05,29.06,28.65,28.5,41351.2,-0.4,-1.38,28.984,28.876,28.829,33252.8,54046.6,43326.0,0.11
2020-07-16 14:05:00,29.03,29.1,29.06,28.97,28030.1,0.03,0.1,29.094,28.88,28.859,45664.2,51921.6,42744.8,0.07
2020-07-16 14:00:00,28.83,29.09,29.04,28.83,24104.8,0.21,0.73,29.074,28.886,28.8635,56478.7,51891.3,42295.8,0.06
2020-07-16 13:55:00,29.27,29.3,28.87,28.87,28757.0,-0.4,-1.37,28.96,28.849,28.875,73789.3,51327.5,42514.5,0.07
2020-07-16 13:50:00,29.21,29.4,29.3,29.07,44021.0,0.09,0.31,28.9,28.835,28.8925,76417.1,50910.1,41993.5,0.11
2020-07-16 13:45:00,28.99,29.67,29.2,28.99,103408.0,0.21,0.72,28.768,28.786,28.88,74840.4,48422.5,41396.6,0.26
2020-07-16 13:40:00,28.5,29.2,28.96,28.5,82102.7,0.46,1.61,28.666,28.751,28.891,58178.9,41083.8,39981.5,0.21
2020-07-16 13:35:00,28.58,28.58,28.47,28.01,110658.0,-0.11,-0.38,28.698,28.713,28.8955,47304.0,38287.7,38075.7,0.28
2020-07-16 13:30:00,28.65,28.82,28.57,28.57,41896.0,-0.08,-0.28,28.738,28.743,28.9215,28865.7,33625.0,34871.6,0.11
2020-07-16 13:25:00,28.7,28.89,28.64,28.57,36137.4,-0.06,-0.21,28.77,28.766,28.933,25403.1,32492.9,35044.0,0.09
2020-07-16 13:20:00,29.09,29.09,28.69,28.69,20100.6,-0.4,-1.38,28.804,28.782,28.951,22004.6,32605.4,35600.7,0.05
2020-07-16 13:15:00,28.69,29.13,29.12,28.66,27727.8,0.43,1.5,28.836,28.838,28.9645,23988.7,33568.0,37575.5,0.07
2020-07-16 13:10:00,28.71,28.77,28.67,28.55,18466.8,-0.04,-0.14,28.728,28.841,28.951,29271.4,32700.2,39028.3,0.05
2020-07-16 13:05:00,28.8,28.94,28.73,28.57,24583.0,-0.07,-0.24,28.748,28.901,28.9575,38384.3,33701.6,42289.3,0.06
2020-07-16 11:30:00,28.87,28.97,28.81,28.77,19144.6,-0.06,-0.21,28.762,28.95,28.972,39582.6,33076.9,47632.7,0.05
2020-07-16 11:25:00,28.57,28.94,28.85,28.51,30021.2,0.28,0.98,28.76,28.974,29.0135,43206.3,34370.6,52976.9,0.08
2020-07-16 11:20:00,28.77,28.77,28.58,28.43,54141.3,-0.19,-0.66,28.84,29.031,29.076,43147.3,38879.2,61169.9,0.14
2020-07-16 11:15:00,28.79,28.8,28.77,28.5,64031.6,-0.02,-0.07,28.954,29.078,29.118,36129.1,37863.7,66331.0,0.16
2020-07-16 11:10:00,28.78,29.0,28.8,28.74,30574.3,0.02,0.07,29.054,29.1,29.129,29018.8,36118.1,74120.8,0.08
2020-07-16 11:05:00,29.17,29.17,28.8,28.77,37263.3,-0.37,-1.27,29.138,29.1,29.115,26571.1,37595.2,74369.2,0.1
2020-07-16 11:00:00,29.23,29.46,29.25,29.2,29726.0,0.02,0.07,29.188,29.12,29.1005,25534.9,38596.0,76851.4,0.08
2020-07-16 10:55:00,29.3,29.36,29.15,29.01,19050.1,-0.15,-0.51,29.222,29.091,29.068,34611.1,41583.0,79731.4,0.05
2020-07-16 10:50:00,29.21,29.27,29.27,28.97,28480.1,0.06,0.21,29.202,29.061,29.05,39598.3,45356.4,82462.4,0.07
2020-07-16 10:45:00,29.0,29.27,29.22,28.98,18336.2,0.22,0.76,29.146,29.014,29.04,43217.4,50877.1,84290.8,0.05
2020-07-16 10:40:00,29.42,29.43,29.05,28.97,32082.0,-0.37,-1.26,29.062,28.994,29.0585,48619.2,62188.4,85777.4,0.08
2020-07-16 10:35:00,29.5,29.68,29.42,29.23,75107.2,-0.08,-0.27,29.052,29.053,29.086,51657.2,71583.2,86091.8,0.19
2020-07-16 10:30:00,28.96,29.2,29.05,28.83,43986.0,0.09,0.31,28.96,29.121,29.1015,48554.8,83460.6,84837.9,0.11
2020-07-16 10:25:00,28.8,29.12,28.99,28.8,46575.7,0.19,0.66,28.92,29.158,29.1445,51114.6,94798.2,83667.9,0.12
2020-07-16 10:20:00,29.0,29.0,28.8,28.68,45345.0,-0.2,-0.69,28.882,29.158,29.2025,58536.7,112123.0,82409.0,0.12
2020-07-16 10:15:00,28.95,29.07,29.0,28.79,47272.1,0.05,0.17,28.926,29.13,29.26,75757.7,111143.0,81616.9,0.12
2020-07-16 10:10:00,28.85,29.07,28.96,28.71,59595.1,0.11,0.38,29.054,29.081,29.3095,91509.1,115107.0,81147.2,0.15
2020-07-16 10:05:00,28.8,29.14,28.85,28.8,56785.0,0.05,0.17,29.282,29.045,29.372,118366.0,117880.0,81623.8,0.15
2020-07-16 10:00:00,29.02,29.09,28.8,28.67,83686.4,-0.22,-0.76,29.396,29.039,29.439,138482.0,119568.0,80919.9,0.21
2020-07-16 09:55:00,29.64,29.64,29.02,28.75,131450.0,-0.62,-2.09,29.434,29.066,29.498,165710.0,117704.0,78002.5,0.34
2020-07-16 09:50:00,29.9,29.9,29.64,29.39,126029.0,-0.26,-0.87,29.334,29.123,29.5485,146529.0,109366.0,73175.9,0.32
2020-07-16 09:45:00,29.42,30.1,30.1,29.42,193882.0,0.68,2.31,29.108,29.119,29.569,138705.0,100600.0,69917.5,0.5
2020-07-16 09:40:00,29.04,29.42,29.42,28.74,157362.0,0.38,1.31,28.808,29.082,29.5625,117393.0,86215.2,63997.8,0.4
2020-07-16 09:35:00,28.42,29.17,28.99,28.42,219828.0,0.57,2.01,28.682,29.131,29.591,100655.0,72537.5,61785.6,0.56
2020-07-15 15:00:00,28.59,28.64,28.52,28.5,35542.3,-0.07,-0.24,28.698,29.247,29.654,69698.8,52694.4,58878.0,0.09
2020-07-15 14:55:00,28.67,28.68,28.51,28.38,86908.6,-0.16,-0.56,28.912,29.39,29.752,72204.2,52090.7,65348.4,0.22
2020-07-15 14:50:00,28.75,28.76,28.6,28.28,87326.2,-0.15,-0.52,29.13,29.538,29.8245,62496.4,47187.6,65604.1,0.22
2020-07-15 14:45:00,29.05,29.05,28.79,28.6,73670.0,-0.26,-0.9,29.356,29.699,29.874,55037.0,45367.6,66130.6,0.19
2020-07-15 14:40:00,29.56,29.58,29.07,29.0,65046.9,-0.49,-1.66,29.58,29.839,29.8935,44419.9,42271.3,64805.2,0.17
2020-07-15 14:35:00,29.59,29.7,29.59,29.51,48069.2,0.0,0.0,29.796,29.93,29.892,35690.1,38300.6,62798.9,0.12
2020-07-15 14:30:00,29.74,29.8,29.6,29.58,38369.8,-0.14,-0.47,29.868,29.974,29.8635,31977.2,36985.3,62522.3,0.1
2020-07-15 14:25:00,29.91,30.0,29.73,29.58,50029.1,-0.18,-0.6,29.946,30.019,29.8305,31878.9,39234.6,63090.1,0.13
2020-07-15 14:20:00,30.14,30.14,29.91,29.91,20584.7,-0.23,-0.76,30.042,30.043,29.802,35698.1,41780.3,65208.4,0.05
2020-07-15 14:15:00,29.95,30.15,30.15,29.88,21397.6,0.2,0.67,30.098,30.051,29.765,40122.7,51033.8,70734.8,0.05
2020-07-15 14:10:00,29.99,30.09,29.95,29.79,29504.8,-0.04,-0.13,30.064,30.061,29.692,40911.0,65061.6,70283.4,0.08
2020-07-15 14:05:00,30.21,30.25,29.99,29.98,37878.2,-0.22,-0.73,30.08,30.114,29.6255,41993.4,78606.1,69557.0,0.1
2020-07-15 14:00:00,30.19,30.48,30.21,30.17,69125.3,0.02,0.07,30.092,30.111,29.561,46590.2,84020.5,68637.4,0.18
2020-07-15 13:55:00,29.97,30.19,30.19,29.95,42707.8,0.22,0.73,30.044,30.049,29.493,47862.5,86893.7,66930.0,0.11
2020-07-15 13:50:00,30.02,30.04,29.98,29.98,25339.0,-0.04,-0.13,30.004,29.948,29.406,61944.9,87339.1,66581.4,0.06
2020-07-15 13:45:00,30.03,30.17,30.03,29.95,34916.7,0.0,0.0,30.058,29.854,29.339,89212.1,87297.3,66348.4,0.09
2020-07-15 13:40:00,29.95,30.2,30.05,29.88,60862.3,0.1,0.33,30.148,29.753,29.27,115219.0,88059.4,65454.4,0.16
2020-07-15 13:35:00,29.99,29.99,29.97,29.71,75486.5,-0.02,-0.07,30.13,29.642,29.2015,121451.0,86945.7,63461.9,0.19
2020-07-15 13:30:00,30.21,30.33,29.99,29.83,113120.0,-0.22,-0.73,30.054,29.561,29.152,125925.0,88636.4,61150.1,0.29
2020-07-15 13:25:00,30.49,30.76,30.25,30.2,161675.0,-0.24,-0.79,29.892,29.479,29.0845,112733.0,90435.7,56850.0,0.41
2020-07-15 13:20:00,29.97,30.48,30.48,29.81,164950.0,0.51,1.7,29.65,29.323,28.9935,85382.6,75505.3,51232.4,0.42
2020-07-15 13:15:00,29.52,29.96,29.96,29.5,92022.6,0.44,1.49,29.358,29.137,28.903,60900.0,60508.0,44629.4,0.24
2020-07-15 13:10:00,29.21,29.64,29.59,29.19,97856.8,0.38,1.3,29.154,29.011,28.8385,52440.7,53254.3,41462.8,0.25
2020-07-15 13:05:00,29.1,29.3,29.18,29.08,47161.7,0.08,0.27,29.068,28.937,28.801,51347.9,46966.3,38278.1,0.12
2020-07-15 11:30:00,29.02,29.09,29.04,28.99,24921.8,0.02,0.07,29.066,28.864,28.792,68138.2,45823.6,39265.9,0.06
2020-07-15 11:25:00,28.93,29.2,29.02,28.93,42537.0,0.09,0.31,28.996,28.824,28.771,65628.1,45399.5,40676.7,0.11
2020-07-15 11:20:00,29.18,29.18,28.94,28.92,49726.0,-0.24,-0.82,28.916,28.787,28.7535,60115.9,42849.4,42444.3,0.13
2020-07-15 11:15:00,29.18,29.45,29.16,29.15,92393.2,-0.02,-0.07,28.868,28.761,28.745,54068.0,39978.0,43922.6,0.24
2020-07-15 11:10:00,28.69,29.5,29.17,28.67,131113.0,0.48,1.67,28.806,28.743,28.743,42584.7,33663.9,50559.5,0.34
2020-07-15 11:05:00,28.61,28.72,28.69,28.61,12371.2,0.08,0.28,28.662,28.69,28.736,23509.1,23264.3,45642.1,0.03
2020-07-15 11:00:00,28.73,28.84,28.62,28.62,14976.3,-0.11,-0.38,28.652,28.664,28.751,25170.9,26959.6,48081.8,0.04
2020-07-15 10:55:00,28.85,28.86,28.7,28.67,19486.1,-0.15,-0.52,28.658,28.669,28.7625,25582.8,28750.9,51024.1,0.05
2020-07-15 10:50:00,28.44,28.91,28.85,28.44,34976.7,0.41,1.44,28.654,28.666,28.775,25888.0,29671.3,51933.0,0.09
2020-07-15 10:45:00,28.64,28.66,28.45,28.39,35735.2,-0.19,-0.66,28.68,28.665,28.7705,24743.1,29589.9,51654.9,0.09
2020-07-15 10:40:00,28.62,28.74,28.64,28.46,20680.4,0.02,0.07,28.718,28.72,28.792,23019.5,32708.2,51204.0,0.05
2020-07-15 10:35:00,28.7,28.81,28.65,28.65,17035.4,-0.05,-0.17,28.676,28.718,28.812,28748.2,35954.0,51641.5,0.04
2020-07-15 10:30:00,28.98,28.98,28.68,28.6,21012.3,-0.3,-1.04,28.68,28.72,28.8275,31919.0,42039.2,52413.2,0.05
2020-07-15 10:25:00,28.66,28.99,28.98,28.58,29252.1,0.32,1.12,28.678,28.729,28.84,33454.6,47867.3,53801.0,0.07
2020-07-15 10:20:00,28.44,28.64,28.64,28.4,27117.2,0.2,0.7,28.65,28.743,28.845,34436.7,67455.2,53785.8,0.07
2020-07-15 10:15:00,28.67,28.67,28.43,28.32,49323.8,-0.24,-0.84,28.722,28.782,28.857,42397.0,68019.8,54505.6,0.13
2020-07-15 10:10:00,28.67,28.79,28.67,28.5,32889.5,0.0,0.0,28.76,28.838,28.8765,43159.8,69204.1,53201.7,0.08
2020-07-15 10:05:00,28.84,28.85,28.67,28.56,28690.4,-0.17,-0.59,28.76,28.856,28.8795,52159.5,73297.4,53213.2,0.07
2020-07-15 10:00:00,29.0,29.04,28.84,28.73,34162.7,-0.16,-0.55,28.78,28.884,28.886,62280.0,74194.6,53788.9,0.09
2020-07-15 09:55:00,28.63,29.17,29.0,28.63,66918.6,0.37,1.29,28.836,28.876,28.8555,100474.0,73719.9,55963.2,0.17
2020-07-15 09:50:00,28.67,28.67,28.62,28.45,53137.7,-0.05,-0.17,28.842,28.864,28.814,93642.7,69699.7,57908.9,0.14
2020-07-15 09:45:00,28.75,28.79,28.67,28.3,77887.9,-0.08,-0.28,28.916,28.906,28.8035,95248.5,67329.0,58825.0,0.2
2020-07-15 09:40:00,29.18,29.18,28.77,28.52,79292.9,-0.41,-1.41,28.952,28.935,28.8005,94435.4,62787.1,56882.7,0.2
2020-07-15 09:35:00,29.5,29.74,29.12,28.84,225131.0,-0.38,-1.29,28.988,28.951,28.805,86109.3,59734.7,54327.2,0.58
2020-07-14 15:00:00,28.99,29.04,29.03,28.99,32763.8,0.04,0.14,28.916,28.947,28.787,46966.2,40116.4,44125.8,0.08
2020-07-14 14:55:00,28.85,29.1,28.99,28.85,61166.7,0.14,0.49,28.886,28.932,28.774,45756.8,40991.4,44124.2,0.16
2020-07-14 14:50:00,28.96,29.2,28.85,28.82,73822.4,-0.11,-0.38,28.896,28.915,28.758,39409.5,37199.3,43169.2,0.19
2020-07-14 14:45:00,28.75,29.05,28.95,28.73,37662.8,0.2,0.7,28.918,28.903,28.765,31138.9,33129.0,40492.4,0.1
2020-07-14 14:40:00,28.87,28.87,28.76,28.64,29415.3,-0.11,-0.38,28.914,28.888,28.7695,33360.1,33383.1,40022.8,0.08
2020-07-14 14:35:00,29.04,29.04,28.88,28.88,26716.7,-0.16,-0.55,28.978,28.835,28.782,33266.6,38206.6,40076.5,0.07
2020-07-14 14:30:00,28.94,29.14,29.04,28.94,29430.3,0.1,0.35,28.978,28.764,28.797,36226.0,46118.1,40227.9,0.08
2020-07-14 14:25:00,28.93,29.02,28.96,28.71,32469.5,0.03,0.1,28.934,28.701,28.807,34989.0,50321.1,40723.4,0.08
2020-07-14 14:20:00,29.1,29.38,28.93,28.92,48768.6,-0.17,-0.58,28.888,28.666,28.8315,35119.0,50978.3,41274.8,0.12
2020-07-14 14:15:00,28.88,29.08,29.08,28.85,28947.7,0.2,0.69,28.862,28.659,28.866,33406.1,48919.6,44110.2,0.07
2020-07-14 14:10:00,28.8,28.95,28.88,28.73,41514.0,0.08,0.28,28.692,28.627,28.901,43146.6,48135.3,47475.9,0.11
2020-07-14 14:05:00,28.75,28.82,28.82,28.5,23245.4,0.07,0.24,28.55,28.616,28.9105,56010.2,47257.0,46615.3,0.06
2020-07-14 14:00:00,28.85,28.86,28.73,28.55,33119.4,-0.12,-0.42,28.468,28.601,28.9215,65653.1,49139.2,47114.6,0.08
2020-07-14 13:55:00,28.25,28.8,28.8,28.15,40204.2,0.55,1.95,28.444,28.627,28.944,66837.7,47855.8,46843.1,0.1
2020-07-14 13:50:00,28.17,28.33,28.23,27.89,77650.1,0.06,0.21,28.456,28.651,28.9575,64433.1,46662.4,46721.0,0.2
2020-07-14 13:45:00,28.4,28.4,28.17,28.06,105832.0,-0.23,-0.81,28.562,28.729,28.996,53124.0,41946.3,45122.1,0.27
2020-07-14 13:40:00,28.61,28.61,28.41,28.41,71460.0,-0.2,-0.7,28.682,28.83,29.0225,38503.7,34337.6,41933.3,0.18
2020-07-14 13:35:00,28.82,28.82,28.61,28.58,39042.0,-0.21,-0.73,28.734,28.913,29.052,32625.2,31125.7,40369.2,0.1
2020-07-14 13:30:00,28.76,28.86,28.86,28.69,28181.2,0.1,0.35,28.81,28.997,29.078,28874.0,31571.4,40147.2,0.07
2020-07-14 13:25:00,28.8,28.87,28.76,28.66,21104.7,-0.04,-0.14,28.846,29.073,29.0725,28891.8,39300.7,41452.0,0.05
2020-07-14 13:20:00,28.67,28.92,28.77,28.67,32730.6,0.1,0.35,28.896,29.175,29.0655,30768.7,46816.6,42852.0,0.08
2020-07-14 13:15:00,28.99,28.99,28.67,28.67,42067.7,-0.32,-1.1,28.978,29.205,29.067,30171.6,45973.6,43133.9,0.11
2020-07-14 13:10:00,29.01,29.1,28.99,28.97,20286.0,-0.02,-0.07,29.092,29.242,29.0855,29626.1,45090.1,43595.7,0.05
2020-07-14 13:05:00,29.0,29.1,29.04,28.94,28270.0,0.04,0.14,29.184,29.261,29.0885,34268.7,45830.4,45566.7,0.07
2020-07-14 11:30:00,29.19,29.27,29.01,28.95,30489.0,-0.18,-0.62,29.3,29.264,29.088,49709.7,46779.5,47619.3,0.08
2020-07-14 11:25:00,29.22,29.29,29.18,29.1,29745.3,-0.04,-0.14,29.454,29.263,29.0785,62864.5,48297.8,49805.7,0.08
