date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,8.43,8.44,8.41,8.41,52880.3,-0.02,-0.24,8.43,8.553,8.6585,93289.8,84143.8,69611.9,0.08
2020-07-16 14:55:00,8.43,8.49,8.43,8.42,89626.3,0.0,0.0,8.44,8.587,8.6805,114419.0,82421.7,67953.9,0.13
2020-07-16 14:50:00,8.43,8.51,8.42,8.41,69277.5,-0.01,-0.12,8.484,8.629,8.706,112674.0,77278.8,64322.8,0.1
2020-07-16 14:45:00,8.45,8.56,8.43,8.4,71825.0,-0.02,-0.24,8.55,8.668,8.7285,111547.0,74170.7,62301.3,0.11
2020-07-16 14:40:00,8.46,8.47,8.46,8.33,182840.0,0.0,0.0,8.61,8.7,8.7515,105004.0,70021.7,60201.0,0.27
2020-07-16 14:35:00,8.62,8.62,8.46,8.44,158528.0,-0.16,-1.86,8.676,8.733,8.776,74997.7,54291.3,51711.2,0.24
2020-07-16 14:30:00,8.75,8.75,8.65,8.65,80898.7,-0.1,-1.14,8.734,8.766,8.8005,50424.1,42832.0,44908.8,0.12
2020-07-16 14:25:00,8.71,8.76,8.75,8.68,63641.1,0.04,0.46,8.774,8.779,8.813,41883.7,40781.8,43858.2,0.1
2020-07-16 14:20:00,8.79,8.79,8.73,8.71,39113.4,-0.06,-0.68,8.786,8.77,8.823,36794.9,47983.5,42783.3,0.06
2020-07-16 14:15:00,8.77,8.83,8.79,8.74,32807.2,0.02,0.23,8.79,8.767,8.8365,35039.2,49633.1,41984.1,0.05
2020-07-16 14:10:00,8.84,8.88,8.75,8.75,35659.9,-0.09,-1.02,8.79,8.764,8.848,33585.0,55080.1,41291.1,0.05
2020-07-16 14:05:00,8.81,8.87,8.85,8.8,38197.1,0.04,0.45,8.798,8.774,8.863,35239.9,53486.0,41561.1,0.06
2020-07-16 14:00:00,8.75,8.82,8.81,8.73,38197.0,0.06,0.69,8.784,8.783,8.8725,39679.9,51366.7,40740.6,0.06
2020-07-16 13:55:00,8.79,8.81,8.75,8.74,30335.0,-0.04,-0.46,8.754,8.789,8.8845,59172.1,50431.9,40283.8,0.05
2020-07-16 13:50:00,8.79,8.85,8.79,8.78,25536.0,0.0,0.0,8.744,8.803,8.8975,64227.0,50380.2,39653.5,0.04
2020-07-16 13:45:00,8.78,8.88,8.79,8.78,43934.4,0.01,0.11,8.738,8.819,8.907,76575.2,49131.0,39499.5,0.07
2020-07-16 13:40:00,8.65,8.81,8.78,8.65,60397.0,0.13,1.5,8.75,8.835,8.918,71732.1,46985.6,39746.2,0.09
2020-07-16 13:35:00,8.68,8.71,8.66,8.62,135658.0,-0.02,-0.23,8.782,8.847,8.9265,63053.6,46934.7,38482.0,0.2
2020-07-16 13:30:00,8.77,8.8,8.7,8.7,55609.7,-0.07,-0.8,8.824,8.876,8.9425,41691.8,37583.2,33384.9,0.08
2020-07-16 13:25:00,8.85,8.86,8.76,8.74,87276.8,-0.09,-1.02,8.862,8.906,8.9545,36533.3,34335.0,33567.4,0.13
2020-07-16 13:20:00,8.94,8.95,8.85,8.85,19719.0,-0.09,-1.01,8.9,8.932,8.966,21686.8,27502.1,30635.5,0.03
2020-07-16 13:15:00,8.87,8.94,8.94,8.87,17004.3,0.07,0.79,8.92,8.952,8.9725,22239.1,29636.1,31762.9,0.03
2020-07-16 13:10:00,8.89,8.9,8.87,8.85,28849.0,-0.02,-0.22,8.912,8.962,8.977,30815.8,30114.5,33420.6,0.04
2020-07-16 13:05:00,8.95,8.95,8.89,8.89,29817.6,-0.06,-0.67,8.928,8.98,8.984,33474.6,30135.7,34676.3,0.04
2020-07-16 11:30:00,8.95,8.96,8.95,8.92,13044.0,0.0,0.0,8.95,8.992,8.991,32136.7,28926.9,40251.1,0.02
2020-07-16 11:25:00,8.89,8.95,8.95,8.88,22480.8,0.06,0.67,8.964,8.995,8.9985,33317.5,29868.0,46768.2,0.03
2020-07-16 11:20:00,8.96,8.96,8.9,8.89,59887.4,-0.06,-0.67,8.984,9.001,9.0035,37033.1,32506.7,53079.8,0.09
2020-07-16 11:15:00,8.99,8.99,8.95,8.92,42143.0,-0.04,-0.44,9.012,9.006,9.0055,29413.3,30029.3,54444.7,0.06
2020-07-16 11:10:00,9.01,9.01,9.0,8.97,23128.4,-0.01,-0.11,9.032,9.009,9.0035,26796.8,29186.6,60707.4,0.03
2020-07-16 11:05:00,9.04,9.05,9.02,9.01,18947.8,-0.02,-0.22,9.034,9.003,8.999,25717.1,32799.8,62528.0,0.03
2020-07-16 11:00:00,9.03,9.08,9.05,9.03,41058.8,0.02,0.22,9.026,9.0,8.991,26418.6,33768.9,68281.3,0.06
2020-07-16 10:55:00,9.04,9.06,9.04,9.01,21788.4,0.0,0.0,9.018,8.993,8.9855,27980.4,33889.7,72998.8,0.03
2020-07-16 10:50:00,9.01,9.05,9.05,8.97,29060.5,0.04,0.44,9.0,8.992,8.9825,30645.3,36726.6,79872.2,0.04
2020-07-16 10:45:00,8.98,9.01,9.01,8.94,17730.0,0.03,0.33,8.986,8.988,8.9845,31576.3,39217.0,82609.2,0.03
2020-07-16 10:40:00,9.01,9.01,8.98,8.94,22455.1,-0.03,-0.33,8.972,8.99,8.993,39882.4,51575.3,83084.6,0.03
2020-07-16 10:35:00,8.95,9.03,9.01,8.95,48867.8,0.06,0.67,8.974,9.002,9.002,41119.3,63668.4,83364.4,0.07
2020-07-16 10:30:00,8.98,8.98,8.95,8.92,35113.3,-0.03,-0.33,8.968,9.006,9.0105,39799.0,73652.9,83074.7,0.05
2020-07-16 10:25:00,8.93,8.99,8.98,8.92,33715.5,0.05,0.56,8.984,9.005,9.0255,42807.9,78860.0,82578.0,0.05
