date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,8.16,8.16,8.15,8.13,21107.7,-0.01,-0.12,8.168,8.278,8.4035,46916.5,39373.6,30630.2,0.08
2020-07-16 14:55:00,8.16,8.22,8.16,8.16,50159.4,0.0,0.0,8.182,8.314,8.424,54446.0,39037.7,29940.0,0.19
2020-07-16 14:50:00,8.16,8.2,8.16,8.15,37867.0,0.0,0.0,8.228,8.355,8.447,48287.7,35212.2,27945.9,0.14
2020-07-16 14:45:00,8.21,8.26,8.16,8.14,42465.0,-0.05,-0.61,8.28,8.396,8.4685,47900.6,32848.8,26663.2,0.16
2020-07-16 14:40:00,8.22,8.23,8.21,8.15,82983.5,-0.01,-0.12,8.332,8.434,8.489,45253.3,30154.9,25415.0,0.31
2020-07-16 14:35:00,8.39,8.39,8.22,8.19,58755.0,-0.17,-2.03,8.388,8.47,8.51,31830.6,23458.2,21791.1,0.22
2020-07-16 14:30:00,8.39,8.43,8.39,8.35,19368.1,0.0,0.0,8.446,8.504,8.5305,23629.4,19703.1,19872.0,0.07
2020-07-16 14:25:00,8.41,8.45,8.42,8.35,35931.2,0.01,0.12,8.482,8.518,8.5395,22136.8,19996.6,19845.7,0.13
2020-07-16 14:20:00,8.49,8.5,8.42,8.41,29228.8,-0.07,-0.82,8.512,8.523,8.55,17796.9,20950.6,19260.5,0.11
2020-07-16 14:15:00,8.52,8.52,8.49,8.45,15870.0,-0.03,-0.35,8.536,8.529,8.5635,15056.5,20460.8,18210.0,0.06
2020-07-16 14:10:00,8.57,8.57,8.51,8.47,17748.9,-0.06,-0.7,8.552,8.529,8.5735,15085.7,21886.9,17864.2,0.07
2020-07-16 14:05:00,8.57,8.59,8.57,8.53,11905.0,0.0,0.0,8.562,8.534,8.5835,15776.7,20842.3,18143.4,0.04
2020-07-16 14:00:00,8.55,8.58,8.57,8.53,14232.0,0.02,0.23,8.554,8.539,8.59,17856.3,20679.6,18357.4,0.05
2020-07-16 13:55:00,8.58,8.63,8.54,8.54,15526.8,-0.04,-0.47,8.534,8.541,8.598,24104.4,20477.6,18399.6,0.06
2020-07-16 13:50:00,8.56,8.61,8.57,8.53,16016.0,0.01,0.12,8.522,8.544,8.605,25865.0,20675.0,18513.9,0.06
2020-07-16 13:45:00,8.55,8.61,8.56,8.54,21203.9,0.01,0.12,8.506,8.55,8.6105,28688.0,20124.1,18143.8,0.08
2020-07-16 13:40:00,8.47,8.57,8.53,8.46,22303.0,0.06,0.71,8.506,8.557,8.6185,25907.8,20040.9,18997.0,0.08
2020-07-16 13:35:00,8.47,8.5,8.47,8.41,45472.1,0.0,0.0,8.524,8.561,8.625,23502.8,19694.8,19226.3,0.17
2020-07-16 13:30:00,8.5,8.53,8.48,8.48,24330.0,-0.02,-0.24,8.548,8.577,8.6365,16850.8,17570.3,18201.8,0.09
2020-07-16 13:25:00,8.56,8.58,8.49,8.49,30131.0,-0.07,-0.82,8.566,8.598,8.6445,15485.0,15959.3,18413.9,0.11
2020-07-16 13:20:00,8.62,8.63,8.56,8.56,7303.0,-0.06,-0.7,8.594,8.618,8.6545,11560.2,13841.6,18097.9,0.03
2020-07-16 13:15:00,8.58,8.64,8.62,8.57,10278.0,0.04,0.47,8.608,8.633,8.6605,14174.0,15444.5,19039.7,0.04
2020-07-16 13:10:00,8.57,8.6,8.59,8.55,12212.0,0.02,0.23,8.598,8.641,8.6645,15886.8,16035.3,20223.3,0.05
2020-07-16 13:05:00,8.63,8.65,8.57,8.57,17501.0,-0.06,-0.7,8.606,8.655,8.6695,18289.8,16321.6,20914.5,0.06
2020-07-16 11:30:00,8.62,8.64,8.63,8.61,10507.0,0.01,0.12,8.63,8.666,8.677,16433.6,16352.9,23578.3,0.04
2020-07-16 11:25:00,8.57,8.64,8.63,8.54,20372.0,0.06,0.7,8.642,8.671,8.6795,16123.0,16163.5,25580.3,0.08
2020-07-16 11:20:00,8.63,8.64,8.57,8.56,18841.9,-0.06,-0.7,8.658,8.68,8.6825,16715.0,17953.2,27493.8,0.07
2020-07-16 11:15:00,8.67,8.67,8.63,8.61,24227.0,-0.04,-0.46,8.684,8.689,8.6835,16183.8,18757.8,28397.6,0.09
2020-07-16 11:10:00,8.68,8.69,8.69,8.66,8220.0,0.01,0.12,8.704,8.696,8.684,14353.4,18833.4,30757.2,0.03
2020-07-16 11:05:00,8.7,8.73,8.69,8.68,8954.0,-0.01,-0.11,8.702,8.691,8.679,16272.2,20868.5,31255.3,0.03
2020-07-16 11:00:00,8.7,8.75,8.71,8.69,23331.9,0.01,0.11,8.7,8.691,8.673,16204.0,22354.2,32793.8,0.09
2020-07-16 10:55:00,8.72,8.72,8.7,8.67,16186.0,-0.02,-0.23,8.702,8.688,8.6645,19191.4,22635.0,34540.9,0.06
2020-07-16 10:50:00,8.68,8.73,8.73,8.68,15075.0,0.05,0.58,8.694,8.688,8.6615,21331.8,24411.4,34713.4,0.06
2020-07-16 10:45:00,8.68,8.68,8.68,8.64,17814.0,0.0,0.0,8.688,8.684,8.6575,23313.4,25507.5,35189.9,0.07
2020-07-16 10:40:00,8.72,8.73,8.68,8.68,8613.0,-0.04,-0.46,8.68,8.688,8.661,25464.8,30803.7,34901.4,0.03
2020-07-16 10:35:00,8.73,8.77,8.72,8.71,38269.0,-0.01,-0.11,8.682,8.688,8.6625,28504.4,34997.0,35397.4,0.14
2020-07-16 10:30:00,8.69,8.69,8.66,8.64,26888.0,-0.03,-0.35,8.674,8.685,8.6635,26078.6,37034.4,34616.1,0.1
2020-07-16 10:25:00,8.66,8.72,8.7,8.64,24983.0,0.04,0.46,8.682,8.678,8.6705,27491.0,38037.3,33817.8,0.09
2020-07-16 10:20:00,8.69,8.69,8.64,8.63,28571.0,-0.05,-0.58,8.68,8.672,8.6755,27701.6,42681.0,33158.7,0.11
2020-07-16 10:15:00,8.68,8.7,8.69,8.65,23811.0,0.01,0.12,8.696,8.667,8.6825,36142.6,41642.0,32278.5,0.09
2020-07-16 10:10:00,8.7,8.7,8.68,8.61,26139.9,-0.02,-0.23,8.694,8.655,8.69,41489.7,43233.4,31758.6,0.1
2020-07-16 10:05:00,8.69,8.72,8.7,8.67,33950.0,0.01,0.12,8.696,8.641,8.6985,47990.2,46446.9,32156.1,0.13
2020-07-16 10:00:00,8.67,8.72,8.69,8.67,26036.0,0.02,0.23,8.674,8.635,8.7065,48583.7,45015.4,32166.8,0.1
2020-07-16 09:55:00,8.68,8.79,8.72,8.68,70776.0,0.04,0.46,8.664,8.631,8.7105,57660.3,44872.3,31806.8,0.26
2020-07-16 09:50:00,8.68,8.7,8.68,8.64,50546.6,0.0,0.0,8.638,8.634,8.7145,47141.5,38999.1,29098.8,0.19
2020-07-16 09:45:00,8.59,8.7,8.69,8.59,58642.6,0.1,1.16,8.616,8.637,8.7215,44977.2,35797.8,27716.8,0.22
2020-07-16 09:40:00,8.64,8.65,8.59,8.56,36917.1,-0.05,-0.58,8.586,8.642,8.726,44903.5,32197.8,25303.4,0.14
2020-07-16 09:35:00,8.54,8.67,8.64,8.54,71419.3,0.1,1.17,8.596,8.663,8.7335,41447.1,29598.3,24582.2,0.26
2020-07-15 15:00:00,8.57,8.59,8.59,8.56,18182.0,0.02,0.23,8.598,8.679,8.7405,32084.4,23636.4,23059.1,0.07
2020-07-15 14:55:00,8.54,8.61,8.57,8.53,39725.0,0.03,0.35,8.63,8.698,8.7495,30856.6,22915.0,23143.2,0.15
2020-07-15 14:50:00,8.64,8.64,8.54,8.53,58274.0,-0.1,-1.16,8.658,8.725,8.7585,26618.4,20283.7,21762.6,0.22
2020-07-15 14:45:00,8.66,8.7,8.64,8.64,19635.0,-0.02,-0.23,8.698,8.756,8.766,19492.1,17865.3,19475.2,0.07
2020-07-15 14:40:00,8.75,8.76,8.65,8.63,24605.8,-0.1,-1.14,8.73,8.778,8.765,17749.6,19318.3,19533.7,0.09
2020-07-15 14:35:00,8.72,8.76,8.75,8.7,12043.2,0.03,0.34,8.76,8.79,8.765,15188.5,18741.3,18968.9,0.04
2020-07-15 14:30:00,8.74,8.74,8.71,8.7,18534.2,-0.03,-0.34,8.766,8.795,8.7575,14973.4,19198.5,19159.6,0.07
2020-07-15 14:25:00,8.8,8.8,8.74,8.7,22642.3,-0.06,-0.68,8.792,8.806,8.749,13949.0,19635.7,19390.7,0.08
2020-07-15 14:20:00,8.81,8.84,8.8,8.79,10922.4,-0.01,-0.11,8.814,8.81,8.741,16238.5,18409.1,18907.9,0.04
2020-07-15 14:15:00,8.79,8.81,8.8,8.78,11800.3,0.01,0.11,8.826,8.804,8.732,20887.1,19566.1,19397.4,0.04
2020-07-15 14:10:00,8.85,8.86,8.78,8.78,10967.6,-0.07,-0.79,8.82,8.802,8.7205,22294.2,22481.8,20126.2,0.04
2020-07-15 14:05:00,8.84,8.87,8.84,8.82,13412.4,0.0,0.0,8.824,8.801,8.7115,23423.7,23371.5,20569.5,0.05
2020-07-15 14:00:00,8.87,8.91,8.85,8.85,34090.0,-0.02,-0.23,8.82,8.792,8.7015,25322.4,23241.5,20879.0,0.13
2020-07-15 13:55:00,8.78,8.88,8.86,8.78,34165.0,0.08,0.91,8.806,8.776,8.6905,20579.7,21085.1,20833.6,0.13
2020-07-15 13:50:00,8.8,8.8,8.77,8.76,18836.0,-0.03,-0.34,8.782,8.752,8.6765,18245.2,19749.0,22513.4,0.07
2020-07-15 13:45:00,8.81,8.81,8.8,8.78,16615.0,-0.01,-0.11,8.784,8.74,8.67,22669.5,19196.5,23716.9,0.06
2020-07-15 13:40:00,8.78,8.82,8.82,8.78,22906.0,0.04,0.46,8.778,8.72,8.663,23319.3,19120.8,25251.4,0.08
2020-07-15 13:35:00,8.73,8.79,8.78,8.73,10376.3,0.05,0.57,8.764,8.692,8.6565,21160.5,19145.7,26199.6,0.04
2020-07-15 13:30:00,8.78,8.81,8.74,8.74,22492.7,-0.04,-0.46,8.746,8.672,8.6555,21590.6,19406.6,27869.2,0.08
2020-07-15 13:25:00,8.76,8.82,8.78,8.76,40957.3,0.02,0.23,8.722,8.66,8.6525,21252.8,19228.7,28530.8,0.15
2020-07-15 13:20:00,8.74,8.77,8.77,8.73,19864.4,0.03,0.34,8.696,8.639,8.648,15723.5,17770.6,30312.5,0.07
2020-07-15 13:15:00,8.68,8.75,8.75,8.68,12112.0,0.07,0.81,8.662,8.622,8.646,14922.2,17767.4,30873.4,0.04
2020-07-15 13:10:00,8.62,8.72,8.69,8.61,12526.5,0.07,0.81,8.62,8.611,8.645,17130.8,18516.5,33814.6,0.05
2020-07-15 13:05:00,8.66,8.68,8.62,8.61,20804.0,-0.04,-0.46,8.598,8.605,8.653,17222.7,20582.2,36409.5,0.08
2020-07-15 11:30:00,8.62,8.67,8.65,8.62,13310.6,0.03,0.35,8.598,8.601,8.6615,17204.5,25277.8,38334.0,0.05
2020-07-15 11:25:00,8.54,8.65,8.6,8.54,15858.0,0.06,0.7,8.582,8.6,8.668,19817.6,28237.3,40847.2,0.06
2020-07-15 11:20:00,8.57,8.57,8.54,8.53,23155.0,-0.03,-0.35,8.582,8.606,8.6775,20612.6,31382.1,46385.8,0.09
2020-07-15 11:15:00,8.62,8.64,8.58,8.57,12986.0,-0.04,-0.46,8.602,8.621,8.694,19902.3,33253.6,51173.8,0.05
2020-07-15 11:10:00,8.58,8.64,8.62,8.57,20713.0,0.04,0.47,8.612,8.639,8.714,23941.6,36331.7,60883.4,0.08
2020-07-15 11:05:00,8.61,8.61,8.57,8.53,26376.0,-0.04,-0.46,8.604,8.645,8.7405,33351.2,37833.0,60965.2,0.1
2020-07-15 11:00:00,8.64,8.67,8.6,8.58,19832.9,-0.04,-0.46,8.618,8.657,8.767,36657.0,42854.4,61976.4,0.07
2020-07-15 10:55:00,8.64,8.65,8.64,8.61,19603.4,0.0,0.0,8.63,8.67,8.7945,42151.6,43979.3,63042.7,0.07
2020-07-15 10:50:00,8.58,8.64,8.63,8.53,33182.7,0.05,0.58,8.64,8.679,8.822,46604.9,49112.8,63950.2,0.12
2020-07-15 10:45:00,8.64,8.65,8.58,8.53,67760.8,-0.06,-0.69,8.666,8.701,8.8465,48721.8,52236.8,63528.8,0.25
2020-07-15 10:40:00,8.66,8.66,8.64,8.63,42905.0,-0.02,-0.23,8.686,8.722,8.874,42314.9,51390.2,61345.5,0.16
2020-07-15 10:35:00,8.7,8.7,8.66,8.65,47306.2,-0.04,-0.46,8.696,8.736,8.8985,49051.9,53457.0,60337.9,0.18
2020-07-15 10:30:00,8.76,8.78,8.69,8.68,41870.0,-0.07,-0.8,8.71,8.749,8.9215,45807.0,61389.4,58764.2,0.15
2020-07-15 10:25:00,8.69,8.76,8.76,8.68,43767.0,0.07,0.81,8.718,8.767,8.9435,51620.6,69094.1,58024.6,0.16
2020-07-15 10:20:00,8.69,8.7,8.68,8.67,35726.2,-0.01,-0.12,8.736,8.789,8.9615,55751.8,85435.1,57314.6,0.13
2020-07-15 10:15:00,8.73,8.73,8.69,8.67,76589.9,-0.04,-0.46,8.758,8.836,8.9845,60465.5,84097.4,56568.5,0.28
2020-07-15 10:10:00,8.73,8.77,8.73,8.73,31082.0,0.0,0.0,8.776,8.877,9.004,57862.2,81098.4,54032.0,0.12
2020-07-15 10:05:00,8.83,8.84,8.73,8.72,70937.8,-0.1,-1.13,8.788,8.919,9.021,76971.8,82106.2,53884.1,0.26
2020-07-15 10:00:00,8.79,8.85,8.85,8.77,64423.0,0.06,0.68,8.816,8.965,9.0375,86567.6,78787.7,51884.7,0.24
2020-07-15 09:55:00,8.77,8.89,8.79,8.75,59294.8,0.02,0.23,8.842,8.992,9.049,115118.0,74820.9,50466.9,0.22
2020-07-15 09:50:00,8.79,8.81,8.78,8.76,63573.3,-0.01,-0.11,8.914,9.026,9.061,107729.0,71300.8,49386.5,0.24
2020-07-15 09:45:00,8.83,8.88,8.79,8.75,126630.0,-0.04,-0.45,8.978,9.061,9.076,104335.0,67218.7,47496.2,0.47
2020-07-15 09:40:00,8.97,8.98,8.87,8.82,118917.0,-0.1,-1.11,9.05,9.094,9.0945,87240.5,56139.0,41886.5,0.44
2020-07-15 09:35:00,9.18,9.29,8.98,8.98,207177.0,-0.2,-2.18,9.114,9.12,9.1115,71007.7,46955.0,37044.9,0.77
2020-07-14 15:00:00,9.11,9.15,9.15,9.11,22348.9,0.04,0.44,9.142,9.134,9.121,34523.3,29194.0,27957.6,0.08
2020-07-14 14:55:00,9.16,9.19,9.1,9.1,46600.0,-0.06,-0.66,9.138,9.133,9.122,34872.4,29039.6,27957.1,0.17
2020-07-14 14:50:00,9.19,9.25,9.15,9.15,41159.8,-0.04,-0.44,9.144,9.131,9.126,30102.8,26965.6,27102.6,0.15
2020-07-14 14:45:00,9.12,9.19,9.19,9.11,37753.0,0.07,0.77,9.138,9.123,9.131,25037.5,25662.0,26256.1,0.14
2020-07-14 14:40:00,9.14,9.14,9.12,9.09,24755.0,-0.02,-0.22,9.126,9.11,9.136,22902.3,24981.8,25294.4,0.09
2020-07-14 14:35:00,9.15,9.16,9.13,9.12,24094.0,-0.02,-0.22,9.126,9.106,9.145,23864.7,26113.0,24797.0,0.09
2020-07-14 14:30:00,9.12,9.15,9.13,9.11,22752.4,0.01,0.11,9.128,9.096,9.154,23206.9,27472.2,24865.5,0.08
2020-07-14 14:25:00,9.13,9.13,9.12,9.07,15833.3,-0.01,-0.11,9.118,9.091,9.1655,23828.5,27773.7,24403.9,0.06
2020-07-14 14:20:00,9.13,9.19,9.13,9.12,27076.7,0.0,0.0,9.108,9.095,9.1795,26286.4,27634.0,24902.0,0.1
2020-07-14 14:15:00,9.15,9.18,9.12,9.11,29567.0,-0.03,-0.33,9.094,9.103,9.1945,27061.3,27134.8,25313.4,0.11
2020-07-14 14:10:00,9.08,9.15,9.14,9.08,20805.3,0.06,0.66,9.086,9.108,9.208,28361.2,26721.2,24780.0,0.08
2020-07-14 14:05:00,9.06,9.08,9.08,9.01,25860.0,0.02,0.22,9.064,9.111,9.22,31737.4,26874.6,24456.9,0.1
2020-07-14 14:00:00,9.05,9.1,9.07,9.0,28123.0,0.02,0.22,9.064,9.121,9.2355,31719.0,27239.5,24052.3,0.1
2020-07-14 13:55:00,9.08,9.08,9.06,9.01,30951.1,-0.02,-0.22,9.082,9.139,9.2515,28981.6,26850.2,23510.2,0.11
2020-07-14 13:50:00,9.02,9.12,9.08,9.0,36066.8,0.06,0.67,9.112,9.162,9.2665,27208.4,25607.1,23411.5,0.13
2020-07-14 13:45:00,9.08,9.1,9.03,9.02,37686.0,-0.05,-0.55,9.13,9.184,9.2805,25081.1,23481.1,24539.9,0.14
2020-07-14 13:40:00,9.15,9.16,9.08,9.07,25768.0,-0.07,-0.77,9.158,9.212,9.296,22011.7,22258.8,25186.3,0.1
2020-07-14 13:35:00,9.2,9.21,9.16,9.16,14436.0,-0.04,-0.43,9.178,9.24,9.3125,22759.9,21034.1,25905.3,0.05
2020-07-14 13:30:00,9.17,9.22,9.21,9.13,22085.0,0.04,0.44,9.196,9.264,9.3305,24718.7,22170.0,27255.4,0.08
2020-07-14 13:25:00,9.16,9.18,9.17,9.13,25430.7,0.01,0.11,9.212,9.286,9.349,24005.8,23492.0,30831.7,0.09
2020-07-14 13:20:00,9.19,9.24,9.17,9.17,22339.0,-0.02,-0.22,9.238,9.308,9.3645,21881.1,22838.8,35993.4,0.08
2020-07-14 13:15:00,9.24,9.24,9.18,9.16,29509.0,-0.06,-0.65,9.266,9.329,9.3765,22505.9,22039.2,37161.6,0.11
2020-07-14 13:10:00,9.29,9.32,9.25,9.25,24230.0,-0.04,-0.43,9.302,9.35,9.391,19308.3,20865.2,38775.6,0.09
2020-07-14 13:05:00,9.3,9.3,9.29,9.26,18520.2,-0.01,-0.11,9.332,9.364,9.4,19621.3,20170.3,40603.8,0.07
2020-07-14 11:30:00,9.31,9.34,9.3,9.3,14807.4,-0.01,-0.11,9.36,9.371,9.4065,22978.3,21216.0,42425.4,0.05
2020-07-14 11:25:00,9.35,9.39,9.31,9.29,25463.0,-0.04,-0.43,9.378,9.377,9.4095,23796.4,25598.7,46217.1,0.09
2020-07-14 11:20:00,9.41,9.41,9.36,9.35,13521.0,-0.05,-0.53,9.392,9.38,9.415,21572.4,28113.8,51330.2,0.05
2020-07-14 11:15:00,9.41,9.44,9.4,9.4,25795.0,-0.01,-0.11,9.398,9.385,9.4155,22422.0,30776.5,57950.2,0.1
2020-07-14 11:10:00,9.4,9.48,9.43,9.4,35305.0,0.03,0.32,9.396,9.397,9.4145,20719.2,32340.9,69840.3,0.13
2020-07-14 11:05:00,9.38,9.42,9.39,9.37,18898.0,0.01,0.11,9.382,9.412,9.3935,19453.6,38171.4,69182.0,0.07
2020-07-14 11:00:00,9.39,9.4,9.38,9.33,14343.0,-0.01,-0.11,9.376,9.421,9.3735,27400.9,49148.0,69821.6,0.05
2020-07-14 10:55:00,9.39,9.42,9.39,9.32,17769.1,0.0,0.0,9.368,9.424,9.354,34655.2,52284.0,70457.4,0.07
2020-07-14 10:50:00,9.37,9.39,9.39,9.33,17281.0,0.02,0.21,9.372,9.432,9.335,39131.0,56686.1,70469.2,0.06
2020-07-14 10:45:00,9.38,9.39,9.36,9.35,28977.0,-0.02,-0.21,9.398,9.436,9.3165,43962.5,61037.2,70099.8,0.11
2020-07-14 10:40:00,9.31,9.36,9.36,9.26,58634.6,0.05,0.54,9.442,9.442,9.3,56889.1,63634.9,69411.3,0.22
2020-07-14 10:35:00,9.41,9.44,9.34,9.33,50614.2,-0.07,-0.74,9.466,9.442,9.2815,70895.0,66835.4,67373.3,0.19
2020-07-14 10:30:00,9.52,9.57,9.41,9.4,40148.0,-0.11,-1.16,9.48,9.45,9.2635,69912.8,74546.5,65871.0,0.15
2020-07-14 10:25:00,9.58,9.58,9.52,9.49,41438.7,-0.06,-0.63,9.492,9.446,9.2425,74241.2,85123.9,65360.2,0.15
2020-07-14 10:20:00,9.48,9.63,9.58,9.45,93610.2,0.1,1.05,9.474,9.432,9.2165,78112.0,107340.0,65247.7,0.35
2020-07-14 10:15:00,9.41,9.63,9.48,9.41,128664.0,0.07,0.74,9.442,9.375,9.192,70380.6,100193.0,61306.0,0.48
2020-07-14 10:10:00,9.46,9.48,9.41,9.39,45703.2,-0.05,-0.53,9.418,9.326,9.171,62775.9,90495.2,55948.0,0.17
2020-07-14 10:05:00,9.44,9.51,9.47,9.37,61789.8,0.03,0.32,9.42,9.284,9.153,79180.2,88630.8,54618.5,0.23
2020-07-14 10:00:00,9.42,9.48,9.43,9.38,60792.8,0.01,0.11,9.4,9.238,9.1345,96006.7,84252.3,53031.9,0.22
2020-07-14 09:55:00,9.35,9.44,9.42,9.33,54953.4,0.07,0.75,9.39,9.197,9.1165,136568.0,79162.5,51964.0,0.2
2020-07-14 09:50:00,9.43,9.44,9.36,9.3,90640.1,-0.07,-0.74,9.308,9.158,9.103,130004.0,75187.7,50599.1,0.34
2020-07-14 09:45:00,9.38,9.5,9.42,9.36,127725.0,0.04,0.43,9.234,9.121,9.094,118215.0,67911.2,47588.1,0.47
2020-07-14 09:40:00,9.38,9.42,9.37,9.28,145922.0,-0.01,-0.11,9.148,9.077,9.0805,98081.4,57195.6,44483.3,0.54
2020-07-14 09:35:00,9.02,9.44,9.38,8.97,263597.0,0.36,3.99,9.076,9.039,9.0665,72497.9,45596.6,39076.0,0.98
2020-07-13 15:00:00,8.99,9.02,9.01,8.99,22138.0,0.02,0.22,9.004,9.001,9.052,21757.4,23155.6,28499.5,0.08
2020-07-13 14:55:00,8.99,9.0,8.99,8.97,31690.7,0.0,0.0,9.008,9.009,9.055,20371.0,22419.4,29921.6,0.12
2020-07-13 14:50:00,9.02,9.02,8.99,8.98,27059.3,-0.03,-0.33,9.008,9.016,9.0575,17607.8,21400.9,29375.4,0.1
2020-07-13 14:45:00,9.02,9.05,9.01,9.01,18004.6,-0.01,-0.11,9.006,9.022,9.0585,16309.7,20606.2,28768.4,0.07
2020-07-13 14:40:00,9.03,9.03,9.02,9.01,9894.44,-0.01,-0.11,9.002,9.031,9.06,18695.2,21811.5,28930.0,0.04
2020-07-13 14:35:00,8.99,9.04,9.03,8.99,15206.0,0.04,0.44,8.998,9.036,9.061,24553.7,24765.4,29328.7,0.06
2020-07-13 14:30:00,8.96,9.01,8.99,8.96,17874.7,0.03,0.33,9.01,9.048,9.0595,24467.7,26010.5,29213.3,0.07
2020-07-13 14:25:00,9.02,9.02,8.98,8.97,20569.0,-0.04,-0.44,9.024,9.067,9.06,25194.0,27265.1,29061.0,0.08
2020-07-13 14:20:00,8.99,9.04,8.99,8.97,29932.0,0.0,0.0,9.038,9.084,9.061,24902.6,31771.0,28428.3,0.11
2020-07-13 14:15:00,9.08,9.1,9.0,8.99,39187.0,-0.08,-0.88,9.06,9.094,9.0615,24927.8,32555.5,27515.9,0.15
2020-07-13 14:10:00,9.06,9.09,9.09,9.06,14776.0,0.03,0.33,9.074,9.103,9.0625,24977.2,33843.4,26708.9,0.05
2020-07-13 14:05:00,9.05,9.09,9.06,9.05,21506.0,0.01,0.11,9.086,9.101,9.058,27553.3,37423.9,26677.8,0.08
2020-07-13 14:00:00,9.09,9.1,9.05,9.05,19112.0,-0.04,-0.44,9.11,9.099,9.0565,29336.2,37350.0,27432.8,0.07
2020-07-13 13:55:00,9.07,9.1,9.1,9.03,30058.0,0.03,0.33,9.13,9.095,9.0545,38639.4,36930.6,27589.5,0.11
2020-07-13 13:50:00,9.15,9.16,9.07,9.05,39433.8,-0.08,-0.87,9.128,9.089,9.048,40183.1,36048.5,27381.3,0.15
2020-07-13 13:45:00,9.19,9.19,9.15,9.14,27656.8,-0.04,-0.44,9.132,9.086,9.045,42709.7,33892.0,27115.6,0.1
2020-07-13 13:40:00,9.15,9.18,9.18,9.14,30420.2,0.03,0.33,9.116,9.071,9.0405,47294.4,32416.1,29411.3,0.11
2020-07-13 13:35:00,9.09,9.19,9.15,9.09,65628.2,0.06,0.66,9.088,9.053,9.03,45363.8,30856.9,28998.5,0.24
2020-07-13 13:30:00,9.11,9.11,9.09,9.07,37776.7,-0.02,-0.22,9.06,9.038,9.0215,35221.7,25085.7,28742.8,0.14
2020-07-13 13:25:00,9.07,9.1,9.09,9.06,52066.4,0.02,0.22,9.05,9.029,9.015,31913.9,22476.4,28389.5,0.19
2020-07-13 13:20:00,9.04,9.1,9.07,9.04,50580.6,0.03,0.33,9.04,9.022,9.006,25074.4,19574.5,27119.0,0.19
2020-07-13 13:15:00,9.02,9.05,9.04,9.01,20767.0,0.02,0.22,9.026,9.015,8.9965,17537.9,15931.8,25529.9,0.08
2020-07-13 13:10:00,9.04,9.05,9.01,8.99,14918.0,-0.03,-0.33,9.018,9.014,8.9885,16350.0,17515.6,26294.5,0.06
2020-07-13 13:05:00,9.05,9.06,9.04,9.02,21237.3,-0.01,-0.11,9.016,9.014,8.9805,14949.6,18248.5,27089.4,0.08
2020-07-13 11:30:00,9.01,9.05,9.04,9.0,17869.0,0.03,0.33,9.008,9.007,8.9725,13039.0,18714.1,27769.5,0.07
2020-07-13 11:25:00,8.99,9.01,9.0,8.99,12898.0,0.01,0.11,9.004,9.004,8.9675,14074.6,20339.2,29566.1,0.05
2020-07-13 11:20:00,9.02,9.02,9.0,8.99,14827.8,-0.02,-0.22,9.004,9.01,8.963,14325.8,26406.4,32984.7,0.05
2020-07-13 11:15:00,9.0,9.02,9.0,9.0,7916.0,0.0,0.0,9.01,9.007,8.959,18681.2,27140.0,35760.6,0.03
2020-07-13 11:10:00,9.02,9.05,9.0,9.0,11684.0,-0.02,-0.22,9.012,9.005,8.955,21547.3,32400.0,40756.6,0.04
2020-07-13 11:05:00,9.01,9.06,9.02,9.01,23047.0,0.01,0.11,9.006,9.001,8.946,24389.2,34302.6,41441.6,0.09
2020-07-13 11:00:00,9.03,9.03,9.0,8.99,14154.0,-0.03,-0.33,9.004,8.99,8.9375,26603.9,34663.6,42016.4,0.05
