date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,16.19,16.19,16.14,16.14,7495.0,-0.05,-0.31,16.196,16.342,16.5575,13104.4,12340.5,9817.98,0.28
2020-07-16 14:55:00,16.19,16.23,16.19,16.19,11868.0,0.0,0.0,16.19,16.397,16.596,16049.2,12244.0,9650.78,0.44
2020-07-16 14:50:00,16.16,16.3,16.19,16.12,10980.0,0.03,0.19,16.26,16.463,16.637,14871.8,11313.5,9230.38,0.41
2020-07-16 14:45:00,16.27,16.33,16.16,16.16,8819.0,-0.11,-0.68,16.342,16.533,16.6745,15161.8,10615.7,8883.03,0.33
2020-07-16 14:40:00,16.11,16.3,16.3,15.95,26360.0,0.19,1.18,16.412,16.589,16.716,15418.2,10120.1,8632.33,0.98
2020-07-16 14:35:00,16.54,16.54,16.11,16.06,22219.0,-0.43,-2.6,16.488,16.645,16.752,11576.6,8184.91,7463.23,0.82
2020-07-16 14:30:00,16.62,16.65,16.54,16.51,5981.0,-0.08,-0.48,16.604,16.718,16.797,8438.8,6487.81,6708.05,0.22
2020-07-16 14:25:00,16.53,16.63,16.6,16.49,12430.0,0.07,0.42,16.666,16.743,16.8185,7755.2,6784.01,6828.55,0.46
2020-07-16 14:20:00,16.68,16.73,16.51,16.51,10101.0,-0.17,-1.02,16.724,16.735,16.8405,6069.58,7504.6,6647.5,0.37
2020-07-16 14:15:00,16.69,16.76,16.68,16.59,7152.0,-0.01,-0.06,16.766,16.759,16.872,4821.98,7356.2,6246.85,0.26
2020-07-16 14:10:00,16.85,16.87,16.69,16.62,6530.0,-0.16,-0.95,16.802,16.773,16.898,4793.22,7295.46,6004.0,0.24
2020-07-16 14:05:00,16.9,16.91,16.85,16.78,2563.0,-0.05,-0.3,16.832,16.795,16.9275,4536.82,7057.56,5936.5,0.09
2020-07-16 14:00:00,16.73,16.9,16.89,16.73,4001.88,0.16,0.96,16.82,16.811,16.944,5812.82,7147.26,5983.4,0.15
2020-07-16 13:55:00,16.94,16.94,16.72,16.72,3863.0,-0.22,-1.3,16.746,16.816,16.959,8939.62,7150.37,5924.5,0.14
2020-07-16 13:50:00,16.84,17.01,16.86,16.81,7008.2,0.02,0.12,16.752,16.843,16.9835,9890.42,7144.57,5972.56,0.26
2020-07-16 13:45:00,16.8,16.96,16.84,16.8,5248.0,0.04,0.24,16.744,16.859,16.9975,9797.7,6741.55,5853.7,0.19
2020-07-16 13:40:00,16.54,16.85,16.79,16.54,8943.0,0.25,1.51,16.758,16.876,17.017,9578.3,6928.29,5970.3,0.33
2020-07-16 13:35:00,16.61,16.61,16.52,16.36,19635.9,-0.09,-0.54,16.802,16.894,17.032,8481.7,6873.09,5886.14,0.73
2020-07-16 13:30:00,16.82,16.83,16.75,16.75,8617.0,-0.07,-0.42,16.886,16.946,17.0625,5361.12,5790.4,5162.4,0.32
2020-07-16 13:25:00,16.91,16.96,16.82,16.82,6544.6,-0.09,-0.53,16.934,16.985,17.075,4398.72,5137.5,5196.1,0.24
2020-07-16 13:20:00,17.01,17.02,16.91,16.9,4151.0,-0.1,-0.59,16.974,17.023,17.091,3685.4,4712.54,5299.37,0.15
2020-07-16 13:15:00,16.94,17.01,17.01,16.91,3460.0,0.07,0.41,16.994,17.06,17.103,4278.28,4815.44,5395.03,0.13
2020-07-16 13:10:00,16.98,16.98,16.94,16.88,4033.0,-0.04,-0.24,16.986,17.077,17.111,5264.48,4819.54,5550.63,0.15
2020-07-16 13:05:00,17.03,17.04,16.99,16.91,3805.0,-0.04,-0.23,17.006,17.102,17.121,6219.68,4698.64,5751.73,0.14
2020-07-16 11:30:00,17.01,17.07,17.02,17.0,2978.0,0.01,0.06,17.036,17.124,17.1305,5876.28,4800.54,6218.45,0.11
2020-07-16 11:25:00,16.96,17.04,17.01,16.85,7115.4,0.05,0.29,17.072,17.136,17.143,5739.68,4965.84,6615.25,0.26
2020-07-16 11:20:00,17.04,17.04,16.97,16.93,8391.0,-0.07,-0.41,17.126,17.158,17.161,5352.6,5012.3,7174.38,0.31
2020-07-16 11:15:00,17.14,17.14,17.04,16.98,8809.0,-0.1,-0.58,17.168,17.17,17.1745,4374.6,4899.2,7675.68,0.33
2020-07-16 11:10:00,17.2,17.21,17.14,17.13,2088.0,-0.06,-0.35,17.198,17.179,17.1785,3177.6,4534.4,8691.98,0.08
2020-07-16 11:05:00,17.27,17.27,17.2,17.2,2295.0,-0.07,-0.41,17.212,17.165,17.1695,3724.8,5254.7,9235.33,0.09
2020-07-16 11:00:00,17.22,17.29,17.28,17.22,5180.0,0.06,0.35,17.2,17.159,17.159,4192.0,5886.2,10122.6,0.19
2020-07-16 10:55:00,17.2,17.26,17.18,17.16,3501.0,-0.02,-0.12,17.19,17.146,17.148,4672.0,5974.61,11099.9,0.13
2020-07-16 10:50:00,17.21,17.23,17.19,17.1,2824.0,-0.02,-0.12,17.172,17.145,17.1555,5423.8,6281.71,11787.0,0.1
2020-07-16 10:45:00,17.14,17.21,17.21,17.1,4824.0,0.07,0.41,17.16,17.14,17.1635,5891.2,6804.81,12459.3,0.18
2020-07-16 10:40:00,17.24,17.26,17.14,17.14,4631.0,-0.1,-0.58,17.118,17.137,17.185,6784.6,7636.36,12375.3,0.17
2020-07-16 10:35:00,17.09,17.29,17.23,17.09,7580.0,0.14,0.82,17.118,17.15,17.2085,7580.4,8264.66,12493.1,0.28
2020-07-16 10:30:00,17.13,17.13,17.09,17.05,7260.0,-0.04,-0.23,17.102,17.164,17.226,7277.22,9336.46,12423.6,0.27
