date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,12.9,12.9,12.9,12.87,10666.6,0.0,0.0,12.912,13.053,13.198,22988.8,23447.9,19870.5,0.06
2020-07-16 14:55:00,12.89,12.95,12.9,12.86,33277.4,0.01,0.08,12.92,13.099,13.2235,31669.3,23375.3,19817.1,0.19
2020-07-16 14:50:00,12.91,12.99,12.88,12.88,19147.9,-0.03,-0.23,12.984,13.155,13.2545,28445.0,21253.0,18537.1,0.11
2020-07-16 14:45:00,12.97,13.03,12.91,12.9,19635.0,-0.06,-0.46,13.064,13.207,13.284,26972.8,20463.3,17932.4,0.11
2020-07-16 14:40:00,12.94,12.98,12.97,12.85,32217.1,0.03,0.23,13.122,13.248,13.3135,27372.7,19300.3,17321.6,0.18
2020-07-16 14:35:00,13.22,13.22,12.94,12.9,54069.0,-0.28,-2.12,13.194,13.293,13.3445,23907.1,17349.8,15933.0,0.3
2020-07-16 14:30:00,13.3,13.3,13.22,13.21,17155.9,-0.08,-0.6,13.278,13.335,13.377,15081.3,13221.3,13882.9,0.1
2020-07-16 14:25:00,13.19,13.28,13.28,13.18,11787.0,0.09,0.68,13.326,13.347,13.391,14061.1,13310.1,13789.1,0.07
2020-07-16 14:20:00,13.32,13.32,13.2,13.17,21634.5,-0.12,-0.9,13.35,13.339,13.407,13953.9,16042.6,13942.6,0.12
2020-07-16 14:15:00,13.36,13.36,13.33,13.23,14888.9,-0.03,-0.22,13.374,13.346,13.429,11228.0,15535.2,13216.9,0.08
2020-07-16 14:10:00,13.45,13.45,13.36,13.3,9940.44,-0.09,-0.67,13.392,13.343,13.447,10792.5,16293.1,12839.8,0.06
2020-07-16 14:05:00,13.41,13.49,13.46,13.33,12054.6,0.05,0.37,13.392,13.348,13.4675,11361.3,16259.0,13326.6,0.07
2020-07-16 14:00:00,13.33,13.41,13.4,13.25,11251.0,0.07,0.53,13.368,13.354,13.481,12559.0,15821.2,13083.6,0.06
2020-07-16 13:55:00,13.45,13.45,13.32,13.32,8005.0,-0.13,-0.97,13.328,13.361,13.499,18131.3,15401.4,13588.8,0.05
2020-07-16 13:50:00,13.36,13.47,13.42,13.35,12711.3,0.06,0.45,13.318,13.379,13.517,19842.5,15342.8,13632.3,0.07
2020-07-16 13:45:00,13.35,13.47,13.36,13.34,12784.7,0.01,0.07,13.294,13.396,13.5295,21793.8,14516.2,13237.6,0.07
2020-07-16 13:40:00,13.2,13.4,13.34,13.19,18043.1,0.14,1.06,13.304,13.419,13.546,21156.6,14544.6,13731.1,0.1
2020-07-16 13:35:00,13.2,13.25,13.2,13.18,39112.2,0.0,0.0,13.34,13.435,13.56,19083.3,14268.2,13451.7,0.22
2020-07-16 13:30:00,13.3,13.39,13.27,13.27,16561.0,-0.03,-0.23,13.394,13.475,13.5835,12671.5,11842.6,12202.3,0.09
2020-07-16 13:25:00,13.41,13.44,13.3,13.3,22468.0,-0.11,-0.82,13.44,13.512,13.5975,10843.1,10898.6,12814.1,0.13
2020-07-16 13:20:00,13.52,13.53,13.41,13.41,9598.76,-0.11,-0.81,13.498,13.551,13.614,7238.69,9386.49,12584.9,0.05
2020-07-16 13:15:00,13.46,13.55,13.52,13.46,7676.64,0.06,0.45,13.534,13.587,13.622,7932.5,10394.2,12806.2,0.04
2020-07-16 13:10:00,13.5,13.51,13.47,13.45,7053.04,-0.03,-0.22,13.53,13.608,13.626,9453.03,10346.0,13052.8,0.04
2020-07-16 13:05:00,13.58,13.58,13.5,13.49,7419.0,-0.08,-0.59,13.556,13.637,13.6335,11013.8,11776.1,13513.6,0.04
2020-07-16 11:30:00,13.59,13.6,13.59,13.55,4446.0,0.0,0.0,13.584,13.655,13.641,10954.1,11921.8,14786.0,0.03
2020-07-16 11:25:00,13.49,13.6,13.59,13.48,13067.8,0.1,0.74,13.604,13.663,13.647,11534.3,11959.0,15723.9,0.07
2020-07-16 11:20:00,13.6,13.6,13.5,13.49,15279.3,-0.1,-0.74,13.64,13.673,13.652,12855.9,12917.6,17102.7,0.09
2020-07-16 11:15:00,13.64,13.64,13.6,13.55,14856.7,-0.04,-0.29,13.686,13.685,13.653,11238.9,12635.2,17356.4,0.08
2020-07-16 11:10:00,13.69,13.69,13.64,13.64,7120.68,-0.05,-0.37,13.718,13.692,13.648,12538.5,12562.0,18401.5,0.04
2020-07-16 11:05:00,13.74,13.76,13.69,13.68,7347.0,-0.05,-0.36,13.726,13.683,13.638,12889.5,14729.5,18885.8,0.04
2020-07-16 11:00:00,13.73,13.82,13.77,13.72,19676.0,0.04,0.29,13.722,13.677,13.625,12383.7,15783.2,20559.1,0.11
2020-07-16 10:55:00,13.76,13.78,13.73,13.69,7194.0,-0.03,-0.22,13.706,13.657,13.6115,12979.3,15218.1,21202.6,0.04
2020-07-16 10:50:00,13.68,13.76,13.76,13.68,21355.0,0.08,0.58,13.684,13.644,13.6,14031.5,15759.5,21974.8,0.12
2020-07-16 10:45:00,13.67,13.68,13.68,13.6,8875.48,0.01,0.07,13.666,13.63,13.592,12585.5,15251.0,21635.1,0.05
2020-07-16 10:40:00,13.68,13.69,13.67,13.64,4818.0,-0.01,-0.07,13.64,13.627,13.595,16569.6,17650.2,21790.1,0.03
2020-07-16 10:35:00,13.62,13.73,13.69,13.62,22654.1,0.07,0.51,13.632,13.631,13.597,19182.8,19488.7,22078.8,0.13
2020-07-16 10:30:00,13.67,13.67,13.62,13.58,12455.0,-0.05,-0.37,13.608,13.631,13.599,17457.0,21287.8,21370.2,0.07
2020-07-16 10:25:00,13.55,13.68,13.67,13.55,14125.0,0.12,0.89,13.604,13.621,13.6075,17487.6,22077.7,21042.1,0.08
2020-07-16 10:20:00,13.63,13.63,13.55,13.54,28795.7,-0.08,-0.59,13.594,13.604,13.616,17916.6,24240.9,20703.4,0.16
2020-07-16 10:15:00,13.57,13.63,13.63,13.55,17884.2,0.06,0.44,13.614,13.593,13.6275,18730.9,23042.1,19787.3,0.1
2020-07-16 10:10:00,13.6,13.61,13.57,13.5,14025.0,-0.03,-0.22,13.63,13.573,13.64,19794.6,25335.0,19445.1,0.08
2020-07-16 10:05:00,13.65,13.68,13.6,13.59,12608.0,-0.05,-0.37,13.654,13.566,13.656,25118.6,27187.0,19731.0,0.07
2020-07-16 10:00:00,13.65,13.68,13.62,13.6,16270.0,-0.03,-0.22,13.638,13.556,13.6725,26667.8,28190.0,19637.0,0.09
2020-07-16 09:55:00,13.71,13.75,13.65,13.64,32867.1,-0.06,-0.44,13.614,13.554,13.685,30565.3,28019.2,19316.7,0.18
2020-07-16 09:50:00,13.73,13.75,13.71,13.66,23203.0,-0.02,-0.15,13.572,13.563,13.6955,27353.3,25930.0,18448.7,0.13
2020-07-16 09:45:00,13.51,13.75,13.69,13.51,40645.0,0.18,1.33,13.516,13.563,13.7015,30875.5,24668.8,18048.0,0.23
2020-07-16 09:40:00,13.54,13.57,13.52,13.41,20354.0,-0.02,-0.15,13.478,13.567,13.705,29255.4,21452.5,16506.0,0.11
2020-07-16 09:35:00,13.43,13.65,13.5,13.43,35757.4,0.07,0.52,13.474,13.594,13.7165,29712.2,20006.4,16102.4,0.2
2020-07-15 15:00:00,13.42,13.48,13.44,13.41,16807.0,0.02,0.15,13.494,13.628,13.727,25473.2,17165.8,15436.4,0.09
2020-07-15 14:55:00,13.49,13.49,13.43,13.36,40814.0,-0.06,-0.44,13.554,13.662,13.7445,24506.8,16532.5,15492.9,0.23
2020-07-15 14:50:00,13.51,13.55,13.5,13.47,32544.8,-0.01,-0.07,13.61,13.707,13.76,18462.2,13555.1,14008.1,0.18
2020-07-15 14:45:00,13.6,13.61,13.5,13.5,22638.0,-0.1,-0.74,13.656,13.746,13.7695,13649.6,12275.0,12795.0,0.13
2020-07-15 14:40:00,13.73,13.75,13.6,13.59,14562.0,-0.13,-0.95,13.714,13.789,13.775,10300.6,11084.0,12049.5,0.08
2020-07-15 14:35:00,13.72,13.74,13.74,13.67,11975.0,0.02,0.15,13.762,13.816,13.7755,8858.48,10614.1,11808.7,0.07
2020-07-15 14:30:00,13.74,13.74,13.71,13.69,10591.0,-0.03,-0.22,13.77,13.828,13.7675,8558.18,10967.3,12138.0,0.06
2020-07-15 14:25:00,13.8,13.8,13.73,13.73,8482.16,-0.07,-0.51,13.804,13.84,13.7565,8648.08,11427.2,13317.3,0.05
2020-07-15 14:20:00,13.84,13.84,13.79,13.78,5893.04,-0.05,-0.36,13.836,13.843,13.7485,10900.4,11559.5,13525.9,0.03
2020-07-15 14:15:00,13.78,13.85,13.84,13.78,7351.2,0.06,0.44,13.864,13.839,13.7405,11867.4,12198.3,14118.8,0.04
2020-07-15 14:10:00,13.88,13.89,13.78,13.78,10473.5,-0.1,-0.72,13.87,13.826,13.7275,12369.8,13707.1,14426.2,0.06
2020-07-15 14:05:00,13.89,13.9,13.88,13.84,11040.5,-0.01,-0.07,13.886,13.827,13.718,13376.5,14453.3,14436.8,0.06
2020-07-15 14:00:00,13.92,13.95,13.89,13.88,19744.0,-0.03,-0.22,13.876,13.813,13.7075,14206.4,14461.1,14290.3,0.11
2020-07-15 13:55:00,13.87,13.93,13.93,13.86,10728.0,0.06,0.43,13.85,13.793,13.6965,12218.6,13315.0,14049.9,0.06
2020-07-15 13:50:00,13.86,13.89,13.87,13.82,9863.04,0.01,0.07,13.814,13.761,13.68,12529.2,13015.0,14988.5,0.06
2020-07-15 13:45:00,13.84,13.91,13.86,13.78,15507.0,0.02,0.14,13.782,13.735,13.669,15044.3,13003.3,16346.8,0.09
2020-07-15 13:40:00,13.76,13.87,13.83,13.76,15189.8,0.07,0.51,13.768,13.707,13.6625,15530.2,13308.6,16006.6,0.09
2020-07-15 13:35:00,13.75,13.77,13.76,13.7,9805.12,0.01,0.07,13.75,13.673,13.66,14715.8,15207.3,16559.2,0.06
2020-07-15 13:30:00,13.74,13.81,13.75,13.73,12281.0,0.01,0.07,13.736,13.654,13.6625,14411.4,15492.3,16917.7,0.07
2020-07-15 13:25:00,13.8,13.87,13.71,13.71,22438.6,-0.09,-0.65,13.708,13.642,13.662,13500.8,16039.4,17498.1,0.13
2020-07-15 13:20:00,13.75,13.81,13.79,13.71,17936.4,0.04,0.29,13.688,13.629,13.6635,10962.3,15145.4,18192.6,0.1
2020-07-15 13:15:00,13.69,13.75,13.74,13.65,11118.0,0.05,0.37,13.646,13.609,13.6665,11087.1,14420.3,18059.7,0.06
2020-07-15 13:10:00,13.61,13.69,13.69,13.6,8282.96,0.08,0.59,13.596,13.602,13.673,15698.8,14119.6,18402.2,0.05
2020-07-15 13:05:00,13.62,13.66,13.61,13.61,7728.0,-0.01,-0.07,13.572,13.6,13.6875,16573.2,14784.7,18769.3,0.04
2020-07-15 11:30:00,13.58,13.63,13.61,13.58,9746.0,0.03,0.22,13.576,13.599,13.703,18577.9,16962.0,19594.7,0.05
2020-07-15 11:25:00,13.49,13.62,13.58,13.49,18560.3,0.09,0.67,13.57,13.603,13.7155,19328.5,19690.3,20495.8,0.1
2020-07-15 11:20:00,13.56,13.56,13.49,13.49,34176.6,-0.07,-0.52,13.572,13.618,13.731,17753.5,18704.5,22045.9,0.19
2020-07-15 11:15:00,13.63,13.65,13.57,13.56,12655.0,-0.06,-0.44,13.608,13.647,13.7585,12540.3,17911.2,22562.4,0.07
2020-07-15 11:10:00,13.57,13.69,13.63,13.54,17751.7,0.06,0.44,13.628,13.671,13.785,12996.3,18343.2,26114.2,0.1
2020-07-15 11:05:00,13.59,13.63,13.58,13.56,13499.0,-0.01,-0.07,13.622,13.682,13.813,15346.2,18956.9,25662.0,0.08
2020-07-15 11:00:00,13.68,13.72,13.59,13.59,10685.2,-0.09,-0.66,13.636,13.698,13.8445,20052.0,21239.8,26088.7,0.06
2020-07-15 10:55:00,13.68,13.69,13.67,13.64,8110.84,-0.01,-0.07,13.664,13.724,13.875,19655.5,21699.1,26539.8,0.05
2020-07-15 10:50:00,13.61,13.69,13.67,13.57,14934.8,0.06,0.44,13.686,13.744,13.905,23282.0,22684.8,27659.1,0.08
2020-07-15 10:45:00,13.65,13.67,13.6,13.59,29501.0,-0.05,-0.37,13.714,13.775,13.925,23690.0,22753.9,27795.5,0.17
2020-07-15 10:40:00,13.72,13.72,13.65,13.62,37028.1,-0.07,-0.51,13.742,13.807,13.951,22567.6,22227.4,27465.2,0.21
2020-07-15 10:35:00,13.78,13.8,13.73,13.72,8703.0,-0.05,-0.36,13.76,13.828,13.973,22427.6,21301.4,26782.2,0.05
2020-07-15 10:30:00,13.81,13.9,13.78,13.76,26243.0,-0.03,-0.22,13.784,13.844,13.99,23742.6,25387.2,26996.0,0.15
2020-07-15 10:25:00,13.75,13.87,13.81,13.75,16975.0,0.06,0.44,13.802,13.87,14.0015,22087.7,27213.6,26815.4,0.1
2020-07-15 10:20:00,13.73,13.77,13.74,13.69,23888.7,0.01,0.07,13.836,13.899,14.011,21817.8,33885.2,26541.4,0.13
2020-07-15 10:15:00,13.85,13.85,13.74,13.72,36328.2,-0.11,-0.79,13.872,13.944,14.025,21887.2,32367.1,25993.6,0.2
2020-07-15 10:10:00,13.86,13.89,13.85,13.82,15278.0,-0.01,-0.07,13.896,13.991,14.034,20175.2,30937.6,25568.5,0.09
2020-07-15 10:05:00,13.99,13.99,13.87,13.86,17968.6,-0.12,-0.86,13.904,14.026,14.0355,27031.9,31380.6,25520.5,0.1
2020-07-15 10:00:00,13.92,13.99,13.98,13.92,15625.4,0.06,0.43,13.938,14.066,14.0355,32339.4,32633.3,26158.0,0.09
2020-07-15 09:55:00,13.86,13.99,13.92,13.86,24236.0,0.06,0.43,13.962,14.075,14.0315,45952.7,32837.1,26475.5,0.14
2020-07-15 09:50:00,13.89,13.9,13.86,13.85,27768.0,-0.03,-0.22,14.016,14.095,14.029,42846.9,32702.9,27327.3,0.16
