date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,16.29,16.29,16.19,16.19,36645.0,-0.1,-0.61,16.372,16.562,16.826,54060.0,51965.9,42373.2,0.18
2020-07-16 14:55:00,16.44,16.44,16.29,16.28,64059.6,-0.15,-0.91,16.41,16.644,16.8765,61459.6,50544.5,41404.1,0.31
2020-07-16 14:50:00,16.47,16.6,16.44,16.41,41175.6,-0.03,-0.18,16.496,16.734,16.93,55386.3,45345.2,38746.9,0.2
2020-07-16 14:45:00,16.46,16.53,16.47,16.36,47737.3,0.01,0.06,16.566,16.806,16.9725,59292.5,43262.9,37366.1,0.23
2020-07-16 14:40:00,16.38,16.47,16.47,16.12,80682.5,0.09,0.55,16.634,16.865,17.015,60683.4,39886.4,35637.7,0.39
2020-07-16 14:35:00,16.62,16.62,16.38,16.24,73643.1,-0.24,-1.44,16.752,16.943,17.0615,49871.8,33632.9,32079.1,0.36
2020-07-16 14:30:00,16.91,16.91,16.72,16.72,33693.0,-0.19,-1.12,16.878,17.023,17.1115,39629.4,29158.3,29656.6,0.16
2020-07-16 14:25:00,16.81,16.81,16.79,16.6,60706.8,-0.02,-0.12,16.972,17.058,17.139,35304.0,28813.7,29414.9,0.29
2020-07-16 14:20:00,17.06,17.08,16.81,16.8,54691.8,-0.25,-1.47,17.046,17.075,17.1715,27233.3,31080.9,27573.5,0.27
2020-07-16 14:15:00,17.03,17.06,17.06,16.94,26624.1,0.03,0.18,17.096,17.094,17.2025,19089.3,30053.4,25265.2,0.13
2020-07-16 14:10:00,17.19,17.19,17.01,16.92,22431.3,-0.18,-1.05,17.134,17.09,17.2225,17394.1,32780.6,24496.7,0.11
2020-07-16 14:05:00,17.14,17.23,17.19,17.14,12066.2,0.05,0.29,17.168,17.109,17.2525,18687.2,32263.7,24385.9,0.06
2020-07-16 14:00:00,17.05,17.16,17.16,17.0,20352.9,0.11,0.65,17.144,17.126,17.269,22323.3,32148.5,24696.9,0.1
2020-07-16 13:55:00,17.25,17.27,17.06,17.06,13971.8,-0.19,-1.1,17.104,17.139,17.2905,34928.6,31469.4,24387.5,0.07
2020-07-16 13:50:00,17.18,17.33,17.25,17.18,18148.2,0.07,0.41,17.092,17.165,17.314,41017.6,31389.0,24220.8,0.09
2020-07-16 13:45:00,17.08,17.4,17.18,17.06,28897.0,0.1,0.59,17.046,17.18,17.321,48167.1,30525.3,23917.3,0.14
2020-07-16 13:40:00,16.96,17.19,17.07,16.96,30246.6,0.11,0.65,17.05,17.2,17.3345,45840.1,30154.9,23772.5,0.15
2020-07-16 13:35:00,16.82,16.99,16.96,16.82,83379.4,0.14,0.83,17.108,17.22,17.3475,41973.8,30016.2,23827.8,0.4
2020-07-16 13:30:00,17.01,17.13,17.0,17.0,44416.7,-0.01,-0.06,17.174,17.268,17.37,28010.1,24066.0,20667.3,0.22
2020-07-16 13:25:00,17.2,17.25,17.02,17.02,53895.8,-0.18,-1.05,17.238,17.311,17.385,21760.3,20476.9,20038.6,0.26
2020-07-16 13:20:00,17.37,17.39,17.2,17.2,17262.0,-0.17,-0.98,17.314,17.355,17.4085,12883.5,16212.8,18588.4,0.08
2020-07-16 13:15:00,17.29,17.36,17.36,17.27,10915.0,0.07,0.4,17.35,17.396,17.4205,14469.7,16508.2,19085.4,0.05
2020-07-16 13:10:00,17.3,17.3,17.29,17.26,13561.1,-0.01,-0.06,17.332,17.412,17.431,18058.5,17245.2,20106.2,0.07
2020-07-16 13:05:00,17.4,17.42,17.32,17.3,13167.8,-0.08,-0.46,17.362,17.442,17.4385,20121.9,17305.6,21370.2,0.06
2020-07-16 11:30:00,17.39,17.42,17.4,17.31,9511.36,0.01,0.06,17.384,17.463,17.4415,19193.6,17052.7,23486.5,0.05
2020-07-16 11:25:00,17.26,17.42,17.38,17.22,25193.2,0.12,0.7,17.396,17.462,17.457,19542.1,17309.2,25034.5,0.12
2020-07-16 11:20:00,17.44,17.44,17.27,17.27,28859.2,-0.17,-0.97,17.442,17.469,17.479,18546.6,17390.1,27743.8,0.14
2020-07-16 11:15:00,17.43,17.45,17.44,17.28,23878.0,0.01,0.06,17.492,17.475,17.4845,16431.8,17639.4,29435.0,0.12
2020-07-16 11:10:00,17.48,17.5,17.43,17.43,8526.0,-0.05,-0.29,17.522,17.472,17.481,14489.4,17268.6,37784.8,0.04
2020-07-16 11:05:00,17.61,17.62,17.46,17.46,11254.2,-0.15,-0.85,17.542,17.459,17.504,14911.8,19600.3,39068.4,0.05
2020-07-16 11:00:00,17.57,17.7,17.61,17.56,20215.8,0.04,0.23,17.528,17.462,17.523,15076.4,20964.0,43551.1,0.1
2020-07-16 10:55:00,17.59,17.68,17.52,17.52,18285.0,-0.07,-0.4,17.496,17.445,17.536,16233.6,21662.6,48742.9,0.09
2020-07-16 10:50:00,17.53,17.59,17.59,17.48,14165.9,0.06,0.34,17.458,17.45,17.562,18846.9,22967.2,52712.2,0.07
2020-07-16 10:45:00,17.39,17.53,17.53,17.3,10638.2,0.14,0.81,17.422,17.435,17.5905,20047.8,25434.7,54861.5,0.05
2020-07-16 10:40:00,17.45,17.51,17.39,17.39,12077.0,-0.06,-0.34,17.376,17.42,17.632,24288.9,29920.4,56084.2,0.06
2020-07-16 10:35:00,17.33,17.55,17.45,17.33,26002.1,0.12,0.69,17.396,17.452,17.6785,26851.5,32759.7,57356.2,0.13
2020-07-16 10:30:00,17.41,17.41,17.33,17.25,31351.4,-0.08,-0.46,17.394,17.489,17.724,27091.5,38097.4,57791.8,0.15
2020-07-16 10:25:00,17.3,17.47,17.41,17.3,20170.1,0.11,0.64,17.442,17.494,17.7865,27087.4,41230.7,57234.5,0.1
2020-07-16 10:20:00,17.49,17.49,17.3,17.24,31843.7,-0.19,-1.09,17.448,17.49,17.841,30821.6,58301.0,57505.8,0.15
2020-07-16 10:15:00,17.44,17.49,17.49,17.37,24890.4,0.05,0.29,17.464,17.549,17.9,35551.9,58536.4,57973.1,0.12
2020-07-16 10:10:00,17.56,17.56,17.44,17.37,27202.0,-0.12,-0.68,17.508,17.584,17.9545,38667.9,66138.2,58073.5,0.13
2020-07-16 10:05:00,17.44,17.64,17.57,17.4,31331.0,0.13,0.75,17.584,17.627,18.02,49103.2,75823.3,58952.5,0.15
2020-07-16 10:00:00,17.38,17.5,17.44,17.36,38841.0,0.06,0.35,17.546,17.674,18.083,55374.0,82457.2,58906.4,0.19
2020-07-16 09:55:00,17.72,17.72,17.38,17.38,55495.0,-0.34,-1.92,17.532,17.746,18.1425,85780.4,84288.4,58239.1,0.27
2020-07-16 09:50:00,17.77,17.78,17.71,17.59,40470.4,-0.06,-0.34,17.634,17.844,18.21,81521.0,82248.1,56798.7,0.2
2020-07-16 09:45:00,17.38,17.91,17.82,17.38,79378.6,0.44,2.53,17.66,17.905,18.262,93608.5,81952.7,56531.7,0.39
2020-07-16 09:40:00,17.4,17.5,17.38,17.3,62685.2,-0.02,-0.11,17.67,17.959,18.294,102543.0,77486.2,53799.1,0.3
2020-07-16 09:35:00,17.16,17.58,17.37,17.16,190873.0,0.21,1.22,17.802,18.079,18.352,109540.0,73238.2,52199.4,0.93
2020-07-15 15:00:00,17.85,17.92,17.89,17.82,34197.6,0.04,0.22,17.96,18.192,18.4135,82796.4,56710.6,46808.9,0.17
2020-07-15 14:55:00,17.88,17.9,17.84,17.69,100908.0,-0.04,-0.22,18.054,18.251,18.4475,82975.2,57409.7,47330.8,0.49
2020-07-15 14:50:00,18.02,18.02,17.87,17.69,124053.0,-0.15,-0.83,18.15,18.325,18.482,70297.0,50008.9,43532.5,0.6
2020-07-15 14:45:00,18.14,18.14,18.04,17.93,97670.7,-0.1,-0.55,18.248,18.413,18.5135,52429.0,42081.8,38817.0,0.47
2020-07-15 14:40:00,18.36,18.4,18.16,18.01,57152.5,-0.2,-1.09,18.356,18.492,18.5255,36935.9,35355.5,35176.6,0.28
2020-07-15 14:35:00,18.31,18.36,18.36,18.2,35091.6,0.05,0.27,18.424,18.539,18.537,30624.8,32189.7,33357.2,0.17
2020-07-15 14:30:00,18.35,18.37,18.32,18.22,37517.2,-0.03,-0.16,18.448,18.576,18.539,31844.3,31349.3,33399.8,0.18
2020-07-15 14:25:00,18.58,18.58,18.36,18.34,34712.9,-0.22,-1.18,18.5,18.619,18.532,29720.7,31110.6,32752.5,0.17
2020-07-15 14:20:00,18.5,18.67,18.58,18.49,20205.2,0.08,0.43,18.578,18.629,18.5235,31734.6,30112.0,32299.3,0.1
2020-07-15 14:15:00,18.47,18.54,18.5,18.47,25597.0,0.03,0.16,18.628,18.625,18.5085,33775.2,31160.6,32971.1,0.12
2020-07-15 14:10:00,18.59,18.62,18.48,18.39,41189.3,-0.11,-0.59,18.654,18.635,18.4865,33754.7,36907.2,33507.0,0.2
2020-07-15 14:05:00,18.74,18.76,18.58,18.56,26899.3,-0.16,-0.85,18.704,18.644,18.4675,30854.2,37251.8,33279.0,0.13
2020-07-15 14:00:00,18.85,18.94,18.75,18.75,44782.1,-0.1,-0.53,18.738,18.639,18.4465,32500.4,37056.2,34322.7,0.22
2020-07-15 13:55:00,18.63,18.87,18.83,18.63,30408.2,0.2,1.07,18.68,18.614,18.42,28489.5,35552.1,35482.2,0.15
2020-07-15 13:50:00,18.76,18.76,18.63,18.6,25494.4,-0.13,-0.69,18.622,18.559,18.379,28545.9,34997.8,38299.1,0.12
2020-07-15 13:45:00,18.74,18.74,18.73,18.57,26687.0,-0.01,-0.05,18.616,18.535,18.345,40059.7,34524.6,44246.0,0.13
2020-07-15 13:40:00,18.48,18.8,18.75,18.48,35130.4,0.27,1.46,18.584,18.502,18.3135,43649.5,35450.2,47330.4,0.17
2020-07-15 13:35:00,18.54,18.54,18.46,18.42,24727.5,-0.08,-0.43,18.54,18.445,18.2985,41611.9,34394.4,48663.0,0.12
2020-07-15 13:30:00,18.59,18.66,18.54,18.51,30690.4,-0.05,-0.27,18.548,18.418,18.3015,42614.8,34486.6,50764.5,0.15
2020-07-15 13:25:00,18.57,18.74,18.6,18.55,83063.0,0.03,0.16,18.496,18.392,18.298,41449.6,34781.7,51590.3,0.4
2020-07-15 13:20:00,18.52,18.6,18.57,18.38,44636.0,0.05,0.27,18.454,18.338,18.2885,28989.6,30106.9,52169.3,0.22
2020-07-15 13:15:00,18.49,18.58,18.53,18.33,24942.6,0.04,0.22,18.42,18.291,18.28,27251.0,29306.2,54375.1,0.12
2020-07-15 13:10:00,18.28,18.59,18.5,18.27,29741.9,0.22,1.2,18.35,18.254,18.2815,27176.9,31589.3,58892.2,0.14
2020-07-15 13:05:00,18.39,18.5,18.28,18.24,24864.3,-0.11,-0.6,18.288,18.226,18.29,26358.5,35412.2,62014.6,0.12
2020-07-15 11:30:00,18.41,18.49,18.39,18.37,20763.0,-0.02,-0.11,18.288,18.199,18.3095,28113.9,41600.4,65255.7,0.1
2020-07-15 11:25:00,18.16,18.48,18.4,18.16,35943.3,0.24,1.32,18.222,18.155,18.3215,31224.2,53967.3,72369.7,0.17
2020-07-15 11:20:00,18.11,18.29,18.18,18.1,24572.0,0.07,0.39,18.162,18.125,18.3485,31361.3,59210.6,80958.2,0.12
2020-07-15 11:15:00,18.28,18.34,18.19,18.18,25649.8,-0.09,-0.49,18.158,18.152,18.3895,36001.6,62931.6,90481.8,0.12
2020-07-15 11:10:00,18.07,18.39,18.28,18.07,33641.2,0.21,1.16,18.164,18.185,18.448,44465.9,67042.4,116594.0,0.16
2020-07-15 11:05:00,18.11,18.14,18.06,17.95,36314.9,-0.05,-0.28,18.11,18.204,18.509,55086.9,68398.9,115083.0,0.18
2020-07-15 11:00:00,18.16,18.21,18.1,18.06,36628.8,-0.06,-0.33,18.088,18.239,18.581,76710.4,74231.7,113562.0,0.18
2020-07-15 10:55:00,18.25,18.25,18.16,18.04,47773.4,-0.09,-0.49,18.088,18.269,18.651,87060.0,79444.0,111845.0,0.23
2020-07-15 10:50:00,18.03,18.34,18.22,17.96,67971.4,0.19,1.05,18.146,18.309,18.718,89861.6,86195.0,109544.0,0.33
2020-07-15 10:45:00,17.93,18.03,18.01,17.9,86746.2,0.08,0.45,18.206,18.354,18.782,89619.0,88617.0,106337.0,0.42
2020-07-15 10:40:00,18.0,18.18,17.95,17.92,144432.0,-0.05,-0.28,18.298,18.42,18.8565,81710.8,88911.1,102120.0,0.7
2020-07-15 10:35:00,18.42,18.45,18.1,18.1,88376.8,-0.32,-1.74,18.39,18.488,18.934,71753.0,90772.2,95206.8,0.43
2020-07-15 10:30:00,18.52,18.59,18.45,18.41,61781.6,-0.07,-0.38,18.45,18.572,19.004,71828.0,102706.0,95318.3,0.3
2020-07-15 10:25:00,18.48,18.54,18.52,18.4,66758.2,0.04,0.22,18.472,18.627,19.0565,82528.5,118032.0,92487.7,0.32
2020-07-15 10:20:00,18.41,18.47,18.47,18.27,47205.5,0.06,0.33,18.502,18.711,19.1055,87615.0,166146.0,89709.5,0.23
2020-07-15 10:15:00,18.4,18.48,18.41,18.25,94643.0,0.01,0.05,18.542,18.814,19.157,96111.3,161766.0,96367.1,0.46
2020-07-15 10:10:00,18.55,18.55,18.4,18.4,88751.8,-0.15,-0.81,18.586,18.923,19.209,109791.0,152892.0,93651.7,0.43
2020-07-15 10:05:00,18.68,18.7,18.56,18.41,115284.0,-0.12,-0.64,18.694,19.033,19.2575,133584.0,144245.0,91007.5,0.56
2020-07-15 10:00:00,18.67,18.8,18.67,18.48,92190.9,0.0,0.0,18.782,19.127,19.297,153535.0,132892.0,86866.2,0.45
2020-07-15 09:55:00,18.65,18.86,18.67,18.65,89687.0,0.02,0.11,18.92,19.21,19.33,244676.0,124057.0,84854.9,0.44
2020-07-15 09:50:00,18.96,18.96,18.63,18.42,163043.0,-0.33,-1.74,19.086,19.293,19.3505,227421.0,115329.0,82775.2,0.79
2020-07-15 09:45:00,18.64,18.97,18.94,18.56,207713.0,0.3,1.61,19.26,19.38,19.3845,195993.0,99641.5,75758.8,1.01
2020-07-15 09:40:00,19.36,19.39,19.0,18.89,215043.0,-0.36,-1.86,19.372,19.436,19.4075,154907.0,87930.7,67535.5,1.04
2020-07-15 09:35:00,20.3,20.3,19.36,19.33,547894.0,-0.94,-4.63,19.472,19.486,19.4295,112249.0,66943.5,59265.2,2.66
2020-07-14 15:00:00,19.5,19.5,19.5,19.5,3414.0,0.0,0.0,19.5,19.5,19.4305,3437.19,13273.5,33346.1,0.02
2020-07-14 14:55:00,19.5,19.5,19.5,19.5,5901.0,0.0,0.0,19.5,19.5,19.4295,3236.39,30967.8,37221.4,0.03
2020-07-14 14:50:00,19.5,19.5,19.5,19.5,2284.2,0.0,0.0,19.5,19.495,19.4235,3289.99,34411.3,42965.7,0.01
2020-07-14 14:45:00,19.5,19.5,19.5,19.5,1752.0,0.0,0.0,19.5,19.482,19.4235,20954.2,37769.6,50808.6,0.01
2020-07-14 14:40:00,19.5,19.5,19.5,19.5,3834.74,0.0,0.0,19.5,19.467,19.419,21638.0,40840.2,55254.2,0.02
2020-07-14 14:35:00,19.5,19.5,19.5,19.5,2410.0,0.0,0.0,19.5,19.45,19.412,23109.9,45653.2,59546.3,0.01
2020-07-14 14:30:00,19.5,19.5,19.5,19.5,6169.0,0.0,0.0,19.5,19.408,19.407,58699.3,50221.4,72203.3,0.03
2020-07-14 14:25:00,19.5,19.5,19.5,19.42,90605.4,0.0,0.0,19.49,19.389,19.407,65532.5,51876.0,75222.8,0.44
2020-07-14 14:20:00,19.5,19.5,19.5,19.5,5171.0,0.0,0.0,19.464,19.379,19.407,54585.0,47140.3,71948.9,0.03
2020-07-14 14:15:00,19.5,19.5,19.5,19.5,11193.9,0.0,0.0,19.434,19.373,19.407,60042.3,51586.9,76337.4,0.05
2020-07-14 14:10:00,19.45,19.5,19.5,19.45,180357.0,0.05,0.26,19.4,19.361,19.407,68196.5,53418.7,92086.0,0.88
2020-07-14 14:05:00,19.38,19.45,19.45,19.31,40335.3,0.07,0.36,19.316,19.359,19.376,41743.6,43474.9,85118.1,0.2
2020-07-14 14:00:00,19.35,19.4,19.37,19.28,35867.9,0.02,0.1,19.288,19.352,19.3545,38219.5,51520.1,84943.4,0.17
2020-07-14 13:55:00,19.33,19.35,19.35,19.14,32457.4,0.02,0.1,19.294,19.365,19.3415,39695.5,63847.5,86748.1,0.16
2020-07-14 13:50:00,19.07,19.44,19.33,19.05,51964.9,0.26,1.36,19.312,19.371,19.3255,43131.5,69668.2,94091.6,0.25
2020-07-14 13:45:00,19.32,19.34,19.08,19.07,48092.4,-0.24,-1.24,19.322,19.374,19.303,38640.9,73439.3,95849.5,0.23
2020-07-14 13:40:00,19.4,19.41,19.31,19.3,22715.0,-0.09,-0.46,19.402,19.406,19.279,45206.3,94185.1,97789.8,0.11
2020-07-14 13:35:00,19.43,19.49,19.4,19.39,43248.0,-0.03,-0.15,19.416,19.425,19.261,64820.7,98569.5,105679.0,0.21
2020-07-14 13:30:00,19.38,19.45,19.44,19.29,49637.4,0.06,0.31,19.436,19.435,19.2405,87999.5,96757.4,117142.0,0.24
2020-07-14 13:25:00,19.48,19.48,19.38,19.35,29511.9,-0.1,-0.51,19.43,19.441,19.192,96204.9,101088.0,119527.0,0.14
2020-07-14 13:20:00,19.37,19.49,19.48,19.35,80919.2,0.11,0.57,19.426,19.453,19.126,108238.0,130753.0,122118.0,0.39
2020-07-14 13:15:00,19.5,19.5,19.38,19.35,120787.0,-0.12,-0.62,19.41,19.393,19.06,143164.0,126761.0,121185.0,0.59
2020-07-14 13:10:00,19.4,19.5,19.5,19.35,159142.0,0.1,0.52,19.434,19.357,19.005,132318.0,118367.0,121514.0,0.77
2020-07-14 13:05:00,19.34,19.48,19.41,19.26,90664.6,0.07,0.36,19.434,19.318,18.948,105515.0,109649.0,122118.0,0.44
2020-07-14 11:30:00,19.4,19.45,19.36,19.21,89675.8,-0.04,-0.21,19.452,19.28,18.8845,105971.0,118515.0,123198.0,0.44
