date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,7.46,7.47,7.44,7.44,11553.3,-0.02,-0.27,7.48,7.587,7.694,19596.6,18462.3,17996.1,0.06
2020-07-16 14:55:00,7.49,7.51,7.46,7.46,23477.0,-0.03,-0.4,7.496,7.618,7.711,22974.8,18297.3,17639.7,0.11
2020-07-16 14:50:00,7.52,7.55,7.48,7.46,15189.3,-0.04,-0.53,7.55,7.656,7.7295,21061.2,16599.5,16873.9,0.07
2020-07-16 14:45:00,7.51,7.57,7.52,7.5,18588.6,0.01,0.13,7.604,7.691,7.7475,20740.7,15698.0,16505.1,0.09
2020-07-16 14:40:00,7.52,7.55,7.5,7.41,29175.0,-0.02,-0.27,7.642,7.719,7.7635,21130.6,14890.5,15843.1,0.14
2020-07-16 14:35:00,7.7,7.7,7.52,7.52,28444.0,-0.18,-2.34,7.694,7.754,7.781,17328.0,12657.0,14556.9,0.14
2020-07-16 14:30:00,7.76,7.77,7.73,7.69,13909.0,-0.03,-0.39,7.74,7.788,7.7975,13619.8,11668.8,13939.2,0.07
2020-07-16 14:25:00,7.71,7.76,7.75,7.68,13587.0,0.04,0.52,7.762,7.8,7.802,12137.8,16363.9,14135.5,0.07
2020-07-16 14:20:00,7.76,7.76,7.71,7.69,20538.0,-0.05,-0.64,7.778,7.798,7.8095,10655.2,18278.7,14154.9,0.1
2020-07-16 14:15:00,7.75,7.76,7.76,7.72,10162.0,0.01,0.13,7.796,7.802,7.819,8650.4,17411.3,13315.1,0.05
2020-07-16 14:10:00,7.83,7.84,7.75,7.73,9903.0,-0.08,-1.02,7.814,7.801,7.827,7986.04,17529.9,14302.2,0.05
2020-07-16 14:05:00,7.82,7.84,7.84,7.81,6499.0,0.02,0.26,7.836,7.804,7.8365,9717.84,16982.1,14510.9,0.03
2020-07-16 14:00:00,7.8,7.84,7.83,7.78,6174.0,0.03,0.38,7.838,7.803,7.84,20590.0,17148.3,14922.8,0.03
2020-07-16 13:55:00,7.83,7.83,7.8,7.79,10514.0,-0.03,-0.38,7.818,7.804,7.844,25902.3,17312.3,15191.1,0.05
