date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,13.49,13.5,13.47,13.45,7223.52,-0.02,-0.15,13.536,13.662,13.8155,16145.1,15103.7,12019.1,0.01
2020-07-16 14:55:00,13.55,13.58,13.49,13.45,18920.0,-0.06,-0.44,13.552,13.705,13.848,19768.5,15386.4,11994.6,0.02
2020-07-16 14:50:00,13.57,13.63,13.55,13.52,14088.2,-0.02,-0.15,13.614,13.759,13.8825,19044.8,14104.0,11363.1,0.02
2020-07-16 14:45:00,13.61,13.69,13.57,13.56,15931.8,-0.04,-0.29,13.674,13.8,13.9145,18565.8,13245.1,10855.2,0.02
2020-07-16 14:40:00,13.55,13.6,13.6,13.45,24562.1,0.05,0.37,13.726,13.837,13.9445,17399.6,12192.7,10422.1,0.03
2020-07-16 14:35:00,13.8,13.8,13.55,13.48,25340.2,-0.25,-1.81,13.788,13.878,13.9725,14062.2,10425.0,9442.42,0.03
2020-07-16 14:30:00,13.78,13.86,13.8,13.77,15301.8,0.02,0.15,13.858,13.923,14.003,11004.4,8761.76,8997.71,0.02
2020-07-16 14:25:00,13.84,13.88,13.85,13.81,11693.0,0.01,0.07,13.904,13.942,14.012,9163.2,8573.58,9942.67,0.01
2020-07-16 14:20:00,13.91,13.94,13.83,13.82,10101.0,-0.08,-0.58,13.926,13.945,14.027,7924.36,9201.53,9810.92,0.01
2020-07-16 14:15:00,13.9,13.93,13.91,13.87,7875.0,0.01,0.07,13.948,13.96,14.0475,6985.76,9051.23,9521.32,0.01
2020-07-16 14:10:00,14.02,14.07,13.9,13.9,10051.0,-0.12,-0.86,13.968,13.969,14.0655,6787.76,8934.49,9362.37,0.01
2020-07-16 14:05:00,13.96,14.08,14.03,13.95,6096.0,0.07,0.5,13.988,13.991,14.0835,6519.16,8602.89,9348.42,0.01
2020-07-16 14:00:00,13.94,14.0,13.96,13.94,5498.8,0.02,0.14,13.98,14.006,14.0965,7983.96,8622.29,9343.52,0.01
2020-07-16 13:55:00,14.08,14.08,13.94,13.94,5408.0,-0.14,-0.99,13.964,14.029,14.116,10478.7,8465.41,9406.05,0.01
2020-07-16 13:50:00,14.02,14.09,14.01,13.98,6885.0,-0.01,-0.07,13.972,14.052,14.1315,11116.7,8651.56,9527.6,0.01
2020-07-16 13:45:00,13.99,14.1,14.0,13.99,8708.0,0.01,0.07,13.97,14.067,14.142,11081.2,8459.86,9453.5,0.01
2020-07-16 13:40:00,13.88,14.05,13.99,13.85,13420.0,0.11,0.79,13.994,14.083,14.1565,10686.6,9233.66,9637.85,0.02
2020-07-16 13:35:00,13.92,13.96,13.88,13.88,17972.5,-0.04,-0.29,14.032,14.082,14.1655,9260.62,11311.8,9465.52,0.02
2020-07-16 13:30:00,13.99,14.06,13.98,13.98,8598.0,-0.01,-0.07,14.094,14.109,14.184,6452.12,10420.3,8904.55,0.01
2020-07-16 13:25:00,14.12,14.17,14.0,14.0,6707.58,-0.12,-0.85,14.132,14.135,14.194,6186.42,9991.41,9075.95,0.01
2020-07-16 13:20:00,14.18,14.24,14.12,14.12,6735.0,-0.06,-0.42,14.164,14.162,14.209,5838.5,9790.25,9081.17,0.01
2020-07-16 13:15:00,14.2,14.2,14.18,14.12,6290.0,-0.02,-0.14,14.172,14.176,14.2185,7780.7,10094.0,9134.82,0.01
2020-07-16 13:10:00,14.2,14.21,14.19,14.11,3930.0,-0.01,-0.07,14.132,14.187,14.2265,13362.9,10064.8,9314.12,0.0
2020-07-16 13:05:00,14.12,14.23,14.17,14.12,7269.5,0.05,0.35,14.124,14.203,14.231,14388.5,10346.7,9745.52,0.01
2020-07-16 11:30:00,14.16,14.19,14.16,14.12,4968.0,0.0,0.0,14.138,14.211,14.24,13796.4,10403.6,10015.0,0.01
2020-07-16 11:25:00,14.0,14.16,14.16,14.0,16446.0,0.16,1.14,14.16,14.217,14.2525,13742.0,10447.1,10319.3,0.02
2020-07-16 11:20:00,14.16,14.17,13.98,13.9,34201.0,-0.18,-1.27,14.18,14.23,14.2645,12407.2,10042.0,10537.8,0.04
2020-07-16 11:15:00,14.24,14.24,14.15,14.12,9058.0,-0.09,-0.63,14.242,14.249,14.2795,6766.6,7619.28,9688.45,0.01
2020-07-16 11:10:00,14.28,14.28,14.24,14.2,4309.0,-0.04,-0.28,14.282,14.259,14.2855,6304.88,7388.78,10710.8,0.01
2020-07-16 11:05:00,14.25,14.33,14.27,14.24,4696.0,0.02,0.14,14.284,14.253,14.284,7010.88,8160.48,10823.3,0.01
2020-07-16 11:00:00,14.29,14.38,14.26,14.26,9772.02,-0.03,-0.21,14.274,14.256,14.2785,7152.28,8372.08,11389.2,0.01
2020-07-16 10:55:00,14.33,14.36,14.29,14.26,5998.0,-0.04,-0.28,14.28,14.261,14.2755,7676.87,8175.68,11673.9,0.01
2020-07-16 10:50:00,14.26,14.35,14.35,14.25,6749.36,0.09,0.63,14.256,14.266,14.276,8471.95,8563.48,11953.3,0.01
2020-07-16 10:45:00,14.23,14.25,14.25,14.17,7839.0,0.02,0.14,14.236,14.259,14.275,8472.69,9144.34,12117.4,0.01
2020-07-16 10:40:00,14.29,14.29,14.22,14.22,5403.0,-0.07,-0.49,14.222,14.269,14.285,9310.09,9626.42,11937.0,0.01
2020-07-16 10:35:00,14.17,14.3,14.29,14.17,12395.0,0.12,0.85,14.238,14.288,14.2955,9591.89,10191.4,11859.3,0.02
2020-07-16 10:30:00,14.24,14.26,14.17,14.15,9973.41,-0.07,-0.49,14.242,14.299,14.3005,8674.49,11033.5,11471.4,0.01
2020-07-16 10:25:00,14.18,14.29,14.25,14.18,6753.04,0.07,0.49,14.276,14.31,14.3165,8655.01,11757.6,11383.7,0.01
2020-07-16 10:20:00,14.29,14.3,14.18,14.18,12026.0,-0.11,-0.77,14.282,14.312,14.329,9816.0,14032.8,11247.1,0.01
2020-07-16 10:15:00,14.33,14.34,14.3,14.26,6812.0,-0.03,-0.21,14.316,14.315,14.3435,9942.74,13486.0,11155.5,0.01
2020-07-16 10:10:00,14.3,14.36,14.31,14.22,7808.0,0.01,0.07,14.338,14.301,14.355,10790.9,14406.3,11070.2,0.01
2020-07-16 10:05:00,14.36,14.38,14.34,14.31,9876.0,-0.02,-0.14,14.356,14.29,14.3675,13392.4,15172.2,11158.6,0.01
2020-07-16 10:00:00,14.35,14.38,14.28,14.21,12558.0,-0.07,-0.49,14.344,14.286,14.379,14860.2,15343.1,10921.4,0.02
2020-07-16 09:55:00,14.41,14.45,14.35,14.32,12659.7,-0.06,-0.42,14.342,14.291,14.393,18249.7,15090.5,10549.5,0.02
2020-07-16 09:50:00,14.45,14.46,14.41,14.38,11052.8,-0.04,-0.28,14.314,14.301,14.402,17029.3,14247.5,10300.5,0.01
2020-07-16 09:45:00,14.25,14.47,14.4,14.21,20815.7,0.15,1.05,14.264,14.303,14.4085,18021.7,13527.2,10190.4,0.03
2020-07-16 09:40:00,14.27,14.3,14.28,14.21,17215.0,0.01,0.07,14.224,14.302,14.413,16952.0,11909.3,9397.42,0.02
2020-07-16 09:35:00,14.18,14.37,14.27,14.17,29505.1,0.09,0.63,14.228,14.323,14.4215,15826.0,11009.7,8866.12,0.04
2020-07-15 15:00:00,14.16,14.21,14.21,14.16,6558.0,0.05,0.35,14.24,14.346,14.432,11931.4,8461.31,7993.51,0.01
2020-07-15 14:55:00,14.21,14.21,14.16,14.16,16014.6,-0.05,-0.35,14.288,14.372,14.4465,11465.7,8824.98,8129.96,0.02
2020-07-15 14:50:00,14.3,14.3,14.2,14.2,15467.1,-0.1,-0.7,14.342,14.409,14.462,9032.81,7734.16,7562.23,0.02
2020-07-15 14:45:00,14.34,14.36,14.3,14.29,11585.0,-0.04,-0.28,14.38,14.445,14.4725,6866.59,7144.95,7097.21,0.01
2020-07-15 14:40:00,14.44,14.46,14.33,14.33,10032.4,-0.11,-0.76,14.418,14.472,14.474,6193.49,6499.65,6786.71,0.01
2020-07-15 14:35:00,14.42,14.45,14.45,14.4,4229.36,0.03,0.21,14.452,14.495,14.474,4991.21,6008.41,6685.39,0.01
2020-07-15 14:30:00,14.39,14.45,14.43,14.37,3850.2,0.04,0.28,14.456,14.503,14.466,6184.28,6353.57,7055.5,0.0
2020-07-15 14:25:00,14.49,14.51,14.39,14.38,4636.0,-0.1,-0.69,14.476,14.514,14.452,6435.5,6853.65,7344.44,0.01
2020-07-15 14:20:00,14.49,14.51,14.49,14.42,8219.48,0.0,0.0,14.51,14.524,14.4445,7423.3,6885.56,7377.7,0.01
2020-07-15 14:15:00,14.47,14.51,14.5,14.46,4021.0,0.03,0.21,14.526,14.52,14.4365,6805.8,6722.51,7789.51,0.0
2020-07-15 14:10:00,14.54,14.54,14.47,14.45,10194.7,-0.07,-0.48,14.538,14.518,14.4245,7025.6,7525.71,8293.56,0.01
2020-07-15 14:05:00,14.56,14.56,14.53,14.51,5106.32,-0.03,-0.21,14.55,14.521,14.42,6522.86,7434.94,8066.03,0.01
2020-07-15 14:00:00,14.59,14.63,14.56,14.52,9575.0,-0.03,-0.21,14.552,14.515,14.4175,7271.8,7390.31,8014.97,0.01
2020-07-15 13:55:00,14.52,14.59,14.57,14.52,5132.0,0.05,0.34,14.538,14.5,14.4145,6347.82,7049.48,8357.87,0.01
2020-07-15 13:50:00,14.53,14.56,14.56,14.48,5120.0,0.03,0.21,14.514,14.476,14.409,6639.22,7073.78,8792.95,0.01
2020-07-15 13:45:00,14.54,14.58,14.53,14.47,7681.0,-0.01,-0.07,14.498,14.453,14.406,8025.82,7362.38,8833.7,0.01
2020-07-15 13:40:00,14.5,14.58,14.54,14.49,8851.0,0.04,0.28,14.492,14.429,14.405,8347.02,7757.44,8701.66,0.01
2020-07-15 13:35:00,14.45,14.49,14.49,14.42,4955.1,0.04,0.28,14.478,14.39,14.4075,7508.82,7835.24,8665.01,0.01
2020-07-15 13:30:00,14.47,14.52,14.45,14.44,6589.0,-0.02,-0.14,14.462,14.365,14.4175,7751.14,7869.83,8926.17,0.01
2020-07-15 13:25:00,14.51,14.59,14.48,14.48,12053.0,-0.03,-0.21,14.438,14.353,14.4205,7508.34,8856.5,9127.02,0.01
2020-07-15 13:20:00,14.48,14.5,14.5,14.44,9287.0,0.02,0.14,14.408,14.331,14.4225,6698.94,9061.4,8988.82,0.01
2020-07-15 13:15:00,14.41,14.47,14.47,14.38,4660.0,0.06,0.42,14.366,14.319,14.4275,7167.86,8697.12,8786.12,0.01
2020-07-15 13:10:00,14.34,14.42,14.41,14.33,6166.7,0.07,0.49,14.302,14.32,14.435,8161.66,8639.62,8928.22,0.01
2020-07-15 13:05:00,14.33,14.37,14.33,14.3,5375.0,0.0,0.0,14.268,14.329,14.4505,7988.52,9666.25,9070.24,0.01
2020-07-15 11:30:00,14.29,14.36,14.33,14.26,8006.0,0.04,0.28,14.268,14.342,14.4675,10204.7,10512.1,9491.0,0.01
2020-07-15 11:25:00,14.16,14.36,14.29,14.11,11631.6,0.13,0.92,14.254,14.359,14.4765,11423.9,10305.0,9837.0,0.01
2020-07-15 11:20:00,14.24,14.25,14.15,14.15,9629.0,-0.09,-0.63,14.272,14.381,14.491,10226.4,9645.89,10382.2,0.01
2020-07-15 11:15:00,14.33,14.36,14.24,14.24,5301.0,-0.09,-0.63,14.338,14.425,14.5195,9117.59,9494.77,10760.6,0.01
2020-07-15 11:10:00,14.24,14.39,14.33,14.21,16455.7,0.09,0.63,14.39,14.47,14.5425,11344.0,9982.5,12553.4,0.02
2020-07-15 11:05:00,14.36,14.39,14.26,14.26,14102.0,-0.1,-0.7,14.416,14.488,14.5625,10819.6,9397.53,12081.6,0.02
2020-07-15 11:00:00,14.48,14.48,14.38,14.38,5644.24,-0.1,-0.69,14.464,14.514,14.5885,9186.19,8916.24,11874.5,0.01
2020-07-15 10:55:00,14.48,14.5,14.48,14.43,4085.0,0.0,0.0,14.49,14.536,14.607,9065.39,8875.12,12126.6,0.0
2020-07-15 10:50:00,14.46,14.5,14.5,14.37,16433.0,0.04,0.28,14.512,14.55,14.6225,9871.96,9216.82,12530.0,0.02
2020-07-15 10:45:00,14.5,14.51,14.46,14.44,13833.7,-0.04,-0.28,14.55,14.572,14.6335,8621.02,8474.22,12066.4,0.02
2020-07-15 10:40:00,14.51,14.59,14.5,14.49,5935.02,-0.01,-0.07,14.56,14.593,14.6455,7975.48,8469.88,11803.0,0.01
2020-07-15 10:35:00,14.58,14.58,14.51,14.51,5040.24,-0.07,-0.48,14.564,14.594,14.6555,8646.3,9368.98,11803.1,0.01
2020-07-15 10:30:00,14.68,14.69,14.59,14.58,8117.83,-0.09,-0.61,14.582,14.601,14.6645,8684.85,11118.5,11864.6,0.01
2020-07-15 10:25:00,14.51,14.69,14.69,14.48,10178.3,0.18,1.24,14.588,14.614,14.667,8561.68,12026.5,11799.4,0.01
2020-07-15 10:20:00,14.52,14.56,14.51,14.5,10606.0,-0.01,-0.07,14.594,14.615,14.6635,8327.42,15124.2,11684.9,0.01
2020-07-15 10:15:00,14.6,14.6,14.52,14.51,9289.11,-0.08,-0.55,14.626,14.637,14.669,8964.28,14765.7,11642.3,0.01
