date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,10.37,10.41,10.4,10.34,16355.1,0.03,0.29,10.392,10.49,10.619,31131.3,27146.8,20460.7,0.06
2020-07-16 14:55:00,10.38,10.45,10.39,10.34,37211.0,0.01,0.1,10.394,10.519,10.639,37585.2,26657.3,20040.5,0.13
2020-07-16 14:50:00,10.39,10.46,10.37,10.37,30399.4,-0.02,-0.19,10.434,10.559,10.6615,33170.6,23523.8,18675.9,0.1
2020-07-16 14:45:00,10.4,10.49,10.4,10.39,22892.5,0.0,0.0,10.482,10.598,10.6815,31855.5,21385.6,17770.5,0.08
2020-07-16 14:40:00,10.41,10.46,10.4,10.35,48798.6,-0.01,-0.1,10.526,10.637,10.7005,30752.4,19982.7,17202.7,0.17
2020-07-16 14:35:00,10.52,10.52,10.41,10.33,48624.3,-0.11,-1.05,10.588,10.679,10.7225,23162.3,16187.8,14983.6,0.17
2020-07-16 14:30:00,10.6,10.64,10.59,10.58,15138.1,-0.01,-0.09,10.644,10.712,10.745,15729.5,12734.3,13298.6,0.05
2020-07-16 14:25:00,10.62,10.65,10.61,10.57,23824.0,-0.01,-0.09,10.684,10.73,10.756,13877.1,12902.6,13264.4,0.08
2020-07-16 14:20:00,10.71,10.73,10.62,10.61,17377.0,-0.09,-0.84,10.714,10.735,10.769,10915.7,13703.3,12609.9,0.06
2020-07-16 14:15:00,10.69,10.74,10.71,10.64,10848.0,0.02,0.19,10.748,10.744,10.783,9213.06,13661.4,12223.9,0.04
2020-07-16 14:10:00,10.78,10.79,10.69,10.66,11460.3,-0.09,-0.83,10.77,10.748,10.7935,9213.26,13774.6,12175.5,0.04
2020-07-16 14:05:00,10.79,10.8,10.79,10.75,5876.0,0.0,0.0,10.78,10.759,10.808,9739.2,13423.7,12452.7,0.02
2020-07-16 14:00:00,10.73,10.79,10.76,10.71,9017.0,0.03,0.28,10.776,10.764,10.817,11928.2,13828.0,12571.7,0.03
2020-07-16 13:55:00,10.82,10.82,10.79,10.73,8864.0,-0.03,-0.28,10.756,10.765,10.8275,16490.9,14155.3,12658.5,0.03
2020-07-16 13:50:00,10.75,10.83,10.82,10.75,10849.0,0.07,0.65,10.74,10.764,10.835,18109.7,14422.6,12656.9,0.04
2020-07-16 13:45:00,10.75,10.83,10.74,10.73,14090.0,-0.01,-0.09,10.726,10.766,10.838,18335.9,13779.5,12432.3,0.05
2020-07-16 13:40:00,10.66,10.77,10.77,10.63,16821.0,0.11,1.03,10.738,10.778,10.8495,17108.2,13862.9,12569.3,0.06
2020-07-16 13:35:00,10.71,10.72,10.66,10.6,31830.4,-0.05,-0.47,10.752,10.782,10.854,15727.8,13626.1,12628.2,0.11
2020-07-16 13:30:00,10.75,10.77,10.71,10.71,16958.2,-0.04,-0.37,10.774,10.803,10.8675,11819.8,11516.6,11523.2,0.06
2020-07-16 13:25:00,10.79,10.8,10.75,10.75,11980.0,-0.04,-0.37,10.788,10.822,10.876,10735.5,10786.4,11293.1,0.04
2020-07-16 13:20:00,10.84,10.9,10.8,10.79,7951.2,-0.04,-0.37,10.806,10.839,10.887,9223.09,10576.5,11070.5,0.03
2020-07-16 13:15:00,10.77,10.85,10.84,10.74,9918.96,0.07,0.65,10.818,10.857,10.8965,10617.7,11481.8,11363.1,0.03
2020-07-16 13:10:00,10.77,10.81,10.77,10.75,12290.5,0.0,0.0,10.812,10.87,10.9005,11524.4,11315.3,11525.7,0.04
2020-07-16 13:05:00,10.85,10.85,10.78,10.77,11536.8,-0.07,-0.65,10.832,10.89,10.907,11213.4,11161.6,11497.9,0.04
2020-07-16 11:30:00,10.87,10.89,10.84,10.84,4418.0,-0.03,-0.28,10.856,10.906,10.9155,10837.2,10891.3,12754.5,0.01
2020-07-16 11:25:00,10.81,10.87,10.86,10.75,14924.2,0.05,0.46,10.872,10.91,10.9235,11929.8,11085.1,14215.8,0.05
2020-07-16 11:20:00,10.86,10.86,10.81,10.79,14452.5,-0.05,-0.46,10.896,10.921,10.928,12345.9,11275.7,14983.7,0.05
2020-07-16 11:15:00,10.86,10.9,10.87,10.82,10735.5,0.01,0.09,10.928,10.926,10.93,11106.3,11630.3,15422.2,0.04
2020-07-16 11:10:00,10.92,10.96,10.9,10.89,9656.0,-0.02,-0.18,10.948,10.932,10.929,11109.8,11529.8,16622.5,0.03
2020-07-16 11:05:00,10.96,10.98,10.92,10.9,9881.0,-0.04,-0.36,10.956,10.93,10.9245,10945.3,11799.8,16693.3,0.03
2020-07-16 11:00:00,10.97,11.02,10.98,10.95,17004.5,0.01,0.09,10.948,10.935,10.919,10240.3,11564.5,17926.2,0.06
2020-07-16 10:55:00,10.98,11.0,10.97,10.92,8254.34,-0.01,-0.09,10.946,10.936,10.9095,10205.5,11244.4,18574.2,0.03
2020-07-16 10:50:00,10.95,10.97,10.97,10.91,10753.0,0.02,0.18,10.924,10.931,10.9035,12154.3,11736.0,18979.0,0.04
2020-07-16 10:45:00,10.88,10.95,10.94,10.85,8833.48,0.06,0.55,10.916,10.924,10.896,11949.8,11834.2,19068.0,0.03
2020-07-16 10:40:00,10.96,10.96,10.88,10.88,6356.04,-0.08,-0.73,10.904,10.925,10.897,12654.4,14617.7,19143.4,0.02
2020-07-16 10:35:00,10.86,10.98,10.97,10.86,16830.5,0.11,1.01,10.922,10.937,10.8985,12888.8,17346.5,19306.8,0.06
2020-07-16 10:30:00,10.91,10.92,10.86,10.83,17998.5,-0.05,-0.46,10.926,10.935,10.8965,12283.3,18691.8,18956.2,0.06
2020-07-16 10:25:00,10.88,10.94,10.93,10.87,9730.52,0.05,0.46,10.938,10.934,10.9045,11317.7,19214.1,18303.2,0.03
2020-07-16 10:20:00,10.97,10.97,10.88,10.86,12356.5,-0.09,-0.82,10.932,10.926,10.911,11718.5,21715.2,18098.5,0.04
2020-07-16 10:15:00,10.95,10.97,10.97,10.91,7528.0,0.02,0.18,10.946,10.919,10.9155,16581.0,21586.8,18111.4,0.03
2020-07-16 10:10:00,10.94,11.0,10.99,10.88,13803.0,0.05,0.46,10.952,10.903,10.9185,21804.1,24287.9,18131.2,0.05
2020-07-16 10:05:00,10.89,10.96,10.92,10.89,13170.5,0.03,0.28,10.944,10.883,10.9225,25100.3,25903.9,18282.8,0.04
2020-07-16 10:00:00,10.95,10.98,10.9,10.89,11734.5,-0.05,-0.46,10.93,10.876,10.9305,27110.6,26221.9,18437.3,0.04
2020-07-16 09:55:00,11.0,11.06,10.95,10.88,36669.0,-0.05,-0.45,10.92,10.868,10.9375,31712.0,26301.9,18319.6,0.12
2020-07-16 09:50:00,10.98,11.05,11.0,10.96,33643.5,0.02,0.18,10.892,10.869,10.942,26592.6,23669.1,16930.4,0.11
2020-07-16 09:45:00,10.85,10.99,10.95,10.85,30283.8,0.1,0.92,10.854,10.86,10.9425,26771.7,21267.1,15596.4,0.1
2020-07-16 09:40:00,10.84,10.9,10.85,10.8,23222.0,0.01,0.09,10.822,10.858,10.945,26707.6,19220.7,14680.0,0.08
