date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,15.06,15.1,15.05,15.05,13822.0,-0.01,-0.07,15.176,15.36,15.6,23997.4,21980.5,16493.6,0.03
2020-07-16 14:55:00,15.13,15.17,15.09,15.03,32053.5,-0.04,-0.26,15.198,15.427,15.647,28215.8,21336.5,16156.1,0.08
2020-07-16 14:50:00,15.31,15.32,15.12,15.12,13332.0,-0.19,-1.24,15.282,15.506,15.695,25508.1,18651.3,14807.3,0.03
2020-07-16 14:45:00,15.38,15.42,15.28,15.27,17303.0,-0.1,-0.65,15.382,15.586,15.7385,26447.7,17938.0,14456.3,0.04
2020-07-16 14:40:00,15.16,15.41,15.34,15.05,43476.5,0.18,1.19,15.458,15.639,15.775,26063.5,16731.4,13966.5,0.1
2020-07-16 14:35:00,15.46,15.47,15.16,15.15,34914.0,-0.3,-1.94,15.544,15.698,15.8105,19963.6,13052.6,12267.5,0.08
2020-07-16 14:30:00,15.63,15.65,15.51,15.51,18515.0,-0.12,-0.77,15.656,15.771,15.8555,14457.2,10350.0,10972.4,0.04
2020-07-16 14:25:00,15.66,15.66,15.62,15.51,18030.1,-0.04,-0.26,15.73,15.812,15.881,11794.4,9979.3,10875.3,0.04
2020-07-16 14:20:00,15.77,15.77,15.66,15.61,15381.8,-0.11,-0.7,15.79,15.821,15.9055,9428.18,11079.7,10464.1,0.04
2020-07-16 14:15:00,15.73,15.78,15.77,15.65,12977.2,0.04,0.25,15.82,15.835,15.9305,7399.24,10601.9,9816.37,0.03
2020-07-16 14:10:00,15.88,15.93,15.72,15.7,7382.0,-0.16,-1.01,15.852,15.84,15.9495,6141.58,11006.8,9370.76,0.02
2020-07-16 14:05:00,15.92,15.95,15.88,15.84,5201.0,-0.04,-0.25,15.886,15.867,15.974,6242.78,10975.7,9350.81,0.01
2020-07-16 14:00:00,15.81,15.92,15.92,15.76,6198.91,0.11,0.7,15.894,15.884,15.991,8164.18,10963.4,9365.86,0.01
