date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,19.42,19.44,19.36,19.33,12361.5,-0.06,-0.31,19.45,19.59,19.7595,24416.2,24979.8,21791.4,0.02
2020-07-16 14:55:00,19.47,19.5,19.41,19.41,29797.0,-0.06,-0.31,19.48,19.638,19.7935,29662.7,25502.0,21653.7,0.04
2020-07-16 14:50:00,19.52,19.57,19.47,19.46,23425.0,-0.05,-0.26,19.552,19.691,19.8325,26969.5,23447.4,20708.7,0.03
2020-07-16 14:45:00,19.51,19.58,19.51,19.43,25449.0,0.0,0.0,19.616,19.743,19.8675,27403.6,22567.6,20051.2,0.03
2020-07-16 14:40:00,19.51,19.55,19.5,19.39,31048.3,-0.01,-0.05,19.66,19.784,19.8985,28304.2,21104.2,19630.4,0.04
2020-07-16 14:35:00,19.77,19.77,19.51,19.44,38594.0,-0.26,-1.32,19.73,19.84,19.93,25543.5,19485.7,18583.7,0.05
2020-07-16 14:30:00,19.76,19.86,19.77,19.74,16331.0,0.01,0.05,19.796,19.885,19.9595,21341.4,17853.0,17803.8,0.02
2020-07-16 14:25:00,19.73,19.84,19.79,19.68,25595.6,0.06,0.3,19.83,19.899,19.9725,19925.3,18344.4,17746.6,0.03
2020-07-16 14:20:00,19.86,19.86,19.73,19.73,29952.3,-0.13,-0.65,19.87,19.904,19.9925,17731.5,19261.1,17503.2,0.04
2020-07-16 14:15:00,19.84,19.9,19.85,19.81,17244.6,0.01,0.05,19.908,19.92,20.019,13904.1,18411.3,16269.0,0.02
2020-07-16 14:10:00,19.96,19.96,19.84,19.82,17583.5,-0.12,-0.6,19.95,19.929,20.039,13427.9,18603.1,15709.6,0.02
2020-07-16 14:05:00,19.96,20.0,19.94,19.93,9250.69,-0.02,-0.1,19.974,19.949,20.063,14364.6,17805.4,15405.8,0.01
2020-07-16 14:00:00,19.92,19.99,19.99,19.86,14626.6,0.07,0.35,19.968,19.974,20.081,16763.5,17970.0,15403.4,0.02
2020-07-16 13:55:00,20.06,20.06,19.92,19.92,10815.0,-0.14,-0.7,19.938,19.992,20.099,20790.8,17534.7,15330.7,0.01
2020-07-16 13:50:00,19.94,20.08,20.06,19.94,14863.7,0.12,0.6,19.932,20.013,20.1175,22918.6,18156.7,15490.1,0.02
2020-07-16 13:45:00,19.92,20.04,19.96,19.92,22267.0,0.04,0.2,19.908,20.02,20.1265,23778.2,17681.7,15380.6,0.03
2020-07-16 13:40:00,19.84,19.98,19.91,19.84,21245.0,0.07,0.35,19.924,20.034,20.145,21246.2,17754.7,15038.3,0.03
2020-07-16 13:35:00,19.84,19.95,19.84,19.82,34763.1,0.0,0.0,19.98,20.046,20.1655,19176.6,17148.8,14825.4,0.05
2020-07-16 13:30:00,19.95,20.01,19.89,19.89,21454.0,-0.06,-0.3,20.046,20.081,20.193,14278.7,15745.2,13528.6,0.03
2020-07-16 13:25:00,20.06,20.08,19.94,19.94,19162.0,-0.12,-0.6,20.094,20.118,20.2165,13394.8,14126.7,13349.3,0.03
2020-07-16 13:20:00,20.19,20.22,20.04,20.03,9606.68,-0.15,-0.74,20.132,20.149,20.244,11585.2,12816.1,12984.9,0.01
2020-07-16 13:15:00,20.16,20.2,20.19,20.12,10897.0,0.03,0.15,20.144,20.177,20.2645,14263.2,13006.3,13236.4,0.01
2020-07-16 13:10:00,20.12,20.2,20.17,20.12,10274.0,0.05,0.25,20.112,20.188,20.277,15121.0,12836.8,13317.8,0.01
2020-07-16 13:05:00,20.12,20.2,20.13,20.12,17034.5,0.01,0.05,20.116,20.206,20.291,17211.6,13126.6,13300.3,0.02
2020-07-16 11:30:00,20.1,20.17,20.13,20.06,10114.0,0.03,0.15,20.142,20.222,20.3045,14858.5,12823.6,13348.6,0.01
2020-07-16 11:25:00,20.01,20.1,20.1,19.96,22996.7,0.09,0.45,20.166,20.233,20.325,14046.9,13079.5,13529.5,0.03
