date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,10.55,10.55,10.47,10.47,7503.0,-0.08,-0.76,10.608,10.727,10.88,8660.92,8452.43,6801.82,0.05
2020-07-16 14:55:00,10.59,10.61,10.55,10.55,10378.7,-0.04,-0.38,10.632,10.779,10.911,9789.82,8153.11,6537.61,0.06
2020-07-16 14:50:00,10.7,10.72,10.61,10.59,6131.08,-0.09,-0.84,10.7,10.833,10.9405,8570.56,7318.09,6144.37,0.04
2020-07-16 14:45:00,10.69,10.8,10.72,10.68,5641.84,0.03,0.28,10.764,10.874,10.966,8687.74,7124.38,5908.32,0.03
2020-07-16 14:40:00,10.59,10.81,10.69,10.56,13650.0,0.1,0.94,10.792,10.905,10.9855,9347.37,6780.6,5789.32,0.08
2020-07-16 14:35:00,10.89,10.89,10.59,10.56,13147.5,-0.3,-2.75,10.846,10.946,11.0095,8243.94,5800.7,5214.22,0.08
2020-07-16 14:30:00,10.87,10.96,10.89,10.87,4282.36,0.02,0.18,10.926,10.997,11.0385,6516.39,5365.4,4855.35,0.03
2020-07-16 14:25:00,10.86,10.93,10.93,10.8,6717.0,0.07,0.64,10.966,11.014,11.049,6065.62,5445.74,5041.63,0.04
2020-07-16 14:20:00,10.97,10.97,10.86,10.8,8940.0,-0.11,-1.0,10.984,11.019,11.0605,5561.02,5638.96,5079.78,0.06
2020-07-16 14:15:00,11.0,11.04,10.96,10.93,8132.84,-0.04,-0.36,11.018,11.029,11.0775,4213.82,5545.91,4988.38,0.05
2020-07-16 14:10:00,11.07,11.07,10.99,10.96,4509.76,-0.08,-0.72,11.046,11.033,11.0925,3357.46,5151.2,4807.09,0.03
2020-07-16 14:05:00,11.03,11.09,11.09,11.02,2028.52,0.06,0.54,11.068,11.043,11.107,4214.42,4922.1,5011.7,0.01
2020-07-16 14:00:00,11.03,11.05,11.02,11.0,4194.0,-0.01,-0.09,11.062,11.048,11.1165,4825.85,4970.65,5430.8,0.03
2020-07-16 13:55:00,11.12,11.13,11.03,11.03,2204.0,-0.09,-0.81,11.054,11.058,11.1295,5716.9,4692.25,5734.6,0.01
2020-07-16 13:50:00,11.1,11.15,11.1,11.03,3851.0,0.0,0.0,11.04,11.066,11.1395,6877.99,4798.05,5956.01,0.02
2020-07-16 13:45:00,11.06,11.15,11.1,11.02,8794.56,0.04,0.36,11.02,11.073,11.1445,6944.94,4627.75,6050.85,0.05
2020-07-16 13:40:00,10.98,11.1,11.06,10.97,5085.7,0.08,0.73,11.018,11.08,11.1495,5629.79,4345.3,6303.76,0.03
2020-07-16 13:35:00,10.96,11.0,10.98,10.94,8649.26,0.02,0.18,11.034,11.084,11.1545,5115.45,4637.53,6538.61,0.05
2020-07-16 13:30:00,11.0,11.05,10.96,10.95,8009.44,-0.04,-0.36,11.062,11.102,11.1645,3667.6,4520.6,6565.12,0.05
2020-07-16 13:25:00,11.08,11.09,11.0,10.99,4185.74,-0.08,-0.72,11.092,11.126,11.1705,2718.11,4430.86,6624.02,0.03
2020-07-16 13:20:00,11.14,11.16,11.09,11.07,2218.82,-0.05,-0.45,11.126,11.152,11.1765,2310.56,4462.98,6784.41,0.01
2020-07-16 13:15:00,11.12,11.16,11.14,11.09,2514.0,0.02,0.18,11.142,11.171,11.179,3060.8,5101.3,6979.07,0.02
2020-07-16 13:10:00,11.11,11.15,11.12,11.1,1410.0,0.01,0.09,11.134,11.185,11.178,4159.6,5890.95,7172.32,0.01
2020-07-16 13:05:00,11.17,11.19,11.11,11.11,3262.0,-0.06,-0.54,11.142,11.201,11.178,5373.6,6776.95,7510.27,0.02
2020-07-16 11:30:00,11.17,11.19,11.17,11.12,2148.0,0.0,0.0,11.16,11.213,11.178,6143.6,7113.97,8024.22,0.01
2020-07-16 11:25:00,11.09,11.18,11.17,11.0,5970.02,0.08,0.72,11.178,11.216,11.176,6615.4,7473.95,8388.87,0.04
2020-07-16 11:20:00,11.16,11.17,11.1,11.07,8008.0,-0.06,-0.54,11.2,11.219,11.1765,7141.8,8262.23,8986.79,0.05
2020-07-16 11:15:00,11.2,11.2,11.16,11.12,7480.0,-0.04,-0.36,11.236,11.225,11.1775,7622.3,8439.7,9406.39,0.05
2020-07-16 11:10:00,11.25,11.25,11.2,11.15,7112.0,-0.05,-0.44,11.26,11.227,11.1745,8180.3,8609.63,10332.3,0.04
2020-07-16 11:05:00,11.28,11.31,11.26,11.25,4507.0,-0.02,-0.18,11.266,11.215,11.1595,8084.34,8817.17,10383.8,0.03
2020-07-16 11:00:00,11.29,11.35,11.28,11.28,8602.0,-0.01,-0.09,11.254,11.201,11.144,8332.5,9105.83,11127.2,0.05
2020-07-16 10:55:00,11.27,11.33,11.28,11.21,10410.5,0.01,0.09,11.238,11.187,11.1275,9382.66,8856.83,11581.6,0.06
2020-07-16 10:50:00,11.23,11.3,11.28,11.2,10270.0,0.05,0.45,11.214,11.171,11.1165,9257.09,8453.68,11392.9,0.06
2020-07-16 10:45:00,11.21,11.24,11.23,11.16,6632.22,0.02,0.18,11.194,11.155,11.1055,9038.96,8243.58,11284.7,0.04
2020-07-16 10:40:00,11.19,11.21,11.2,11.16,5747.8,0.01,0.09,11.164,11.143,11.105,9550.0,8934.47,11306.9,0.04
2020-07-16 10:35:00,11.16,11.25,11.2,11.16,13852.8,0.04,0.36,11.148,11.136,11.1035,9879.16,9303.79,11165.5,0.09
2020-07-16 10:30:00,11.12,11.17,11.16,11.11,9782.64,0.04,0.36,11.136,11.134,11.1035,8331.0,9711.35,10747.1,0.06
2020-07-16 10:25:00,11.09,11.22,11.18,11.08,9179.33,0.09,0.81,11.128,11.13,11.1095,7650.28,10373.1,10476.4,0.06
2020-07-16 10:20:00,11.12,11.12,11.08,11.05,9187.45,-0.04,-0.36,11.116,11.122,11.1135,7448.21,12054.9,10127.3,0.06
2020-07-16 10:15:00,11.13,11.13,11.12,11.09,7393.6,-0.01,-0.09,11.122,11.104,11.1205,8318.94,11950.4,9830.1,0.05
2020-07-16 10:10:00,11.11,11.15,11.14,11.07,6112.0,0.03,0.27,11.124,11.087,11.1285,8728.42,13148.6,9612.42,0.04
2020-07-16 10:05:00,11.12,11.16,11.12,11.1,6379.0,0.0,0.0,11.132,11.068,11.136,11091.7,14306.3,9636.39,0.04
2020-07-16 10:00:00,11.11,11.17,11.12,11.07,8169.0,0.01,0.09,11.132,11.062,11.1445,13095.9,14332.0,9674.21,0.05
2020-07-16 09:55:00,11.13,11.2,11.11,11.08,13541.1,-0.02,-0.18,11.128,11.056,11.1515,16661.6,14325.9,9539.84,0.08
2020-07-16 09:50:00,11.15,11.19,11.13,11.12,9441.0,-0.02,-0.18,11.086,11.067,11.16,15581.8,13679.3,9054.08,0.06
2020-07-16 09:45:00,11.12,11.23,11.18,11.12,17928.4,0.06,0.54,11.05,11.071,11.1685,17568.8,13027.2,8866.48,0.11
2020-07-16 09:40:00,11.1,11.15,11.12,11.02,16400.0,0.02,0.18,11.004,11.073,11.1715,17521.0,11782.9,8202.64,0.1
2020-07-16 09:35:00,11.02,11.19,11.1,10.99,25997.5,0.08,0.73,10.992,11.089,11.1765,15568.2,10579.7,7600.2,0.16
2020-07-15 15:00:00,10.96,10.97,10.9,10.89,8142.0,-0.06,-0.55,10.984,11.105,11.184,11990.1,8199.68,6673.98,0.05
2020-07-15 14:55:00,10.94,10.98,10.95,10.86,19376.3,0.01,0.09,11.048,11.137,11.203,11776.7,7709.83,6736.51,0.12
2020-07-15 14:50:00,11.06,11.06,10.95,10.94,17689.1,-0.11,-0.99,11.092,11.17,11.2175,8485.48,6076.2,5968.7,0.11
2020-07-15 14:45:00,11.07,11.12,11.06,11.04,6636.0,-0.01,-0.09,11.142,11.204,11.23,6044.8,4966.44,5219.67,0.04
2020-07-15 14:40:00,11.2,11.22,11.06,11.05,8107.28,-0.14,-1.25,11.186,11.227,11.2305,5591.28,5016.38,5120.1,0.05
2020-07-15 14:35:00,11.18,11.23,11.22,11.16,7075.0,0.04,0.36,11.226,11.247,11.231,4409.22,4753.81,4970.38,0.04
2020-07-15 14:30:00,11.2,11.23,11.17,11.17,2920.0,-0.03,-0.27,11.226,11.253,11.2205,3642.93,4428.91,4937.61,0.02
2020-07-15 14:25:00,11.28,11.29,11.2,11.19,5485.72,-0.08,-0.71,11.248,11.266,11.21,3666.93,4705.81,5336.94,0.03
2020-07-15 14:20:00,11.26,11.3,11.28,11.26,4368.4,0.02,0.18,11.266,11.27,11.201,3888.08,4622.38,5266.39,0.03
2020-07-15 14:15:00,11.22,11.26,11.26,11.22,2196.96,0.04,0.36,11.268,11.264,11.1925,4441.49,4620.68,5392.83,0.01
2020-07-15 14:10:00,11.27,11.28,11.22,11.21,3243.56,-0.05,-0.44,11.268,11.263,11.1835,5098.41,5148.28,5483.86,0.02
2020-07-15 14:05:00,11.29,11.3,11.28,11.25,3040.0,-0.01,-0.09,11.28,11.269,11.178,5214.9,5763.19,5612.48,0.02
2020-07-15 14:00:00,11.31,11.33,11.29,11.28,6591.48,-0.02,-0.18,11.284,11.265,11.17,5744.7,5861.19,5713.76,0.04
2020-07-15 13:55:00,11.27,11.31,11.29,11.26,7135.44,0.02,0.18,11.274,11.256,11.1625,5356.68,5472.9,5755.18,0.04
