date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,14.53,14.54,14.46,14.46,24006.3,-0.07,-0.48,14.552,14.708,14.927,49549.2,45998.1,39835.8,0.08
2020-07-16 14:55:00,14.61,14.66,14.51,14.51,56493.7,-0.1,-0.68,14.528,14.769,14.966,59368.5,46217.0,39524.7,0.19
2020-07-16 14:50:00,14.59,14.76,14.61,14.58,35644.8,0.02,0.14,14.616,14.846,15.0125,53817.3,42156.1,37291.9,0.12
2020-07-16 14:45:00,14.58,14.77,14.6,14.57,38784.0,0.02,0.14,14.694,14.911,15.052,54027.3,40337.1,36457.7,0.13
2020-07-16 14:40:00,14.34,14.59,14.58,14.34,92817.3,0.24,1.67,14.76,14.967,15.0945,55728.7,38305.0,35261.4,0.31
2020-07-16 14:35:00,14.86,14.86,14.34,14.34,73102.7,-0.52,-3.5,14.864,15.031,15.1365,42447.0,31558.1,31251.9,0.24
2020-07-16 14:30:00,15.02,15.02,14.95,14.89,28737.9,-0.07,-0.47,15.01,15.114,15.191,33065.5,27095.5,29022.0,0.1
2020-07-16 14:25:00,14.94,15.04,15.0,14.91,36694.4,0.06,0.4,15.076,15.135,15.2075,30494.9,29052.1,29257.0,0.12
2020-07-16 14:20:00,15.1,15.12,14.93,14.9,47291.4,-0.17,-1.13,15.128,15.128,15.228,26647.0,33628.4,28929.1,0.16
2020-07-16 14:15:00,15.07,15.15,15.1,14.99,26408.6,0.03,0.2,15.174,15.145,15.2565,20881.3,32260.7,26967.5,0.09
2020-07-16 14:10:00,15.28,15.28,15.07,15.0,26195.0,-0.21,-1.37,15.198,15.146,15.276,20669.2,33673.4,26250.4,0.09
2020-07-16 14:05:00,15.24,15.32,15.28,15.21,15885.2,0.04,0.26,15.218,15.163,15.299,21125.6,32832.4,26050.1,0.05
2020-07-16 14:00:00,15.16,15.26,15.26,15.13,17454.6,0.1,0.66,15.194,15.179,15.3115,27609.3,32427.6,25990.4,0.06
2020-07-16 13:55:00,15.25,15.26,15.16,15.16,18463.0,-0.09,-0.59,15.128,15.193,15.3285,40609.8,32578.3,26689.3,0.06
2020-07-16 13:50:00,15.16,15.25,15.22,15.1,25348.0,0.06,0.4,15.116,15.222,15.3455,43640.1,32217.7,26531.2,0.08
2020-07-16 13:45:00,15.17,15.29,15.17,15.12,28477.0,0.0,0.0,15.094,15.242,15.3565,46677.6,30945.8,26043.3,0.09
2020-07-16 13:40:00,14.9,15.24,15.16,14.9,48304.0,0.26,1.74,15.108,15.268,15.3715,44539.2,30948.5,26274.9,0.16
2020-07-16 13:35:00,14.97,15.09,14.93,14.92,82457.2,-0.04,-0.27,15.164,15.28,15.3835,37245.8,29461.9,25529.8,0.27
2020-07-16 13:30:00,15.1,15.18,15.1,15.08,33614.1,0.0,0.0,15.258,15.328,15.414,24546.8,24229.9,22695.6,0.11
2020-07-16 13:25:00,15.23,15.31,15.11,15.1,40535.9,-0.12,-0.79,15.328,15.368,15.431,20795.4,21674.3,22495.3,0.13
2020-07-16 13:20:00,15.44,15.44,15.24,15.23,17785.0,-0.2,-1.3,15.39,15.406,15.454,15213.9,18827.4,21903.7,0.06
2020-07-16 13:15:00,15.41,15.44,15.44,15.37,11837.0,0.03,0.19,15.428,15.435,15.4695,17357.7,19267.8,22515.7,0.04
2020-07-16 13:10:00,15.45,15.45,15.4,15.35,18962.0,-0.05,-0.32,15.396,15.444,15.472,21677.9,19553.2,23599.9,0.06
2020-07-16 13:05:00,15.4,15.49,15.45,15.4,14857.2,0.05,0.32,15.398,15.464,15.479,23913.0,20800.2,23924.2,0.05
2020-07-16 11:30:00,15.41,15.44,15.42,15.35,12628.1,0.01,0.06,15.408,15.469,15.4875,22553.2,20844.6,25702.1,0.04
2020-07-16 11:25:00,15.28,15.45,15.43,15.18,28504.1,0.15,0.98,15.422,15.471,15.5055,22441.0,21140.8,27194.0,0.09
2020-07-16 11:20:00,15.41,15.41,15.28,15.28,33438.0,-0.13,-0.84,15.442,15.475,15.52,21178.0,21601.3,28865.8,0.11
2020-07-16 11:15:00,15.45,15.45,15.41,15.35,30137.4,-0.04,-0.26,15.492,15.487,15.532,17428.6,21597.8,30847.6,0.1
2020-07-16 11:10:00,15.47,15.51,15.5,15.47,8058.42,0.03,0.19,15.53,15.5,15.5405,17687.5,21161.3,33385.9,0.03
2020-07-16 11:05:00,15.51,15.54,15.49,15.48,12067.0,-0.02,-0.13,15.53,15.494,15.5365,19136.0,23316.3,34368.0,0.04
2020-07-16 11:00:00,15.5,15.63,15.53,15.5,22189.0,0.03,0.19,15.52,15.502,15.5355,19840.6,24980.0,36800.1,0.07
2020-07-16 10:55:00,15.6,15.6,15.53,15.49,14691.0,-0.07,-0.45,15.508,15.504,15.537,22024.5,25763.5,38643.4,0.05
2020-07-16 10:50:00,15.5,15.6,15.6,15.49,31432.0,0.1,0.65,15.482,15.5,15.54,25766.9,27646.5,39655.6,0.1
2020-07-16 10:45:00,15.45,15.52,15.5,15.4,15301.0,0.05,0.32,15.47,15.494,15.5415,24635.1,27048.3,39921.0,0.05
2020-07-16 10:40:00,15.47,15.47,15.44,15.43,15590.0,-0.03,-0.19,15.458,15.506,15.56,27496.6,30559.6,39958.6,0.05
2020-07-16 10:35:00,15.4,15.55,15.47,15.4,33108.7,0.07,0.45,15.484,15.54,15.5795,30119.3,33247.3,39997.8,0.11
2020-07-16 10:30:00,15.48,15.48,15.4,15.39,33403.0,-0.08,-0.52,15.5,15.565,15.596,29502.5,36130.3,39508.3,0.11
2020-07-16 10:25:00,15.44,15.56,15.54,15.42,25772.8,0.1,0.65,15.518,15.577,15.625,29526.1,40097.4,38361.8,0.09
2020-07-16 10:20:00,15.57,15.57,15.44,15.44,29608.3,-0.13,-0.83,15.518,15.581,15.6475,29461.5,45610.4,37708.3,0.1
2020-07-16 10:15:00,15.55,15.6,15.57,15.44,28703.8,0.02,0.13,15.554,15.579,15.6715,33622.6,45419.7,37250.2,0.09
2020-07-16 10:10:00,15.52,15.59,15.55,15.47,30024.8,0.03,0.19,15.596,15.569,15.6955,36375.2,48620.2,36743.6,0.1
2020-07-16 10:05:00,15.54,15.62,15.49,15.49,33521.0,-0.05,-0.32,15.63,15.57,15.7215,42758.1,51523.2,37181.1,0.11
