date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,4.58,4.6,4.6,4.56,149607.0,0.02,0.44,4.604,4.649,4.682,262084.0,284177.0,273112.0,0.22
2020-07-16 14:55:00,4.54,4.65,4.58,4.54,284012.0,0.04,0.88,4.606,4.66,4.688,314203.0,291778.0,267377.0,0.42
2020-07-16 14:50:00,4.67,4.67,4.53,4.51,331330.0,-0.14,-3.0,4.632,4.674,4.695,299608.0,265980.0,256764.0,0.49
2020-07-16 14:45:00,4.66,4.71,4.66,4.62,198269.0,0.0,0.0,4.668,4.693,4.7045,280955.0,241510.0,244326.0,0.29
2020-07-16 14:40:00,4.61,4.66,4.65,4.61,347203.0,0.04,0.87,4.68,4.699,4.7075,287216.0,227635.0,240105.0,0.51
2020-07-16 14:35:00,4.7,4.7,4.61,4.6,410199.0,-0.09,-1.91,4.694,4.706,4.711,306271.0,195389.0,224044.0,0.6
2020-07-16 14:30:00,4.71,4.72,4.71,4.7,211041.0,0.0,0.0,4.714,4.717,4.7165,269354.0,158543.0,225986.0,0.31
2020-07-16 14:25:00,4.71,4.72,4.71,4.69,238061.0,0.0,0.0,4.716,4.718,4.717,232351.0,187140.0,232062.0,0.35
2020-07-16 14:20:00,4.72,4.72,4.72,4.71,229576.0,0.0,0.0,4.718,4.717,4.7175,202065.0,226022.0,253903.0,0.34
2020-07-16 14:15:00,4.71,4.72,4.72,4.69,442476.0,0.01,0.21,4.718,4.716,4.7175,168053.0,234090.0,243038.0,0.65
2020-07-16 14:10:00,4.72,4.72,4.71,4.7,225615.0,-0.01,-0.21,4.718,4.715,4.7175,84506.8,262046.0,221255.0,0.33
2020-07-16 14:05:00,4.72,4.72,4.72,4.72,26027.0,0.0,0.0,4.72,4.716,4.718,47731.7,242976.0,210538.0,0.04
2020-07-16 14:00:00,4.72,4.72,4.72,4.72,86629.2,0.0,0.0,4.72,4.716,4.718,141930.0,247548.0,209612.0,0.13
2020-07-16 13:55:00,4.72,4.72,4.72,4.72,59519.6,0.0,0.0,4.716,4.716,4.718,249980.0,247142.0,206030.0,0.09
2020-07-16 13:50:00,4.72,4.72,4.72,4.72,24743.4,0.0,0.0,4.714,4.716,4.718,300128.0,252575.0,205529.0,0.04
2020-07-16 13:45:00,4.72,4.72,4.72,4.72,41739.1,0.0,0.0,4.712,4.716,4.718,439584.0,252699.0,206142.0,0.06
2020-07-16 13:40:00,4.7,4.72,4.72,4.69,497018.0,0.02,0.43,4.712,4.716,4.718,438221.0,293428.0,206882.0,0.73
2020-07-16 13:35:00,4.71,4.71,4.7,4.64,626880.0,-0.01,-0.21,4.712,4.716,4.718,353165.0,276983.0,187746.0,0.92
2020-07-16 13:30:00,4.71,4.72,4.71,4.7,310257.0,0.0,0.0,4.716,4.718,4.719,244303.0,281783.0,159837.0,0.46
2020-07-16 13:25:00,4.72,4.72,4.71,4.7,722028.0,-0.01,-0.21,4.718,4.719,4.7195,205022.0,251986.0,148896.0,1.06
2020-07-16 13:20:00,4.72,4.72,4.72,4.72,34921.4,0.0,0.0,4.72,4.72,4.72,65813.0,180465.0,123927.0,0.05
2020-07-16 13:15:00,4.72,4.72,4.72,4.72,71739.4,0.0,0.0,4.72,4.72,4.72,148636.0,178100.0,162658.0,0.11
2020-07-16 13:10:00,4.72,4.72,4.72,4.72,82571.6,0.0,0.0,4.72,4.72,4.72,200801.0,171677.0,213290.0,0.12
2020-07-16 13:05:00,4.72,4.72,4.72,4.72,113849.0,0.0,0.0,4.72,4.72,4.718,319264.0,164919.0,277812.0,0.17
2020-07-16 11:30:00,4.72,4.72,4.72,4.72,25983.5,0.0,0.0,4.72,4.72,4.7155,298950.0,158484.0,332006.0,0.04
2020-07-16 11:25:00,4.72,4.72,4.72,4.7,449036.0,0.0,0.0,4.72,4.72,4.7155,295117.0,159585.0,349435.0,0.66
2020-07-16 11:20:00,4.72,4.72,4.72,4.72,332565.0,0.0,0.0,4.72,4.72,4.7155,207565.0,120336.0,425080.0,0.49
2020-07-16 11:15:00,4.72,4.72,4.72,4.7,674884.0,0.0,0.0,4.72,4.72,4.704,142554.0,98509.3,454937.0,0.99
2020-07-16 11:10:00,4.72,4.72,4.72,4.72,12282.0,0.0,0.0,4.72,4.72,4.6905,10573.5,37891.2,453673.0,0.02
2020-07-16 11:05:00,4.72,4.72,4.72,4.72,6816.0,0.0,0.0,4.72,4.72,4.669,18017.2,45805.1,458254.0,0.01
2020-07-16 11:00:00,4.72,4.72,4.72,4.72,11277.6,0.0,0.0,4.72,4.72,4.648,24054.1,67389.0,470674.0,0.02
2020-07-16 10:55:00,4.72,4.72,4.72,4.72,7508.5,0.0,0.0,4.72,4.72,4.6275,33106.5,147216.0,486471.0,0.01
2020-07-16 10:50:00,4.72,4.72,4.72,4.72,14983.6,0.0,0.0,4.72,4.72,4.6095,54465.0,254903.0,492643.0,0.02
2020-07-16 10:45:00,4.72,4.72,4.72,4.72,49500.1,0.0,0.0,4.72,4.716,4.5925,65208.8,390706.0,497459.0,0.07
2020-07-16 10:40:00,4.72,4.72,4.72,4.72,37000.8,0.0,0.0,4.72,4.711,4.578,73593.1,505529.0,499677.0,0.05
2020-07-16 10:35:00,4.72,4.72,4.72,4.72,56539.6,0.0,0.0,4.72,4.711,4.563,110724.0,539285.0,501583.0,0.08
2020-07-16 10:30:00,4.72,4.72,4.72,4.72,114301.0,0.0,0.0,4.72,4.711,4.5485,261326.0,729825.0,502034.0,0.17
2020-07-16 10:25:00,4.72,4.72,4.72,4.72,68702.3,0.0,0.0,4.72,4.688,4.536,455342.0,811365.0,498129.0,0.1
2020-07-16 10:20:00,4.72,4.72,4.72,4.72,91421.6,0.0,0.0,4.712,4.661,4.523,716203.0,869454.0,496277.0,0.13
2020-07-16 10:15:00,4.72,4.72,4.72,4.72,222655.0,0.0,0.0,4.702,4.618,4.51,937465.0,870703.0,494985.0,0.33
