date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,8.42,8.42,8.38,8.37,27171.8,-0.04,-0.48,8.444,8.554,8.691,46209.3,42001.0,33494.4,0.1
2020-07-16 14:55:00,8.44,8.44,8.42,8.42,50878.0,-0.02,-0.24,8.468,8.594,8.716,55608.3,42042.7,32693.4,0.18
2020-07-16 14:50:00,8.48,8.5,8.43,8.4,38793.7,-0.05,-0.59,8.522,8.638,8.7415,49661.3,38372.0,30576.2,0.14
2020-07-16 14:45:00,8.51,8.53,8.48,8.47,34438.6,-0.03,-0.35,8.582,8.677,8.766,49009.2,36415.9,29266.2,0.12
2020-07-16 14:40:00,8.5,8.53,8.51,8.39,79764.3,0.01,0.12,8.616,8.709,8.788,50635.5,34790.4,28009.7,0.28
2020-07-16 14:35:00,8.69,8.69,8.5,8.46,74166.7,-0.19,-2.19,8.664,8.747,8.811,37792.8,28455.2,24449.8,0.26
2020-07-16 14:30:00,8.73,8.75,8.69,8.68,21143.2,-0.04,-0.46,8.72,8.781,8.834,28477.1,23093.6,22120.2,0.07
2020-07-16 14:25:00,8.63,8.76,8.73,8.63,35533.4,0.1,1.16,8.754,8.8,8.846,27082.8,23808.7,21760.1,0.13
2020-07-16 14:20:00,8.75,8.75,8.65,8.65,42570.1,-0.1,-1.14,8.772,8.804,8.8585,23822.6,25340.9,20877.7,0.15
2020-07-16 14:15:00,8.78,8.8,8.75,8.74,15550.4,-0.03,-0.34,8.802,8.82,8.876,18945.4,23862.2,19213.5,0.05
2020-07-16 14:10:00,8.84,8.84,8.78,8.73,27588.2,-0.06,-0.68,8.83,8.828,8.888,19117.7,24987.8,18891.3,0.1
2020-07-16 14:05:00,8.81,8.86,8.86,8.8,14171.8,0.05,0.57,8.842,8.838,8.9005,17710.1,23344.2,18545.3,0.05
2020-07-16 14:00:00,8.79,8.82,8.82,8.77,19232.6,0.03,0.34,8.846,8.845,8.9085,20534.6,22780.5,18393.4,0.07
2020-07-16 13:55:00,8.89,8.9,8.8,8.8,18183.8,-0.09,-1.01,8.836,8.855,8.92,26859.3,22116.6,18419.1,0.06
2020-07-16 13:50:00,8.84,8.9,8.89,8.83,16411.9,0.05,0.57,8.838,8.867,8.93,28779.1,21229.0,18208.3,0.06
2020-07-16 13:45:00,8.89,8.93,8.84,8.84,20550.4,-0.05,-0.56,8.826,8.875,8.934,30858.0,20444.4,17859.3,0.07
2020-07-16 13:40:00,8.77,8.88,8.88,8.77,28294.2,0.11,1.25,8.834,8.887,8.9415,28978.4,21146.8,18269.0,0.1
2020-07-16 13:35:00,8.74,8.81,8.77,8.72,50856.0,0.03,0.34,8.844,8.892,8.9455,25026.3,19711.5,18101.9,0.18
2020-07-16 13:30:00,8.82,8.86,8.81,8.81,27783.2,-0.01,-0.11,8.874,8.913,8.958,17373.8,16414.5,16763.9,0.1
2020-07-16 13:25:00,8.87,8.89,8.83,8.83,26806.2,-0.04,-0.45,8.896,8.932,8.9655,13678.9,14564.8,16559.7,0.09
2020-07-16 13:20:00,8.92,8.93,8.88,8.88,11152.3,-0.04,-0.45,8.924,8.948,8.9745,10030.7,12794.8,15848.5,0.04
2020-07-16 13:15:00,8.92,8.94,8.93,8.89,8534.0,0.01,0.11,8.94,8.963,8.982,13315.2,13746.3,16280.2,0.03
2020-07-16 13:10:00,8.92,8.92,8.92,8.88,12593.5,0.0,0.0,8.94,8.972,8.9855,14396.7,14006.3,17234.6,0.04
2020-07-16 13:05:00,8.97,8.97,8.92,8.91,9308.32,-0.05,-0.56,8.952,8.985,8.9895,15455.2,14721.6,17975.4,0.03
2020-07-16 11:30:00,8.95,8.98,8.97,8.94,8565.6,0.02,0.22,8.968,8.993,8.995,15450.8,15187.6,20564.3,0.03
2020-07-16 11:25:00,8.92,8.96,8.96,8.89,27574.8,0.04,0.45,8.972,8.993,8.999,15558.8,15274.2,22420.7,0.1
2020-07-16 11:20:00,8.97,8.98,8.93,8.92,13941.4,-0.04,-0.45,8.986,8.996,9.0035,14177.4,15391.2,23701.9,0.05
2020-07-16 11:15:00,8.97,9.0,8.98,8.93,17885.9,0.01,0.11,9.004,8.999,9.0055,13615.9,16492.4,24826.3,0.06
2020-07-16 11:10:00,8.99,9.02,9.0,8.96,9286.28,0.01,0.11,9.018,9.003,9.0055,13987.9,17113.3,27603.4,0.03
2020-07-16 11:05:00,9.02,9.04,8.99,8.99,9105.72,-0.03,-0.33,9.018,8.999,8.999,14924.3,18554.5,28210.4,0.03
2020-07-16 11:00:00,9.01,9.08,9.03,9.01,20667.5,0.02,0.22,9.014,9.001,8.9925,14989.6,18902.2,31032.6,0.07
2020-07-16 10:55:00,9.05,9.05,9.02,9.0,11134.3,-0.03,-0.33,9.006,9.001,8.9875,16605.0,18814.1,31700.3,0.04
2020-07-16 10:50:00,9.01,9.05,9.05,9.01,19745.8,0.04,0.44,8.994,8.999,8.9865,19368.8,20462.8,32673.7,0.07
2020-07-16 10:45:00,8.97,9.0,9.0,8.95,13968.2,0.03,0.33,8.988,8.994,8.984,20238.7,21229.1,32923.8,0.05
2020-07-16 10:40:00,8.98,9.0,8.97,8.97,9432.32,-0.01,-0.11,8.98,8.997,8.986,22184.6,25941.0,33155.6,0.03
2020-07-16 10:35:00,8.96,9.01,8.99,8.96,28744.4,0.03,0.33,8.988,9.005,8.991,22814.7,29567.1,33426.5,0.1
2020-07-16 10:30:00,8.98,8.99,8.96,8.92,24953.2,-0.02,-0.22,8.996,9.011,8.995,21023.1,32012.6,33056.6,0.09
2020-07-16 10:25:00,8.96,9.02,9.02,8.93,24095.5,0.06,0.67,9.004,9.012,9.0055,21556.8,33160.3,32400.8,0.09
2020-07-16 10:20:00,9.01,9.01,8.96,8.93,23697.8,-0.05,-0.55,9.0,9.008,9.014,22219.6,38093.4,31797.8,0.08
2020-07-16 10:15:00,9.01,9.02,9.01,8.98,12582.5,0.0,0.0,9.014,8.999,9.0215,29697.4,37866.3,31507.3,0.04
2020-07-16 10:10:00,8.99,9.03,9.03,8.97,19786.5,0.04,0.44,9.022,8.984,9.0295,36319.5,43163.0,31494.2,0.07
2020-07-16 10:05:00,9.01,9.05,9.0,8.99,27621.5,-0.01,-0.11,9.026,8.974,9.0365,43002.1,44586.6,31528.4,0.1
