date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-09 15:00:00,28.56,28.58,28.58,28.54,27163.9,0.02,0.07,28.594,28.504,28.742,34920.4,36955.4,31197.3,0.05
2020-07-09 14:55:00,28.67,28.68,28.55,28.55,43990.4,-0.12,-0.42,28.514,28.527,28.76,40540.9,36364.3,30822.0,0.08
2020-07-09 14:50:00,28.64,28.66,28.66,28.51,30269.7,0.02,0.07,28.454,28.529,28.7685,40183.1,35124.1,29311.3,0.05
2020-07-09 14:45:00,28.6,28.86,28.63,28.56,32911.1,0.03,0.1,28.406,28.552,28.775,42832.5,33632.5,28492.1,0.06
2020-07-09 14:40:00,28.19,28.56,28.55,28.16,40266.7,0.36,1.28,28.386,28.576,28.7855,43001.8,32672.7,28229.0,0.07
2020-07-09 14:35:00,28.25,28.25,28.18,28.11,55266.5,-0.07,-0.25,28.414,28.607,28.7995,38990.4,32150.1,26792.8,0.1
2020-07-09 14:30:00,28.42,28.45,28.25,28.25,42201.6,-0.17,-0.6,28.54,28.714,28.8295,32187.7,28875.2,24668.4,0.07
2020-07-09 14:25:00,28.53,28.54,28.42,28.4,43516.8,-0.11,-0.39,28.604,28.809,28.8475,30065.1,26994.5,23034.1,0.08
2020-07-09 14:20:00,28.69,28.69,28.53,28.51,33757.6,-0.16,-0.56,28.698,28.877,28.8615,24432.5,25759.9,21352.7,0.06
2020-07-09 14:15:00,28.81,28.88,28.69,28.68,20209.7,-0.12,-0.42,28.766,28.961,28.869,22343.6,25516.2,20166.0,0.04
2020-07-09 14:10:00,28.56,28.81,28.81,28.55,21252.9,0.25,0.88,28.8,28.98,28.873,25309.8,25439.2,19962.1,0.04
2020-07-09 14:05:00,28.91,28.91,28.57,28.55,31588.3,-0.34,-1.18,28.888,28.993,28.8685,25562.8,25279.8,19698.7,0.06
2020-07-09 14:00:00,28.87,28.96,28.89,28.85,15354.1,0.02,0.07,29.014,29.008,28.87,23924.0,23498.4,19153.7,0.03
2020-07-09 13:55:00,28.88,28.93,28.87,28.79,23312.8,-0.01,-0.03,29.056,28.998,28.854,27087.4,23351.7,19371.7,0.04
2020-07-09 13:50:00,29.26,29.34,28.86,28.86,35041.0,-0.4,-1.37,29.156,28.995,28.8335,28688.7,23785.3,19776.4,0.06
2020-07-09 13:45:00,29.19,29.25,29.25,29.08,22517.6,0.06,0.21,29.16,28.992,28.8035,25568.6,21435.5,19511.9,0.04
2020-07-09 13:40:00,29.1,29.22,29.2,29.06,23394.4,0.1,0.34,29.098,28.945,28.7595,24996.8,20461.6,19857.8,0.04
2020-07-09 13:35:00,29.38,29.38,29.1,29.04,31171.0,-0.28,-0.95,29.002,28.886,28.7195,23072.9,19073.7,19776.1,0.05
2020-07-09 13:30:00,28.88,29.37,29.37,28.86,31319.7,0.49,1.7,28.94,28.846,28.6895,19616.0,16945.5,20374.6,0.05
2020-07-09 13:25:00,28.92,28.92,28.88,28.85,19440.2,-0.04,-0.14,28.834,28.777,28.6485,18881.9,14815.9,20915.1,0.03
2020-07-09 13:20:00,28.73,29.0,28.94,28.73,19658.5,0.21,0.73,28.824,28.766,28.6475,17302.5,14485.1,21811.0,0.03
2020-07-09 13:15:00,28.79,28.79,28.72,28.68,13775.2,-0.07,-0.24,28.792,28.744,28.645,15926.4,14117.6,22137.3,0.02
2020-07-09 13:10:00,28.84,28.84,28.79,28.7,13886.4,-0.05,-0.17,28.77,28.732,28.6515,15074.5,14808.9,23170.7,0.02
2020-07-09 13:05:00,28.82,29.0,28.84,28.7,27649.4,0.02,0.07,28.752,28.71,28.653,14275.0,15391.7,24894.5,0.05
2020-07-09 11:30:00,28.78,28.88,28.83,28.75,11543.0,0.05,0.17,28.72,28.672,28.663,10749.9,15767.5,25607.1,0.02
2020-07-09 11:25:00,28.61,28.79,28.78,28.61,12777.9,0.17,0.59,28.708,28.615,28.6555,11667.6,17588.3,27269.3,0.02
2020-07-09 11:20:00,28.7,28.71,28.61,28.61,9515.73,-0.09,-0.31,28.696,28.574,28.6705,12308.8,19254.0,29747.1,0.02
2020-07-09 11:15:00,28.68,28.71,28.7,28.66,9889.13,0.02,0.07,28.694,28.553,28.6755,14543.4,20478.6,34339.2,0.02
2020-07-09 11:10:00,28.75,28.77,28.68,28.6,10023.7,-0.07,-0.24,28.668,28.533,28.658,16508.4,23803.7,42610.7,0.02
2020-07-09 11:05:00,28.7,28.9,28.77,28.68,16131.6,0.07,0.24,28.624,28.52,28.7165,20785.1,27014.2,42825.8,0.03
2020-07-09 11:00:00,28.59,28.84,28.72,28.59,15983.9,0.13,0.45,28.522,28.529,28.776,23509.0,29136.8,43888.1,0.03
2020-07-09 10:55:00,28.6,28.74,28.6,28.59,20688.6,0.0,0.0,28.452,28.546,28.849,26199.2,30157.0,44300.0,0.04
2020-07-09 10:50:00,28.45,28.6,28.57,28.35,19714.4,0.12,0.42,28.412,28.571,28.962,26413.7,31532.4,45003.5,0.03
2020-07-09 10:45:00,28.25,28.6,28.46,28.2,31406.8,0.21,0.74,28.398,28.596,29.073,31098.9,34397.2,46322.4,0.05
2020-07-09 10:40:00,28.35,28.4,28.26,28.21,29751.5,-0.09,-0.32,28.416,28.654,29.1955,33243.4,35446.7,48048.3,0.05
2020-07-09 10:35:00,28.4,28.48,28.37,28.37,29434.6,-0.03,-0.11,28.536,28.696,29.308,34764.7,36950.3,48552.3,0.05
2020-07-09 10:30:00,28.52,28.66,28.4,28.4,21761.3,-0.12,-0.42,28.64,28.767,29.3965,34114.8,40240.2,49820.4,0.04
2020-07-09 10:25:00,28.53,28.54,28.5,28.3,43140.3,-0.03,-0.11,28.73,28.798,29.4715,36651.2,48199.8,50061.8,0.08
2020-07-09 10:20:00,28.86,28.89,28.55,28.52,42129.3,-0.31,-1.07,28.794,28.783,29.524,37695.5,61417.7,49828.1,0.07
2020-07-09 10:15:00,28.89,29.16,28.86,28.85,37357.8,-0.03,-0.1,28.892,28.913,29.596,37650.1,58637.3,49399.2,0.07
2020-07-09 10:10:00,28.82,28.9,28.89,28.75,26185.3,0.07,0.24,28.856,29.023,29.633,39135.9,58639.4,48947.3,0.05
2020-07-09 10:05:00,28.84,28.98,28.85,28.68,34443.1,0.01,0.03,28.894,29.152,29.6575,46365.5,58443.0,49744.2,0.06
2020-07-09 10:00:00,29.03,29.26,28.82,28.82,48362.0,-0.21,-0.72,28.866,29.353,29.6965,59748.5,58474.6,50865.8,0.08
2020-07-09 09:55:00,28.65,29.16,29.04,28.61,41902.2,0.39,1.36,28.772,29.55,29.701,85139.9,58247.6,51100.5,0.07
2020-07-09 09:50:00,29.08,29.08,28.68,28.68,44786.8,-0.4,-1.38,28.934,29.737,29.6895,79624.5,60649.9,51012.0,0.08
2020-07-09 09:45:00,28.7,29.25,29.08,28.7,62333.5,0.38,1.32,29.19,29.92,29.6795,78143.0,60154.4,49425.5,0.11
2020-07-09 09:40:00,28.43,28.74,28.71,28.43,101358.0,0.28,0.98,29.41,30.026,29.6395,70520.4,59400.6,47083.2,0.18
2020-07-09 09:35:00,28.55,28.76,28.35,28.11,175319.0,-0.2,-0.7,29.84,30.145,29.617,57200.6,51923.8,42832.0,0.31
2020-07-08 15:00:00,29.95,29.95,29.85,29.85,14325.0,-0.1,-0.33,30.328,30.265,29.6185,31355.3,38238.5,34761.1,0.03
2020-07-08 14:55:00,30.15,30.15,29.96,29.51,37379.5,-0.19,-0.63,30.54,30.279,29.551,41675.3,40161.2,34520.7,0.07
2020-07-08 14:50:00,30.86,30.9,30.18,30.18,24220.4,-0.68,-2.2,30.65,30.243,29.477,42165.8,39255.2,33345.0,0.04
2020-07-08 14:45:00,30.84,30.9,30.86,30.79,34759.1,0.02,0.06,30.642,30.163,29.409,48280.7,41045.4,33098.2,0.06
2020-07-08 14:40:00,30.9,30.9,30.79,30.57,46092.3,-0.11,-0.36,30.45,30.04,29.29,46647.1,43257.0,32286.3,0.08
2020-07-08 14:35:00,30.51,30.97,30.91,30.51,65925.2,0.4,1.31,30.202,29.852,29.177,45121.8,43953.5,30513.1,0.12
2020-07-08 14:30:00,30.14,30.52,30.51,30.14,39832.1,0.37,1.23,30.018,29.642,29.056,38647.0,41374.1,27768.7,0.07
2020-07-08 14:25:00,29.93,30.16,30.14,29.91,54795.0,0.21,0.7,29.836,29.439,28.9645,36344.7,38696.7,26708.8,0.1
2020-07-08 14:20:00,29.56,29.96,29.9,29.5,26590.7,0.34,1.15,29.684,29.253,28.898,33810.1,34765.8,26797.7,0.05
2020-07-08 14:15:00,29.99,30.0,29.55,29.49,38465.9,-0.44,-1.47,29.63,29.089,28.841,39866.8,33740.1,27106.6,0.07
2020-07-08 14:10:00,29.63,29.99,29.99,29.52,33551.4,0.36,1.21,29.502,28.972,28.7825,42785.2,31283.7,26166.9,0.06
2020-07-08 14:05:00,29.39,29.63,29.6,29.39,28320.3,0.21,0.71,29.266,28.823,28.7125,44101.2,28880.2,25734.7,0.05
