date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,8.38,8.38,8.36,8.35,12089.7,-0.02,-0.24,8.404,8.483,8.583,27522.1,26304.3,22252.0,0.01
2020-07-16 14:55:00,8.38,8.45,8.37,8.36,30028.0,-0.01,-0.12,8.414,8.51,8.598,34220.4,26837.6,22273.3,0.04
2020-07-16 14:50:00,8.47,8.48,8.38,8.37,30738.5,-0.09,-1.06,8.458,8.546,8.617,31835.2,25074.6,21351.2,0.04
2020-07-16 14:45:00,8.45,8.56,8.46,8.45,17555.7,0.01,0.12,8.506,8.581,8.6335,29548.9,22942.4,20366.2,0.02
2020-07-16 14:40:00,8.41,8.45,8.45,8.33,47198.7,0.04,0.48,8.524,8.604,8.649,30523.5,22568.2,20022.2,0.06
2020-07-16 14:35:00,8.59,8.59,8.41,8.39,45581.0,-0.18,-2.1,8.562,8.632,8.6665,25086.4,18885.6,17960.3,0.06
2020-07-16 14:30:00,8.63,8.65,8.59,8.59,18102.0,-0.04,-0.46,8.606,8.663,8.6855,19454.9,15846.4,16721.3,0.02
2020-07-16 14:25:00,8.56,8.66,8.62,8.54,19307.0,0.06,0.7,8.634,8.673,8.6935,18314.1,16469.4,16823.2,0.02
2020-07-16 14:20:00,8.64,8.65,8.55,8.55,22429.0,-0.09,-1.04,8.656,8.669,8.703,16335.9,19515.1,16721.7,0.03
2020-07-16 14:15:00,8.63,8.68,8.64,8.6,20013.0,0.01,0.12,8.684,8.678,8.718,14612.9,18884.9,15944.7,0.02
2020-07-16 14:10:00,8.73,8.75,8.63,8.61,17423.4,-0.1,-1.15,8.702,8.683,8.7295,12684.9,18199.8,15373.8,0.02
2020-07-16 14:05:00,8.73,8.76,8.73,8.7,12398.0,0.0,0.0,8.72,8.686,8.743,12238.0,17708.9,15840.5,0.02
2020-07-16 14:00:00,8.69,8.73,8.73,8.67,9416.01,0.04,0.46,8.712,8.688,8.751,14624.8,17627.7,15750.2,0.01
2020-07-16 13:55:00,8.74,8.77,8.69,8.69,13814.0,-0.05,-0.57,8.682,8.686,8.7585,22694.2,17790.0,15953.0,0.02
2020-07-16 13:50:00,8.73,8.76,8.73,8.7,10373.0,0.0,0.0,8.672,8.694,8.768,23156.8,17476.1,16014.7,0.01
2020-07-16 13:45:00,8.69,8.77,8.72,8.69,15189.0,0.03,0.35,8.664,8.701,8.774,23714.6,17035.0,15943.9,0.02
2020-07-16 13:40:00,8.59,8.74,8.69,8.59,24332.0,0.1,1.16,8.652,8.708,8.7825,23179.8,17596.2,16413.8,0.03
2020-07-16 13:35:00,8.58,8.61,8.58,8.53,49763.2,0.0,0.0,8.664,8.714,8.7915,20630.6,17177.1,16526.9,0.06
2020-07-16 13:30:00,8.69,8.7,8.64,8.63,16127.0,-0.05,-0.58,8.69,8.737,8.8095,12885.8,13928.3,15363.6,0.02
2020-07-16 13:25:00,8.68,8.7,8.69,8.66,13162.0,0.01,0.12,8.716,8.758,8.819,11795.4,13004.5,15673.4,0.02
2020-07-16 13:20:00,8.75,8.78,8.66,8.66,12515.0,-0.09,-1.03,8.738,8.776,8.829,10355.4,12547.8,15952.8,0.02
2020-07-16 13:15:00,8.72,8.76,8.75,8.71,11586.0,0.03,0.34,8.764,8.8,8.841,12012.6,13972.0,16898.1,0.01
2020-07-16 13:10:00,8.77,8.77,8.71,8.71,11039.0,-0.06,-0.68,8.764,8.814,8.849,13723.5,13872.6,18194.7,0.01
2020-07-16 13:05:00,8.81,8.82,8.77,8.76,10675.0,-0.04,-0.45,8.784,8.831,8.862,14970.8,14115.9,20894.9,0.01
2020-07-16 11:30:00,8.78,8.83,8.8,8.77,5962.0,0.02,0.23,8.8,8.842,8.8705,14213.6,14553.3,24696.7,0.01
2020-07-16 11:25:00,8.76,8.81,8.79,8.74,20801.0,0.03,0.34,8.814,8.847,8.8755,14740.2,14852.7,26126.8,0.03
2020-07-16 11:20:00,8.81,8.81,8.75,8.75,20140.4,-0.06,-0.68,8.836,8.857,8.8795,15931.4,15231.4,27760.6,0.02
2020-07-16 11:15:00,8.83,8.83,8.81,8.78,17275.8,-0.02,-0.23,8.864,8.869,8.8795,14021.8,15876.7,28510.3,0.02
2020-07-16 11:10:00,8.85,8.88,8.85,8.83,6889.0,0.0,0.0,8.878,8.882,8.8765,13261.0,16798.8,30368.2,0.01
2020-07-16 11:05:00,8.89,8.9,8.87,8.85,8595.0,-0.02,-0.22,8.884,8.88,8.865,14893.0,18342.4,30974.9,0.01
2020-07-16 11:00:00,8.89,8.96,8.9,8.89,26757.0,0.01,0.11,8.88,8.882,8.8525,14965.2,19357.8,33960.5,0.03
2020-07-16 10:55:00,8.89,8.91,8.89,8.87,10592.0,0.0,0.0,8.878,8.882,8.839,14531.4,19824.3,35443.4,0.01
2020-07-16 10:50:00,8.88,8.89,8.88,8.85,13472.0,0.0,0.0,8.874,8.884,8.8305,17731.6,22516.9,35867.8,0.02
2020-07-16 10:45:00,8.85,8.88,8.88,8.8,15049.0,0.03,0.34,8.886,8.893,8.8235,20336.7,27673.9,36608.5,0.02
2020-07-16 10:40:00,8.89,8.9,8.85,8.84,8956.0,-0.04,-0.45,8.876,8.899,8.819,21791.7,34840.1,37112.6,0.01
2020-07-16 10:35:00,8.87,8.92,8.89,8.87,24588.0,0.02,0.23,8.884,8.904,8.817,23750.3,37401.0,37778.4,0.03
2020-07-16 10:30:00,8.89,8.9,8.87,8.85,26593.0,-0.02,-0.22,8.886,8.902,8.815,25117.1,40289.8,37162.8,0.03
2020-07-16 10:25:00,8.82,8.94,8.94,8.8,26497.4,0.12,1.36,8.894,8.89,8.8165,27302.1,41143.9,36228.9,0.03
2020-07-16 10:20:00,8.89,8.89,8.83,8.82,22324.2,-0.06,-0.67,8.9,8.871,8.8155,35011.0,43937.5,35162.5,0.03
2020-07-16 10:15:00,8.9,8.9,8.89,8.84,18749.0,-0.01,-0.11,8.922,8.85,8.8185,47888.4,43607.4,34705.7,0.02
