date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,17.09,17.09,17.09,17.09,7019.0,0.0,0.0,17.148,17.517,17.9195,57823.8,67171.9,50037.3,0.06
2020-07-16 14:55:00,17.09,17.09,17.09,17.09,20746.0,0.0,0.0,17.16,17.63,17.975,93954.6,69639.1,50935.7,0.17
2020-07-16 14:50:00,17.25,17.25,17.09,17.09,88425.4,-0.16,-0.93,17.322,17.762,18.049,100129.0,69110.7,50713.6,0.73
2020-07-16 14:45:00,17.25,17.49,17.25,17.2,53304.4,0.0,0.0,17.51,17.892,18.1145,97994.8,62126.8,47044.2,0.44
2020-07-16 14:40:00,17.15,17.22,17.22,17.09,119624.0,0.07,0.41,17.672,18.0,18.1715,94424.6,58660.6,45515.5,0.99
2020-07-16 14:35:00,17.44,17.44,17.15,17.09,187673.0,-0.29,-1.66,17.886,18.124,18.236,76520.1,49225.5,40289.1,1.55
2020-07-16 14:30:00,18.15,18.15,17.9,17.8,51617.6,-0.25,-1.38,18.1,18.258,18.303,45323.6,34899.2,32923.4,0.43
2020-07-16 14:25:00,18.04,18.07,18.03,17.92,77754.8,-0.01,-0.06,18.202,18.304,18.324,38092.5,33149.4,31806.5,0.64
2020-07-16 14:20:00,18.29,18.32,18.06,18.06,35453.5,-0.23,-1.26,18.274,18.315,18.35,26258.8,32967.3,29503.4,0.29
2020-07-16 14:15:00,18.22,18.29,18.29,18.13,30101.7,0.07,0.38,18.328,18.329,18.377,22896.5,31755.9,28328.5,0.25
2020-07-16 14:10:00,18.41,18.41,18.22,18.15,31690.4,-0.19,-1.03,18.362,18.322,18.393,21930.9,32902.6,27660.3,0.26
2020-07-16 14:05:00,18.39,18.45,18.41,18.37,15461.9,0.02,0.11,18.416,18.32,18.418,24474.8,32232.3,27290.6,0.13
2020-07-16 14:00:00,18.33,18.4,18.39,18.27,18586.5,0.06,0.33,18.406,18.336,18.433,28206.3,32316.5,27288.5,0.15
2020-07-16 13:55:00,18.47,18.53,18.33,18.33,18642.2,-0.14,-0.76,18.356,18.337,18.4555,39675.7,31961.6,27158.3,0.15
2020-07-16 13:50:00,18.5,18.53,18.46,18.42,25273.4,-0.04,-0.22,18.33,18.343,18.478,40615.3,32370.5,27212.5,0.21
2020-07-16 13:45:00,18.34,18.65,18.49,18.34,44410.2,0.15,0.82,18.282,18.348,18.484,43874.4,31352.7,26908.5,0.37
2020-07-16 13:40:00,18.15,18.53,18.36,18.14,34119.2,0.21,1.16,18.224,18.348,18.4975,39989.8,30947.6,26305.5,0.28
2020-07-16 13:35:00,18.12,18.25,18.14,18.05,75933.7,0.02,0.11,18.266,18.344,18.509,36426.7,30463.6,25971.7,0.63
2020-07-16 13:30:00,18.23,18.37,18.2,18.2,23340.0,-0.03,-0.16,18.318,18.385,18.5405,24247.6,26039.5,23830.5,0.19
2020-07-16 13:25:00,18.21,18.34,18.22,18.2,41568.9,0.01,0.05,18.356,18.425,18.55,24125.8,24901.1,25016.9,0.34
