date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,14.56,14.6,14.6,14.55,37661.1,0.04,0.27,14.648,14.802,14.9785,79370.8,67992.7,59404.4,0.05
2020-07-16 14:55:00,14.65,14.67,14.56,14.56,94603.0,-0.09,-0.61,14.69,14.846,15.0115,87565.4,67280.7,58951.7,0.12
2020-07-16 14:50:00,14.72,14.8,14.63,14.62,58929.0,-0.09,-0.61,14.78,14.91,15.051,77329.5,60024.6,56257.6,0.07
2020-07-16 14:45:00,14.75,14.85,14.71,14.71,72492.1,-0.04,-0.27,14.858,14.969,15.0885,73993.1,57658.9,54814.9,0.09
2020-07-16 14:40:00,14.81,14.81,14.74,14.59,133169.0,-0.07,-0.47,14.902,15.008,15.122,70812.4,53241.7,53068.7,0.16
2020-07-16 14:35:00,14.95,14.95,14.81,14.8,78634.0,-0.14,-0.94,14.956,15.057,15.153,56614.6,42949.2,47673.9,0.1
2020-07-16 14:30:00,15.01,15.1,15.01,15.01,43423.2,0.0,0.0,15.002,15.093,15.1825,46996.0,39585.8,47317.6,0.05
2020-07-16 14:25:00,14.93,15.03,15.02,14.92,42247.2,0.09,0.6,15.04,15.112,15.1995,42719.7,41632.0,49348.4,0.05
2020-07-16 14:20:00,15.01,15.04,14.93,14.93,56588.4,-0.08,-0.53,15.08,15.113,15.225,41324.8,51248.5,49690.0,0.07
2020-07-16 14:15:00,15.05,15.06,15.01,14.96,62180.0,-0.04,-0.27,15.114,15.136,15.257,35671.1,52279.0,48262.5,0.08
2020-07-16 14:10:00,15.21,15.21,15.04,15.02,30541.2,-0.17,-1.12,15.158,15.155,15.287,29283.9,50816.1,46592.8,0.04
2020-07-16 14:05:00,15.21,15.22,15.2,15.15,22041.8,-0.01,-0.07,15.184,15.177,15.3165,32175.7,50622.6,46465.7,0.03
2020-07-16 14:00:00,15.1,15.22,15.22,15.09,35272.5,0.12,0.79,15.184,15.192,15.3385,40544.3,52490.6,46223.8,0.04
2020-07-16 13:55:00,15.24,15.24,15.1,15.1,28320.0,-0.14,-0.92,15.146,15.208,15.361,61172.2,51970.9,45323.3,0.03
2020-07-16 13:50:00,15.17,15.29,15.23,15.17,30244.0,0.06,0.4,15.158,15.236,15.3885,68886.8,52895.7,45060.9,0.04
2020-07-16 13:45:00,15.2,15.29,15.17,15.14,45000.0,-0.03,-0.2,15.152,15.249,15.4075,72348.2,52398.6,44546.8,0.06
2020-07-16 13:40:00,15.01,15.2,15.2,15.01,63885.2,0.19,1.27,15.17,15.272,15.431,69069.6,55049.3,44595.5,0.08
2020-07-16 13:35:00,15.11,15.12,15.03,14.96,138412.0,-0.08,-0.53,15.2,15.287,15.451,64436.8,57064.9,43587.5,0.17
2020-07-16 13:30:00,15.2,15.22,15.16,15.16,66893.0,-0.04,-0.26,15.27,15.337,15.483,42769.6,48131.5,38504.1,0.08
2020-07-16 13:25:00,15.27,15.3,15.2,15.2,47551.0,-0.07,-0.46,15.314,15.378,15.5065,36904.5,44246.0,36592.9,0.06
2020-07-16 13:20:00,15.35,15.4,15.26,15.26,28607.0,-0.09,-0.59,15.346,15.419,15.534,32448.9,42369.6,35473.1,0.04
2020-07-16 13:15:00,15.38,15.38,15.35,15.29,40721.2,-0.03,-0.2,15.374,15.456,15.556,41028.9,42308.8,35483.0,0.05
2020-07-16 13:10:00,15.37,15.45,15.38,15.32,30076.0,0.01,0.07,15.374,15.485,15.576,49692.9,39957.1,34566.5,0.04
2020-07-16 13:05:00,15.35,15.5,15.38,15.33,37567.4,0.03,0.2,15.404,15.514,15.594,53493.4,38675.6,34135.7,0.05
2020-07-16 11:30:00,15.39,15.42,15.36,15.36,25273.0,-0.03,-0.19,15.442,15.541,15.6145,51587.5,37226.1,34767.8,0.03
2020-07-16 11:25:00,15.34,15.4,15.4,15.27,71507.0,0.06,0.39,15.492,15.566,15.637,52290.3,36694.9,35132.1,0.09
2020-07-16 11:20:00,15.53,15.53,15.35,15.34,84041.0,-0.18,-1.16,15.538,15.59,15.661,43588.7,34141.7,34325.5,0.1
2020-07-16 11:15:00,15.57,15.57,15.53,15.5,49078.6,-0.04,-0.26,15.596,15.615,15.68,30221.3,30110.2,32059.6,0.06
2020-07-16 11:10:00,15.6,15.61,15.57,15.56,28038.0,-0.03,-0.19,15.624,15.629,15.6915,23857.7,28876.8,32655.6,0.03
2020-07-16 11:05:00,15.63,15.66,15.61,15.6,28787.0,-0.02,-0.13,15.64,15.635,15.695,22864.7,28939.8,31872.9,0.04
2020-07-16 11:00:00,15.65,15.7,15.63,15.62,27999.0,-0.02,-0.13,15.64,15.649,15.695,21099.5,28576.6,33104.2,0.03
2020-07-16 10:55:00,15.67,15.67,15.64,15.6,17203.7,-0.03,-0.19,15.642,15.656,15.6945,24694.7,28657.2,33680.9,0.02
2020-07-16 10:50:00,15.64,15.67,15.67,15.61,17261.0,0.03,0.19,15.634,15.667,15.698,29999.2,29175.8,34084.8,0.02
2020-07-16 10:45:00,15.6,15.65,15.65,15.55,23072.9,0.05,0.32,15.634,15.674,15.7035,33895.8,29595.8,34577.1,0.03
2020-07-16 10:40:00,15.65,15.65,15.61,15.6,19961.0,-0.04,-0.26,15.63,15.688,15.7145,35015.0,32309.5,34068.7,0.02
2020-07-16 10:35:00,15.6,15.73,15.64,15.6,45975.0,0.04,0.26,15.658,15.708,15.725,36053.7,33569.3,33657.8,0.06
2020-07-16 10:30:00,15.62,15.64,15.6,15.55,43726.0,-0.02,-0.13,15.67,15.732,15.7335,32619.7,34509.4,32633.7,0.05
2020-07-16 10:25:00,15.64,15.69,15.67,15.61,36743.9,0.03,0.19,15.7,15.745,15.749,28352.5,34009.0,31698.7,0.05
2020-07-16 10:20:00,15.75,15.75,15.63,15.63,28669.0,-0.12,-0.76,15.714,15.754,15.7605,25295.7,36434.5,30409.5,0.04
2020-07-16 10:15:00,15.72,15.76,15.75,15.69,25154.7,0.03,0.19,15.746,15.755,15.77,29604.0,34805.9,30119.6,0.03
2020-07-16 10:10:00,15.74,15.78,15.7,15.67,28805.0,-0.04,-0.25,15.758,15.741,15.78,31084.9,37631.8,29937.9,0.04
2020-07-16 10:05:00,15.8,15.81,15.75,15.72,22390.0,-0.05,-0.32,15.794,15.733,15.791,36399.0,38704.6,30405.3,0.03
2020-07-16 10:00:00,15.79,15.8,15.74,15.73,21460.0,-0.05,-0.32,15.79,15.729,15.802,39665.5,38993.7,30697.1,0.03
2020-07-16 09:55:00,15.81,15.88,15.79,15.74,50210.3,-0.02,-0.13,15.794,15.733,15.81,47573.2,39558.4,30724.1,0.06
2020-07-16 09:50:00,15.84,15.86,15.81,15.77,32559.0,-0.03,-0.19,15.764,15.741,15.8145,40007.7,35828.0,29861.4,0.04
2020-07-16 09:45:00,15.73,15.88,15.88,15.7,55375.6,0.15,0.95,15.724,15.742,15.821,44178.8,33746.3,30477.0,0.07
2020-07-16 09:40:00,15.74,15.76,15.73,15.69,38722.7,-0.01,-0.06,15.672,15.735,15.822,41010.1,30758.1,28521.2,0.05
2020-07-16 09:35:00,15.65,15.83,15.76,15.6,60998.3,0.11,0.7,15.668,15.753,15.827,38321.9,29388.4,27471.1,0.08
2020-07-15 15:00:00,15.61,15.65,15.64,15.61,12383.0,0.03,0.19,15.672,15.767,15.8305,31543.7,24384.6,26270.0,0.02
2020-07-15 14:55:00,15.63,15.64,15.61,15.57,53414.6,-0.02,-0.13,15.718,15.785,15.8405,31648.3,25433.3,26631.4,0.07
2020-07-15 14:50:00,15.74,15.74,15.62,15.62,39532.1,-0.12,-0.76,15.76,15.819,15.849,23313.8,22244.0,24829.3,0.05
2020-07-15 14:45:00,15.76,15.8,15.71,15.71,25281.7,-0.05,-0.32,15.798,15.849,15.8525,20506.1,22106.0,23625.4,0.03
2020-07-15 14:40:00,15.87,15.87,15.78,15.77,27107.0,-0.09,-0.57,15.838,15.875,15.847,20455.0,22400.5,23442.0,0.03
2020-07-15 14:35:00,15.82,15.89,15.87,15.79,12906.0,0.05,0.32,15.862,15.887,15.8395,17225.6,21889.8,22778.4,0.02
2020-07-15 14:30:00,15.8,15.82,15.82,15.78,11742.0,0.02,0.13,15.852,15.888,15.8245,19218.3,23894.8,24803.0,0.01
2020-07-15 14:25:00,15.9,15.9,15.81,15.8,25493.8,-0.09,-0.57,15.878,15.9,15.8085,21174.2,27207.7,26843.7,0.03
2020-07-15 14:20:00,15.9,15.93,15.91,15.88,25026.0,0.01,0.06,15.9,15.909,15.8,23705.8,26284.4,27729.4,0.03
2020-07-15 14:15:00,15.83,15.9,15.9,15.83,10960.0,0.07,0.44,15.912,15.901,15.791,24346.0,25553.8,27311.9,0.01
2020-07-15 14:10:00,15.96,15.96,15.82,15.81,22869.8,-0.14,-0.88,15.912,15.894,15.781,26554.0,28155.4,28729.4,0.03
2020-07-15 14:05:00,15.92,15.95,15.95,15.87,21521.3,0.03,0.19,15.924,15.896,15.78,28571.3,27829.5,28365.3,0.03
2020-07-15 14:00:00,15.99,16.0,15.92,15.91,38152.0,-0.07,-0.44,15.922,15.879,15.7725,33241.2,27414.6,28378.9,0.05
2020-07-15 13:55:00,15.91,15.98,15.97,15.9,28227.0,0.06,0.38,15.918,15.856,15.7685,28862.9,25144.9,28233.4,0.03
2020-07-15 13:50:00,15.88,15.94,15.9,15.88,22000.0,0.02,0.13,15.89,15.819,15.7585,26761.5,24483.4,28526.3,0.03
2020-07-15 13:45:00,15.94,15.98,15.88,15.86,32956.0,-0.06,-0.38,15.876,15.792,15.757,29756.9,23667.0,28581.6,0.04
2020-07-15 13:40:00,15.9,15.99,15.94,15.88,44871.0,0.04,0.25,15.868,15.761,15.756,27087.7,25711.2,28253.2,0.06
2020-07-15 13:35:00,15.83,15.9,15.9,15.78,16260.6,0.07,0.44,15.836,15.717,15.752,21588.1,26479.7,28381.0,0.02
2020-07-15 13:30:00,15.84,15.9,15.83,15.82,17720.0,-0.01,-0.06,15.794,15.691,15.755,21426.9,29174.5,29267.8,0.02
2020-07-15 13:25:00,15.86,15.89,15.83,15.82,36976.7,-0.03,-0.19,15.748,15.681,15.752,22205.3,29070.1,29568.9,0.05
2020-07-15 13:20:00,15.78,15.84,15.84,15.78,19610.0,0.06,0.38,15.708,15.668,15.751,17577.2,29303.3,29642.8,0.02
2020-07-15 13:15:00,15.7,15.78,15.78,15.69,17373.0,0.08,0.51,15.654,15.664,15.7505,24334.8,28901.1,29538.8,0.02
2020-07-15 13:10:00,15.6,15.71,15.69,15.6,15455.0,0.09,0.58,15.598,15.666,15.752,31371.3,29343.1,30673.6,0.02
2020-07-15 13:05:00,15.62,15.66,15.6,15.58,21612.0,-0.02,-0.13,15.588,15.681,15.7655,36922.0,31322.0,31910.1,0.03
2020-07-15 11:30:00,15.57,15.68,15.63,15.57,13836.0,0.06,0.39,15.614,15.698,15.7845,35934.8,32569.2,33404.7,0.02
2020-07-15 11:25:00,15.5,15.62,15.57,15.5,53398.1,0.07,0.45,15.628,15.722,15.794,41029.4,33496.2,34738.8,0.07
2020-07-15 11:20:00,15.65,15.65,15.5,15.5,52555.6,-0.15,-0.96,15.674,15.751,15.809,33467.4,30795.2,34715.1,0.06
2020-07-15 11:15:00,15.73,15.75,15.64,15.6,43208.4,-0.09,-0.57,15.734,15.787,15.8315,27314.9,30282.4,35934.6,0.05
2020-07-15 11:10:00,15.69,15.8,15.73,15.69,16676.0,0.04,0.25,15.774,15.819,15.8525,25721.9,29361.2,40823.3,0.02
