date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,5.79,5.8,5.79,5.76,64529.6,0.0,0.0,5.816,5.885,5.976,108168.0,97069.2,81879.5,0.03
2020-07-16 14:55:00,5.83,5.86,5.79,5.78,119543.0,-0.04,-0.69,5.83,5.907,5.9925,120823.0,100323.0,80348.8,0.05
2020-07-16 14:50:00,5.83,5.86,5.83,5.81,92977.3,0.0,0.0,5.868,5.937,6.0105,105902.0,91202.7,75167.6,0.04
2020-07-16 14:45:00,5.81,5.89,5.83,5.81,79707.2,0.02,0.34,5.898,5.96,6.025,103133.0,85196.6,71444.2,0.04
2020-07-16 14:40:00,5.86,5.86,5.84,5.76,184085.0,-0.02,-0.34,5.92,5.983,6.0395,106842.0,80750.8,70137.4,0.08
2020-07-16 14:35:00,5.95,5.95,5.86,5.85,127803.0,-0.09,-1.51,5.954,6.009,6.0545,85970.0,67192.1,62438.6,0.06
2020-07-16 14:30:00,5.99,6.0,5.98,5.97,44939.8,-0.01,-0.17,5.984,6.03,6.069,79823.9,60419.4,58209.7,0.02
2020-07-16 14:25:00,5.94,5.99,5.98,5.93,79130.4,0.04,0.67,6.006,6.039,6.0775,76503.0,63091.4,58862.9,0.04
2020-07-16 14:20:00,6.01,6.02,5.94,5.94,98251.0,-0.07,-1.16,6.022,6.044,6.088,67260.1,73350.8,58381.7,0.04
2020-07-16 14:15:00,6.02,6.02,6.01,5.98,79725.8,-0.01,-0.17,6.046,6.059,6.102,54659.7,68278.0,54572.1,0.04
2020-07-16 14:10:00,6.08,6.09,6.01,5.99,97072.3,-0.07,-1.15,6.064,6.067,6.1125,48414.1,66689.8,54194.9,0.04
2020-07-16 14:05:00,6.07,6.1,6.09,6.07,28335.4,0.02,0.33,6.076,6.078,6.1235,41014.8,60374.1,54623.2,0.01
2020-07-16 14:00:00,6.06,6.07,6.06,6.04,32916.2,0.0,0.0,6.072,6.084,6.1295,49679.8,59132.5,54792.4,0.01
2020-07-16 13:55:00,6.1,6.11,6.06,6.06,35248.6,-0.04,-0.66,6.066,6.09,6.1375,79441.4,57691.7,54625.9,0.02
2020-07-16 13:50:00,6.07,6.11,6.1,6.07,48498.2,0.03,0.49,6.072,6.096,6.145,81896.3,59524.1,55324.9,0.02
2020-07-16 13:45:00,6.07,6.12,6.07,6.07,60075.8,0.0,0.0,6.07,6.1,6.1495,84965.6,57685.1,54268.6,0.03
2020-07-16 13:40:00,6.02,6.1,6.07,6.02,71660.2,0.05,0.83,6.08,6.108,6.1555,79733.3,56000.1,54716.8,0.03
