date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,10.4,10.41,10.4,10.38,54184.0,0.0,0.0,10.41,10.567,10.7245,114380.0,96920.1,75314.2,0.15
2020-07-16 14:55:00,10.37,10.54,10.4,10.37,99103.0,0.03,0.29,10.406,10.609,10.748,142252.0,95227.1,73587.0,0.28
2020-07-16 14:50:00,10.54,10.57,10.35,10.32,87901.1,-0.19,-1.8,10.472,10.667,10.7765,130691.0,88023.1,69748.4,0.25
2020-07-16 14:45:00,10.34,10.62,10.53,10.34,136153.0,0.19,1.84,10.574,10.727,10.804,129126.0,82241.4,66470.6,0.39
2020-07-16 14:40:00,10.38,10.49,10.37,10.23,194557.0,-0.01,-0.1,10.62,10.764,10.825,109231.0,72299.3,60802.1,0.56
2020-07-16 14:35:00,10.73,10.73,10.38,10.17,193546.0,-0.35,-3.26,10.724,10.822,10.856,79460.6,56577.7,52422.8,0.55
2020-07-16 14:30:00,10.83,10.84,10.73,10.73,41296.0,-0.1,-0.92,10.812,10.877,10.885,48202.2,45777.4,46141.7,0.12
2020-07-16 14:25:00,10.75,10.87,10.86,10.65,80080.0,0.11,1.02,10.862,10.901,10.8925,45355.6,48189.9,48788.8,0.23
2020-07-16 14:20:00,10.89,10.9,10.76,10.76,36674.9,-0.13,-1.19,10.88,10.891,10.8985,35356.4,51428.2,47908.9,0.1
2020-07-16 14:15:00,10.84,10.89,10.89,10.78,45705.9,0.05,0.46,10.908,10.893,10.915,35367.8,52142.6,47288.7,0.13
2020-07-16 14:10:00,10.98,10.99,10.82,10.8,37254.1,-0.16,-1.46,10.92,10.882,10.9255,33694.8,53708.3,47181.7,0.11
2020-07-16 14:05:00,10.96,10.99,10.98,10.93,27063.0,0.02,0.18,10.942,10.887,10.944,43352.6,51946.8,48863.7,0.08
2020-07-16 14:00:00,10.91,10.95,10.95,10.88,30084.2,0.04,0.37,10.94,10.886,10.954,51024.2,51473.8,51523.4,0.09
2020-07-16 13:55:00,10.96,11.04,10.9,10.9,36731.8,-0.06,-0.55,10.902,10.881,10.967,67499.9,50699.8,58605.3,0.1
2020-07-16 13:50:00,10.95,11.04,10.95,10.93,37341.1,0.0,0.0,10.878,10.886,10.9755,68917.5,49304.9,58425.3,0.11
2020-07-16 13:45:00,10.97,11.14,10.93,10.93,85543.0,-0.04,-0.36,10.844,10.89,10.9795,73721.7,48267.9,59391.3,0.24
2020-07-16 13:40:00,10.76,11.0,10.97,10.76,65420.8,0.21,1.95,10.832,10.893,10.987,60541.0,46506.1,60173.5,0.19
2020-07-16 13:35:00,10.7,10.81,10.76,10.67,112463.0,0.06,0.56,10.832,10.884,10.983,51923.4,49387.7,59856.8,0.32
2020-07-16 13:30:00,10.73,10.94,10.78,10.73,43819.5,0.05,0.47,10.86,10.906,10.992,33899.7,44389.6,57504.0,0.13
2020-07-16 13:25:00,10.87,10.9,10.78,10.74,61362.2,-0.09,-0.83,10.894,10.937,10.996,29692.3,42434.8,59253.0,0.18
