date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,23.17,23.2,23.18,23.14,11335.2,0.01,0.04,23.278,23.624,24.036,18194.8,16624.5,13318.0,0.31
2020-07-16 14:55:00,23.06,23.25,23.18,23.03,29343.8,0.12,0.52,23.304,23.739,24.1115,20716.3,16202.6,12956.8,0.81
2020-07-16 14:50:00,23.4,23.53,23.06,23.06,15440.3,-0.34,-1.45,23.486,23.877,24.1975,16890.9,13725.8,11704.2,0.42
2020-07-16 14:45:00,23.58,23.74,23.4,23.4,14048.7,-0.18,-0.76,23.692,24.02,24.2815,17942.0,12673.6,11088.8,0.39
2020-07-16 14:40:00,23.31,23.58,23.57,23.03,20806.2,0.26,1.12,23.824,24.114,24.3465,17434.4,11703.4,10582.1,0.57
2020-07-16 14:35:00,24.09,24.09,23.31,23.0,23942.5,-0.78,-3.24,23.97,24.213,24.413,15054.1,10203.8,9753.35,0.66
2020-07-16 14:30:00,24.03,24.3,24.09,23.95,10216.7,0.06,0.25,24.174,24.345,24.491,11689.0,8652.96,9257.59,0.28
2020-07-16 14:25:00,24.05,24.1,24.09,23.61,20696.1,0.04,0.17,24.268,24.376,24.519,10560.8,8967.06,9160.28,0.57
2020-07-16 14:20:00,24.3,24.31,24.06,24.05,11510.4,-0.24,-0.99,24.348,24.38,24.5585,7405.1,10228.8,8412.7,0.32
2020-07-16 14:15:00,24.36,24.49,24.3,24.16,8904.75,-0.06,-0.25,24.404,24.431,24.6055,5972.43,9773.71,8029.48,0.24
2020-07-16 14:10:00,24.56,24.58,24.33,24.2,7116.84,-0.23,-0.94,24.456,24.448,24.6405,5353.47,10011.5,7857.44,0.2
2020-07-16 14:05:00,24.49,24.56,24.56,24.47,4575.68,0.07,0.29,24.516,24.484,24.684,5616.96,9710.89,8048.75,0.13
2020-07-16 14:00:00,24.33,24.49,24.49,24.28,4917.81,0.16,0.66,24.484,24.518,24.7115,7373.36,9682.61,8102.02,0.14
2020-07-16 13:55:00,24.56,24.6,24.34,24.34,4347.09,-0.22,-0.9,24.412,24.543,24.7465,13052.6,9504.13,8148.58,0.12
2020-07-16 13:50:00,24.63,24.63,24.56,24.5,5809.93,-0.07,-0.28,24.458,24.579,24.7845,13575.0,9460.82,8152.66,0.16
2020-07-16 13:45:00,24.42,24.76,24.63,24.42,8434.27,0.21,0.86,24.44,24.613,24.806,14669.6,9302.92,8208.98,0.23
2020-07-16 13:40:00,24.11,24.46,24.4,24.11,13357.7,0.29,1.2,24.452,24.637,24.8325,13804.8,9862.22,8529.98,0.37
2020-07-16 13:35:00,24.32,24.32,24.13,24.0,33313.9,-0.19,-0.78,24.552,24.662,24.854,11991.9,9353.51,8266.19,0.92
2020-07-16 13:30:00,24.47,24.63,24.57,24.46,6959.15,0.1,0.41,24.674,24.737,24.894,5955.69,6596.56,7016.8,0.19
2020-07-16 13:25:00,24.69,24.73,24.47,24.46,11283.0,-0.22,-0.89,24.7,24.78,24.9005,5346.66,6285.25,7110.3,0.31
2020-07-16 13:20:00,24.91,24.96,24.69,24.68,4110.4,-0.22,-0.88,24.786,24.833,24.9175,3936.23,5703.35,6856.75,0.11
2020-07-16 13:15:00,24.74,24.9,24.9,24.72,4292.88,0.16,0.65,24.822,24.884,24.9185,5919.61,6386.61,7238.65,0.12
2020-07-16 13:10:00,24.68,24.75,24.74,24.66,3133.0,0.06,0.24,24.772,24.905,24.9225,6715.16,6521.42,7460.24,0.09
2020-07-16 13:05:00,24.9,24.96,24.7,24.7,3914.0,-0.2,-0.8,24.8,24.95,24.933,7237.44,6793.03,7739.55,0.11
2020-07-16 11:30:00,24.89,24.97,24.9,24.78,4230.85,0.01,0.04,24.86,24.99,24.944,7223.84,6844.5,8399.58,0.12
2020-07-16 11:25:00,24.66,24.88,24.87,24.51,14027.3,0.21,0.85,24.88,24.999,24.957,7470.47,7115.04,8970.84,0.39
2020-07-16 11:20:00,24.88,24.88,24.65,24.65,8270.64,-0.23,-0.92,24.946,25.028,24.98,6853.61,7197.75,9514.12,0.23
2020-07-16 11:15:00,24.95,24.99,24.88,24.73,5744.39,-0.07,-0.28,25.038,25.046,24.993,6327.68,7178.86,9995.71,0.16
2020-07-16 11:10:00,25.0,25.0,25.0,24.89,3846.0,0.0,0.0,25.1,25.051,24.991,6348.62,7437.05,11168.5,0.11
2020-07-16 11:05:00,25.18,25.19,25.0,25.0,5464.0,-0.18,-0.71,25.12,25.021,24.981,6465.17,7935.35,11788.4,0.15
2020-07-16 11:00:00,25.13,25.3,25.2,25.12,10943.0,0.07,0.28,25.118,25.002,24.951,6759.61,8010.15,13694.9,0.3
2020-07-16 10:55:00,25.2,25.2,25.11,25.07,5641.0,-0.09,-0.36,25.11,24.953,24.9375,7541.89,8090.69,15240.4,0.15
2020-07-16 10:50:00,25.1,25.19,25.19,25.04,5849.08,0.09,0.36,25.054,24.94,24.942,8030.05,8399.07,16319.7,0.16
2020-07-16 10:45:00,24.99,25.1,25.1,24.88,4428.77,0.11,0.44,25.002,24.916,24.935,8525.48,8686.07,17366.1,0.12
2020-07-16 10:40:00,25.16,25.19,24.99,24.96,6936.2,-0.17,-0.68,24.922,24.898,24.9625,9405.53,9954.66,17512.7,0.19
2020-07-16 10:35:00,24.83,25.21,25.16,24.83,14854.4,0.33,1.33,24.886,24.915,24.9875,9260.69,10826.6,17643.9,0.41
2020-07-16 10:30:00,24.8,24.87,24.83,24.67,8081.79,0.03,0.12,24.796,24.932,25.007,8639.49,11830.5,17505.9,0.22
2020-07-16 10:25:00,24.7,24.96,24.93,24.65,8326.25,0.23,0.93,24.826,24.94,25.058,8768.09,12812.6,17446.7,0.23
2020-07-16 10:20:00,24.81,24.86,24.7,24.61,8829.0,-0.11,-0.44,24.83,24.931,25.1015,8846.66,14900.0,17422.4,0.24
2020-07-16 10:15:00,24.71,24.81,24.81,24.68,6212.0,0.1,0.4,24.874,24.941,25.1545,10503.8,15641.4,17443.0,0.17
2020-07-16 10:10:00,24.98,24.98,24.71,24.61,11748.4,-0.27,-1.08,24.944,24.9,25.2085,12392.6,19379.7,17539.5,0.32
2020-07-16 10:05:00,24.94,25.0,24.98,24.81,8724.78,0.04,0.16,25.068,24.922,25.277,15021.5,22390.0,17549.4,0.24
2020-07-16 10:00:00,24.92,25.01,24.95,24.84,8719.1,0.03,0.12,25.054,24.944,25.33,16857.0,24240.4,17590.5,0.24
2020-07-16 09:55:00,25.16,25.32,24.92,24.87,17114.7,-0.24,-0.95,25.032,24.954,25.3825,20953.3,26046.2,17495.9,0.47
2020-07-16 09:50:00,25.3,25.3,25.16,25.14,15656.0,-0.14,-0.55,25.008,25.027,25.4385,20779.1,25070.8,17057.2,0.43
2020-07-16 09:45:00,24.91,25.34,25.33,24.91,24893.0,0.42,1.69,24.856,25.06,25.484,26366.9,24461.1,16715.9,0.68
2020-07-16 09:40:00,24.78,24.95,24.91,24.7,17902.3,0.13,0.52,24.776,25.082,25.5125,29758.6,23181.3,15772.9,0.49
2020-07-16 09:35:00,24.6,24.97,24.84,24.49,29200.6,0.24,0.98,24.834,25.176,25.561,31623.8,22080.8,15273.7,0.8
2020-07-15 15:00:00,24.45,24.83,24.8,24.45,16243.6,0.35,1.43,24.876,25.272,25.619,31139.0,19944.8,14671.4,0.45
2020-07-15 14:55:00,24.91,24.91,24.4,24.23,43595.0,-0.51,-2.05,25.046,25.368,25.6855,29362.5,19244.5,14366.1,1.2
