date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,5.67,5.69,5.67,5.66,18546.0,0.0,0.0,5.69,5.746,5.8115,38306.9,35623.0,29664.8,0.03
2020-07-16 14:55:00,5.68,5.71,5.67,5.67,43987.0,-0.01,-0.18,5.7,5.76,5.824,46145.5,36996.7,29561.1,0.08
2020-07-16 14:50:00,5.72,5.75,5.67,5.67,37224.0,-0.05,-0.87,5.728,5.783,5.8385,43264.9,33468.3,28269.5,0.07
2020-07-16 14:45:00,5.73,5.78,5.72,5.72,30004.0,-0.01,-0.17,5.756,5.805,5.8525,40858.5,30647.2,27068.9,0.05
2020-07-16 14:40:00,5.72,5.72,5.72,5.64,61773.4,0.0,0.0,5.774,5.821,5.864,39931.1,29354.9,26650.3,0.11
2020-07-16 14:35:00,5.81,5.81,5.72,5.7,57739.3,-0.09,-1.55,5.802,5.842,5.878,32939.0,24604.9,24526.0,0.1
2020-07-16 14:30:00,5.81,5.83,5.81,5.8,29584.0,0.0,0.0,5.82,5.859,5.8915,27847.8,20568.9,23278.2,0.05
2020-07-16 14:25:00,5.79,5.81,5.81,5.79,25191.9,0.02,0.35,5.838,5.869,5.899,23671.6,21093.4,23252.5,0.04
2020-07-16 14:20:00,5.87,5.87,5.81,5.8,25367.0,-0.06,-1.02,5.854,5.871,5.9095,20435.9,23653.8,25225.8,0.04
2020-07-16 14:15:00,5.83,5.88,5.86,5.8,26813.0,0.03,0.51,5.868,5.876,5.921,18778.7,23489.3,24958.4,0.05
2020-07-16 14:10:00,5.89,5.9,5.81,5.79,32283.0,-0.08,-1.36,5.882,5.877,5.931,16270.7,23706.7,26603.1,0.06
2020-07-16 14:05:00,5.9,5.9,5.9,5.88,8703.0,0.0,0.0,5.898,5.888,5.9445,13290.0,22125.6,28825.5,0.02
2020-07-16 14:00:00,5.88,5.89,5.89,5.86,9013.63,0.01,0.17,5.9,5.894,5.9525,18515.2,23070.7,34937.2,0.02
2020-07-16 13:55:00,5.92,5.93,5.88,5.87,17081.0,-0.04,-0.68,5.888,5.9,5.958,26871.6,23490.5,35785.5,0.03
2020-07-16 13:50:00,5.89,5.93,5.93,5.89,14273.0,0.04,0.68,5.884,5.907,5.964,28199.8,23945.7,36570.0,0.03
2020-07-16 13:45:00,5.92,5.93,5.89,5.89,17379.2,-0.03,-0.51,5.872,5.914,5.966,31142.6,24447.2,36656.1,0.03
2020-07-16 13:40:00,5.82,5.93,5.91,5.82,34829.4,0.09,1.55,5.878,5.924,5.9715,30961.2,25987.6,39468.1,0.06
2020-07-16 13:35:00,5.86,5.86,5.83,5.81,50795.5,-0.03,-0.51,5.888,5.929,5.9735,27626.1,25411.6,39551.2,0.09
2020-07-16 13:30:00,5.87,5.89,5.86,5.85,23722.0,-0.01,-0.17,5.912,5.948,5.9825,20109.4,26797.8,40325.5,0.04
2020-07-16 13:25:00,5.93,5.94,5.87,5.86,28987.0,-0.06,-1.01,5.93,5.966,5.987,19691.6,26427.5,41177.1,0.05
2020-07-16 13:20:00,5.97,5.98,5.92,5.92,16472.0,-0.05,-0.84,5.956,5.985,5.9935,17751.8,29499.5,43016.7,0.03
2020-07-16 13:15:00,5.94,5.96,5.96,5.93,18154.0,0.02,0.34,5.97,6.001,5.996,21014.0,35525.4,44391.6,0.03
2020-07-16 13:10:00,5.95,5.96,5.95,5.94,13212.0,0.0,0.0,5.97,6.011,5.9965,23197.0,46803.7,47674.9,0.02
2020-07-16 13:05:00,6.0,6.0,5.95,5.95,21633.0,-0.05,-0.83,5.984,6.016,5.995,33486.2,48080.4,50027.8,0.04
2020-07-16 11:30:00,5.98,6.0,6.0,5.96,19288.0,0.02,0.33,6.002,6.021,5.9945,33163.4,49194.2,58107.8,0.03
2020-07-16 11:25:00,5.96,6.0,5.99,5.95,32783.0,0.03,0.5,6.014,6.018,5.991,41247.2,48865.0,61532.5,0.06
2020-07-16 11:20:00,6.02,6.02,5.96,5.95,29069.0,-0.06,-1.0,6.032,6.019,5.9845,50036.8,52948.6,63254.1,0.05
