date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,10.04,10.08,10.07,10.03,16844.4,0.03,0.3,10.104,10.239,10.412,36912.8,34382.0,27757.1,0.05
2020-07-16 14:55:00,10.07,10.07,10.04,10.0,58632.0,-0.03,-0.3,10.118,10.283,10.4395,42296.5,34637.0,27220.9,0.17
2020-07-16 14:50:00,10.11,10.17,10.07,10.07,33682.5,-0.04,-0.4,10.192,10.34,10.4725,33552.7,29637.1,24688.4,0.1
2020-07-16 14:45:00,10.23,10.25,10.11,10.11,27087.2,-0.12,-1.17,10.258,10.395,10.5035,33811.4,28178.1,23566.2,0.08
2020-07-16 14:40:00,10.14,10.23,10.23,10.11,48317.8,0.09,0.89,10.32,10.446,10.5335,34844.0,26649.2,22976.2,0.14
2020-07-16 14:35:00,10.41,10.41,10.14,10.09,43763.1,-0.27,-2.59,10.374,10.486,10.5605,31851.2,23633.5,21170.0,0.12
2020-07-16 14:30:00,10.48,10.48,10.41,10.41,14913.1,-0.07,-0.67,10.448,10.534,10.5905,26977.6,20875.5,19706.8,0.04
2020-07-16 14:25:00,10.42,10.43,10.4,10.32,34975.6,-0.02,-0.19,10.488,10.551,10.6025,25721.4,22085.4,19548.4,0.1
2020-07-16 14:20:00,10.5,10.5,10.42,10.4,32250.3,-0.08,-0.76,10.532,10.559,10.6165,22544.9,24192.8,18922.7,0.09
2020-07-16 14:15:00,10.51,10.52,10.5,10.42,33354.1,-0.01,-0.1,10.572,10.575,10.6335,18454.4,22853.8,17852.1,0.1
2020-07-16 14:10:00,10.61,10.63,10.51,10.49,19394.7,-0.1,-0.94,10.598,10.585,10.6465,15415.7,21132.1,16939.9,0.06
2020-07-16 14:05:00,10.61,10.63,10.61,10.61,8632.32,0.0,0.0,10.62,10.596,10.663,14773.5,19804.7,17108.4,0.02
2020-07-16 14:00:00,10.63,10.63,10.62,10.56,19093.1,-0.01,-0.09,10.614,10.605,10.6715,18449.5,19739.8,17383.4,0.05
