date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,12.49,12.53,12.51,12.46,33544.5,0.02,0.16,12.548,12.714,12.9185,62690.2,58841.3,48510.5,0.14
2020-07-16 14:55:00,12.58,12.6,12.48,12.45,72301.6,-0.1,-0.79,12.564,12.766,12.9485,78423.5,58403.6,48326.8,0.3
2020-07-16 14:50:00,12.61,12.69,12.58,12.55,46671.4,-0.03,-0.24,12.636,12.84,12.9885,71156.0,53252.6,45661.5,0.19
2020-07-16 14:45:00,12.59,12.71,12.6,12.58,55394.7,0.01,0.08,12.708,12.899,13.021,75129.9,50261.7,44376.6,0.23
2020-07-16 14:40:00,12.59,12.68,12.57,12.5,105539.0,-0.02,-0.16,12.778,12.952,13.054,70840.3,47429.8,42475.3,0.44
2020-07-16 14:35:00,12.84,12.84,12.59,12.52,112211.0,-0.25,-1.95,12.88,13.016,13.0905,54992.4,40095.0,37930.7,0.47
2020-07-16 14:30:00,12.92,12.94,12.84,12.84,35963.7,-0.08,-0.62,12.968,13.074,13.128,38383.8,32675.8,34033.2,0.15
2020-07-16 14:25:00,12.95,12.97,12.94,12.8,66541.1,-0.01,-0.08,13.044,13.103,13.1455,35349.3,34500.9,34353.6,0.28
2020-07-16 14:20:00,13.09,13.09,12.95,12.95,33946.6,-0.14,-1.07,13.09,13.108,13.1635,25393.5,37073.7,32959.4,0.14
2020-07-16 14:15:00,13.0,13.1,13.08,12.99,26299.4,0.08,0.62,13.126,13.119,13.1845,24019.3,37061.0,31681.4,0.11
2020-07-16 14:10:00,13.23,13.23,13.03,13.0,29168.0,-0.2,-1.51,13.152,13.123,13.2005,25197.7,38179.7,30914.7,0.12
2020-07-16 14:05:00,13.17,13.24,13.22,13.17,20791.4,0.05,0.38,13.18,13.131,13.22,26967.9,38250.0,31116.4,0.09
2020-07-16 14:00:00,13.13,13.18,13.17,13.11,16762.0,0.04,0.3,13.162,13.137,13.2285,33652.4,38070.4,30780.9,0.07
2020-07-16 13:55:00,13.21,13.28,13.13,13.13,27075.7,-0.08,-0.61,13.126,13.143,13.2425,48753.9,38491.5,30694.7,0.11
2020-07-16 13:50:00,13.18,13.25,13.21,13.15,32191.2,0.03,0.23,13.112,13.156,13.257,50102.7,37520.9,30260.7,0.13
2020-07-16 13:45:00,13.12,13.23,13.17,13.11,38019.2,0.05,0.38,13.094,13.165,13.2645,51161.8,35766.3,29160.5,0.16
2020-07-16 13:40:00,12.99,13.14,13.13,12.98,54214.0,0.14,1.08,13.082,13.182,13.2755,49532.0,35390.6,28738.4,0.23
2020-07-16 13:35:00,12.92,13.08,12.99,12.92,92269.3,0.07,0.54,13.112,13.188,13.2835,42488.4,34206.3,28088.5,0.38
2020-07-16 13:30:00,13.11,13.16,13.06,13.06,33820.0,-0.05,-0.38,13.16,13.219,13.3035,28229.2,28845.1,24760.6,0.14
2020-07-16 13:25:00,13.13,13.29,13.12,13.11,37486.5,-0.01,-0.08,13.2,13.25,13.316,24939.0,26301.8,24679.9,0.16
2020-07-16 13:20:00,13.27,13.27,13.11,13.11,29870.3,-0.16,-1.21,13.236,13.278,13.3295,20370.9,23649.8,23904.7,0.12
2020-07-16 13:15:00,13.23,13.29,13.28,13.18,18996.1,0.05,0.38,13.282,13.309,13.344,21249.2,23982.8,23655.4,0.08
2020-07-16 13:10:00,13.24,13.25,13.23,13.19,20973.0,-0.01,-0.08,13.264,13.32,13.3505,25924.2,23491.4,24104.4,0.09
2020-07-16 13:05:00,13.3,13.32,13.26,13.24,17369.0,-0.04,-0.3,13.278,13.342,13.3575,29461.0,22898.0,24762.3,0.07
2020-07-16 11:30:00,13.34,13.34,13.3,13.28,14646.0,-0.04,-0.3,13.3,13.358,13.364,27664.6,23000.5,26650.5,0.06
2020-07-16 11:25:00,13.17,13.34,13.34,13.14,34261.8,0.17,1.29,13.32,13.364,13.3765,26928.6,22554.6,28310.4,0.14
2020-07-16 11:20:00,13.3,13.3,13.19,13.15,42371.4,-0.11,-0.83,13.336,13.369,13.3835,26716.3,22086.2,30416.1,0.18
2020-07-16 11:15:00,13.33,13.33,13.3,13.25,38657.0,-0.03,-0.23,13.376,13.379,13.3955,21058.7,21970.7,31782.4,0.16
2020-07-16 11:10:00,13.39,13.4,13.37,13.36,8387.0,-0.02,-0.15,13.406,13.388,13.399,16334.9,20676.1,35127.1,0.03
2020-07-16 11:05:00,13.43,13.46,13.4,13.39,10966.0,-0.03,-0.22,13.416,13.382,13.3915,18336.3,23058.0,36517.4,0.05
2020-07-16 11:00:00,13.41,13.5,13.42,13.41,33200.3,0.01,0.07,13.408,13.381,13.3785,18180.5,24159.6,41580.4,0.14
2020-07-16 10:55:00,13.46,13.47,13.39,13.38,14083.0,-0.07,-0.52,13.402,13.379,13.374,17456.1,23328.1,44317.6,0.06
2020-07-16 10:50:00,13.41,13.46,13.45,13.36,15038.0,0.04,0.3,13.382,13.381,13.372,22882.7,24717.3,46807.2,0.06
2020-07-16 10:45:00,13.36,13.42,13.42,13.31,18394.1,0.06,0.45,13.37,13.373,13.369,25017.3,26626.6,48774.4,0.08
2020-07-16 10:40:00,13.39,13.4,13.36,13.35,10187.2,-0.03,-0.22,13.348,13.37,13.3795,27779.8,30300.5,49181.6,0.04
2020-07-16 10:35:00,13.29,13.44,13.39,13.29,29578.1,0.1,0.75,13.354,13.389,13.387,30138.7,34066.3,50224.4,0.12
2020-07-16 10:30:00,13.35,13.35,13.29,13.23,41216.0,-0.06,-0.45,13.356,13.398,13.3935,29200.1,38745.9,50837.0,0.17
2020-07-16 10:25:00,13.31,13.4,13.39,13.29,25711.0,0.08,0.6,13.38,13.412,13.412,26552.0,41594.2,50016.4,0.11
2020-07-16 10:20:00,13.39,13.39,13.31,13.28,32206.7,-0.08,-0.6,13.376,13.41,13.43,28235.9,49578.2,49646.3,0.13
2020-07-16 10:15:00,13.4,13.41,13.39,13.33,21981.6,-0.01,-0.07,13.392,13.401,13.4475,32821.2,49976.8,49358.7,0.09
2020-07-16 10:10:00,13.43,13.48,13.4,13.35,24885.2,-0.03,-0.22,13.424,13.376,13.4655,37993.8,59001.1,49118.0,0.1
2020-07-16 10:05:00,13.37,13.47,13.41,13.37,27975.3,0.04,0.3,13.44,13.369,13.485,48291.7,65307.2,49534.6,0.12
2020-07-16 10:00:00,13.39,13.44,13.37,13.34,34130.7,-0.02,-0.15,13.444,13.363,13.5065,56636.4,68897.1,49739.4,0.14
2020-07-16 09:55:00,13.52,13.52,13.39,13.38,55133.1,-0.13,-0.96,13.444,13.365,13.526,70920.5,70922.2,49349.8,0.23
2020-07-16 09:50:00,13.53,13.55,13.55,13.44,47844.9,0.02,0.15,13.41,13.389,13.5445,67132.4,68062.6,47980.4,0.2
