date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,15.3,15.3,15.26,15.24,8139.0,-0.04,-0.26,15.392,15.534,15.75,9221.52,9016.52,6666.39,0.1
2020-07-16 14:55:00,15.37,15.45,15.3,15.3,10864.0,-0.07,-0.46,15.408,15.596,15.789,10109.3,8612.62,6403.36,0.14
2020-07-16 14:50:00,15.54,15.6,15.36,15.36,6237.0,-0.18,-1.16,15.496,15.671,15.833,9114.12,7794.52,6003.09,0.08
2020-07-16 14:45:00,15.48,15.7,15.55,15.48,6978.0,0.07,0.45,15.572,15.73,15.8725,9612.12,7598.22,5827.51,0.09
2020-07-16 14:40:00,15.34,15.49,15.49,15.25,13889.6,0.15,0.98,15.596,15.772,15.9015,9780.52,7187.42,5709.96,0.17
2020-07-16 14:35:00,15.65,15.65,15.34,15.32,12578.0,-0.31,-1.98,15.676,15.83,15.9345,8811.53,6100.96,5135.73,0.16
2020-07-16 14:30:00,15.71,15.79,15.74,15.7,5888.0,0.03,0.19,15.784,15.898,15.9745,7115.93,5238.02,4829.03,0.07
2020-07-16 14:25:00,15.68,15.78,15.74,15.65,8727.0,0.06,0.38,15.846,15.923,15.9915,6474.93,5195.12,4767.03,0.11
2020-07-16 14:20:00,15.89,15.91,15.67,15.67,7820.0,-0.22,-1.38,15.888,15.937,16.0145,5584.33,5112.72,4678.53,0.1
2020-07-16 14:15:00,15.89,15.9,15.89,15.77,9044.64,0.0,0.0,15.948,15.963,16.0455,4594.33,4879.22,4412.73,0.11
2020-07-16 14:10:00,16.03,16.05,15.88,15.85,4100.0,-0.15,-0.94,15.984,15.966,16.0685,3390.4,4316.26,4270.7,0.05
2020-07-16 14:05:00,15.99,16.09,16.05,15.97,2683.0,0.06,0.38,16.012,15.982,16.094,3360.12,4194.1,4459.75,0.03
2020-07-16 14:00:00,15.97,15.98,15.95,15.9,4274.0,-0.02,-0.13,16.0,15.995,16.1105,3915.32,4211.66,4869.1,0.05
2020-07-16 13:55:00,16.08,16.1,15.97,15.97,2870.0,-0.11,-0.68,15.986,16.015,16.13,4641.12,4056.8,5118.65,0.04
2020-07-16 13:50:00,16.02,16.1,16.07,16.02,3025.0,0.05,0.31,15.978,16.031,16.1475,5164.12,4232.5,5319.8,0.04
2020-07-16 13:45:00,15.99,16.12,16.02,15.99,3948.6,0.03,0.19,15.948,16.039,16.154,5242.12,4170.5,5365.15,0.05
2020-07-16 13:40:00,15.89,16.03,15.99,15.89,5459.0,0.1,0.63,15.952,16.051,16.166,5028.08,4420.04,5882.02,0.07
2020-07-16 13:35:00,15.93,15.93,15.88,15.82,7903.0,-0.05,-0.31,15.99,16.06,16.1765,4508.0,4338.94,5883.02,0.1
2020-07-16 13:30:00,15.92,15.99,15.93,15.92,5485.0,0.01,0.06,16.044,16.092,16.1935,3472.48,4244.34,5920.8,0.07
2020-07-16 13:25:00,16.05,16.1,15.92,15.92,3415.0,-0.13,-0.81,16.084,16.128,16.2025,3300.88,3946.24,5953.85,0.04
2020-07-16 13:20:00,16.17,16.19,16.04,16.0,2878.4,-0.13,-0.8,16.13,16.171,16.2185,3098.88,4225.14,6163.55,0.04
2020-07-16 13:15:00,16.16,16.2,16.18,16.15,2858.6,0.02,0.12,16.15,16.206,16.226,3812.0,4725.4,6355.23,0.04
2020-07-16 13:10:00,16.12,16.19,16.15,16.1,2725.4,0.03,0.19,16.13,16.226,16.228,4169.88,5526.54,6635.64,0.03
2020-07-16 13:05:00,16.15,16.23,16.13,16.1,4627.0,-0.02,-0.12,16.14,16.245,16.226,5016.2,6180.5,6906.95,0.06
2020-07-16 11:30:00,16.14,16.18,16.15,16.12,2405.0,0.01,0.06,16.172,16.264,16.2295,4591.6,6407.1,7803.7,0.03
2020-07-16 11:25:00,16.08,16.17,16.14,16.02,6444.0,0.06,0.37,16.212,16.269,16.232,5351.4,6559.8,8226.13,0.08
