date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,14.46,14.47,14.46,14.44,14786.5,0.0,0.0,14.462,14.656,14.8875,27305.6,25497.0,19488.9,0.48
2020-07-16 14:55:00,14.46,14.5,14.46,14.42,26233.0,0.0,0.0,14.468,14.712,14.9265,32680.3,25204.8,19111.9,0.85
2020-07-16 14:50:00,14.48,14.53,14.44,14.44,21361.0,-0.04,-0.28,14.546,14.781,14.972,31341.0,23324.0,18190.2,0.69
2020-07-16 14:45:00,14.47,14.58,14.48,14.47,21060.2,0.01,0.07,14.638,14.848,15.0155,32513.4,22079.7,17407.8,0.68
2020-07-16 14:40:00,14.49,14.49,14.47,14.27,53087.3,-0.02,-0.14,14.728,14.907,15.0565,31533.7,20602.0,16605.7,1.71
2020-07-16 14:35:00,14.85,14.85,14.49,14.38,41660.0,-0.36,-2.42,14.85,14.983,15.102,23688.5,16046.8,14226.6,1.34
2020-07-16 14:30:00,14.86,14.89,14.85,14.83,19536.4,-0.01,-0.07,14.956,15.057,15.147,17729.3,13237.5,12764.1,0.63
2020-07-16 14:25:00,14.93,14.93,14.9,14.73,27223.0,-0.03,-0.2,15.016,15.086,15.169,15307.0,12935.5,12460.9,0.88
2020-07-16 14:20:00,15.07,15.07,14.93,14.92,16161.9,-0.14,-0.93,15.058,15.096,15.194,11646.1,13341.6,11753.3,0.52
2020-07-16 14:15:00,15.02,15.08,15.08,14.97,13861.0,0.06,0.4,15.086,15.11,15.22,9670.21,13186.3,11183.9,0.45
2020-07-16 14:10:00,15.15,15.16,15.02,14.97,11864.2,-0.13,-0.86,15.116,15.119,15.24,8405.21,13480.7,10870.8,0.38
2020-07-16 14:05:00,15.11,15.18,15.15,15.11,7425.0,0.04,0.26,15.158,15.141,15.266,8745.73,13019.0,11023.6,0.24
2020-07-16 14:00:00,15.07,15.11,15.11,15.0,8918.44,0.04,0.27,15.156,15.163,15.286,10564.0,13056.5,11081.9,0.29
2020-07-16 13:55:00,15.25,15.25,15.07,15.07,6282.4,-0.18,-1.18,15.134,15.183,15.3095,15037.0,12736.0,11011.8,0.2
2020-07-16 13:50:00,15.26,15.27,15.23,15.18,7536.0,-0.03,-0.2,15.134,15.206,15.3295,16702.4,12609.5,11004.6,0.24
2020-07-16 13:45:00,15.13,15.28,15.23,15.13,13566.8,0.1,0.66,15.122,15.221,15.3415,18556.2,12406.4,10982.2,0.44
2020-07-16 13:40:00,15.0,15.18,15.14,15.0,16516.6,0.14,0.93,15.124,15.237,15.3535,17292.3,12290.7,10947.2,0.53
2020-07-16 13:35:00,14.91,15.03,15.0,14.91,31283.4,0.09,0.6,15.17,15.252,15.362,15548.9,11986.3,10963.2,1.01
2020-07-16 13:30:00,15.17,15.18,15.07,15.07,14609.0,-0.1,-0.66,15.232,15.292,15.383,10434.9,10165.1,9890.47,0.47
2020-07-16 13:25:00,15.24,15.25,15.17,15.13,16805.0,-0.07,-0.46,15.278,15.33,15.395,8516.66,9181.54,9851.58,0.54
2020-07-16 13:20:00,15.35,15.39,15.24,15.24,7247.48,-0.11,-0.72,15.32,15.361,15.4085,6256.66,8260.97,9430.51,0.23
2020-07-16 13:15:00,15.3,15.37,15.37,15.27,7799.52,0.07,0.46,15.35,15.391,15.417,7289.11,9028.18,9814.69,0.25
2020-07-16 13:10:00,15.29,15.31,15.31,15.27,5713.32,0.02,0.13,15.334,15.409,15.4195,8423.8,9107.4,9965.26,0.18
2020-07-16 13:05:00,15.38,15.38,15.3,15.3,5018.0,-0.08,-0.52,15.352,15.436,15.4255,9895.34,9287.74,10431.0,0.16
2020-07-16 11:30:00,15.39,15.4,15.38,15.36,5505.0,-0.01,-0.06,15.382,15.453,15.432,9846.41,9399.74,11453.1,0.18
2020-07-16 11:25:00,15.28,15.39,15.39,15.25,12409.7,0.11,0.72,15.402,15.462,15.4405,10265.3,9558.04,12361.0,0.4
2020-07-16 11:20:00,15.4,15.4,15.29,15.28,13473.0,-0.11,-0.71,15.432,15.47,15.452,10767.2,9603.67,13448.9,0.43
2020-07-16 11:15:00,15.45,15.45,15.4,15.28,13071.0,-0.05,-0.32,15.484,15.472,15.4575,9790.99,9939.99,13840.9,0.42
2020-07-16 11:10:00,15.46,15.5,15.45,15.45,4773.36,-0.01,-0.06,15.52,15.474,15.456,8680.14,9615.84,15197.5,0.15
2020-07-16 11:05:00,15.54,15.55,15.48,15.47,7599.28,-0.06,-0.39,15.524,15.46,15.4475,8953.07,10521.6,16261.7,0.24
2020-07-16 11:00:00,15.51,15.59,15.54,15.51,14919.6,0.03,0.19,15.522,15.456,15.441,8850.81,10600.1,17546.6,0.48
2020-07-16 10:55:00,15.58,15.59,15.55,15.5,8591.72,-0.03,-0.19,15.508,15.443,15.433,8440.09,10601.2,18849.1,0.28
2020-07-16 10:50:00,15.47,15.58,15.58,15.45,7516.74,0.11,0.71,15.46,15.43,15.428,10089.0,10823.1,19912.2,0.24
2020-07-16 10:45:00,15.46,15.48,15.47,15.36,6138.0,0.01,0.06,15.428,15.415,15.4205,10551.5,11574.2,20726.1,0.2
2020-07-16 10:40:00,15.48,15.48,15.47,15.41,7088.0,-0.01,-0.06,15.396,15.411,15.435,12090.2,13506.4,20806.2,0.23
2020-07-16 10:35:00,15.31,15.52,15.47,15.31,12866.0,0.16,1.05,15.39,15.419,15.441,12349.3,15164.0,21173.9,0.41
2020-07-16 10:30:00,15.42,15.42,15.31,15.28,16836.2,-0.11,-0.71,15.378,15.434,15.4515,12762.3,17294.2,21029.3,0.54
2020-07-16 10:25:00,15.31,15.45,15.42,15.28,9829.48,0.11,0.72,15.4,15.443,15.476,11557.2,17741.7,20655.4,0.32
2020-07-16 10:20:00,15.44,15.44,15.31,15.27,13831.2,-0.13,-0.84,15.402,15.438,15.4975,12596.9,20779.2,20659.3,0.45
2020-07-16 10:15:00,15.4,15.47,15.44,15.38,8383.66,0.04,0.26,15.426,15.435,15.5205,14922.6,22001.7,20413.9,0.27
2020-07-16 10:10:00,15.42,15.47,15.41,15.36,14931.1,-0.01,-0.06,15.448,15.426,15.541,17978.7,24493.1,20444.1,0.48
