date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-07-16 15:00:00,8.43,8.45,8.41,8.4,11677.6,-0.02,-0.24,8.452,8.535,8.6545,36368.9,35641.9,28807.3,0.02
2020-07-16 14:55:00,8.45,8.45,8.45,8.41,38810.0,0.0,0.0,8.462,8.566,8.676,46219.5,35723.6,28662.4,0.07
2020-07-16 14:50:00,8.51,8.53,8.45,8.45,26799.2,-0.06,-0.71,8.5,8.601,8.699,43812.7,32753.8,27462.6,0.05
2020-07-16 14:45:00,8.43,8.6,8.52,8.43,32677.0,0.09,1.07,8.542,8.636,8.72,45732.0,31074.3,26471.5,0.06
2020-07-16 14:40:00,8.46,8.46,8.43,8.32,71880.5,-0.03,-0.35,8.558,8.658,8.737,45836.8,28973.3,25513.9,0.13
2020-07-16 14:35:00,8.64,8.64,8.46,8.44,60931.0,-0.18,-2.08,8.618,8.698,8.76,34914.9,23480.0,22381.1,0.11
2020-07-16 14:30:00,8.61,8.69,8.64,8.61,26775.7,0.03,0.35,8.67,8.731,8.78,25227.6,20911.9,20028.4,0.05
2020-07-16 14:25:00,8.6,8.69,8.66,8.6,36396.0,0.06,0.7,8.702,8.742,8.79,21694.8,21377.8,19470.4,0.07
2020-07-16 14:20:00,8.73,8.75,8.6,8.6,33200.9,-0.13,-1.49,8.73,8.744,8.8025,16416.6,22336.6,18769.8,0.06
2020-07-16 14:15:00,8.72,8.75,8.73,8.71,17271.1,0.01,0.11,8.758,8.764,8.8195,12109.8,22239.8,17472.9,0.03
2020-07-16 14:10:00,8.79,8.8,8.72,8.71,12494.2,-0.07,-0.8,8.778,8.774,8.831,12045.0,21972.6,17139.9,0.02
2020-07-16 14:05:00,8.81,8.81,8.8,8.77,9112.0,-0.01,-0.11,8.792,8.786,8.843,16596.2,21601.3,17462.0,0.02
2020-07-16 14:00:00,8.75,8.81,8.8,8.73,10004.9,0.05,0.57,8.782,8.797,8.8515,21060.8,22171.5,17427.9,0.02
2020-07-16 13:55:00,8.84,8.84,8.74,8.74,11667.0,-0.1,-1.13,8.758,8.804,8.8605,28256.5,21868.6,17395.4,0.02
2020-07-16 13:50:00,8.81,8.86,8.83,8.78,16946.8,0.02,0.23,8.77,8.816,8.871,32369.7,22054.4,17789.8,0.03
2020-07-16 13:45:00,8.75,8.89,8.79,8.74,35250.2,0.04,0.46,8.77,8.822,8.876,31900.3,21282.3,17598.3,0.06
2020-07-16 13:40:00,8.67,8.78,8.75,8.67,31435.0,0.08,0.92,8.78,8.829,8.8855,26606.5,19145.0,17351.8,0.06
2020-07-16 13:35:00,8.8,8.8,8.68,8.65,45983.4,-0.12,-1.36,8.812,8.838,8.8955,23282.2,17563.0,16738.6,0.08
2020-07-16 13:30:00,8.82,8.83,8.8,8.79,32233.0,-0.02,-0.23,8.85,8.861,8.911,15480.7,15203.0,15523.0,0.06
2020-07-16 13:25:00,8.84,8.87,8.83,8.82,14600.0,-0.01,-0.11,8.862,8.875,8.918,11739.1,12706.1,15171.7,0.03
2020-07-16 13:20:00,8.9,8.91,8.84,8.84,8781.0,-0.06,-0.67,8.874,8.888,8.927,10664.3,12307.1,15441.6,0.02
2020-07-16 13:15:00,8.87,8.91,8.91,8.82,14813.7,0.04,0.45,8.878,8.9,8.9355,11683.5,13322.7,16078.3,0.03
2020-07-16 13:10:00,8.87,8.88,8.87,8.85,6976.0,0.0,0.0,8.864,8.906,8.943,11843.8,12684.4,16408.1,0.01
2020-07-16 13:05:00,8.91,8.91,8.86,8.85,13525.0,-0.05,-0.56,8.872,8.917,8.952,14925.3,12922.2,17031.1,0.02
2020-07-16 11:30:00,8.87,8.91,8.89,8.85,9226.0,0.02,0.23,8.888,8.926,8.961,13673.1,13525.2,18122.6,0.02
2020-07-16 11:25:00,8.84,8.88,8.86,8.81,13877.0,0.02,0.23,8.902,8.93,8.971,13949.9,13914.2,19335.8,0.03
2020-07-16 11:20:00,8.91,8.91,8.84,8.83,15615.0,-0.07,-0.79,8.922,8.942,8.9815,14961.9,15558.6,21191.3,0.03
2020-07-16 11:15:00,8.91,8.91,8.91,8.85,22383.6,0.0,0.0,8.948,8.953,8.9885,13524.9,15914.2,22515.3,0.04
2020-07-16 11:10:00,8.95,8.96,8.94,8.92,7264.0,-0.01,-0.11,8.962,8.961,8.9905,10919.0,15843.0,24894.4,0.01
2020-07-16 11:05:00,8.99,9.0,8.96,8.96,10610.0,-0.03,-0.33,8.964,8.961,8.9835,13377.4,17637.3,25695.8,0.02
2020-07-16 11:00:00,8.97,9.02,8.96,8.96,18937.0,-0.01,-0.11,8.958,8.966,8.9765,13878.6,18576.0,26615.4,0.03
2020-07-16 10:55:00,8.98,8.99,8.97,8.94,8430.0,-0.01,-0.11,8.962,8.971,8.972,16155.4,18834.0,27037.2,0.02
2020-07-16 10:50:00,8.96,8.98,8.98,8.94,9354.0,0.02,0.22,8.958,8.98,8.97,18303.5,20131.8,27478.6,0.02
2020-07-16 10:45:00,8.93,8.96,8.95,8.88,19555.8,0.02,0.22,8.96,8.987,8.968,20766.9,21140.0,27845.9,0.04
